actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2019-12-29T00:10:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-29T00:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-29T00:10:24.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2019-12-29T00:10:24Z,40000,,,0,,Jump Ball D. Theis vs. S. Ibaka: Tip to J. Brown,"[1627759, 1628464, 201586]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2019-12-29T00:10:36.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,91.80354796320631,57.91207107843137,1610612738,0,0,2019-12-29T00:10:54Z,70000,40.0,25.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1627775]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,4.97,Missed,McCaw,1627775.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2019-12-29T00:10:36.4Z,1,REGULAR,block,,[],1627775,,,1610612738,0,0,2019-12-29T00:10:41Z,80000,,,0,,P. McCaw BLOCK (1 BLK),[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2019-12-29T00:10:37.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,0,2019-12-29T00:10:54Z,90000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M46.00S,2019-12-29T00:10:56.0Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2019-12-29T00:11:08Z,100000,,,0,,Jump Ball K. Walker vs. P. McCaw: Tip to J. Brown,"[1627759, 202689, 1627775]",1610612738.0,BOS,heldball,J. Brown,1627759.0,Brown,J. Brown,Walker,202689.0,McCaw,1627775.0,,,,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2019-12-29T00:11:04.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202330,72.22404730617609,85.85324754901961,1610612738,0,0,2019-12-29T00:11:14Z,130000,179.0,209.0,1,right,MISS G. Hayward 28' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.93,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M35.00S,2019-12-29T00:11:07.2Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,0,0,2019-12-29T00:11:07Z,140000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT11M24.00S,2019-12-29T00:11:17.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201586,19.530223390275953,50.80422794117647,1610612761,0,2,2019-12-29T00:11:26Z,150000,-4.0,131.0,1,left,S. Ibaka 14' jumpshot (2 PTS) (P. McCaw 1 AST),"[201586, 1627775]",1610612761.0,TOR,drivingfloating,,,Ibaka,S. Ibaka,,,,,13.67,Made,,,,,,,2.0,P. McCaw,1627775.0,1.0,,,,,,,,,
17,PT11M12.00S,2019-12-29T00:11:29.8Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,0,2,2019-12-29T00:11:38Z,170000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1627775]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,McCaw,1627775.0,,,,,,
