actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
534,PT10M36.00S,2020-08-05T00:41:16Z,4,REGULAR,rebound,defensive,,[],1628400,,,1610612738,93,85,2020-08-05T00:41:20,5310000,99,230,left,Ojeleye REBOUND (Off:0 Def:4),[1628400],1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,4.0,4.0,0.0,533.0,,,,,,,,,,,,,,
535,PT10M36.00S,2020-08-05T00:41:20Z,4,REGULAR,foul,personal,,[],201609,,,1610612738,93,85,2020-08-05T00:41:26,5320000,35,763,right,Dragic P.FOUL (P1.T1),"[201609, 1628400]",1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,1.0,0.0,101283.0
537,PT10M36.00S,2020-08-05T00:41:28Z,4,REGULAR,substitution,out,,[],202689,,,1610612738,93,85,0001-01-01T00:00:00,5340000,0,-80,,SUB: Langford FOR Walker,[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,PT10M19.00S,2020-08-05T00:41:58Z,4,REGULAR,2pt,layup,driving,['pointsinthepaint'],1627759,90.23,54.97,1610612738,93,85,2020-08-05T00:45:24,5360000,25,39,right,MISS Brown 5' Driving Layup Blocked,"[1627759, 2738]",1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,4.63,,,,,,,,,,,,2738.0,Iguodala,,,,,
552,PT10M19.00S,2020-08-05T00:41:58Z,4,REGULAR,block,,,[],2738,,,1610612738,93,87,2020-08-05T00:45:24,5365000,25,39,right, BLOCK ,[2738],1610612748,MIA,0,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,PT10M17.00S,2020-08-05T00:42:00Z,4,REGULAR,rebound,offensive,,[],1627759,,,1610612738,93,85,2020-08-05T00:45:24,5370000,25,39,right,Brown REBOUND (Off:2 Def:6),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,8.0,6.0,2.0,539.0,,,,,,,,,,,,,,
541,PT10M16.00S,2020-08-05T00:42:06Z,4,REGULAR,2pt,jumpshot,,['2ndchance'],1627759,91.72,91.02,1610612738,93,85,2020-08-05T00:45:40,5380000,205,25,right,MISS Brown 21' Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,20.65,,,,,,,,,,,,,,,,,,
542,PT10M15.00S,2020-08-05T00:42:07Z,4,REGULAR,rebound,defensive,,[],2738,,,1610612748,93,85,2020-08-05T00:45:40,5390000,205,25,right,Iguodala REBOUND (Off:1 Def:5),[2738],1610612748,MIA,0,Iguodala,A. Iguodala,,,,,,,,,,6.0,5.0,1.0,541.0,,,,,,,,,,,,,,
543,PT10M05.00S,2020-08-05T00:42:10Z,4,REGULAR,3pt,jumpshot,,[],203482,12.83,94.43,1610612748,93,85,2020-08-05T00:42:18,5400000,-222,68,left,MISS Olynyk 3PT Jump Shot,[203482],1610612748,MIA,1,Olynyk,K. Olynyk,,,,,,,0.0,Missed,23.22,,,,,,,,,,,,,,,,,,
544,PT10M04.00S,2020-08-05T00:42:11Z,4,REGULAR,rebound,defensive,,['team'],0,,,1610612738,93,85,2020-08-05T00:42:18,5410000,-222,68,left,Celtics Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,543.0,,,,,,,,,,,,,,
545,PT10M04.00S,2020-08-05T00:42:16Z,4,REGULAR,stoppage,outofbounds,,[],0,,,1610612738,93,85,0001-01-01T00:00:00,5420000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,PT09M55.00S,2020-08-05T00:42:31Z,4,REGULAR,turnover,outofbounds,badpass,[],202954,,,1610612738,93,85,2020-08-05T00:42:43,5430000,13,29,right,Wanamaker Out of Bounds - Bad Pass Turnover Turnover (P3.T13),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
547,PT09M30.00S,2020-08-05T00:43:03Z,4,REGULAR,turnover,lostball,,[],1627884,,,1610612748,93,85,2020-08-05T00:43:08,5440000,-3,242,left,Jones Jr. Lost Ball Turnover (P1.T10) Stolen,"[1627884, 1628400]",1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,Ojeleye,1628400.0,1.0,1.0,,,,,,,,,,
548,PT09M30.00S,2020-08-05T00:43:03Z,4,REGULAR,steal,,,[],1628400,,,1610612738,93,85,0001-01-01T00:00:00,5450000,-3,242,left, STEAL ,[1628400],1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,PT09M25.00S,2020-08-05T00:43:08Z,4,REGULAR,2pt,layup,driving,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,92.2,53.99,1610612738,93,85,2020-08-05T00:43:24,5460000,20,21,right,MISS Brown 3' Driving Layup,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,2.9,,,,,,,,,,,,,,,,,,
550,PT09M22.00S,2020-08-05T00:43:11Z,4,REGULAR,rebound,offensive,,[],202954,,,1610612738,93,85,2020-08-05T00:43:14,5470000,20,21,right,Wanamaker REBOUND (Off:1 Def:2),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,3.0,2.0,1.0,549.0,,,,,,,,,,,,,,
551,PT09M21.00S,2020-08-05T00:43:11Z,4,REGULAR,2pt,layup,putback,"['pointsinthepaint', 'fromturnover', '2ndchance']",202954,92.85,46.64,1610612738,93,87,2020-08-05T00:43:31,5480000,-17,15,right,Wanamaker 2' Putback Layup (8 PTS),[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,8.0,Made,2.27,,,,,,,,,,,,,,,,,,
570,PT09M10.00S,2020-08-05T00:44:36Z,4,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612748,93,87,0001-01-01T00:00:00,5485000,0,-80,,HEAT Timeout: Regular (Full 4 Short 0),[],1610612748,MIA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,PT09M10.00S,2020-08-05T00:46:00Z,4,REGULAR,substitution,out,,[],1627884,,,1610612748,93,87,0001-01-01T00:00:00,5490000,0,-80,,SUB: Adebayo FOR Jones Jr.,[1627884],1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,PT08M49.00S,2020-08-05T00:47:04Z,4,REGULAR,3pt,jumpshot,,[],201609,32.54,53.01,1610612748,96,87,2020-08-05T00:47:11,5510000,-15,253,left,Dragic 25' 3PT Jump Shot (18 PTS) (Olynyk 8 AST),"[201609, 203482]",1610612748,MIA,1,Dragic,G. Dragic,,,,,,,18.0,Made,25.34,,,,,,,,,Olynyk,203482.0,8.0,,,,,,,
557,PT08M28.00S,2020-08-05T00:47:26Z,4,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],202954,85.36,60.12,1610612738,96,87,2020-08-05T00:47:39,5530000,51,85,right,MISS Wanamaker 10' Driving Floating Jump Shot,[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,0.0,Missed,9.91,,,,,,,,,,,,,,,,,,
558,PT08M26.00S,2020-08-05T00:47:28Z,4,REGULAR,rebound,offensive,,[],202683,,,1610612738,96,87,2020-08-05T00:47:32,5540000,51,85,right,Kanter REBOUND (Off:5 Def:0),[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,5.0,0.0,5.0,557.0,,,,,,,,,,,,,,
559,PT08M24.00S,2020-08-05T00:47:30Z,4,REGULAR,2pt,layup,,"['pointsinthepaint', '2ndchance']",202683,93.51,44.19,1610612738,96,89,2020-08-05T00:47:35,5550000,-29,9,right,Kanter 3' Layup (10 PTS),[202683],1610612738,BOS,1,Kanter,E. Kanter,,,,,,,10.0,Made,3.04,,,,,,,,,,,,,,,,,,
560,PT08M11.00S,2020-08-05T00:47:43Z,4,REGULAR,2pt,jumpshot,stepback,[],201609,5.34,87.81,1610612748,98,89,2020-08-05T00:47:48,5560000,-189,-2,left,Dragic 19' Step Back Jump Shot (20 PTS),[201609],1610612748,MIA,1,Dragic,G. Dragic,,,,,,,20.0,Made,18.9,,,,,,,,,,,,,,,,,,
561,PT07M49.00S,2020-08-05T00:48:05Z,4,REGULAR,3pt,jumpshot,,[],1628400,93.91,95.17,1610612738,98,89,2020-08-05T00:48:10,5570000,226,5,right,MISS Ojeleye 3PT Jump Shot,[1628400],1610612738,BOS,1,Ojeleye,S. Ojeleye,,,,,,,0.0,Missed,22.61,,,,,,,,,,,,,,,,,,
562,PT07M45.00S,2020-08-05T00:48:09Z,4,REGULAR,rebound,defensive,,[],201609,,,1610612748,98,89,2020-08-05T00:48:10,5580000,226,5,right,Dragic REBOUND (Off:1 Def:2),[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,3.0,2.0,1.0,561.0,,,,,,,,,,,,,,
563,PT07M32.00S,2020-08-05T00:48:22Z,4,REGULAR,3pt,jumpshot,,[],201609,28.73,23.11,1610612748,98,89,2020-08-05T00:48:27,5590000,134,218,left,MISS Dragic 26' 3PT Jump Shot,[201609],1610612748,MIA,1,Dragic,G. Dragic,,,,,,,0.0,Missed,25.59,,,,,,,,,,,,,,,,,,
564,PT07M29.00S,2020-08-05T00:48:25Z,4,REGULAR,rebound,defensive,,[],1628400,,,1610612738,98,89,2020-08-05T00:48:27,5600000,134,218,left,Ojeleye REBOUND (Off:0 Def:5),[1628400],1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,5.0,5.0,0.0,563.0,,,,,,,,,,,,,,
565,PT07M24.00S,2020-08-05T00:48:30Z,4,REGULAR,2pt,dunk,running,"['pointsinthepaint', 'fastbreak']",1627759,92.85,51.05,1610612738,98,91,2020-08-05T00:48:48,5610000,5,15,right,Brown 2' Running Dunk (18 PTS) (Wanamaker 1 AST),"[1627759, 202954]",1610612738,BOS,1,Brown,J. Brown,,,,,,,18.0,Made,1.58,,,,,,,,,Wanamaker,202954.0,1.0,,,,,,,
567,PT07M02.00S,2020-08-05T00:48:52Z,4,REGULAR,3pt,jumpshot,,[],2738,9.02,3.75,1610612748,98,91,2020-08-05T00:48:58,5630000,231,32,left,MISS Iguodala 3PT Jump Shot,[2738],1610612748,MIA,1,Iguodala,A. Iguodala,,,,,,,0.0,Missed,23.32,,,,,,,,,,,,,,,,,,
568,PT06M58.00S,2020-08-05T00:48:56Z,4,REGULAR,rebound,defensive,,[],1629641,,,1610612738,98,91,2020-08-05T00:48:58,5640000,231,32,left,Langford REBOUND (Off:0 Def:1),[1629641],1610612738,BOS,0,Langford,R. Langford,,,,,,,,,,1.0,1.0,0.0,567.0,,,,,,,,,,,,,,
569,PT06M52.00S,2020-08-05T00:49:07Z,4,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612738,98,91,0001-01-01T00:00:00,5650000,0,-80,,Celtics Timeout: Regular (Reg.4 Short 0),[],1610612738,BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,PT06M52.00S,2020-08-05T00:50:41Z,4,REGULAR,substitution,out,,[],201609,,,1610612738,98,91,0001-01-01T00:00:00,5660000,0,-80,,SUB: Crowder FOR Dragic,[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,PT06M52.00S,2020-08-05T00:50:41Z,4,REGULAR,substitution,out,,[],203482,,,1610612738,98,91,0001-01-01T00:00:00,5670000,0,-80,,SUB: Robinson FOR Olynyk,[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,PT06M52.00S,2020-08-05T00:50:41Z,4,REGULAR,substitution,out,,[],202683,,,1610612738,98,91,0001-01-01T00:00:00,5680000,0,-80,,SUB: Hayward FOR Kanter,[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,PT06M52.00S,2020-08-05T00:50:41Z,4,REGULAR,substitution,out,,[],1628400,,,1610612738,98,91,0001-01-01T00:00:00,5690000,0,-80,,SUB: Theis FOR Ojeleye,[1628400],1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,PT06M52.00S,2020-08-05T00:50:41Z,4,REGULAR,substitution,out,,[],1629641,,,1610612738,98,91,0001-01-01T00:00:00,5700000,0,-80,,SUB: Tatum FOR Langford,[1629641],1610612738,BOS,0,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,PT06M38.00S,2020-08-05T00:52:45Z,4,REGULAR,2pt,layup,driving,['pointsinthepaint'],202330,93.64,44.19,1610612738,98,93,2020-08-05T00:52:52,5760000,-29,7,right,Hayward 3' Driving Layup (14 PTS) (Wanamaker 2 AST),"[202330, 202954]",1610612738,BOS,1,Hayward,G. Hayward,,,,,,,14.0,Made,2.98,,,,,,,,,Wanamaker,202954.0,2.0,,,,,,,
583,PT06M38.00S,2020-08-05T00:52:47Z,4,REGULAR,foul,personal,shooting,['1freethrow'],1628389,,,1610612738,98,93,2020-08-05T00:52:53,5780000,-29,7,right,Adebayo S.FOUL (P3.T2),"[1628389, 202330]",1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,Hayward,202330.0,3.0,0.0,1146.0
585,PT06M38.00S,2020-08-05T00:53:08Z,4,REGULAR,freethrow,1of1,,[],202330,,,1610612738,98,94,0001-01-01T00:00:00,5800000,-250,888,right,Hayward Free Throw 1 of 1 (15 PTS),[202330],1610612738,BOS,0,Hayward,G. Hayward,,,,,,,15.0,Made,,,,,,,,,,,,,,,,,,,
586,PT06M24.00S,2020-08-05T00:53:22Z,4,REGULAR,2pt,hook,drivingbank,['pointsinthepaint'],1628389,7.57,42.72,1610612748,100,94,2020-08-05T00:55:01,5810000,36,19,left,Adebayo 4' Driving Bank Hook Shot (21 PTS) (Iguodala 3 AST),"[1628389, 2738]",1610612748,MIA,1,Adebayo,B. Adebayo,,,,,,,21.0,Made,4.07,,,,,,,,,Iguodala,2738.0,3.0,,,,,,,
587,PT06M11.00S,2020-08-05T00:53:36Z,4,REGULAR,2pt,jumpshot,turnaround,['pointsinthepaint'],202330,87.86,58.16,1610612738,100,94,2020-08-05T00:53:43,5820000,41,62,right,MISS Hayward 7' Turnaround Jump Shot,[202330],1610612738,BOS,1,Hayward,G. Hayward,,,,,,,0.0,Missed,7.43,,,,,,,,,,,,,,,,,,
588,PT06M06.00S,2020-08-05T00:53:41Z,4,REGULAR,rebound,defensive,,[],1628389,,,1610612748,100,94,2020-08-05T00:53:43,5830000,41,62,right,Adebayo REBOUND (Off:3 Def:7),[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,10.0,7.0,3.0,587.0,,,,,,,,,,,,,,
589,PT05M52.00S,2020-08-05T00:53:56Z,4,REGULAR,3pt,jumpshot,,[],1629130,16.25,93.7,1610612748,100,94,2020-08-05T00:54:38,5840000,-218,100,left,MISS Robinson 24' 3PT Jump Shot,[1629130],1610612748,MIA,1,Robinson,D. Robinson,,,,,,,0.0,Missed,23.98,,,,,,,,,,,,,,,,,,
590,PT05M50.00S,2020-08-05T00:53:58Z,4,REGULAR,rebound,offensive,,[],2738,,,1610612748,100,94,2020-08-05T00:54:38,5850000,-218,100,left,Iguodala REBOUND (Off:2 Def:5),[2738],1610612748,MIA,0,Iguodala,A. Iguodala,,,,,,,,,,7.0,5.0,2.0,589.0,,,,,,,,,,,,,,
591,PT05M50.00S,2020-08-05T00:54:01Z,4,REGULAR,2pt,dunk,tip,"['2ndchance', 'pointsinthepaint']",2738,5.0,50.0,1610612748,102,94,2020-08-05T00:54:48,5860000,0,-6,left,Iguodala 1' Tip Dunk Shot (5 PTS),[2738],1610612748,MIA,1,Iguodala,A. Iguodala,,,,,,,5.0,Made,0.6,,,,,,,,,,,,,,,,,,
592,PT05M27.00S,2020-08-05T00:54:21Z,4,REGULAR,2pt,layup,driving,['pointsinthepaint'],1627759,91.02,50.56,1610612738,102,94,2020-08-05T00:54:27,5870000,3,32,right,MISS Brown 3' Driving Layup,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,3.21,,,,,,,,,,,,,,,,,,
593,PT05M22.00S,2020-08-05T00:54:26Z,4,REGULAR,rebound,defensive,,[],1629639,,,1610612748,102,94,2020-08-05T00:54:27,5880000,3,32,right,Herro REBOUND (Off:0 Def:3),[1629639],1610612748,MIA,0,Herro,T. Herro,,,,,,,,,,3.0,3.0,0.0,592.0,,,,,,,,,,,,,,
594,PT05M11.00S,2020-08-05T00:54:35Z,4,REGULAR,2pt,jumpshot,drivingbank,['pointsinthepaint'],1629639,8.1,56.69,1610612748,102,94,2020-08-05T00:54:41,5890000,-33,24,left,MISS Herro 4' Driving Floating Bank Jump Shot,[1629639],1610612748,MIA,1,Herro,T. Herro,,,,,,,0.0,Missed,4.08,,,,,,,,,,,,,,,,,,
595,PT05M09.00S,2020-08-05T00:54:37Z,4,REGULAR,rebound,defensive,,[],1628369,,,1610612738,102,94,2020-08-05T00:54:41,5900000,-33,24,left,Tatum REBOUND (Off:1 Def:5),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,6.0,5.0,1.0,594.0,,,,,,,,,,,,,,
596,PT05M00.00S,2020-08-05T00:54:47Z,4,REGULAR,2pt,layup,driving,['pointsinthepaint'],1628369,93.12,45.66,1610612738,102,96,2020-08-05T00:54:52,5910000,-22,12,right,Tatum 3' Driving Layup (23 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,23.0,Made,2.51,,,,,,,,,,,,,,,,,,
598,PT04M45.00S,2020-08-05T00:55:02Z,4,REGULAR,turnover,badpass,,[],2738,,,1610612748,102,96,2020-08-05T00:55:08,5920000,137,209,left,Iguodala Bad Pass Turnover (P1.T11) Stolen,"[2738, 202954]",1610612748,MIA,0,Iguodala,A. Iguodala,,,,,,,,,,,,,,Wanamaker,202954.0,1.0,1.0,,,,,,,,,,
599,PT04M45.00S,2020-08-05T00:55:02Z,4,REGULAR,steal,,,[],202954,,,1610612738,102,96,0001-01-01T00:00:00,5930000,137,209,left, STEAL ,[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PT04M41.00S,2020-08-05T00:55:06Z,4,REGULAR,2pt,dunk,running,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628464,91.67,49.82,1610612738,102,98,2020-08-05T00:55:21,5940000,-1,26,right,Theis 3' Running Dunk (9 PTS) (Wanamaker 3 AST),"[1628464, 202954]",1610612738,BOS,1,Theis,D. Theis,,,,,,,9.0,Made,2.6,,,,,,,,,Wanamaker,202954.0,3.0,,,,,,,
602,PT04M19.00S,2020-08-05T00:55:27Z,4,REGULAR,3pt,jumpshot,,[],2738,29.52,70.17,1610612748,102,98,2020-08-05T00:55:33,5960000,-101,225,left,MISS Iguodala 25' 3PT Jump Shot,[2738],1610612748,MIA,1,Iguodala,A. Iguodala,,,,,,,0.0,Missed,24.66,,,,,,,,,,,,,,,,,,
603,PT04M16.00S,2020-08-05T00:55:30Z,4,REGULAR,rebound,defensive,,[],1628464,,,1610612738,102,98,2020-08-05T00:55:33,5970000,-101,225,left,Theis REBOUND (Off:1 Def:3),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,4.0,3.0,1.0,602.0,,,,,,,,,,,,,,
604,PT03M58.00S,2020-08-05T00:55:49Z,4,REGULAR,3pt,jumpshot,pullup,[],1628369,68.54,74.09,1610612738,102,98,2020-08-05T00:55:56,5980000,120,243,right,MISS Tatum 27' 3PT Pullup Jump Shot,[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,0.0,Missed,27.1,,,,,,,,,,,,,,,,,,
605,PT03M53.00S,2020-08-05T00:55:54Z,4,REGULAR,rebound,offensive,,[],1627759,,,1610612738,102,98,2020-08-05T01:01:23,5990000,120,243,right,Brown REBOUND (Off:3 Def:6),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,9.0,6.0,3.0,604.0,,,,,,,,,,,,,,
606,PT03M46.00S,2020-08-05T00:56:00Z,4,REGULAR,2pt,layup,driving,"['pointsinthepaint', '2ndchance']",202954,89.7,41.49,1610612738,102,98,2020-08-05T00:56:11,6000000,-43,44,right,MISS Wanamaker 6' Driving Layup,[202954],1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,0.0,Missed,6.15,,,,,,,,,,,,,,,,,,
607,PT03M46.00S,2020-08-05T00:56:00Z,4,REGULAR,rebound,offensive,,['team'],0,,,1610612738,102,98,2020-08-05T00:58:36,6010000,-43,44,right,Celtics Rebound,[],1610612738,BOS,0,,,,,,,,,,,,0.0,0.0,0.0,606.0,,,,,,,,,,,,,,
608,PT03M46.00S,2020-08-05T00:56:11Z,4,REGULAR,stoppage,outofbounds,,[],0,,,1610612738,102,98,2020-08-05T00:58:36,6020000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,PT03M46.00S,2020-08-05T00:56:40Z,4,REGULAR,timeout,challenge,,['team'],0,,,1610612738,102,98,2020-08-05T00:58:40,6030000,0,-80,,Celtics Timeout: Coach Challenge (Reg.4 Short 0),[],1610612738,BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,PT03M46.00S,2020-08-05T00:56:54Z,4,REGULAR,substitution,out,,[],1629639,,,1610612738,102,98,0001-01-01T00:00:00,6038750,0,-80,,SUB: Dragic FOR Herro,[1629639],1610612748,MIA,0,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,PT03M46.00S,2020-08-05T00:56:54Z,4,REGULAR,substitution,out,,[],202954,,,1610612738,102,98,0001-01-01T00:00:00,6039375,0,-80,,SUB: Walker FOR Wanamaker,[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,PT03M41.00S,2020-08-05T00:59:03Z,4,REGULAR,turnover,lostball,,[],1628464,,,1610612738,102,98,2020-08-05T01:03:42,6050000,-57,22,right,Theis Lost Ball Turnover (P1.T14) Stolen,"[1628464, 201609]",1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,Dragic,201609.0,2.0,1.0,,,,,,,,,,
612,PT03M41.00S,2020-08-05T00:59:03Z,4,REGULAR,steal,,,[],201609,,,1610612748,102,98,0001-01-01T00:00:00,6060000,-57,22,right, STEAL ,[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,PT03M24.00S,2020-08-05T00:59:23Z,4,REGULAR,2pt,layup,,"['pointsinthepaint', 'fromturnover']",1628389,6.92,53.99,1610612748,102,98,2020-08-05T01:04:41,6070000,-20,13,left,MISS Adebayo 2' Layup,[1628389],1610612748,MIA,1,Adebayo,B. Adebayo,,,,,,,0.0,Missed,2.39,,,,,,,,,,,,,,,,,,
616,PT03M22.00S,2020-08-05T00:59:25Z,4,REGULAR,rebound,offensive,,[],2738,,,1610612748,102,98,2020-08-05T01:04:41,6080000,-20,13,left,Iguodala REBOUND (Off:3 Def:5),[2738],1610612748,MIA,0,Iguodala,A. Iguodala,,,,,,,,,,8.0,5.0,3.0,615.0,,,,,,,,,,,,,,
617,PT03M19.00S,2020-08-05T00:59:32Z,4,REGULAR,3pt,jumpshot,,"['fromturnover', '2ndchance']",1629130,11.51,1.54,1610612748,105,98,2020-08-05T01:04:52,6090000,242,56,left,Robinson 25' 3PT Jump Shot (15 PTS) (Iguodala 4 AST),"[1629130, 2738]",1610612748,MIA,1,Robinson,D. Robinson,,,,,,,15.0,Made,24.84,,,,,,,,,Iguodala,2738.0,4.0,,,,,,,
619,PT03M03.00S,2020-08-05T00:59:42Z,4,REGULAR,3pt,jumpshot,,[],1627759,72.36,20.17,1610612738,105,98,2020-08-05T00:59:50,6110000,-149,207,right,MISS Brown 26' 3PT Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,25.5,,,,,,,,,,,,,,,,,,
620,PT02M58.00S,2020-08-05T00:59:46Z,4,REGULAR,rebound,defensive,,[],1628389,,,1610612748,105,98,0001-01-01T00:00:00,6120000,-149,207,right,Adebayo REBOUND (Off:3 Def:8),[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,11.0,8.0,3.0,619.0,,,,,,,,,,,,,,
621,PT02M48.00S,2020-08-05T00:59:59Z,4,REGULAR,turnover,traveling,,[],1629130,,,1610612748,105,98,2020-08-05T01:00:08,6130000,-185,105,left,Robinson Traveling Turnover (P2.T12),[1629130],1610612748,MIA,0,Robinson,D. Robinson,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
626,PT02M37.00S,2020-08-05T01:00:23Z,4,REGULAR,3pt,jumpshot,,['fromturnover'],1627759,94.56,95.9,1610612738,105,98,2020-08-05T01:00:30,6140000,230,-1,right,MISS Brown 3PT Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,23.0,,,,,,,,,,,,,,,,,,
627,PT02M33.00S,2020-08-05T01:00:27Z,4,REGULAR,rebound,defensive,,[],1628389,,,1610612748,105,98,2020-08-05T01:00:30,6150000,230,-1,right,Adebayo REBOUND (Off:3 Def:9),[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,12.0,9.0,3.0,626.0,,,,,,,,,,,,,,
628,PT02M12.00S,2020-08-05T01:00:49Z,4,REGULAR,3pt,jumpshot,,[],2738,6.18,95.44,1610612748,105,98,2020-08-05T01:00:56,6160000,-227,6,left,MISS Iguodala 3PT Jump Shot,[2738],1610612748,MIA,1,Iguodala,A. Iguodala,,,,,,,0.0,Missed,22.71,,,,,,,,,,,,,,,,,,
629,PT02M10.00S,2020-08-05T01:00:51Z,4,REGULAR,rebound,defensive,,[],1628464,,,1610612738,105,98,2020-08-05T01:00:56,6170000,-227,6,left,Theis REBOUND (Off:1 Def:4),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,5.0,4.0,1.0,628.0,,,,,,,,,,,,,,
630,PT02M04.00S,2020-08-05T01:01:00Z,4,REGULAR,turnover,traveling,,[],1628464,,,1610612738,105,98,2020-08-05T01:01:08,6180000,13,6,right,Theis Traveling Turnover (P2.T15),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
631,PT01M43.00S,2020-08-05T01:01:37Z,4,REGULAR,3pt,jumpshot,,['fromturnover'],1629130,3.89,3.75,1610612748,108,98,2020-08-05T01:01:44,6190000,231,-16,left,Robinson 3PT Jump Shot (18 PTS) (Dragic 3 AST),"[1629130, 201609]",1610612748,MIA,1,Robinson,D. Robinson,,,,,,,18.0,Made,23.16,,,,,,,,,Dragic,201609.0,3.0,,,,,,,
