actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
458,PT03M20.00S,2020-08-05T00:25:33Z,3,REGULAR,substitution,out,,[],1627759,,,1610612748,82,71,0001-01-01T00:00:00,4550000,0,-80,,SUB: Tatum FOR Brown,[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,PT03M20.00S,2020-08-05T00:26:35Z,3,REGULAR,freethrow,1of1,,['fromturnover'],1628389,,,1610612748,83,71,0001-01-01T00:00:00,4570000,250,-52,left,Adebayo Free Throw 1 of 1 (19 PTS),[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,19.0,Made,,,,,,,,,,,,,,,,,,,
461,PT02M58.00S,2020-08-05T00:27:01Z,3,REGULAR,foul,offensive,charge,['inpenalty'],1628369,,,1610612738,83,71,2020-08-05T00:27:06,4580000,106,223,right,Tatum Offensive Charge Foul (P4.PN),"[1628369, 1627884]",1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,Jones Jr.,1627884.0,4.0,0.0,1146.0
464,PT02M58.00S,2020-08-05T00:27:05Z,3,REGULAR,substitution,out,,[],1628389,,,1610612748,83,71,0001-01-01T00:00:00,4610000,0,-80,,SUB: Herro FOR Adebayo,[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,PT02M58.00S,2020-08-05T00:27:05Z,3,REGULAR,substitution,out,,[],1629130,,,1610612748,83,71,0001-01-01T00:00:00,4620000,0,-80,,SUB: Olynyk FOR Robinson,[1629130],1610612748,MIA,0,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,PT02M45.00S,2020-08-05T00:27:34Z,3,REGULAR,2pt,dunk,alleyoop,"['pointsinthepaint', 'fromturnover']",1627884,6.78,47.13,1610612748,83,71,2020-08-05T00:27:38,4650000,14,11,left,MISS Jones Jr. 2' Alley Oop Dunk,[1627884],1610612748,MIA,1,Jones Jr.,D. Jones Jr.,,,,,,,0.0,Missed,1.78,,,,,,,,,,,,,,,,,,
469,PT02M43.00S,2020-08-05T00:27:36Z,3,REGULAR,rebound,defensive,,[],202954,,,1610612738,83,71,2020-08-05T00:27:38,4660000,14,11,left,Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738,BOS,0,Wanamaker,B. Wanamaker,,,,,,,,,,1.0,1.0,0.0,468.0,,,,,,,,,,,,,,
470,PT02M37.00S,2020-08-05T00:27:44Z,3,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",1627884,,,1610612738,83,71,2020-08-05T00:27:59,4670000,37,32,right,Jones Jr. S.FOUL (P3.PN),"[1627884, 1628369]",1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,3.0,0.0,202026.0
472,PT02M37.00S,2020-08-05T00:28:12Z,3,REGULAR,freethrow,1of2,,[],1628369,,,1610612738,83,72,0001-01-01T00:00:00,4690000,-250,888,right,Tatum Free Throw 1 of 2 (16 PTS),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,16.0,Made,,,,,,,,,,,,,,,,,,,
473,PT02M37.00S,2020-08-05T00:28:59Z,3,REGULAR,stoppage,bloodrule,,[],0,,,1610612738,83,72,0001-01-01T00:00:00,4700000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,PT02M37.00S,2020-08-05T00:29:31Z,3,REGULAR,freethrow,2of2,,[],1628369,,,1610612738,83,73,0001-01-01T00:00:00,4710000,-250,888,right,Tatum Free Throw 2 of 2 (17 PTS),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,17.0,Made,,,,,,,,,,,,,,,,,,,
475,PT02M22.00S,2020-08-05T00:29:49Z,3,REGULAR,3pt,jumpshot,,[],201609,31.23,28.5,1610612748,83,73,2020-08-05T00:29:54,4720000,108,241,left,MISS Dragic 26' 3PT Jump Shot,[201609],1610612748,MIA,1,Dragic,G. Dragic,,,,,,,0.0,Missed,26.41,,,,,,,,,,,,,,,,,,
476,PT02M18.00S,2020-08-05T00:29:53Z,3,REGULAR,rebound,defensive,,[],1628400,,,1610612738,83,73,2020-08-05T00:29:54,4730000,108,241,left,Ojeleye REBOUND (Off:0 Def:3),[1628400],1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,3.0,3.0,0.0,475.0,,,,,,,,,,,,,,
477,PT02M13.00S,2020-08-05T00:29:59Z,3,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",1627884,,,1610612738,83,73,2020-08-05T00:30:07,4740000,69,112,right,Jones Jr. S.FOUL (P4.PN),"[1627884, 1628369]",1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,4.0,0.0,1146.0
479,PT02M13.00S,2020-08-05T00:30:22Z,3,REGULAR,freethrow,1of2,,[],1628369,,,1610612738,83,74,0001-01-01T00:00:00,4760000,-250,888,right,Tatum Free Throw 1 of 2 (18 PTS),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,18.0,Made,,,,,,,,,,,,,,,,,,,
480,PT02M13.00S,2020-08-05T00:30:37Z,3,REGULAR,freethrow,2of2,,[],1628369,,,1610612738,83,75,0001-01-01T00:00:00,4770000,-250,888,right,Tatum Free Throw 2 of 2 (19 PTS),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,19.0,Made,,,,,,,,,,,,,,,,,,,
