actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
81,PT04M37.00S,2020-09-24T01:00:18.1Z,1,REGULAR,3pt,Jump Shot,[],2738,5.338370565045992,4.235600490196079,1610612748,18,14,2020-09-24T01:00:22Z,780000,229.0,-2.0,1,left,A. Iguodala 3PT  (3 PTS) (D. Robinson 1 AST),"[2738, 1629130]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,22.88,Made,3.0,,,,D. Robinson,1629130.0,1.0,,,,,,,,,,,,
83,PT04M26.00S,2020-09-24T01:00:32.8Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612738,18,14,2020-09-24T01:00:41Z,800000,,,0,,D. Robinson shooting personal FOUL (2 PF) (Smart 2 FT),"[1629130, 203935]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,1162.0,,2.0,0.0,Smart,203935.0,,,
85,PT04M26.00S,2020-09-24T01:00:52.8Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,18,15,2020-09-24T01:00:52Z,820000,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
86,PT04M26.00S,2020-09-24T01:01:05.3Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,18,16,2020-09-24T01:01:05Z,830000,,,0,,M. Smart Free Throw 2 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
87,PT04M17.00S,2020-09-24T01:01:16.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.09395532194481,65.75520833333334,1610612748,18,16,2020-09-24T01:01:22Z,840000,-79.0,240.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M15.00S,2020-09-24T01:01:18.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,16,2020-09-24T01:01:36Z,850000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,87.0,,,,1.0,1.0,0.0,,,,,,,,,
89,PT04M10.00S,2020-09-24T01:01:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202689,93.51182654402102,47.372855392156865,1610612738,18,18,2020-09-24T01:01:32Z,860000,-13.0,8.0,1,right,K. Walker running Layup (9 PTS),[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,1.92,Made,9.0,,,,,,,,,,,,,,,,,,
90,PT04M04.00S,2020-09-24T01:01:38.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,18,18,2020-09-24T01:01:38Z,870000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,out,[],202710,,,1610612748,18,18,2020-09-24T01:04:56Z,880000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,18,18,2020-09-24T01:04:56Z,890000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,out,[],203109,,,1610612748,18,18,2020-09-24T01:04:56Z,900000,,,0,,SUB out: J. Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,out,[],203935,,,1610612748,18,18,2020-09-24T01:04:56Z,910000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,in,[],203524,,,1610612748,18,18,2020-09-24T01:04:56Z,920000,,,0,,SUB in: S. Hill,[203524],1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,in,[],201609,,,1610612748,18,18,2020-09-24T01:04:56Z,930000,,,0,,SUB in: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,in,[],1628389,,,1610612748,18,18,2020-09-24T01:04:56Z,940000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M04.00S,2020-09-24T01:04:09.3Z,1,REGULAR,substitution,in,[],202954,,,1610612748,18,18,2020-09-24T01:04:56Z,950000,,,0,,SUB in: B. Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M56.00S,2020-09-24T01:05:23.9Z,1,REGULAR,2pt,Jump Shot,[],1629639,17.16491458607096,33.40226715686275,1610612748,20,18,2020-09-24T01:06:05Z,960000,83.0,109.0,1,left,T. Herro 14' step back Jump Shot (2 PTS),[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,14.13,Made,2.0,,,,,,,,,,,,,,,,,,
100,PT03M40.00S,2020-09-24T01:05:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,20,18,2020-09-24T01:05:43Z,970000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M32.00S,2020-09-24T01:06:09.6Z,1,REGULAR,foul,personal,[],203524,,,1610612738,20,18,2020-09-24T01:06:17Z,980000,,,0,,S. Hill personal FOUL (1 PF),"[203524, 202689]",1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,1162.0,,1.0,0.0,Walker,202689.0,,,
103,PT03M21.00S,2020-09-24T01:06:38.9Z,1,REGULAR,3pt,Jump Shot,[],202330,67.09921156373193,66.49050245098039,1610612738,20,18,2020-09-24T01:06:42Z,1000000,82.0,257.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.5,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M20.00S,2020-09-24T01:06:39.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,20,18,2020-09-24T01:06:45Z,1010000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,103.0,,,,2.0,2.0,0.0,,,,,,,,,
105,PT03M11.00S,2020-09-24T01:06:51.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,20,18,2020-09-24T01:06:51Z,1020000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M02.00S,2020-09-24T01:07:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.017739816031538,35.853247549019606,1610612748,22,18,2020-09-24T01:07:15Z,1030000,71.0,32.0,1,left,T. Herro 8' driving floating bank Jump Shot (4 PTS) (G. Dragic 3 AST),"[1629639, 201609]",1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,8.02,Made,4.0,,,,G. Dragic,201609.0,3.0,,,,,,,,,,,,
108,PT02M51.00S,2020-09-24T01:07:22.8Z,1,REGULAR,3pt,Jump Shot,[],202330,90.3580814717477,3.010110294117647,1610612738,22,18,2020-09-24T01:07:25Z,1050000,-235.0,38.0,1,right,MISS G. Hayward 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.89,Missed,,,,,,,,,,,,,,,,,,,
109,PT02M50.00S,2020-09-24T01:07:23.8Z,1,REGULAR,rebound,defensive,[],201609,,,1610612748,22,18,2020-09-24T01:07:29Z,1060000,,,0,,G. Dragic REBOUND (Off:0 Def:2),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,108.0,,,,2.0,2.0,0.0,,,,,,,,,
110,PT02M43.00S,2020-09-24T01:07:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201609,6.389618922470433,49.333639705882355,1610612748,22,18,2020-09-24T01:07:35Z,1070000,3.0,8.0,1,left,MISS G. Dragic driving finger roll Layup,[201609],1610612748.0,MIA,driving finger roll,,,Dragic,G. Dragic,,,,,1.35,Missed,,,,,,,,,,,,,,,,,,,
111,PT02M42.00S,2020-09-24T01:07:31.9Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,22,18,2020-09-24T01:07:39Z,1080000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,110.0,,,,1.0,1.0,0.0,,,,,,,,,
112,PT02M35.00S,2020-09-24T01:07:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.72339027595268,52.51991421568627,1610612738,22,18,2020-09-24T01:08:05Z,1090000,13.0,16.0,1,right,MISS R. Williams III Layup,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.48,Missed,,,,,,,,,,,,,,,,,,,
113,PT02M35.00S,2020-09-24T01:07:40.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,22,18,2020-09-24T01:08:05Z,1100000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,112.0,,,,1.0,0.0,1.0,,,,,,,,,
114,PT02M34.00S,2020-09-24T01:07:42.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,95.0,50.0,1610612738,22,18,2020-09-24T01:07:42Z,1110000,0.0,-6.0,1,right,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
115,PT02M34.00S,2020-09-24T01:07:43.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,22,18,2020-09-24T01:07:43Z,1120000,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,114.0,,,,2.0,0.0,2.0,,,,,,,,,
116,PT02M34.00S,2020-09-24T01:07:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,93.77463863337714,52.029718137254896,1610612738,22,20,2020-09-24T01:15:04Z,1130000,10.0,6.0,1,right,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,1.53,Made,2.0,,,,,,,,,,,,,,,,,,
119,PT02M34.00S,2020-09-24T01:08:09.0Z,1,REGULAR,foul,personal,['1freethrow'],203524,,,1610612738,22,20,2020-09-24T01:08:20Z,1160000,,,0,,S. Hill shooting personal FOUL (2 PF) (Williams III 1 FT),"[203524, 1629057]",1610612748.0,MIA,shooting,,,Hill,S. Hill,,,,,,,,,,,,,,,,,1162.0,,2.0,0.0,Williams III,1629057.0,,,
117,PT02M34.00S,2020-09-24T01:08:11.4Z,1,REGULAR,substitution,out,[],202689,,,1610612738,22,20,2020-09-24T01:10:33Z,1175000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M34.00S,2020-09-24T01:08:11.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,22,20,2020-09-24T01:10:33Z,1177500,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M34.00S,2020-09-24T01:08:20.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629057,,,1610612738,22,20,2020-09-24T01:08:27Z,1180000,,,0,,MISS R. Williams III Free Throw 1 of 1,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,,
122,PT02M34.00S,2020-09-24T01:08:20.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,22,20,2020-09-24T01:14:34Z,1190000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,121.0,,,,3.0,3.0,0.0,,,,,,,,,
123,PT02M23.00S,2020-09-24T01:08:23.6Z,1,REGULAR,turnover,out-of-bounds,[],201609,,,1610612748,22,20,2020-09-24T01:08:31Z,1200000,,,0,,G. Dragic bad pass out-of-bounds TURNOVER (1 TOV),[201609],1610612748.0,MIA,bad pass,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,1146.0,1.0,,,,,,,
124,PT02M09.00S,2020-09-24T01:08:38.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,77.21747700394218,8.64736519607843,1610612738,22,20,2020-09-24T01:08:42Z,1210000,-207.0,162.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M07.00S,2020-09-24T01:08:40.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,22,20,2020-09-24T01:08:42Z,1220000,,,0,,B. Adebayo REBOUND (Off:0 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,124.0,,,,4.0,4.0,0.0,,,,,,,,,
126,PT01M57.00S,2020-09-24T01:08:50.9Z,1,REGULAR,3pt,Jump Shot,[],2738,30.436925098554536,70.16697303921569,1610612748,22,20,2020-09-24T01:08:54Z,1230000,-101.0,234.0,1,left,MISS A. Iguodala 25' 3PT,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
127,PT01M56.00S,2020-09-24T01:08:51.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,22,20,2020-09-24T01:08:57Z,1240000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,126.0,,,,1.0,1.0,0.0,,,,,,,,,
128,PT01M43.00S,2020-09-24T01:09:08.4Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,22,20,2020-09-24T01:09:13Z,1250000,,,0,,J. Tatum offensive FOUL (1 PF),"[1628369, 203524]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,1162.0,,1.0,0.0,Hill,203524.0,,,
130,PT01M43.00S,2020-09-24T01:09:08.4Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,22,20,2020-09-24T01:09:08Z,1270000,,,0,,J. Tatum offensive foul TURNOVER (2 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,1162.0,2.0,,,,,,,
131,PT01M34.00S,2020-09-24T01:09:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,22,20,2020-09-24T01:09:37Z,1280000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M30.00S,2020-09-24T01:09:59.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201609,31.61957950065703,29.725796568627448,1610612748,22,20,2020-09-24T01:10:02Z,1290000,101.0,245.0,1,left,MISS G. Dragic 27' pullup 3PT,[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M29.00S,2020-09-24T01:10:00.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,20,2020-09-24T01:10:02Z,1300000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,132.0,,,,3.0,3.0,0.0,,,,,,,,,
134,PT01M20.00S,2020-09-24T01:10:11.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201609,,,1610612738,22,20,2020-09-24T01:10:19Z,1310000,,,0,,G. Dragic shooting personal FOUL (1 PF),"[201609, 1627759]",1610612748.0,MIA,shooting,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,202027.0,,1.0,0.0,Brown,1627759.0,,,
136,PT01M20.00S,2020-09-24T01:10:32.1Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,22,20,2020-09-24T01:10:32Z,1330000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M20.00S,2020-09-24T01:10:32.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,22,20,2020-09-24T01:10:32Z,1340000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,
138,PT01M20.00S,2020-09-24T01:10:46.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,22,21,2020-09-24T01:10:46Z,1350000,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
139,PT01M08.00S,2020-09-24T01:11:04.2Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612748,22,21,2020-09-24T01:11:11Z,1360000,,,0,,G. Hayward shooting personal FOUL (1 PF) (Adebayo 2 FT),"[202330, 1628389]",1610612738.0,BOS,shooting,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,202027.0,,1.0,0.0,Adebayo,1628389.0,,,
141,PT01M08.00S,2020-09-24T01:11:27.4Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,23,21,2020-09-24T01:11:27Z,1380000,,,0,,B. Adebayo Free Throw 1 of 2 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
142,PT01M08.00S,2020-09-24T01:11:28.2Z,1,REGULAR,substitution,out,[],203524,,,1610612748,23,21,2020-09-24T01:11:36Z,1390000,,,0,,SUB out: S. Hill,[203524],1610612748.0,MIA,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M08.00S,2020-09-24T01:11:28.2Z,1,REGULAR,substitution,out,[],1627759,,,1610612748,23,21,2020-09-24T01:11:36Z,1400000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M08.00S,2020-09-24T01:11:28.2Z,1,REGULAR,substitution,in,[],203109,,,1610612748,23,21,2020-09-24T01:11:36Z,1410000,,,0,,SUB in: J. Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M08.00S,2020-09-24T01:11:28.2Z,1,REGULAR,substitution,in,[],1628400,,,1610612748,23,21,2020-09-24T01:11:36Z,1420000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M08.00S,2020-09-24T01:11:54.6Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,24,21,2020-09-24T01:11:54Z,1430000,,,0,,B. Adebayo Free Throw 2 of 2 (6 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
147,PT00M46.90S,2020-09-24T01:12:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,86.15308804204993,37.07873774509804,1610612738,24,21,2020-09-24T01:12:21Z,1440000,-65.0,78.0,1,right,MISS J. Tatum 10' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,10.53,Missed,,,,,,,,,,,,,,,,,,,
149,PT00M46.20S,2020-09-24T01:12:18.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,24,21,2020-09-24T01:12:21Z,1460000,,,0,,R. Williams III REBOUND (Off:3 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,147.0,,,,3.0,0.0,3.0,,,,,,,,,
150,PT00M46.20S,2020-09-24T01:12:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,95.22010512483574,48.84344362745098,1610612738,24,23,2020-09-24T01:12:25Z,1470000,-6.0,-8.0,1,right,R. Williams III putback Layup (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,0.62,Made,4.0,,,,,,,,,,,,,,,,,,
151,PT00M24.40S,2020-09-24T01:12:45.6Z,1,REGULAR,3pt,Jump Shot,[],203109,33.85348226018397,47.372855392156865,1610612748,24,23,2020-09-24T01:12:48Z,1480000,13.0,266.0,1,left,MISS J. Crowder 27' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,27.15,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M23.30S,2020-09-24T01:12:46.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,23,2020-09-24T01:12:51Z,1490000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,151.0,,,,4.0,4.0,0.0,,,,,,,,,
153,PT00M01.50S,2020-09-24T01:13:08.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.85216819973719,9.137561274509803,1610612738,24,23,2020-09-24T01:13:12Z,1500000,-204.0,184.0,1,right,MISS J. Tatum 27' bank 3PT,[1628369],1610612738.0,BOS,bank,,,Tatum,J. Tatum,,,,,27.86,Missed,,,,,,,,,,,,,,,,,,,
154,PT00M00.50S,2020-09-24T01:13:09.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,24,23,2020-09-24T01:13:19Z,1510000,,,0,,B. Adebayo REBOUND (Off:0 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,153.0,,,,5.0,5.0,0.0,,,,,,,,,
155,PT00M00.00S,2020-09-24T01:13:20.1Z,1,REGULAR,period,end,[],0,,,1610612748,24,23,2020-09-24T01:13:20Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2020-09-24T01:16:03.2Z,2,REGULAR,substitution,out,['startperiod'],2738,,,1610612748,24,23,2020-09-24T01:16:39Z,1530000,,,0,,SUB out: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2020-09-24T01:16:03.2Z,2,REGULAR,substitution,in,['startperiod'],202710,,,1610612748,24,23,2020-09-24T01:16:39Z,1540000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2020-09-24T01:16:49.2Z,2,REGULAR,period,start,[],0,,,1610612738,24,23,2020-09-24T01:16:49Z,1550000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M46.00S,2020-09-24T01:17:04.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,24,23,2020-09-24T01:17:04Z,1560000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M41.00S,2020-09-24T01:17:25.9Z,2,REGULAR,turnover,palming,[],202954,,,1610612738,24,23,2020-09-24T01:17:38Z,1570000,,,0,,B. Wanamaker palming TURNOVER (1 TOV),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,202027.0,1.0,,,,,,,
161,PT11M24.00S,2020-09-24T01:17:55.1Z,2,REGULAR,turnover,lost ball,[],1628389,,,1610612748,24,23,2020-09-24T01:18:01Z,1580000,,,0,,B. Adebayo lost ball TURNOVER (1 TOV),"[1628389, 1629057]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,1.0,,,,,Williams III,1629057.0,
162,PT11M24.00S,2020-09-24T01:17:55.1Z,2,REGULAR,steal,,[],1629057,,,1610612738,24,23,2020-09-24T01:17:57Z,1590000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M19.00S,2020-09-24T01:17:59.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202954,94.69448094612353,52.51991421568627,1610612738,24,25,2020-09-24T01:18:06Z,1600000,13.0,-3.0,1,right,B. Wanamaker running Layup (2 PTS) (R. Williams III 1 AST),"[202954, 1629057]",1610612738.0,BOS,running,,,Wanamaker,B. Wanamaker,,,,,1.29,Made,2.0,,,,R. Williams III,1629057.0,1.0,,,,,,,,,,,,
165,PT11M05.00S,2020-09-24T01:18:13.7Z,2,REGULAR,2pt,Jump Shot,[],1629639,20.18725361366623,25.06893382352941,1610612748,26,25,2020-09-24T01:18:16Z,1620000,125.0,137.0,1,left,T. Herro 18' pullup Jump Shot (6 PTS) (B. Adebayo 2 AST),"[1629639, 1628389]",1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,18.96,Made,6.0,,,,B. Adebayo,1628389.0,2.0,,,,,,,,,,,,
167,PT10M53.00S,2020-09-24T01:18:26.0Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,26,25,2020-09-24T01:18:30Z,1640000,,,0,,J. Tatum bad pass TURNOVER (3 TOV),"[1628369, 201609]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,3.0,,,,,Dragic,201609.0,
168,PT10M53.00S,2020-09-24T01:18:26.0Z,2,REGULAR,steal,,[],201609,,,1610612748,26,25,2020-09-24T01:18:27Z,1650000,,,0,,G. Dragic STEAL (1 STL),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M50.00S,2020-09-24T01:18:30.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak', 'defensivegoaltending']",201609,7.966491458607096,47.86305147058824,1610612748,28,25,2020-09-24T01:18:41Z,1660000,11.0,22.0,1,left,G. Dragic running Layup (4 PTS),[201609],1610612748.0,MIA,running,,,Dragic,G. Dragic,,,,,2.99,Made,4.0,,,,,,,,,,,,,,,,,,
