actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
88,PT03M59.00S,2019-12-13T01:32:38.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612755,20,15,2019-12-13T01:32:38Z,880000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M57.00S,2019-12-13T01:32:55.6Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203124,72.48685939553219,80.4610906862745,1610612755,20,18,2019-12-13T01:33:01Z,890000,152.0,206.0,1,right,K. O'Quinn 26' 3PT  (3 PTS) (B. Simmons 2 AST),"[203124, 1627732]",1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,,,26.07,Made,,,,,3.0,B. Simmons,1627732.0,2.0,,,,,,,,,
91,PT03M45.00S,2019-12-13T01:33:10.7Z,1,REGULAR,3pt,jumpshot,[],202689,32.276609724047304,30.46109068627451,1610612738,23,18,2019-12-13T01:33:50Z,910000,98.0,251.0,1,left,K. Walker 27' 3PT  (11 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,27.44,Made,,,,,11.0,,,,,,,,,,,,
92,PT03M45.00S,2019-12-13T01:33:13.6Z,1,REGULAR,foul,personal,['1freethrow'],1629680,,,1610612738,23,18,2019-12-13T01:33:34Z,920000,,,0,,M. Thybulle FOUL personal (1 PF) (Walker 1freethrow),"[1629680, 202689]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,202041.0,,,,,,,,,,,,1.0,0.0,Walker,202689.0,,,,,
94,PT03M45.00S,2019-12-13T01:33:25.3Z,1,REGULAR,substitution,out,[],202699,,,1610612738,23,18,2019-12-13T01:33:33Z,940000,,,0,,substitution out Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M45.00S,2019-12-13T01:33:25.3Z,1,REGULAR,substitution,in,[],203118,,,1610612738,23,18,2019-12-13T01:33:33Z,950000,,,0,,substitution in Scott,[203118],1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M45.00S,2019-12-13T01:33:46.4Z,1,REGULAR,freethrow,1of1,[],202689,,,1610612738,24,18,2019-12-13T01:33:46Z,960000,,,0,,K. Walker freethrow 1of1 (12 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,
97,PT03M36.00S,2019-12-13T01:34:03.4Z,1,REGULAR,foul,offensive,[],203124,,,1610612755,24,18,2019-12-13T01:34:14Z,970000,,,0,,K. O'Quinn FOUL offensive (1 PF),"[203124, 1628369]",1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,2534.0,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,
99,PT03M36.00S,2019-12-13T01:34:03.4Z,1,REGULAR,turnover,offensivefoul,[],203124,,,1610612755,24,18,2019-12-13T01:34:03Z,990000,,,0,,K. O'Quinn TURNOVER offensivefoul (1 TOV),[203124],1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,2534.0,1.0,,,,,,,,,,,,,,,,,,,
100,PT03M36.00S,2019-12-13T01:34:21.4Z,1,REGULAR,substitution,out,[],203124,,,1610612738,24,18,2019-12-13T01:34:35Z,1000000,,,0,,substitution out O'Quinn,[203124],1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M36.00S,2019-12-13T01:34:21.4Z,1,REGULAR,substitution,in,[],203954,,,1610612738,24,18,2019-12-13T01:34:35Z,1010000,,,0,,substitution in Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M26.00S,2019-12-13T01:34:45.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628400,20.844283837056505,8.15716911764706,1610612738,24,18,2019-12-13T01:34:51Z,1020000,209.0,143.0,1,left,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,25.68,Missed,,,,,,,,,,,,,,,,,
103,PT03M24.00S,2019-12-13T01:34:47.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,24,18,2019-12-13T01:34:51Z,1030000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,102.0,2.0,2.0,0.0,,,,,,,,,,,,,
104,PT03M20.00S,2019-12-13T01:34:54.8Z,1,REGULAR,foul,offensive,[],203516,,,1610612755,24,18,2019-12-13T01:35:20Z,1040000,,,0,,J. Ennis III FOUL offensive (2 PF),"[203516, 1628400]",1610612755.0,PHI,charge,,,Ennis III,J. Ennis III,,,,,202041.0,,,,,,,,,,,,2.0,0.0,Ojeleye,1628400.0,,,,,
106,PT03M20.00S,2019-12-13T01:34:54.8Z,1,REGULAR,turnover,offensivefoul,[],203516,,,1610612755,24,18,2019-12-13T01:34:54Z,1060000,,,0,,J. Ennis III TURNOVER offensivefoul (1 TOV),[203516],1610612755.0,PHI,,,,Ennis III,J. Ennis III,,,,,202041.0,1.0,,,,,,,,,,,,,,,,,,,
107,PT03M20.00S,2019-12-13T01:35:07.0Z,1,REGULAR,substitution,out,[],203516,,,1610612738,24,18,2019-12-13T01:35:10Z,1070000,,,0,,substitution out Ennis III,[203516],1610612755.0,PHI,,,,Ennis III,J. Ennis III,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M20.00S,2019-12-13T01:35:07.0Z,1,REGULAR,substitution,in,[],1627788,,,1610612738,24,18,2019-12-13T01:35:10Z,1080000,,,0,,substitution in Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M10.00S,2019-12-13T01:35:42.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628369,6.915243101182654,42.96109068627451,1610612738,26,18,2019-12-13T01:35:46Z,1090000,35.0,13.0,1,left,J. Tatum layup (4 PTS),[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,,,3.95,Made,,,,,4.0,,,,,,,,,,,,
110,PT02M59.00S,2019-12-13T01:35:53.7Z,1,REGULAR,3pt,jumpshot,[],1629680,86.81011826544021,94.921875,1610612755,26,21,2019-12-13T01:35:58Z,1100000,225.0,71.0,1,right,M. Thybulle 24' 3PT  (3 PTS) (B. Simmons 3 AST),"[1629680, 1627732]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,23.74,Made,,,,,3.0,B. Simmons,1627732.0,3.0,,,,,,,,,
112,PT02M45.00S,2019-12-13T01:36:07.5Z,1,REGULAR,3pt,jumpshot,[],1628369,33.459264126149804,49.08854166666667,1610612738,26,21,2019-12-13T01:36:31Z,1120000,5.0,262.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,26.75,Missed,,,,,,,,,,,,,,,,,
113,PT02M44.00S,2019-12-13T01:36:08.5Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,26,21,2019-12-13T01:36:16Z,1130000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,
114,PT02M36.00S,2019-12-13T01:36:17.4Z,1,REGULAR,3pt,jumpshot,[],203954,67.7562417871222,45.41207107843137,1610612755,26,24,2019-12-13T01:36:23Z,1140000,-23.0,251.0,1,right,J. Embiid 26' 3PT  (7 PTS) (B. Simmons 4 AST),"[203954, 1627732]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,25.71,Made,,,,,7.0,B. Simmons,1627732.0,4.0,,,,,,,,,
116,PT02M23.00S,2019-12-13T01:36:29.2Z,1,REGULAR,3pt,jumpshot,[],202689,33.327858081471746,47.61795343137255,1610612738,26,24,2019-12-13T01:36:48Z,1160000,12.0,261.0,1,left,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,26.66,Missed,,,,,,,,,,,,,,,,,
117,PT02M21.00S,2019-12-13T01:36:31.2Z,1,REGULAR,rebound,defensive,[],1627788,,,1610612755,26,24,2019-12-13T01:36:34Z,1170000,,,0,,F. Korkmaz REBOUND (Off:0 Def:2),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,116.0,2.0,2.0,0.0,,,,,,,,,,,,,
118,PT02M15.00S,2019-12-13T01:36:38.1Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627732,90.3580814717477,64.28462009803921,1610612755,26,26,2019-12-13T01:36:43Z,1180000,71.0,38.0,1,right,B. Simmons 8' hook (4 PTS),[1627732],1610612755.0,PHI,turnaroundbank,,,Simmons,B. Simmons,,,,,,,8.37,Made,,,,,4.0,,,,,,,,,,,,
119,PT01M51.00S,2019-12-13T01:37:03.5Z,1,REGULAR,foul,personal,['2freethrow'],1627732,,,1610612738,26,26,2019-12-13T01:37:13Z,1190000,,,0,,B. Simmons FOUL personal (1 PF) (Tatum 2freethrow),"[1627732, 1628369]",1610612755.0,PHI,shooting,,,Simmons,B. Simmons,,,,,202041.0,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,
121,PT01M51.00S,2019-12-13T01:37:25.8Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,27,26,2019-12-13T01:37:25Z,1210000,,,0,,J. Tatum freethrow 1of2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
122,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,out,[],202689,,,1610612738,27,26,2019-12-13T01:37:50Z,1220000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612738,27,26,2019-12-13T01:37:50Z,1230000,,,0,,substitution out Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,out,[],1629680,,,1610612738,27,26,2019-12-13T01:37:50Z,1240000,,,0,,substitution out Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,in,[],202330,,,1610612738,27,26,2019-12-13T01:37:50Z,1250000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,in,[],1627759,,,1610612738,27,26,2019-12-13T01:37:50Z,1260000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M51.00S,2019-12-13T01:37:26.6Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,27,26,2019-12-13T01:37:50Z,1270000,,,0,,substitution in Richardson,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M51.00S,2019-12-13T01:37:51.9Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,28,26,2019-12-13T01:37:51Z,1280000,,,0,,J. Tatum freethrow 2of2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,
129,PT01M44.00S,2019-12-13T01:37:59.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,28,26,2019-12-13T01:38:23Z,1290000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 1626196]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2534.0,,,,,,,,,,,,1.0,0.0,Richardson,1626196.0,,,,,
131,PT01M44.00S,2019-12-13T01:38:09.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,28,26,2019-12-13T01:38:11Z,1310000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M44.00S,2019-12-13T01:38:09.0Z,1,REGULAR,substitution,in,[],202954,,,1610612755,28,26,2019-12-13T01:38:11Z,1320000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M33.00S,2019-12-13T01:38:30.6Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627732,90.27595269382391,53.45818014705882,1610612755,28,26,2019-12-13T01:38:58Z,1330000,17.0,39.0,1,right,MISS B. Simmons hook,[1627732],1610612755.0,PHI,driving,,,Simmons,B. Simmons,,,,,,,4.77,Missed,,,,,,,,,,,,,,,,,
134,PT01M32.00S,2019-12-13T01:38:31.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,28,26,2019-12-13T01:38:45Z,1340000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,
135,PT01M32.00S,2019-12-13T01:38:36.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628400,,,1610612755,28,26,2019-12-13T01:38:50Z,1350000,,,0,,S. Ojeleye FOUL personal (1 PF) (Embiid inpenalty),"[1628400, 203954]",1610612738.0,BOS,looseball,,,Ojeleye,S. Ojeleye,,,,,2534.0,,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,
137,PT01M32.00S,2019-12-13T01:39:02.5Z,1,REGULAR,freethrow,1of2,['2ndchance'],203954,,,1610612755,28,27,2019-12-13T01:39:02Z,1370000,,,0,,J. Embiid freethrow 1of2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,
138,PT01M32.00S,2019-12-13T01:39:17.2Z,1,REGULAR,freethrow,2of2,['2ndchance'],203954,,,1610612755,28,28,2019-12-13T01:39:17Z,1380000,,,0,,J. Embiid freethrow 2of2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,
139,PT01M20.00S,2019-12-13T01:39:32.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,28,28,2019-12-13T01:39:32Z,1390000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M12.00S,2019-12-13T01:40:01.0Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,8.015768725361367,54.25857843137255,1610612738,30,28,2019-12-13T01:40:27Z,1400000,-21.0,23.0,1,left,E. Kanter hook (4 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,3.54,Made,,,,,4.0,,,,,,,,,,,,
141,PT00M52.80S,2019-12-13T01:40:21.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203954,93.11760840998686,53.255208333333336,1610612755,30,28,2019-12-13T01:41:03Z,1410000,16.0,12.0,1,right,MISS J. Embiid layup,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,2.41,Missed,,,,,,,,,,,,,,,,,
142,PT00M50.50S,2019-12-13T01:40:23.3Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,30,28,2019-12-13T01:40:26Z,1420000,,,0,,E. Kanter REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,
143,PT00M46.90S,2019-12-13T01:40:28.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627759,6.389618922470433,42.470894607843135,1610612738,32,28,2019-12-13T01:40:33Z,1430000,38.0,8.0,1,left,J. Brown layup (6 PTS),[1627759],1610612738.0,BOS,runningfingerroll,,,Brown,J. Brown,,,,,,,3.98,Made,,,,,6.0,,,,,,,,,,,,
144,PT00M30.90S,2019-12-13T01:40:47.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626196,80.3712220762155,35.853247549019606,1610612755,32,28,2019-12-13T01:41:20Z,1440000,-71.0,132.0,1,right,MISS J. Richardson 15' jumpshot,[1626196],1610612755.0,PHI,pullup,,,Richardson,J. Richardson,,,,,,,15.46,Missed,,,,,,,,,,,,,,,,,
145,PT00M27.60S,2019-12-13T01:40:50.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,32,28,2019-12-13T01:40:57Z,1450000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,
146,PT00M27.60S,2019-12-13T01:40:53.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,32,28,2019-12-13T01:40:53Z,1460000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M06.70S,2019-12-13T01:41:28.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,5.995400788436268,42.470894607843135,1610612738,32,28,2019-12-13T01:41:37Z,1470000,38.0,4.0,1,left,MISS G. Hayward layup,[202330],1610612738.0,BOS,drivingfingerroll,,,Hayward,G. Hayward,,,,,,,3.88,Missed,,,,,,,,,,,,,,,,,
148,PT00M05.40S,2019-12-13T01:41:29.4Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,32,28,2019-12-13T01:41:37Z,1480000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,147.0,2.0,1.0,1.0,,,,,,,,,,,,,
149,PT00M05.40S,2019-12-13T01:41:33.3Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",202683,5.0,50.0,1610612738,34,28,2019-12-13T01:41:45Z,1490000,0.0,-6.0,1,left,E. Kanter layup (6 PTS),[202683],1610612738.0,BOS,tip,,,Kanter,E. Kanter,,,,,,,0.0,Made,,,,,6.0,,,,,,,,,,,,
150,PT00M00.00S,2019-12-13T01:41:39.6Z,1,REGULAR,period,end,[],0,,,1610612755,34,28,2019-12-13T01:41:39Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2019-12-13T01:42:46.5Z,2,REGULAR,substitution,out,['startperiod'],1627732,,,1610612755,34,28,2019-12-13T01:45:20Z,1510000,,,0,,substitution out Simmons,[1627732],1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2019-12-13T01:42:46.5Z,2,REGULAR,substitution,out,['startperiod'],1627788,,,1610612755,34,28,2019-12-13T01:45:20Z,1520000,,,0,,substitution out Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2019-12-13T01:42:46.5Z,2,REGULAR,substitution,in,['startperiod'],203526,,,1610612755,34,28,2019-12-13T01:45:20Z,1530000,,,0,,substitution in Neto,[203526],1610612755.0,PHI,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2019-12-13T01:42:46.5Z,2,REGULAR,substitution,in,['startperiod'],1629680,,,1610612755,34,28,2019-12-13T01:45:20Z,1540000,,,0,,substitution in Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2019-12-13T01:45:20.3Z,2,REGULAR,period,start,[],0,,,1610612738,34,28,2019-12-13T01:45:21Z,1550000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M47.00S,2019-12-13T01:45:33.5Z,2,REGULAR,2pt,hook,['pointsinthepaint'],202683,6.652431011826544,37.8140318627451,1610612738,34,28,2019-12-13T01:45:44Z,1560000,61.0,10.0,1,left,MISS E. Kanter 6' hook Blocked,"[202683, 1626196]",1610612738.0,BOS,driving,,,Kanter,E. Kanter,,,,,,,6.28,Missed,,,,,,,,,,,,,,,Richardson,1626196.0,
157,PT11M47.00S,2019-12-13T01:45:33.5Z,2,REGULAR,block,,[],1626196,,,1610612738,34,28,2019-12-13T01:45:37Z,1570000,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT11M46.00S,2019-12-13T01:45:34.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,34,28,2019-12-13T01:45:44Z,1580000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,
159,PT11M46.00S,2019-12-13T01:45:40.0Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,34,28,2019-12-13T01:45:40Z,1590000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M43.00S,2019-12-13T01:45:51.5Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",202330,7.703679369250986,35.36305147058824,1610612738,36,28,2019-12-13T01:46:06Z,1600000,73.0,20.0,1,left,G. Hayward 8' jumpshot (4 PTS) (B. Wanamaker 1 AST),"[202330, 202954]",1610612738.0,BOS,drivingfloating,,,Hayward,G. Hayward,,,,,,,7.75,Made,,,,,4.0,B. Wanamaker,202954.0,1.0,,,,,,,,,
162,PT11M33.00S,2019-12-13T01:46:04.6Z,2,REGULAR,foul,personal,[],202683,,,1610612755,36,28,2019-12-13T01:46:29Z,1620000,,,0,,E. Kanter FOUL personal (1 PF),"[202683, 1626196]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,202041.0,,,,,,,,,,,,1.0,0.0,Richardson,1626196.0,,,,,
164,PT11M31.00S,2019-12-13T01:46:22.6Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1626196,92.59198423127464,48.59834558823529,1610612755,36,30,2019-12-13T01:46:31Z,1640000,-7.0,17.0,1,right,J. Richardson layup (2 PTS) (R. Neto 1 AST),"[1626196, 203526]",1610612755.0,PHI,cuttingfingerroll,,,Richardson,J. Richardson,,,,,,,2.37,Made,,,,,2.0,R. Neto,203526.0,1.0,,,,,,,,,
166,PT11M09.00S,2019-12-13T01:46:43.4Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,9.411957950065702,38.30422794117647,1610612738,38,30,2019-12-13T01:46:57Z,1660000,58.0,36.0,1,left,B. Wanamaker 7' jumpshot (2 PTS) (S. Ojeleye 1 AST),"[202954, 1628400]",1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,,,7.17,Made,,,,,2.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,
168,PT10M46.00S,2019-12-13T01:47:07.5Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203954,85.75886990801577,42.470894607843135,1610612755,38,30,2019-12-13T01:47:13Z,1680000,-38.0,81.0,1,right,MISS J. Embiid 9' jumpshot,[203954],1610612755.0,PHI,turnaroundfadeaway,,,Embiid,J. Embiid,,,,,,,9.47,Missed,,,,,,,,,,,,,,,,,
169,PT10M43.00S,2019-12-13T01:47:10.5Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,38,30,2019-12-13T01:47:13Z,1690000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,,,,,
170,PT10M38.00S,2019-12-13T01:47:18.5Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,38,30,2019-12-13T01:47:18Z,1700000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT10M31.00S,2019-12-13T01:47:37.8Z,2,REGULAR,turnover,lostball,[],1627759,,,1610612738,38,30,2019-12-13T01:49:15Z,1710000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1629680]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,1.0,,,,,,,,,,,,,,,Thybulle,1629680.0,,,
172,PT10M31.00S,2019-12-13T01:47:37.8Z,2,REGULAR,steal,,[],1629680,,,1610612755,38,30,2019-12-13T01:50:23Z,1720000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M21.00S,2019-12-13T01:47:46.8Z,2,REGULAR,3pt,jumpshot,['fromturnover'],203954,66.5735873850197,44.676776960784316,1610612755,38,30,2019-12-13T01:47:53Z,1730000,-27.0,262.0,1,right,MISS J. Embiid 27' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,26.85,Missed,,,,,,,,,,,,,,,,,
174,PT10M20.00S,2019-12-13T01:47:47.8Z,2,REGULAR,rebound,offensive,[],1629680,,,1610612755,38,30,2019-12-13T01:47:53Z,1740000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,173.0,1.0,0.0,1.0,,,,,,,,,,,,,
175,PT10M16.00S,2019-12-13T01:47:52.4Z,2,REGULAR,3pt,jumpshot,"['fromturnover', '2ndchance']",203118,71.04139290407359,23.353247549019606,1610612755,38,33,2019-12-13T01:47:56Z,1750000,-133.0,220.0,1,right,M. Scott 26' 3PT  (9 PTS) (M. Thybulle 1 AST),"[203118, 1629680]",1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,26.16,Made,,,,,9.0,M. Thybulle,1629680.0,1.0,,,,,,,,,
177,PT09M56.00S,2019-12-13T01:48:11.9Z,2,REGULAR,2pt,jumpshot,[],202330,20.45006570302234,40.26501225490196,1610612738,38,33,2019-12-13T01:48:22Z,1770000,49.0,140.0,1,left,MISS G. Hayward 15' jumpshot Blocked,"[202330, 1626196]",1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,,,15.31,Missed,,,,,,,,,,,,,,,Richardson,1626196.0,
178,PT09M56.00S,2019-12-13T01:48:11.9Z,2,REGULAR,block,,[],1626196,,,1610612738,38,33,2019-12-13T01:54:55Z,1780000,,,0,,J. Richardson BLOCK (2 BLK),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
