actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
20,PT09M50.00S,2019-12-13T01:18:12.4Z,1,REGULAR,3pt,jumpshot,[],202689,33.327858081471746,52.76501225490197,1610612738,5,3,2019-12-13T01:18:16Z,200000,-14.0,261.0,1,left,K. Walker 27' 3PT  (3 PTS) (G. Hayward 1 AST),"[202689, 202330]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,26.67,Made,,,,,3.0,G. Hayward,202330.0,1.0,,,,,,,,,
22,PT09M33.00S,2019-12-13T01:18:33.0Z,1,REGULAR,foul,personal,[],1628464,,,1610612755,5,3,2019-12-13T01:18:41Z,220000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 203954]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,202041.0,,,,,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,
24,PT09M21.00S,2019-12-13T01:19:03.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203954,94.03745072273325,50.55912990196079,1610612755,5,5,2019-12-13T01:19:07Z,240000,3.0,4.0,1,right,J. Embiid layup (2 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,0.94,Made,,,,,2.0,,,,,,,,,,,,
25,PT09M08.00S,2019-12-13T01:19:16.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,12.746386333771353,36.986825980392155,1610612738,7,5,2019-12-13T01:19:23Z,250000,65.0,67.0,1,left,J. Brown 10' jumpshot (2 PTS),[1627759],1610612738.0,BOS,turnaroundfadeaway,,,Brown,J. Brown,,,,,,,9.77,Made,,,,,2.0,,,,,,,,,,,,
26,PT08M54.00S,2019-12-13T01:19:38.1Z,1,REGULAR,turnover,badpass,[],1627732,,,1610612755,7,5,2019-12-13T01:19:44Z,260000,,,0,,B. Simmons TURNOVER badpass (2 TOV) Stolen,"[1627732, 202330]",1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,2.0,,,,,,,,,,,,,,,Hayward,202330.0,,,
27,PT08M54.00S,2019-12-13T01:19:38.1Z,1,REGULAR,steal,,[],202330,,,1610612738,7,5,2019-12-13T01:19:57Z,270000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M50.00S,2019-12-13T01:19:41.5Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202689,6.783837056504599,46.63756127450981,1610612738,9,5,2019-12-13T01:20:27Z,280000,17.0,11.0,1,left,K. Walker layup (5 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,,,2.38,Made,,,,,5.0,,,,,,,,,,,,
29,PT08M34.00S,2019-12-13T01:19:56.6Z,1,REGULAR,2pt,jumpshot,[],203954,80.89684625492772,28.500306372549016,1610612755,9,7,2019-12-13T01:20:05Z,290000,-107.0,127.0,1,right,J. Embiid 17' jumpshot (4 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,17.07,Made,,,,,4.0,T. Harris,202699.0,1.0,,,,,,,,,
31,PT08M18.00S,2019-12-13T01:20:12.8Z,1,REGULAR,3pt,jumpshot,[],1628369,26.62614980289093,81.44148284313727,1610612738,9,7,2019-12-13T01:20:19Z,310000,-157.0,198.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,25.7,Missed,,,,,,,,,,,,,,,,,
32,PT08M17.00S,2019-12-13T01:20:13.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,9,7,2019-12-13T01:20:19Z,320000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M01.00S,2019-12-13T01:20:31.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627732,93.11760840998686,48.84344362745098,1610612755,9,9,2019-12-13T01:21:11Z,330000,-6.0,12.0,1,right,B. Simmons layup (2 PTS) (J. Embiid 1 AST),"[1627732, 203954]",1610612755.0,PHI,,,,Simmons,B. Simmons,,,,,,,1.86,Made,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,,,,
35,PT07M43.00S,2019-12-13T01:20:48.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,15.193823915900131,65.75520833333334,1610612738,11,9,2019-12-13T01:20:54Z,350000,-79.0,90.0,1,left,G. Hayward 12' jumpshot (2 PTS),[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,,,12.4,Made,,,,,2.0,,,,,,,,,,,,
