actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M09.00S,2020-09-27T23:47:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.40932982917214,59.872855392156865,1610612738,2,0,2020-09-27T23:47:23Z,160000,49.0,28.0,1,right,MISS J. Tatum 6' Layup Blocked,"[1628369, 203109]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,5.99,Missed,,,,,,,,,,,Crowder,203109.0,,,,,,
17,PT11M09.00S,2020-09-27T23:47:17.0Z,1,REGULAR,block,,[],203109,,,1610612738,2,0,2020-09-27T23:47:19Z,170000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M08.00S,2020-09-27T23:47:18.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,0,2020-09-27T23:47:23Z,180000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
19,PT11M08.00S,2020-09-27T23:47:21.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,0,2020-09-27T23:47:21Z,190000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M57.00S,2020-09-27T23:47:43.6Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,2,0,2020-09-27T23:47:51Z,200000,,,0,,J. Brown bad pass TURNOVER (1 TOV),"[1627759, 1628389]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,
21,PT10M57.00S,2020-09-27T23:47:43.6Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,0,2020-09-27T23:57:13Z,210000,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
64,PT10M55.00S,2020-09-27T23:47:45.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629130,17.345597897503286,38.32720588235294,1610612748,2,0,2020-09-27T23:54:01Z,215000,58.0,111.0,1,left,MISS D. Robinson 13' Jump Shot,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,12.99,Missed,,,,,,,,,,,,,,,,,,
65,PT10M54.00S,2020-09-27T23:47:46.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2020-09-27T23:54:01Z,217500,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT10M50.00S,2020-09-27T23:47:54.7Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,2,0,2020-09-27T23:51:43Z,235000,,,0,,J. Brown bad pass TURNOVER (2 TOV),"[1627759, 202710]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,2.0,Butler,202710.0,,,
48,PT10M50.00S,2020-09-27T23:47:54.7Z,1,REGULAR,steal,,[],202710,,,1610612748,2,0,2020-09-27T23:51:29Z,237500,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M49.00S,2020-09-27T23:48:01.7Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612748,2,0,2020-09-27T23:48:12Z,240000,,,0,,K. Walker personal FOUL (1 PF) (Adebayo 2 FT),"[202689, 1628389]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,2003.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
26,PT10M49.00S,2020-09-27T23:48:20.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,3,0,2020-09-27T23:51:29Z,260000,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
27,PT10M49.00S,2020-09-27T23:48:41.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,4,0,2020-09-27T23:51:29Z,270000,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
28,PT10M35.00S,2020-09-27T23:48:56.9Z,1,REGULAR,3pt,jumpshot,[],1627759,82.60512483574244,93.94148284313727,1610612738,4,0,2020-09-27T23:49:01Z,280000,220.0,111.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.87,Missed,,,,,,,,,,,,,,,,,,
29,PT10M34.00S,2020-09-27T23:48:57.9Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,4,0,2020-09-27T23:49:03Z,290000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT10M23.00S,2020-09-27T23:49:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,17.427726675427067,61.588541666666664,1610612748,6,0,2020-09-27T23:49:11Z,300000,-58.0,111.0,1,left,J. Butler 13' Jump Shot (2 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,13.04,Made,,,,,,,,,,2.0,,,,,,,,
31,PT10M02.00S,2020-09-27T23:49:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,46.88265931372549,1610612738,6,2,2020-09-27T23:49:32Z,310000,-16.0,7.0,1,right,J. Brown Layup (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.02,Made,,,,,,,,,,2.0,,,,,,K. Walker,202689.0,1.0
33,PT09M57.00S,2020-09-27T23:49:36.8Z,1,REGULAR,foul,offensive,[],1628389,,,1610612748,6,2,2020-09-27T23:49:42Z,330000,,,0,,B. Adebayo offensive FOUL (1 PF),"[1628389, 1628464]",1610612748.0,MIA,charge,,,Adebayo,B. Adebayo,,,,,,,,,,,201640.0,1.0,0.0,Theis,1628464.0,,,,,,,,,
35,PT09M57.00S,2020-09-27T23:49:36.8Z,1,REGULAR,turnover,offensive foul,[],1628389,,,1610612748,6,2,2020-09-27T23:49:36Z,350000,,,0,,B. Adebayo offensive foul TURNOVER (1 TOV),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,201640.0,,,,,,,,1.0,,,,,
36,PT09M47.00S,2020-09-27T23:50:01.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,73.01248357424441,83.89246323529412,1610612738,6,2,2020-09-27T23:50:08Z,360000,169.0,201.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.73,Missed,,,,,,,,,,,,,,,,,,
37,PT09M46.00S,2020-09-27T23:50:02.7Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,6,2,2020-09-27T23:50:10Z,370000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M33.00S,2020-09-27T23:50:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.799605781865965,40.510110294117645,1610612748,6,2,2020-09-27T23:51:48Z,380000,47.0,87.0,1,left,MISS B. Adebayo 10' Jump Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,10.36,Missed,,,,,,,,,,,,,,,,,,
39,PT09M32.00S,2020-09-27T23:50:16.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2020-09-27T23:50:22Z,390000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT09M24.00S,2020-09-27T23:50:24.1Z,1,REGULAR,3pt,jumpshot,[],202689,74.45795006570303,12.323835784313726,1610612738,6,2,2020-09-27T23:50:28Z,400000,-188.0,188.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.98,Missed,,,,,,,,,,,,,,,,,,
41,PT09M23.00S,2020-09-27T23:50:25.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,6,2,2020-09-27T23:50:30Z,410000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT09M14.00S,2020-09-27T23:50:35.3Z,1,REGULAR,3pt,jumpshot,[],1629130,31.61957950065703,51.049325980392155,1610612748,6,2,2020-09-27T23:50:42Z,420000,-5.0,245.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,
43,PT09M13.00S,2020-09-27T23:50:36.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,6,2,2020-09-27T23:50:42Z,430000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M53.00S,2020-09-27T23:50:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612738,6,2,2020-09-27T23:51:06Z,440000,,,0,,D. Robinson personal FOUL (1 PF) (Walker 2 FT),"[1629130, 202689]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,2003.0,1.0,0.0,Walker,202689.0,,,,,,,,,
46,PT08M53.00S,2020-09-27T23:51:23.0Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,6,3,2020-09-27T23:51:23Z,460000,,,0,,K. Walker Free Throw 1 of 2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
49,PT08M53.00S,2020-09-27T23:51:40.6Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,6,4,2020-09-27T23:51:40Z,470000,,,0,,K. Walker Free Throw 2 of 2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
50,PT08M46.00S,2020-09-27T23:51:48.1Z,1,REGULAR,3pt,jumpshot,[],202710,23.866622864651774,87.07873774509804,1610612748,6,4,2020-09-27T23:51:55Z,480000,-185.0,172.0,1,left,MISS J. Butler 26' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,
51,PT08M45.00S,2020-09-27T23:51:49.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,4,2020-09-27T23:51:55Z,490000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT08M38.00S,2020-09-27T23:51:56.4Z,1,REGULAR,3pt,jumpshot,[],1628369,68.01905387647832,65.01991421568627,1610612738,6,4,2020-09-27T23:51:59Z,500000,75.0,248.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,
53,PT08M37.00S,2020-09-27T23:51:57.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,4,2020-09-27T23:52:02Z,510000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT08M28.00S,2020-09-27T23:52:06.2Z,1,REGULAR,3pt,jumpshot,[],203109,7.046649145860711,3.2552083333333335,1610612748,6,4,2020-09-27T23:52:10Z,520000,234.0,14.0,1,left,MISS J. Crowder 23' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,
55,PT08M28.00S,2020-09-27T23:52:06.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,4,2020-09-27T23:52:10Z,530000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT08M15.00S,2020-09-27T23:52:18.5Z,1,REGULAR,3pt,jumpshot,[],203935,67.09921156373193,66.00030637254902,1610612738,6,4,2020-09-27T23:53:45Z,540000,80.0,257.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,27.42,Missed,,,,,,,,,,,,,,,,,,
57,PT08M14.00S,2020-09-27T23:52:20.8Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,6,4,2020-09-27T23:52:20Z,550000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT08M05.00S,2020-09-27T23:52:31.4Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612748,6,4,2020-09-27T23:52:42Z,560000,,,0,,K. Walker personal FOUL (2 PF) (Dragic 2 FT),"[202689, 201609]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,2003.0,2.0,0.0,Dragic,201609.0,,,,,,,,,
60,PT08M05.00S,2020-09-27T23:53:00.1Z,1,REGULAR,freethrow,1 of 2,[],201609,,,1610612748,7,4,2020-09-27T23:53:00Z,580000,,,0,,G. Dragic Free Throw 1 of 2 (1 PTS),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
61,PT08M05.00S,2020-09-27T23:53:18.1Z,1,REGULAR,freethrow,2 of 2,[],201609,,,1610612748,8,4,2020-09-27T23:53:18Z,590000,,,0,,G. Dragic Free Throw 2 of 2 (2 PTS),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
62,PT07M59.00S,2020-09-27T23:53:28.4Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,8,4,2020-09-27T23:53:41Z,600000,,,0,,M. Smart out-of-bounds TURNOVER (1 TOV),[203935],1610612738.0,BOS,step,,,Smart,M. Smart,,,,,,,,,,,201640.0,,,,,,,,1.0,,,,,
63,PT07M51.00S,2020-09-27T23:53:50.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,9.674770039421814,29.725796568627448,1610612748,10,4,2020-09-27T23:54:00Z,610000,101.0,38.0,1,left,J. Butler 11' Jump Shot (4 PTS),[202710],1610612748.0,MIA,drivingfloating,,,Butler,J. Butler,,,,,11.05,Made,,,,,,,,,,4.0,,,,,,,,
66,PT07M32.00S,2020-09-27T23:54:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,85.10183968462549,61.09834558823529,1610612738,10,6,2020-09-27T23:54:16Z,620000,55.0,88.0,1,right,K. Walker 11' Jump Shot (4 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,drivingfloatingbank,,,Walker,K. Walker,,,,,10.83,Made,,,,,,,,,,4.0,,,,,,J. Tatum,1628369.0,1.0
68,PT07M24.00S,2020-09-27T23:54:19.9Z,1,REGULAR,turnover,traveling,[],201609,,,1610612748,10,6,2020-09-27T23:54:24Z,640000,,,0,,G. Dragic traveling TURNOVER (1 TOV),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,201640.0,,,,,,,,1.0,,,,,
69,PT07M14.00S,2020-09-27T23:54:41.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1627759,90.48948751642575,3.7454044117647056,1610612738,10,9,2020-09-27T23:54:50Z,650000,-231.0,37.0,1,right,J. Brown 24' 3PT  (5 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.52,Made,,,,,,,,,,5.0,,,,,,J. Tatum,1628369.0,2.0
71,PT06M59.00S,2020-09-27T23:54:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,15.325229960578188,34.627757352941174,1610612748,12,9,2020-09-27T23:54:59Z,670000,77.0,92.0,1,left,J. Butler 12' Jump Shot (6 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,12.39,Made,,,,,,,,,,6.0,,,,,,,,
72,PT06M49.00S,2020-09-27T23:55:06.0Z,1,REGULAR,3pt,jumpshot,[],203935,71.43561103810775,16.490502450980394,1610612738,12,12,2020-09-27T23:55:09Z,680000,-168.0,216.0,1,right,M. Smart 28' 3PT  (3 PTS) (K. Walker 2 AST),"[203935, 202689]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.77,Made,,,,,,,,,,3.0,,,,,,K. Walker,202689.0,2.0
74,PT06M26.00S,2020-09-27T23:55:28.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,6.389618922470433,51.53952205882353,1610612748,14,12,2020-09-27T23:55:31Z,700000,-8.0,8.0,1,left,B. Adebayo DUNK (6 PTS) (G. Dragic 1 AST),"[1628389, 201609]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,1.52,Made,,,,,,,,,,6.0,,,,,,G. Dragic,201609.0,1.0
76,PT06M09.00S,2020-09-27T23:55:46.0Z,1,REGULAR,3pt,jumpshot,[],203935,91.80354796320631,4.235600490196079,1610612738,14,15,2020-09-27T23:55:49Z,720000,-229.0,25.0,1,right,M. Smart 23' 3PT  (6 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.08,Made,,,,,,,,,,6.0,,,,,,J. Tatum,1628369.0,3.0
78,PT06M02.00S,2020-09-27T23:55:56.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,15,2020-09-27T23:55:56Z,740000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,14,15,2020-09-27T23:59:37Z,750000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,out,[],201609,,,1610612748,14,15,2020-09-27T23:59:37Z,760000,,,0,,SUB out: G. Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,14,15,2020-09-27T23:59:37Z,770000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612748,14,15,2020-09-27T23:59:37Z,780000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,14,15,2020-09-27T23:59:37Z,790000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,in,[],2738,,,1610612748,14,15,2020-09-27T23:59:37Z,800000,,,0,,SUB in: A. Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,in,[],202330,,,1610612748,14,15,2020-09-27T23:59:37Z,810000,,,0,,SUB in: G. Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M02.00S,2020-09-27T23:58:51.7Z,1,REGULAR,substitution,in,[],202683,,,1610612748,14,15,2020-09-27T23:59:37Z,820000,,,0,,SUB in: E. Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M53.00S,2020-09-27T23:59:49.7Z,1,REGULAR,3pt,jumpshot,[],203109,8.09789750328515,2.2748161764705883,1610612748,17,15,2020-09-27T23:59:54Z,830000,239.0,24.0,1,left,J. Crowder 24' 3PT  (3 PTS) (J. Butler 1 AST),"[203109, 202710]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,24.04,Made,,,,,,,,,,3.0,,,,,,J. Butler,202710.0,1.0
89,PT05M38.00S,2020-09-28T00:00:04.1Z,1,REGULAR,3pt,jumpshot,[],203935,71.30420499342969,75.55912990196079,1610612738,17,15,2020-09-28T00:00:09Z,850000,128.0,217.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,
90,PT05M37.00S,2020-09-28T00:00:05.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,17,15,2020-09-28T00:00:09Z,860000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,
91,PT05M37.00S,2020-09-28T00:00:09.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,17,15,2020-09-28T00:00:09Z,870000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M24.00S,2020-09-28T00:00:35.9Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,67.36202365308804,66.00030637254902,1610612738,17,15,2020-09-28T00:00:40Z,880000,80.0,254.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,27.18,Missed,,,,,,,,,,,,,,,,,,
93,PT05M23.00S,2020-09-28T00:00:36.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,17,15,2020-09-28T00:00:43Z,890000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,,,
94,PT05M09.00S,2020-09-28T00:00:50.5Z,1,REGULAR,2pt,Jump Shot,[],1629639,27.54599211563732,66.49050245098039,1610612748,19,15,2020-09-28T00:00:53Z,900000,-82.0,206.0,1,left,T. Herro 23' Jump Shot (2 PTS),[1629639],1610612748.0,MIA,stepback,,,Herro,T. Herro,,,,,22.74,Made,,,,,,,,,,2.0,,,,,,,,
95,PT04M48.00S,2020-09-28T00:01:11.2Z,1,REGULAR,3pt,jumpshot,[],202330,66.70499342969777,58.40226715686274,1610612738,19,15,2020-09-28T00:01:16Z,910000,42.0,260.0,1,right,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.93,Missed,,,,,,,,,,,,,,,,,,
96,PT04M47.00S,2020-09-28T00:01:12.2Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,19,15,2020-09-28T00:01:16Z,920000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,95.0,1.0,0.0,1.0,,,,,,,,,,,,,,
97,PT04M47.00S,2020-09-28T00:01:17.6Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612738,19,15,2020-09-28T00:01:35Z,930000,,,0,,J. Crowder personal FOUL (1 PF) (Kanter 2 FT),"[203109, 202683]",1610612748.0,MIA,shooting,,,Crowder,J. Crowder,,,,,,,,,,,2003.0,1.0,0.0,Kanter,202683.0,,,,,,,,,
99,PT04M47.00S,2020-09-28T00:01:46.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202683,,,1610612738,19,16,2020-09-28T00:01:46Z,950000,,,0,,E. Kanter Free Throw 1 of 2 (1 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
100,PT04M47.00S,2020-09-28T00:01:46.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202683,,,1610612738,19,16,2020-09-28T00:02:05Z,960000,,,0,,MISS E. Kanter Free Throw 2 of 2,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Missed,,,,,,,,,,,,,,,,,,
101,PT04M47.00S,2020-09-28T00:01:46.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,19,16,2020-09-28T00:02:09Z,970000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,100.0,2.0,2.0,0.0,,,,,,,,,,,,,,
102,PT04M25.00S,2020-09-28T00:02:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,12.697109067017081,62.32383578431373,1610612748,19,16,2020-09-28T00:02:27Z,980000,-62.0,67.0,1,left,MISS J. Butler 10' Jump Shot,[202710],1610612748.0,MIA,turnaroundfadeaway,,,Butler,J. Butler,,,,,9.51,Missed,,,,,,,,,,,,,,,,,,
103,PT04M24.00S,2020-09-28T00:02:25.0Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,19,16,2020-09-28T00:02:30Z,990000,,,0,,E. Kanter REBOUND (Off:1 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,102.0,2.0,1.0,1.0,,,,,,,,,,,,,,
104,PT04M14.00S,2020-09-28T00:02:43.1Z,1,REGULAR,foul,personal,[],2738,,,1610612738,19,16,2020-09-28T00:02:48Z,1000000,,,0,,A. Iguodala personal FOUL (1 PF),"[2738, 202330]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,1830.0,1.0,0.0,Hayward,202330.0,,,,,,,,,
106,PT04M14.00S,2020-09-28T00:02:50.0Z,1,REGULAR,substitution,out,[],202689,,,1610612738,19,16,2020-09-28T00:02:53Z,1020000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
