actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-09-15T22:45:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-15T22:45:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-15T22:45:37.3Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612748,0,0,2020-09-15T22:45:37Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Theis: Tip to J. Crowder,"[203109, 1628389, 1628464]",1610612748.0,MIA,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Adebayo,1628389.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2020-09-15T22:45:57.5Z,1,REGULAR,3pt,jumpshot,[],1629130,34.247700394218136,24.57873774509804,1610612748,0,0,2020-09-15T22:46:03Z,70000,127.0,269.0,1,left,MISS D. Robinson 30' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,30.29,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2020-09-15T22:46:01.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,0,2020-09-15T22:46:03Z,80000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M15.00S,2020-09-15T22:46:19.4Z,1,REGULAR,3pt,jumpshot,[],203935,82.7365308804205,95.90226715686273,1610612738,3,0,2020-09-15T22:46:24Z,90000,230.0,110.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.68,Made,,,,,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
11,PT10M54.00S,2020-09-15T22:46:39.4Z,1,REGULAR,3pt,jumpshot,[],203109,33.722076215505915,37.32383578431372,1610612748,3,0,2020-09-15T22:46:44Z,110000,63.0,264.0,1,left,MISS J. Crowder 28' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,27.73,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2020-09-15T22:46:43.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,0,2020-09-15T22:46:44Z,120000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M35.00S,2020-09-15T22:46:58.1Z,1,REGULAR,2pt,jumpshot,[],203935,93.51182654402102,8.892463235294118,1610612738,5,0,2020-09-15T22:47:11Z,130000,-206.0,8.0,1,right,M. Smart 21' jumpshot (5 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,20.6,Made,,,,,5.0,J. Brown,1627759.0,2.0,,,,,,,,,,,
15,PT10M11.00S,2020-09-15T22:47:24.2Z,1,REGULAR,2pt,jumpshot,[],202710,19.004599211563733,28.010110294117645,1610612748,5,0,2020-09-15T22:48:28Z,150000,110.0,126.0,1,left,MISS J. Butler 17' jumpshot,[202710],1610612748.0,MIA,stepback,,,Butler,J. Butler,,,,,17.15,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M09.00S,2020-09-15T22:47:26.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,0,2020-09-15T22:48:28Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M01.00S,2020-09-15T22:47:33.3Z,1,REGULAR,3pt,jumpshot,[],1628369,66.70499342969777,32.666973039215684,1610612738,8,0,2020-09-15T22:49:30Z,170000,-87.0,260.0,1,right,J. Tatum 28' 3PT  (3 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,27.98,Made,,,,,3.0,,,,,,,,,,,,,,
18,PT09M50.00S,2020-09-15T22:47:43.3Z,1,REGULAR,3pt,jumpshot,[],201609,21.76412614980289,6.931678921568627,1610612748,8,3,2020-09-15T22:47:48Z,180000,215.0,152.0,1,left,G. Dragic 27' 3PT  (3 PTS),[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,26.68,Made,,,,,3.0,,,,,,,,,,,,,,
19,PT09M25.00S,2020-09-15T22:48:11.8Z,1,REGULAR,foul,personal,[],1629130,,,1610612738,8,3,2020-09-15T22:48:18Z,190000,,,0,,D. Robinson FOUL personal (1 PF),"[1629130, 203935]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,1830.0,1.0,0.0,Smart,203935.0,,,,,,
21,PT09M16.00S,2020-09-15T22:48:38.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,81.2910643889619,48.353247549019606,1610612738,8,3,2020-09-15T22:48:46Z,210000,-8.0,123.0,1,right,MISS J. Brown 13' jumpshot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,12.92,Missed,,,,,,,,,,,,,,,,,,,
