actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-08-21T22:45:19.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-21T22:45:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-08-21T22:45:22.9Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-08-21T22:45:23Z,40000,,,0,,Jump Ball D. Theis vs. J. Embiid: Tip to K. Walker,"[202689, 1628464, 203954]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2020-08-21T22:45:29.6Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,92.72339027595268,53.50030637254902,1610612738,0,2,2020-08-21T22:45:35Z,70000,18.0,16.0,1,right,J. Brown dunk (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.76,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2020-08-21T22:45:47.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202699,15.062417871222076,51.53952205882353,1610612755,0,2,2020-08-21T22:45:51Z,90000,-8.0,89.0,1,left,MISS T. Harris 9' jumpshot,[202699],1610612755.0,PHI,drivingfloating,,,Harris,T. Harris,,,,,9.49,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2020-08-21T22:45:50.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,2,2020-08-21T22:45:51Z,100000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M18.00S,2020-08-21T22:46:01.8Z,1,REGULAR,turnover,outofbounds,[],1628464,,,1610612738,0,2,2020-08-21T22:46:11Z,110000,,,0,,D. Theis TURNOVER outofbounds (1 TOV),[1628464],1610612738.0,BOS,badpass,,,Theis,D. Theis,,,,,,,,,,,,,,,2882.0,1.0,,,,,,,,,
12,PT11M00.00S,2020-08-21T22:46:31.3Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1626196,28.07161629434954,19.186580882352942,1610612755,0,2,2020-08-21T22:46:36Z,120000,154.0,211.0,1,left,MISS J. Richardson 27' 3PT,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2020-08-21T22:46:34.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,2,2020-08-21T22:46:36Z,130000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M54.00S,2020-08-21T22:46:37.4Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1627759,91.5407358738502,51.53952205882353,1610612738,0,4,2020-08-21T22:46:44Z,140000,8.0,27.0,1,right,J. Brown dunk (4 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.34,Made,4.0,K. Walker,202689.0,2.0,,,,,,,,,,,,,,,
16,PT10M38.00S,2020-08-21T22:46:55.4Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,0,4,2020-08-21T22:47:05Z,160000,,,0,,J. Tatum FOUL personal (1 PF) (Horford 2freethrow),"[1628369, 201143]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2882.0,,1.0,0.0,Horford,201143.0,,,,,
18,PT10M38.00S,2020-08-21T22:47:25.8Z,1,REGULAR,freethrow,1of2,[],201143,,,1610612755,1,4,2020-08-21T22:47:25Z,180000,,,0,,A. Horford freethrow 1of2 (1 PTS),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2020-08-21T22:47:44.6Z,1,REGULAR,freethrow,2of2,[],201143,,,1610612755,2,4,2020-08-21T22:47:44Z,190000,,,0,,A. Horford freethrow 2of2 (2 PTS),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2020-08-21T22:48:04.1Z,1,REGULAR,foul,personal,['3freethrow'],201143,,,1610612738,2,4,2020-08-21T22:48:17Z,200000,,,0,,A. Horford FOUL personal (1 PF) (Brown 3freethrow),"[201143, 1627759]",1610612755.0,PHI,shooting,,,Horford,A. Horford,,,,,,,,,,,,,,,2004.0,,1.0,0.0,Brown,1627759.0,,,,,
22,PT10M24.00S,2020-08-21T22:48:27.8Z,1,REGULAR,freethrow,1of3,[],1627759,,,1610612738,2,5,2020-08-21T22:48:27Z,220000,,,0,,J. Brown freethrow 1of3 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
23,PT10M24.00S,2020-08-21T22:48:39.6Z,1,REGULAR,freethrow,2of3,[],1627759,,,1610612738,2,6,2020-08-21T22:48:39Z,230000,,,0,,J. Brown freethrow 2of3 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2020-08-21T22:48:53.7Z,1,REGULAR,freethrow,3of3,[],1627759,,,1610612738,2,7,2020-08-21T22:48:53Z,240000,,,0,,J. Brown freethrow 3of3 (7 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2020-08-21T22:49:06.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202699,6.783837056504599,54.23560049019608,1610612755,4,7,2020-08-21T22:49:10Z,250000,-21.0,11.0,1,left,T. Harris layup (2 PTS) (J. Richardson 1 AST),"[202699, 1626196]",1610612755.0,PHI,alleyoop,,,Harris,T. Harris,,,,,2.7,Made,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,,
27,PT10M00.00S,2020-08-21T22:49:20.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.19776609724047,53.255208333333336,1610612738,4,9,2020-08-21T22:50:29Z,270000,16.0,21.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,drivingfingerroll,,,Walker,K. Walker,,,,,3.09,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M52.00S,2020-08-21T22:49:31.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626196,7.178055190538765,54.48069852941176,1610612755,4,9,2020-08-21T22:49:43Z,280000,-22.0,15.0,1,left,MISS J. Richardson layup Blocked,"[1626196, 1628369]",1610612755.0,PHI,driving,,,Richardson,J. Richardson,,,,,3.04,Missed,,,,,,,,,,,,,,,Tatum,1628369.0,,,
29,PT09M52.00S,2020-08-21T22:49:31.2Z,1,REGULAR,block,,[],1628369,,,1610612755,4,9,2020-08-21T22:49:34Z,290000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2020-08-21T22:49:32.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,4,9,2020-08-21T22:49:43Z,300000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,
31,PT09M51.00S,2020-08-21T22:49:36.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,4,9,2020-08-21T22:49:36Z,310000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M39.00S,2020-08-21T22:49:53.7Z,1,REGULAR,3pt,jumpshot,[],1628464,69.59592641261499,25.80422794117647,1610612738,4,9,2020-08-21T22:49:58Z,320000,-121.0,233.0,1,right,MISS D. Theis 27' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M35.00S,2020-08-21T22:49:57.7Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612755,4,9,2020-08-21T22:49:58Z,330000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT09M30.00S,2020-08-21T22:50:02.3Z,1,REGULAR,3pt,jumpshot,[],201143,9.674770039421814,4.725796568627451,1610612755,4,9,2020-08-21T22:50:21Z,340000,226.0,38.0,1,left,MISS A. Horford 23' 3PT,[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,23.06,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M30.00S,2020-08-21T22:50:02.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,4,9,2020-08-21T22:50:21Z,350000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,
36,PT09M28.00S,2020-08-21T22:50:07.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",203954,7.178055190538765,53.990502450980394,1610612755,6,9,2020-08-21T22:51:55Z,360000,-20.0,15.0,1,left,J. Embiid layup (2 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,2.86,Made,2.0,,,,,,,,,,,,,,,,,,
