actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-08-11T21:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-11T21:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2020-08-11T21:10:30.9Z,1,REGULAR,jumpball,recovered,[],201229,,,1610612763,0,0,2020-08-11T21:10:30Z,40000,,,0,,Jump Ball J. Valanciunas vs. D. Theis: Tip to A. Tolliver,"[201229, 202685, 1628464]",1610612763.0,MEM,startperiod,A. Tolliver,201229.0,Tolliver,A. Tolliver,Valanciunas,202685.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2020-08-11T21:10:41.3Z,1,REGULAR,3pt,jumpshot,[],1628415,23.340998685939553,11.34344362745098,1610612763,0,0,2020-08-11T21:10:50Z,70000,193.0,167.0,1,left,MISS D. Brooks 26' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2020-08-11T21:10:45.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612763,0,0,2020-08-11T21:10:50Z,80000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2020-08-11T21:10:46.2Z,1,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",202685,6.1268068331143235,45.65716911764706,1610612763,2,0,2020-08-11T21:10:53Z,90000,22.0,5.0,1,left,J. Valanciunas hook (2 PTS),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,2.42,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2020-08-11T21:11:00.2Z,1,REGULAR,turnover,badpass,[],1628369,,,1610612738,2,0,2020-08-11T21:11:03Z,100000,,,0,,J. Tatum TURNOVER badpass (1 TOV) Stolen,"[1628369, 202685]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,1.0,Valanciunas,202685.0,,,,,,,,,,,
11,PT11M25.00S,2020-08-11T21:11:00.2Z,1,REGULAR,steal,,[],202685,,,1610612763,2,0,2020-08-11T21:13:28Z,110000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2020-08-11T21:11:13.8Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629630,35.167542706964525,28.745404411764707,1610612763,2,0,2020-08-11T21:11:20Z,120000,106.0,278.0,1,left,MISS J. Morant 30' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,30.29,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2020-08-11T21:11:15.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,0,2020-08-11T21:11:20Z,130000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2020-08-11T21:11:20.4Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,2,0,2020-08-11T21:11:20Z,140000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
