actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-01-21T00:41:00.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-21T00:41:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-01-21T00:41:02.6Z,1,REGULAR,jumpball,recovered,[],203076,,,1610612747,0,0,2020-01-21T00:41:02Z,40000,,,0,,Jump Ball J. McGee vs. D. Theis: Tip to A. Davis,"[203076, 201580, 1628464]",1610612747.0,LAL,startperiod,A. Davis,203076.0,Davis,A. Davis,McGee,201580.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2020-01-21T00:41:04.9Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",201580,5.995400788436268,49.333639705882355,1610612747,0,2,2020-01-21T00:41:17Z,70000,3.0,4.0,1,left,J. McGee dunk (2 PTS) (L. James 1 AST),"[201580, 2544]",1610612747.0,LAL,alleyoop,,,McGee,J. McGee,,,,,1.0,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2020-01-21T00:41:19.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.69448094612353,50.55912990196079,1610612738,0,2,2020-01-21T00:41:27Z,90000,3.0,-3.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,0.4,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2020-01-21T00:41:22.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2020-01-21T00:41:27Z,110000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M33.00S,2020-01-21T00:41:26.5Z,1,REGULAR,3pt,jumpshot,[],201980,20.844283837056505,90.75520833333334,1610612747,0,5,2020-01-21T00:41:35Z,120000,-204.0,143.0,1,left,D. Green 25' 3PT  (3 PTS) (L. James 2 AST),"[201980, 2544]",1610612747.0,LAL,,,,Green,D. Green,,,,,25.24,Made,3.0,L. James,2544.0,2.0,,,,,,,,,,,,,,,
14,PT11M33.00S,2020-01-21T00:41:33.3Z,1,REGULAR,foul,personal,['1freethrow'],202330,,,1610612747,0,5,2020-01-21T00:41:42Z,140000,,,0,,G. Hayward FOUL personal (1 PF) (Green 1freethrow),"[202330, 201980]",1610612738.0,BOS,shooting,,,Hayward,G. Hayward,,,,,,,,,,,,,,,204059.0,1.0,0.0,Green,201980.0,,,,,,
16,PT11M33.00S,2020-01-21T00:41:54.9Z,1,REGULAR,freethrow,1of1,[],201980,,,1610612747,0,6,2020-01-21T00:41:54Z,160000,,,0,,D. Green freethrow 1of1 (4 PTS),[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
17,PT11M20.00S,2020-01-21T00:42:10.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.1688567674113,51.53952205882353,1610612738,0,6,2020-01-21T00:42:17Z,170000,8.0,2.0,1,right,MISS K. Walker layup Blocked,"[202689, 201580]",1610612738.0,BOS,drivingreverse,,,Walker,K. Walker,,,,,1.1,Missed,,,,,,,,,,,,,,McGee,201580.0,,,,
18,PT11M20.00S,2020-01-21T00:42:10.5Z,1,REGULAR,block,,[],201580,,,1610612738,0,6,2020-01-21T00:42:12Z,180000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M18.00S,2020-01-21T00:42:12.5Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,6,2020-01-21T00:42:17Z,190000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT11M14.00S,2020-01-21T00:42:17.0Z,1,REGULAR,2pt,jumpshot,['2ndchance'],202330,72.61826544021025,56.44148284313726,1610612738,0,6,2020-01-21T00:42:26Z,200000,32.0,205.0,1,right,MISS G. Hayward 21' jumpshot,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,21.28,Missed,,,,,,,,,,,,,,,,,,,
21,PT11M12.00S,2020-01-21T00:42:19.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,0,6,2020-01-21T00:42:26Z,210000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT11M05.00S,2020-01-21T00:42:25.7Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",203076,7.703679369250986,49.82383578431372,1610612747,0,8,2020-01-21T00:42:31Z,220000,1.0,20.0,1,left,A. Davis dunk (2 PTS) (L. James 3 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,2.54,Made,2.0,L. James,2544.0,3.0,,,,,,,,,,,,,,,
24,PT10M44.00S,2020-01-21T00:42:46.4Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,92.9862023653088,58.15716911764706,1610612738,0,8,2020-01-21T00:42:51Z,240000,41.0,13.0,1,right,MISS J. Brown dunk Blocked,"[1627759, 201980]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.5,Missed,,,,,,,,,,,,,,Green,201980.0,,,,
25,PT10M44.00S,2020-01-21T00:42:46.4Z,1,REGULAR,block,,[],201980,,,1610612738,0,8,2020-01-21T00:45:37Z,250000,,,0,,D. Green BLOCK (1 BLK),[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M44.00S,2020-01-21T00:42:46.4Z,1,REGULAR,rebound,defensive,[],201980,,,1610612747,0,8,2020-01-21T00:45:37Z,260000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M29.00S,2020-01-21T00:43:03.4Z,1,REGULAR,turnover,outofbounds,[],2544,,,1610612747,0,8,2020-01-21T00:43:10Z,270000,,,0,,L. James TURNOVER outofbounds (1 TOV),[2544],1610612747.0,LAL,badpass,,,James,L. James,,,,,,,,,,,,,,,204058.0,,,,,,,1.0,,,
28,PT10M07.00S,2020-01-21T00:43:32.8Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202330,65.14454664914587,63.817401960784316,1610612738,3,8,2020-01-21T00:43:38Z,280000,69.0,275.0,1,right,G. Hayward 29' 3PT  (3 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,28.9,Made,3.0,,,,,,,,,,,,,,,,,,
