actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
29,PT09M52.00S,2020-01-21T00:43:47.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202340,8.492115637319317,46.88265931372549,1610612747,3,10,2020-01-21T00:43:52Z,290000,16.0,27.0,1,left,A. Bradley layup (2 PTS) (L. James 4 AST),"[202340, 2544]",1610612747.0,LAL,cutting,,,Bradley,A. Bradley,,,,,3.63,Made,2.0,L. James,2544.0,4.0,,,,,,,,,,,,,,,
31,PT09M32.00S,2020-01-21T00:44:07.6Z,1,REGULAR,3pt,jumpshot,[],1627759,89.43823915900131,2.7650122549019605,1610612738,3,10,2020-01-21T00:44:15Z,310000,-236.0,47.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2020-01-21T00:44:09.6Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,3,10,2020-01-21T00:44:15Z,320000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,
33,PT09M24.00S,2020-01-21T00:44:15.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",2544,8.360709592641262,55.951286764705884,1610612747,3,10,2020-01-21T00:44:23Z,330000,-30.0,26.0,1,left,MISS L. James layup,[2544],1610612747.0,LAL,runningfingerroll,,,James,L. James,,,,,4.34,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M22.00S,2020-01-21T00:44:17.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,3,10,2020-01-21T00:44:23Z,340000,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,
35,PT09M19.00S,2020-01-21T00:44:23.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202330,92.32917214191852,58.892463235294116,1610612738,5,10,2020-01-21T00:44:40Z,350000,44.0,20.0,1,right,G. Hayward layup (5 PTS) (J. Brown 1 AST),"[202330, 1627759]",1610612738.0,BOS,running,,,Hayward,G. Hayward,,,,,5.11,Made,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
37,PT09M19.00S,2020-01-21T00:44:25.6Z,1,REGULAR,foul,personal,['1freethrow'],203076,,,1610612738,5,10,2020-01-21T00:44:32Z,370000,,,0,,A. Davis FOUL personal (1 PF) (Hayward 1freethrow),"[203076, 202330]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,,,,,204059.0,1.0,0.0,Hayward,202330.0,,,,,,
39,PT09M19.00S,2020-01-21T00:44:58.8Z,1,REGULAR,freethrow,1of1,[],202330,,,1610612738,6,10,2020-01-21T00:44:58Z,390000,,,0,,G. Hayward freethrow 1of1 (6 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
40,PT09M08.00S,2020-01-21T00:45:15.4Z,1,REGULAR,violation,kickedball,[],1628464,,,1610612747,6,10,2020-01-21T00:45:26Z,400000,,,0,,D. Theis violation kickedball,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,204058.0,,,,,,,,,,
41,PT08M58.00S,2020-01-21T00:45:33.2Z,1,REGULAR,2pt,hook,['pointsinthepaint'],201580,17.16491458607096,36.58854166666667,1610612747,6,12,2020-01-21T00:45:41Z,410000,67.0,109.0,1,left,J. McGee 13' hook (4 PTS),[201580],1610612747.0,LAL,driving,,,McGee,J. McGee,,,,,13.26,Made,4.0,,,,,,,,,,,,,,,,,,
42,PT08M45.00S,2020-01-21T00:45:45.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.38042049934296,53.74540441176471,1610612738,6,12,2020-01-21T00:45:52Z,420000,19.0,10.0,1,right,MISS K. Walker layup Blocked,"[202689, 203076]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.41,Missed,,,,,,,,,,,,,,Davis,203076.0,,,,
52,PT08M45.00S,2020-01-21T00:45:45.7Z,1,REGULAR,block,,[],203076,,,1610612738,6,12,2020-01-21T00:47:03Z,425000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2020-01-21T00:45:46.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,12,2020-01-21T00:45:52Z,430000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
44,PT08M33.00S,2020-01-21T00:45:58.0Z,1,REGULAR,turnover,badpass,[],2544,,,1610612747,6,12,2020-01-21T00:46:02Z,440000,,,0,,L. James TURNOVER badpass (2 TOV) Stolen,"[2544, 202330]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,2.0,Hayward,202330.0,
45,PT08M33.00S,2020-01-21T00:45:58.0Z,1,REGULAR,steal,,[],202330,,,1610612738,6,12,2020-01-21T00:45:59Z,450000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M30.00S,2020-01-21T00:46:04.3Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612738,6,12,2020-01-21T00:46:16Z,460000,,,0,,A. Davis FOUL personal (2 PF) (Brown 2freethrow),"[203076, 1627759]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,,,,,204058.0,2.0,0.0,Brown,1627759.0,,,,,,
48,PT08M30.00S,2020-01-21T00:46:29.2Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1627759,,,1610612738,7,12,2020-01-21T00:46:29Z,480000,,,0,,J. Brown freethrow 1of2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
49,PT08M30.00S,2020-01-21T00:46:29.9Z,1,REGULAR,substitution,out,[],203076,,,1610612738,7,12,2020-01-21T00:46:38Z,490000,,,0,,substitution out Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M30.00S,2020-01-21T00:46:29.9Z,1,REGULAR,substitution,in,[],1628398,,,1610612738,7,12,2020-01-21T00:46:38Z,500000,,,0,,substitution in Kuzma,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M30.00S,2020-01-21T00:46:51.6Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1627759,,,1610612738,8,12,2020-01-21T00:46:51Z,510000,,,0,,J. Brown freethrow 2of2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
53,PT08M16.00S,2020-01-21T00:47:07.5Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612747,8,12,2020-01-21T00:47:15Z,520000,,,0,,D. Theis FOUL personal (1 PF) (McGee 2freethrow),"[1628464, 201580]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1146.0,1.0,0.0,McGee,201580.0,,,,,,
55,PT08M16.00S,2020-01-21T00:47:36.2Z,1,REGULAR,freethrow,1of2,[],201580,,,1610612747,8,12,2020-01-21T00:47:36Z,540000,,,0,,MISS J. McGee freethrow 1of2,[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
56,PT08M16.00S,2020-01-21T00:47:36.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,8,12,2020-01-21T00:47:36Z,550000,,,0,,Team offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,
57,PT08M16.00S,2020-01-21T00:47:53.1Z,1,REGULAR,freethrow,2of2,[],201580,,,1610612747,8,13,2020-01-21T00:47:53Z,560000,,,0,,J. McGee freethrow 2of2 (5 PTS),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
58,PT08M01.00S,2020-01-21T00:48:10.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.11760840998686,50.80422794117647,1610612738,10,13,2020-01-21T00:48:17Z,570000,4.0,12.0,1,right,D. Theis layup (2 PTS) (G. Hayward 1 AST),"[1628464, 202330]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,1.81,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
61,PT07M59.00S,2020-01-21T00:48:17.6Z,1,REGULAR,turnover,badpass,[],201580,,,1610612747,10,13,2020-01-21T00:53:48Z,585000,,,0,,J. McGee TURNOVER badpass (1 TOV) Stolen,"[201580, 1627759]",1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,
62,PT07M59.00S,2020-01-21T00:48:17.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,10,13,2020-01-21T00:48:19Z,587500,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT07M58.00S,2020-01-21T00:48:18.6Z,1,REGULAR,2pt,dunk,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,93.11760840998686,49.57873774509804,1610612738,10,13,2020-01-21T00:53:48Z,590000,-2.0,12.0,1,right,MISS J. Brown dunk Blocked,"[1627759, 201580]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.78,Missed,,,,,,,,,,,,,,McGee,201580.0,,,,
82,PT07M58.00S,2020-01-21T00:48:18.6Z,1,REGULAR,block,,[],201580,,,1610612738,10,13,2020-01-21T00:52:12Z,595000,,,0,,J. McGee BLOCK (2 BLK),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT07M56.00S,2020-01-21T00:48:20.6Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,10,13,2020-01-21T00:53:31Z,597500,,,0,,K. Walker REBOUND (Off:1 Def:0),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,77.0,1.0,0.0,1.0,,,,,,,,,,,
63,PT07M56.00S,2020-01-21T00:48:19.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",202689,92.06636005256242,48.59834558823529,1610612738,12,13,2020-01-21T00:53:48Z,598750,-7.0,22.0,1,right,K. Walker layup (2 PTS),[202689],1610612738.0,BOS,tip,,,Walker,K. Walker,,,,,2.85,Made,2.0,,,,,,,,,,,,,,,,,,
64,PT07M39.00S,2020-01-21T00:48:32.0Z,1,REGULAR,turnover,lostball,[],201580,,,1610612747,12,13,2020-01-21T00:54:38Z,630000,,,0,,J. McGee TURNOVER lostball (2 TOV) Stolen,"[201580, 1627759]",1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,2.0,Brown,1627759.0,
65,PT07M39.00S,2020-01-21T00:48:32.0Z,1,REGULAR,steal,,[],1627759,,,1610612738,12,13,2020-01-21T00:48:33Z,640000,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M36.00S,2020-01-21T00:48:40.2Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612738,12,13,2020-01-21T00:48:57Z,670000,,,0,,K. Kuzma FOUL personal (1 PF) (Brown 2freethrow),"[1628398, 1627759]",1610612747.0,LAL,shooting,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,1146.0,1.0,0.0,Brown,1627759.0,,,,,,
70,PT07M36.00S,2020-01-21T00:49:13.0Z,1,REGULAR,freethrow,1of2,['fromturnover'],1627759,,,1610612738,13,13,2020-01-21T00:49:15Z,690000,,,0,,J. Brown freethrow 1of2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
71,PT07M36.00S,2020-01-21T00:49:13.0Z,1,REGULAR,freethrow,2of2,['fromturnover'],1627759,,,1610612738,13,13,2020-01-21T00:49:27Z,700000,,,0,,MISS J. Brown freethrow 2of2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
72,PT07M33.00S,2020-01-21T00:49:16.0Z,1,REGULAR,rebound,defensive,[],201580,,,1610612747,13,13,2020-01-21T00:49:27Z,710000,,,0,,J. McGee REBOUND (Off:0 Def:3),[201580],1610612747.0,LAL,,,,McGee,J. McGee,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,,,
73,PT07M26.00S,2020-01-21T00:49:31.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628398,8.886333771353483,51.049325980392155,1610612747,13,13,2020-01-21T00:50:23Z,720000,-5.0,31.0,1,left,MISS K. Kuzma layup,[1628398],1610612747.0,LAL,driving,,,Kuzma,K. Kuzma,,,,,3.69,Missed,,,,,,,,,,,,,,,,,,,
74,PT07M24.00S,2020-01-21T00:49:33.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,13,2020-01-21T00:49:33Z,730000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,
75,PT07M05.00S,2020-01-21T00:49:51.9Z,1,REGULAR,3pt,jumpshot,[],1627759,67.49342969776609,39.03952205882353,1610612738,13,13,2020-01-21T00:50:29Z,740000,-55.0,253.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,,
76,PT07M03.00S,2020-01-21T00:49:53.9Z,1,REGULAR,rebound,offensive,[],202330,,,1610612738,13,13,2020-01-21T00:50:29Z,750000,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,,,
79,PT07M01.00S,2020-01-21T00:49:56.0Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1628369,72.88107752956637,83.64736519607843,1610612738,13,13,2020-01-21T00:50:32Z,760000,168.0,202.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
80,PT06M58.00S,2020-01-21T00:49:59.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,13,13,2020-01-21T00:50:32Z,770000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,79.0,1.0,0.0,1.0,,,,,,,,,,,
81,PT06M55.00S,2020-01-21T00:50:36.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,13,2020-01-21T00:50:36Z,780000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M55.00S,2020-01-21T00:53:00.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,13,2020-01-21T00:53:18Z,790000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M55.00S,2020-01-21T00:53:00.8Z,1,REGULAR,substitution,in,[],203935,,,1610612738,13,13,2020-01-21T00:53:18Z,800000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M52.00S,2020-01-21T00:53:50.6Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612738,13,13,2020-01-21T00:54:05Z,810000,,,0,,Jump Ball J. Brown vs. D. Green: Tip to G. Hayward,"[202330, 1627759, 201980]",1610612738.0,BOS,heldball,G. Hayward,202330.0,Hayward,G. Hayward,Brown,1627759.0,Green,201980.0,,,,,,,,,,,,,,,,,,,,,
88,PT06M49.00S,2020-01-21T00:53:54.2Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,13,13,2020-01-21T00:53:59Z,840000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 1628398]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,1.0,Kuzma,1628398.0,
89,PT06M49.00S,2020-01-21T00:53:54.2Z,1,REGULAR,steal,,[],1628398,,,1610612747,13,13,2020-01-21T00:53:55Z,850000,,,0,,K. Kuzma STEAL (1 STL),[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT06M41.00S,2020-01-21T00:54:02.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",202340,7.703679369250986,51.53952205882353,1610612747,13,15,2020-01-21T00:54:09Z,860000,-8.0,20.0,1,left,A. Bradley layup (4 PTS) (L. James 5 AST),"[202340, 2544]",1610612747.0,LAL,cutting,,,Bradley,A. Bradley,,,,,2.65,Made,4.0,L. James,2544.0,5.0,,,,,,,,,,,,,,,
92,PT06M27.00S,2020-01-21T00:54:16.1Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202330,94.30026281208936,50.55912990196079,1610612738,15,15,2020-01-21T00:54:22Z,880000,3.0,1.0,1,right,G. Hayward dunk (8 PTS) (D. Theis 1 AST),"[202330, 1628464]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,0.72,Made,8.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
94,PT06M11.00S,2020-01-21T00:54:37.8Z,1,REGULAR,3pt,jumpshot,[],201980,28.203022339027594,20.902267156862745,1610612747,15,15,2020-01-21T00:54:49Z,900000,145.0,213.0,1,left,MISS D. Green 26' 3PT,[201980],1610612747.0,LAL,,,,Green,D. Green,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
95,PT06M10.00S,2020-01-21T00:54:38.8Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,15,15,2020-01-21T00:55:07Z,910000,,,0,,L. James REBOUND (Off:1 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,94.0,2.0,1.0,1.0,,,,,,,,,,,
96,PT06M10.00S,2020-01-21T00:54:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612747,15,15,2020-01-21T00:54:59Z,920000,,,0,,J. Brown FOUL personal (1 PF) (James 2freethrow),"[1627759, 2544]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,204058.0,1.0,0.0,James,2544.0,,,,,,
98,PT06M10.00S,2020-01-21T00:55:01.6Z,1,REGULAR,freethrow,1of2,['2ndchance'],2544,,,1610612747,15,16,2020-01-21T00:55:01Z,940000,,,0,,L. James freethrow 1of2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
