actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-01-23T00:40:19.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-23T00:40:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-01-23T00:40:21.4Z,1,REGULAR,jumpball,recovered,[],202685,,,1610612763,0,0,2020-01-23T00:40:21Z,40000,,,0,,Jump Ball J. Jackson Jr. vs. D. Theis: Tip to J. Valanciunas,"[202685, 1628991, 1628464]",1610612763.0,MEM,startperiod,J. Valanciunas,202685.0,Valanciunas,J. Valanciunas,Jackson Jr.,1628991.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2020-01-23T00:40:39.4Z,1,REGULAR,2pt,jumpshot,[],202685,92.9862023653088,26.049325980392158,1610612763,0,0,2020-01-23T00:40:46Z,70000,-120.0,13.0,1,right,MISS J. Valanciunas 12' jumpshot,[202685],1610612763.0,MEM,turnaroundfadeaway,,,Valanciunas,J. Valanciunas,,,,,12.13,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2020-01-23T00:40:42.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,0,2020-01-23T00:40:46Z,80000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2020-01-23T00:40:49.2Z,1,REGULAR,2pt,jumpshot,[],202689,18.74178712220762,69.67677696078431,1610612738,0,0,2020-01-23T00:40:55Z,90000,-98.0,124.0,1,left,MISS K. Walker 16' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,16.24,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2020-01-23T00:40:52.2Z,1,REGULAR,rebound,defensive,[],203109,,,1610612763,0,0,2020-01-23T00:40:55Z,100000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2020-01-23T00:41:06.9Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202685,90.09526938239159,55.951286764705884,1610612763,0,2,2020-01-23T00:41:19Z,110000,30.0,41.0,1,right,J. Valanciunas hook (2 PTS),[202685],1610612763.0,MEM,driving,,,Valanciunas,J. Valanciunas,,,,,5.49,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT10M51.00S,2020-01-23T00:41:26.6Z,1,REGULAR,3pt,jumpshot,[],203935,34.11629434954008,45.41207107843137,1610612738,0,2,2020-01-23T00:42:02Z,120000,23.0,268.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,27.47,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2020-01-23T00:41:29.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612763,0,2,2020-01-23T00:41:31Z,130000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M38.00S,2020-01-23T00:41:39.9Z,1,REGULAR,3pt,jumpshot,[],203109,67.36202365308804,56.196384803921575,1610612763,0,2,2020-01-23T00:41:45Z,140000,31.0,254.0,1,right,MISS J. Crowder 26' 3PT,[203109],1610612763.0,MEM,,,,Crowder,J. Crowder,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2020-01-23T00:41:40.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,2,2020-01-23T00:41:45Z,150000,,,0,,Team offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2020-01-23T00:41:46.4Z,1,REGULAR,foul,personal,[],1628464,,,1610612763,0,2,2020-01-23T00:41:58Z,160000,,,0,,D. Theis FOUL personal (1 PF),"[1628464, 202685]",1610612738.0,BOS,looseball,,,Theis,D. Theis,,,,,,,,,,,,203593.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,
18,PT10M37.00S,2020-01-23T00:42:07.5Z,1,REGULAR,stoppage,equipmentmalfunction,[],0,,,1610612763,0,2,2020-01-23T00:42:07Z,180000,,,0,,stoppage equipmentmalfunction,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2020-01-23T00:42:17.8Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1629630,67.88764783180025,59.3826593137255,1610612763,0,2,2020-01-23T00:42:24Z,190000,47.0,249.0,1,right,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,stepback,,,Morant,J. Morant,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2020-01-23T00:42:21.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2020-01-23T00:42:24Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M18.00S,2020-01-23T00:42:28.5Z,1,REGULAR,3pt,jumpshot,[],1628464,28.07161629434954,22.37285539215686,1610612738,3,2,2020-01-23T00:42:33Z,210000,138.0,211.0,1,left,D. Theis 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.71,Made,,,,,3.0,,,,,,J. Tatum,1628369.0,1.0,,,,,,
23,PT09M56.00S,2020-01-23T00:42:49.7Z,1,REGULAR,3pt,jumpshot,[],1628991,86.15308804204993,95.65716911764706,1610612763,3,2,2020-01-23T00:42:54Z,230000,228.0,78.0,1,right,MISS J. Jackson Jr. 24' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.3,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M55.00S,2020-01-23T00:42:50.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,3,2,2020-01-23T00:42:54Z,240000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT09M55.00S,2020-01-23T00:42:54.8Z,1,REGULAR,foul,personal,[],202685,,,1610612738,3,2,2020-01-23T00:43:02Z,250000,,,0,,J. Valanciunas FOUL personal (1 PF),"[202685, 202330]",1610612763.0,MEM,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,2715.0,1.0,0.0,Hayward,202330.0,,,,,,,,,
27,PT09M41.00S,2020-01-23T00:43:25.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,6.652431011826544,55.21599264705882,1610612738,5,2,2020-01-23T00:43:30Z,270000,-26.0,10.0,1,left,D. Theis layup (5 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,cuttingfingerroll,,,Theis,D. Theis,,,,,3.04,Made,,,,,5.0,,,,,,M. Smart,203935.0,1.0,,,,,,
