actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
604,PT05M54.00S,2020-02-12T04:50:33.4Z,4,REGULAR,3pt,jumpshot,[],1627759,7.30946123521682,97.61795343137256,1610612738,96,92,2020-02-12T04:50:37Z,5960000,left,[BOS] Brown 3pt shot: Made (19 PTS) assist: Walker (3 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.91,: Made,19.0,Walker,202689.0,3.0,,,,,,,,,,,,,,,,,,,
606,PT05M44.00S,2020-02-12T04:50:43.8Z,4,REGULAR,turnover,lostball,[],201935,,,1610612745,96,92,2020-02-12T04:50:49Z,5980000,,[HOU] Harden lostball turnover (6 TO) Steal: Tatum (4 STL),"[201935, 1628369]",1610612745.0,HOU,,,,Harden,J. Harden,,,,,,,,,,,,6.0,Tatum,1628369.0,4.0,,,,,,,,,,,,,,
608,PT05M40.00S,2020-02-12T04:50:46.7Z,4,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,5.863994743758213,49.82383578431372,1610612738,96,94,2020-02-12T04:50:56Z,6000000,left,[BOS] Tatum dunk: Made (15 PTS) assist: Walker (4 AST),"[1628369, 202689]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,0.81,: Made,15.0,Walker,202689.0,4.0,,,,,,,,,,,,,,,,,,,
610,PT05M40.00S,2020-02-12T04:51:48.1Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,96,94,2020-02-12T04:51:48Z,6020000,,[HOU] timeout full,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,PT05M31.00S,2020-02-12T04:54:24.3Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1627759,,,1610612745,96,94,2020-02-12T04:54:28Z,6030000,,[BOS] Brown foul personal (4 PF) (Harden inpenalty),"[1627759, 201935]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,1198.0,4.0,0.0,Harden,201935.0,,,,,,
613,PT05M31.00S,2020-02-12T04:54:48.5Z,4,REGULAR,freethrow,1of3,[],201935,,,1610612745,97,94,2020-02-12T04:54:48Z,6050000,,[HOU] Harden freethrow 1of3: Made (34 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,34.0,,,,,,,,,,,,,,,,,,,,,,
614,PT05M31.00S,2020-02-12T04:55:05.1Z,4,REGULAR,freethrow,2of3,[],201935,,,1610612745,98,94,2020-02-12T04:55:05Z,6060000,,[HOU] Harden freethrow 2of3: Made (35 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,35.0,,,,,,,,,,,,,,,,,,,,,,
615,PT05M31.00S,2020-02-12T04:55:18.7Z,4,REGULAR,freethrow,3of3,[],201935,,,1610612745,99,94,2020-02-12T04:55:18Z,6070000,,[HOU] Harden freethrow 3of3: Made (36 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,36.0,,,,,,,,,,,,,,,,,,,,,,
616,PT05M19.00S,2020-02-12T04:55:33.3Z,4,REGULAR,turnover,badpass,[],202689,,,1610612738,99,94,2020-02-12T04:58:09Z,6080000,,[BOS] Walker badpass turnover (3 TO) Steal: Tucker (2 STL),"[202689, 200782]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,3.0,Tucker,200782.0,2.0,,,,,,,,,,,,,,
618,PT05M19.00S,2020-02-12T04:55:39.6Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612745,99,94,2020-02-12T04:56:03Z,6100000,,[BOS] Theis foul personal (4 PF) (Tucker inpenalty),"[1628464, 200782]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,1198.0,4.0,0.0,Tucker,200782.0,,,,,,
