actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
94,PT04M21.00S,2020-08-23T17:28:32.7Z,1,REGULAR,2pt,hook,['pointsinthepaint'],202683,86.94152431011827,50.80422794117647,1610612738,20,22,2020-08-23T17:28:37Z,940000,4.0,70.0,1,right,MISS E. Kanter 8' hook,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,Missed,,,,,7.58,,,,,,,,,,
95,PT04M18.00S,2020-08-23T17:28:35.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,22,2020-08-23T17:28:37Z,950000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,94.0,2.0,2.0,0.0,,,,,,
96,PT04M10.00S,2020-08-23T17:28:43.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202699,5.995400788436268,53.50030637254902,1610612755,22,22,2020-08-23T17:28:47Z,960000,-18.0,4.0,1,left,T. Harris layup (5 PTS),[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,,,,Made,5.0,,,,1.99,,,,,,,,,,
97,PT04M09.00S,2020-08-23T17:28:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,22,2020-08-23T17:28:51Z,970000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,out,[],203954,,,1610612738,22,22,2020-08-23T17:32:40Z,980000,,,0,,substitution out Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,22,22,2020-08-23T17:32:40Z,990000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,in,[],201143,,,1610612738,22,22,2020-08-23T17:32:40Z,1000000,,,0,,substitution in Horford,[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,22,22,2020-08-23T17:32:40Z,1010000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,out,[],202683,,,1610612738,22,22,2020-08-23T17:33:25Z,1015000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M09.00S,2020-08-23T17:31:16.7Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,22,22,2020-08-23T17:33:25Z,1017500,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M57.00S,2020-08-23T17:32:43.6Z,1,REGULAR,turnover,outofbounds,[],1629641,,,1610612738,22,22,2020-08-23T17:32:59Z,1020000,,,0,,R. Langford TURNOVER outofbounds (1 TOV),[1629641],1610612738.0,BOS,step,,,Langford,R. Langford,,,,,201640.0,,,,,,,1.0,,,,,,,,,,,,,
103,PT03M44.00S,2020-08-23T17:33:13.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,22,22,2020-08-23T17:33:22Z,1030000,,,0,,G. Williams FOUL personal (1 PF) (Richardson inpenalty),"[1629684, 1626196]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,201640.0,1.0,0.0,Richardson,1626196.0,,,,,,,,,,,,,,,,
107,PT03M44.00S,2020-08-23T17:33:37.1Z,1,REGULAR,freethrow,1of2,['fromturnover'],1626196,,,1610612755,23,22,2020-08-23T17:33:37Z,1050000,,,0,,J. Richardson freethrow 1of2 (6 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
108,PT03M44.00S,2020-08-23T17:34:01.6Z,1,REGULAR,freethrow,2of2,['fromturnover'],1626196,,,1610612755,24,22,2020-08-23T17:34:01Z,1060000,,,0,,J. Richardson freethrow 2of2 (7 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
109,PT03M42.00S,2020-08-23T17:34:11.6Z,1,REGULAR,foul,personal,[],1629003,,,1610612738,24,22,2020-08-23T17:34:20Z,1070000,,,0,,S. Milton FOUL personal (1 PF),"[1629003, 203935]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,2715.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,,
111,PT03M42.00S,2020-08-23T17:34:17.8Z,1,REGULAR,substitution,out,[],1629003,,,1610612738,24,22,2020-08-23T17:34:22Z,1090000,,,0,,substitution out Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M42.00S,2020-08-23T17:34:17.8Z,1,REGULAR,substitution,in,[],202692,,,1610612738,24,22,2020-08-23T17:34:22Z,1100000,,,0,,substitution in Burks,[202692],1610612755.0,PHI,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M25.00S,2020-08-23T17:34:41.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,92.32917214191852,56.68658088235294,1610612738,24,22,2020-08-23T17:34:46Z,1110000,33.0,20.0,1,right,MISS B. Wanamaker jumpshot,[202954],1610612738.0,BOS,drivingbank,,,Wanamaker,B. Wanamaker,,,,,,,,,,Missed,,,,,4.18,,,,,,,,,,
114,PT03M22.00S,2020-08-23T17:34:44.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612755,24,22,2020-08-23T17:34:46Z,1120000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,113.0,2.0,1.0,1.0,,,,,,
115,PT03M04.00S,2020-08-23T17:35:02.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201143,7.440867279894875,44.43167892156863,1610612755,24,22,2020-08-23T17:35:07Z,1130000,28.0,17.0,1,left,MISS A. Horford layup,[201143],1610612755.0,PHI,driving,,,Horford,A. Horford,,,,,,,,,,Missed,,,,,3.6,,,,,,,,,,
116,PT03M03.00S,2020-08-23T17:35:03.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612755,24,22,2020-08-23T17:35:13Z,1140000,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,115.0,3.0,1.0,2.0,,,,,,
117,PT03M02.00S,2020-08-23T17:35:06.1Z,1,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",201143,5.0,50.0,1610612755,26,22,2020-08-23T17:35:17Z,1150000,0.0,-6.0,1,left,A. Horford layup (4 PTS),[201143],1610612755.0,PHI,tip,,,Horford,A. Horford,,,,,,,,,,Made,4.0,,,,0.0,,,,,,,,,,
118,PT02M41.00S,2020-08-23T17:35:24.5Z,1,REGULAR,2pt,jumpshot,[],1628369,86.67871222076215,15.265012254901961,1610612738,26,22,2020-08-23T17:35:33Z,1160000,-174.0,73.0,1,right,MISS J. Tatum 19' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,19.05,,,,,,,,,,
119,PT02M39.00S,2020-08-23T17:35:26.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,26,22,2020-08-23T17:35:33Z,1170000,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,118.0,3.0,3.0,0.0,,,,,,
120,PT02M34.00S,2020-08-23T17:35:36.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,26,22,2020-08-23T17:35:50Z,1180000,,,0,,G. Williams FOUL personal (2 PF) (Harris inpenalty),"[1629684, 202699]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,203592.0,2.0,0.0,Harris,202699.0,,,,,,,,,,,,,,,,
122,PT02M34.00S,2020-08-23T17:36:03.0Z,1,REGULAR,freethrow,1of2,[],202699,,,1610612755,27,22,2020-08-23T17:36:03Z,1200000,,,0,,T. Harris freethrow 1of2 (6 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
123,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,out,[],1629684,,,1610612755,27,22,2020-08-23T17:36:17Z,1210000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,out,[],203935,,,1610612755,27,22,2020-08-23T17:36:17Z,1220000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,out,[],1629641,,,1610612755,27,22,2020-08-23T17:36:17Z,1230000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,in,[],202689,,,1610612755,27,22,2020-08-23T17:36:17Z,1240000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,in,[],1628400,,,1610612755,27,22,2020-08-23T17:36:17Z,1250000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M34.00S,2020-08-23T17:36:03.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,27,22,2020-08-23T17:36:17Z,1260000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M34.00S,2020-08-23T17:36:23.3Z,1,REGULAR,freethrow,2of2,[],202699,,,1610612755,28,22,2020-08-23T17:36:23Z,1270000,,,0,,T. Harris freethrow 2of2 (7 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
130,PT02M22.00S,2020-08-23T17:36:38.5Z,1,REGULAR,foul,personal,['2freethrow'],202692,,,1610612738,28,22,2020-08-23T17:36:46Z,1280000,,,0,,A. Burks FOUL personal (1 PF) (Walker 2freethrow),"[202692, 202689]",1610612755.0,PHI,shooting,,,Burks,A. Burks,,,,,201640.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,,
132,PT02M22.00S,2020-08-23T17:37:02.3Z,1,REGULAR,freethrow,1of2,[],202689,,,1610612738,28,23,2020-08-23T17:37:02Z,1300000,,,0,,K. Walker freethrow 1of2 (8 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
133,PT02M22.00S,2020-08-23T17:37:02.9Z,1,REGULAR,substitution,out,[],1627788,,,1610612738,28,23,2020-08-23T17:37:09Z,1310000,,,0,,substitution out Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M22.00S,2020-08-23T17:37:02.9Z,1,REGULAR,substitution,in,[],1629680,,,1610612738,28,23,2020-08-23T17:37:09Z,1320000,,,0,,substitution in Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M22.00S,2020-08-23T17:37:21.4Z,1,REGULAR,freethrow,2of2,[],202689,,,1610612738,28,24,2020-08-23T17:37:21Z,1330000,,,0,,K. Walker freethrow 2of2 (9 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
136,PT02M13.00S,2020-08-23T17:37:31.6Z,1,REGULAR,3pt,jumpshot,[],1629680,6.521024967148489,94.67677696078431,1610612755,28,24,2020-08-23T17:37:38Z,1340000,-223.0,9.0,1,left,MISS M. Thybulle 22' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,Missed,,,,,22.39,,,,,,,,,,
137,PT02M11.00S,2020-08-23T17:37:33.6Z,1,REGULAR,rebound,offensive,[],201143,,,1610612755,28,24,2020-08-23T17:37:46Z,1350000,,,0,,A. Horford REBOUND (Off:3 Def:1),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,136.0,4.0,1.0,3.0,,,,,,
138,PT02M08.00S,2020-08-23T17:37:37.2Z,1,REGULAR,3pt,jumpshot,['2ndchance'],202692,28.728646517739815,77.27481617647058,1610612755,28,24,2020-08-23T17:37:42Z,1360000,-136.0,218.0,1,left,MISS A. Burks 26' 3PT,[202692],1610612755.0,PHI,,,,Burks,A. Burks,,,,,,,,,,Missed,,,,,26.14,,,,,,,,,,
139,PT02M06.00S,2020-08-23T17:37:39.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,28,24,2020-08-23T17:37:42Z,1370000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,138.0,3.0,2.0,1.0,,,,,,
140,PT02M02.00S,2020-08-23T17:37:42.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,91.80354796320631,48.59834558823529,1610612738,28,26,2020-08-23T17:37:51Z,1380000,-7.0,25.0,1,right,J. Tatum layup (4 PTS),[1628369],1610612738.0,BOS,runningfingerroll,,,Tatum,J. Tatum,,,,,,,,,,Made,4.0,,,,3.08,,,,,,,,,,
141,PT01M47.00S,2020-08-23T17:37:57.6Z,1,REGULAR,3pt,jumpshot,[],1626196,6.1268068331143235,3.2552083333333335,1610612755,28,26,2020-08-23T17:38:04Z,1390000,234.0,5.0,1,left,MISS J. Richardson 23' 3PT,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Missed,,,,,23.39,,,,,,,,,,
142,PT01M45.00S,2020-08-23T17:37:59.6Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,28,26,2020-08-23T17:38:04Z,1400000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,
143,PT01M41.00S,2020-08-23T17:38:06.0Z,1,REGULAR,turnover,outofbounds,[],1629057,,,1610612738,28,26,2020-08-23T17:38:12Z,1410000,,,0,,R. Williams III TURNOVER outofbounds (1 TOV),[1629057],1610612738.0,BOS,badpass,,,Williams III,R. Williams III,,,,,203592.0,,,,,,,1.0,,,,,,,,,,,,,
144,PT01M41.00S,2020-08-23T17:38:15.3Z,1,REGULAR,substitution,out,[],202699,,,1610612755,28,26,2020-08-23T17:38:21Z,1420000,,,0,,substitution out Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M41.00S,2020-08-23T17:38:15.3Z,1,REGULAR,substitution,in,[],203954,,,1610612755,28,26,2020-08-23T17:38:21Z,1430000,,,0,,substitution in Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M26.00S,2020-08-23T17:38:44.3Z,1,REGULAR,2pt,jumpshot,['fromturnover'],202692,22.946780551905388,40.75520833333333,1610612755,30,26,2020-08-23T17:38:50Z,1440000,46.0,163.0,1,left,A. Burks 17' jumpshot (2 PTS) (J. Richardson 3 AST),"[202692, 1626196]",1610612755.0,PHI,turnaround,,,Burks,A. Burks,,,,,,,,,,Made,2.0,,,,17.49,,,,,J. Richardson,1626196.0,3.0,,,
148,PT01M14.00S,2020-08-23T17:38:56.4Z,1,REGULAR,3pt,jumpshot,[],202689,67.09921156373193,52.029718137254896,1610612738,30,26,2020-08-23T17:39:05Z,1460000,10.0,257.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,Missed,,,,,26.25,,,,,,,,,,
149,PT01M12.00S,2020-08-23T17:38:58.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,30,26,2020-08-23T17:39:05Z,1470000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,148.0,2.0,2.0,0.0,,,,,,
150,PT01M05.00S,2020-08-23T17:39:05.7Z,1,REGULAR,2pt,jumpshot,[],1626196,21.76412614980289,48.353247549019606,1610612755,30,26,2020-08-23T17:39:12Z,1480000,8.0,152.0,1,left,MISS J. Richardson 16' jumpshot,[1626196],1610612755.0,PHI,pullup,,,Richardson,J. Richardson,,,,,,,,,,Missed,,,,,15.78,,,,,,,,,,
151,PT01M03.00S,2020-08-23T17:39:07.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,26,2020-08-23T17:39:12Z,1490000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,150.0,4.0,3.0,1.0,,,,,,
152,PT00M58.60S,2020-08-23T17:39:12.9Z,1,REGULAR,turnover,lostball,[],1628369,,,1610612738,30,26,2020-08-23T17:39:20Z,1500000,,,0,,J. Tatum TURNOVER lostball (1 TOV) Stolen,"[1628369, 1629680]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,
153,PT00M58.60S,2020-08-23T17:39:12.9Z,1,REGULAR,steal,,[],1629680,,,1610612755,30,26,2020-08-23T17:39:15Z,1510000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M54.20S,2020-08-23T17:39:20.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628400,,,1610612755,30,26,2020-08-23T17:39:28Z,1520000,,,0,,S. Ojeleye FOUL personal (1 PF) (Richardson inpenalty),"[1628400, 1626196]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,203592.0,1.0,0.0,Richardson,1626196.0,,,,,,,,,,,,,,,,
156,PT00M54.20S,2020-08-23T17:39:48.3Z,1,REGULAR,freethrow,1of2,['fromturnover'],1626196,,,1610612755,31,26,2020-08-23T17:39:48Z,1540000,,,0,,J. Richardson freethrow 1of2 (8 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,
157,PT00M54.20S,2020-08-23T17:39:48.3Z,1,REGULAR,freethrow,2of2,['fromturnover'],1626196,,,1610612755,31,26,2020-08-23T17:40:09Z,1550000,,,0,,MISS J. Richardson freethrow 2of2,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Missed,,,,,,,,,,,,,,,
158,PT00M52.40S,2020-08-23T17:39:50.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,26,2020-08-23T17:40:09Z,1560000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,157.0,5.0,4.0,1.0,,,,,,
159,PT00M33.30S,2020-08-23T17:40:26.6Z,1,REGULAR,3pt,jumpshot,[],1628400,76.2976346911958,87.07873774509804,1610612738,31,26,2020-08-23T17:40:35Z,1570000,185.0,170.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,Missed,,,,,25.55,,,,,,,,,,
160,PT00M31.70S,2020-08-23T17:40:28.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612755,31,26,2020-08-23T17:40:35Z,1580000,,,0,,A. Horford REBOUND (Off:3 Def:2),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,159.0,5.0,2.0,3.0,,,,,,
161,PT00M23.80S,2020-08-23T17:40:38.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612755,31,26,2020-08-23T17:40:45Z,1590000,,,0,,R. Williams III FOUL personal (1 PF) (Embiid inpenalty),"[1629057, 203954]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,201640.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,,
163,PT00M23.80S,2020-08-23T17:41:00.3Z,1,REGULAR,freethrow,1of2,[],203954,,,1610612755,31,26,2020-08-23T17:41:00Z,1610000,,,0,,MISS J. Embiid freethrow 1of2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,,,,,,,,,,,
164,PT00M23.80S,2020-08-23T17:41:00.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,31,26,2020-08-23T17:41:00Z,1620000,,,0,,Team offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,163.0,,,,,,,,,
165,PT00M23.80S,2020-08-23T17:41:00.9Z,1,REGULAR,substitution,out,[],1628400,,,1610612755,31,26,2020-08-23T17:41:05Z,1630000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M23.80S,2020-08-23T17:41:00.9Z,1,REGULAR,substitution,in,[],1627759,,,1610612755,31,26,2020-08-23T17:41:05Z,1640000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M23.80S,2020-08-23T17:41:22.0Z,1,REGULAR,freethrow,2of2,[],203954,,,1610612755,32,26,2020-08-23T17:41:22Z,1650000,,,0,,J. Embiid freethrow 2of2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
168,PT00M04.50S,2020-08-23T17:41:46.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626196,,,1610612738,32,26,2020-08-23T17:41:53Z,1660000,,,0,,J. Richardson FOUL personal (2 PF) (Tatum inpenalty),"[1626196, 1628369]",1610612755.0,PHI,shooting,,,Richardson,J. Richardson,,,,,203592.0,2.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
170,PT00M04.50S,2020-08-23T17:42:09.3Z,1,REGULAR,freethrow,1of2,[],1628369,,,1610612738,32,27,2020-08-23T17:42:09Z,1680000,,,0,,J. Tatum freethrow 1of2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
171,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,out,[],1629680,,,1610612738,32,27,2020-08-23T17:42:21Z,1690000,,,0,,substitution out Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,out,[],202689,,,1610612738,32,27,2020-08-23T17:42:21Z,1700000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,32,27,2020-08-23T17:42:21Z,1710000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,in,[],1627788,,,1610612738,32,27,2020-08-23T17:42:21Z,1720000,,,0,,substitution in Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,32,27,2020-08-23T17:42:21Z,1730000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M04.50S,2020-08-23T17:42:09.9Z,1,REGULAR,substitution,in,[],203935,,,1610612738,32,27,2020-08-23T17:42:21Z,1740000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M04.50S,2020-08-23T17:42:09.3Z,1,REGULAR,freethrow,2of2,[],1628369,,,1610612738,32,27,2020-08-23T17:42:36Z,1750000,,,0,,MISS J. Tatum freethrow 2of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,,,,,,,,,,
178,PT00M02.30S,2020-08-23T17:42:11.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,32,27,2020-08-23T17:42:36Z,1760000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,177.0,3.0,3.0,0.0,,,,,,
179,PT00M00.00S,2020-08-23T17:42:36.1Z,1,REGULAR,period,end,[],0,,,1610612755,32,27,2020-08-23T17:42:36Z,1770000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2020-08-23T17:44:53.5Z,2,REGULAR,substitution,out,['startperiod'],1626196,,,1610612755,32,27,2020-08-23T17:46:15Z,1780000,,,0,,substitution out Richardson,[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2020-08-23T17:44:53.5Z,2,REGULAR,substitution,out,['startperiod'],1627788,,,1610612755,32,27,2020-08-23T17:46:15Z,1790000,,,0,,substitution out Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2020-08-23T17:44:53.5Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612755,32,27,2020-08-23T17:46:15Z,1800000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
