actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,stealPlayerName,stealPersonId
12,PT11M00.00S,2022-05-09T23:34:24.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,2,0,2022-05-09T23:34:27Z,120000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M51.00S,2022-05-09T23:34:48.6Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,2,0,2022-05-09T23:34:56Z,140000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,bad pass,,,Holiday,J. Holiday,,,,,,,,,,,,,,1146.0,1.0,,,,,,,,,,
15,PT10M39.00S,2022-05-09T23:35:05.2Z,1,REGULAR,foul,offensive,[],1629684,,,1610612738,2,0,2022-05-09T23:35:14Z,150000,,,0,,G. Williams offensive FOUL (1 PF),"[1629684, 202083]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,1148.0,,1.0,0.0,Matthews,202083.0,,,,,,
17,PT10M39.00S,2022-05-09T23:35:05.2Z,1,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,2,0,2022-05-09T23:35:05Z,170000,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,1148.0,1.0,,,,,,,,,,
18,PT10M30.00S,2022-05-09T23:35:26.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201572,92.72339027595268,52.450980392156865,1610612749,4,0,2022-05-09T23:35:31Z,180000,12.0,16.0,1,right,B. Lopez alley-oop DUNK (2 PTS) (J. Holiday 1 AST),"[201572, 201950]",1610612749.0,MIL,alley-oop,,,Lopez,B. Lopez,,,,,2.01,Made,2.0,,,,,,,,,,,,,J. Holiday,201950.0,1.0,,,
20,PT10M29.00S,2022-05-09T23:35:36.0Z,1,REGULAR,stoppage,other,[],0,,,1610612738,4,0,2022-05-09T23:37:42Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2022-05-09T23:35:43.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.09395532194481,22.54901960784314,1610612738,4,0,2022-05-09T23:35:48Z,210000,137.0,240.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2022-05-09T23:35:46.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,0,2022-05-09T23:35:48Z,220000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M06.00S,2022-05-09T23:35:58.8Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612749,4,0,2022-05-09T23:36:30Z,230000,,,0,,J. Brown shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1627759, 203507]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,1148.0,,1.0,0.0,Antetokounmpo,203507.0,,,,,,
25,PT10M06.00S,2022-05-09T23:36:32.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612749,4,0,2022-05-09T23:37:46Z,250000,,,0,,,[],,,stands,,,,,,,,,,,,,,,,,,1148.0,,,,,,,,,Common Foul Upheld,,
26,PT10M06.00S,2022-05-09T23:37:51.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,0,2022-05-09T23:37:51Z,260000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2022-05-09T23:38:17.0Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,6,0,2022-05-09T23:38:17Z,270000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M52.00S,2022-05-09T23:38:31.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,20.05584756898817,53.431372549019606,1610612738,6,2,2022-05-09T23:38:58Z,280000,-17.0,136.0,1,left,A. Horford 13' floating Jump Shot (2 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,13.71,Made,2.0,,,,,,,,,,,,,M. Smart,203935.0,1.0,,,
30,PT09M36.00S,2022-05-09T23:38:46.8Z,1,REGULAR,2pt,Jump Shot,[],201572,84.97043363994744,77.69607843137256,1610612749,6,2,2022-05-09T23:38:51Z,300000,138.0,89.0,1,right,MISS B. Lopez 16' turnaround bank Shot,[201572],1610612749.0,MIL,turnaround bank,,,Lopez,B. Lopez,,,,,16.45,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M33.00S,2022-05-09T23:38:49.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2022-05-09T23:38:51Z,310000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M28.00S,2022-05-09T23:38:54.7Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,6,2,2022-05-09T23:39:00Z,320000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 202083]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1.0,,,,,,,,,Matthews,202083.0
33,PT09M28.00S,2022-05-09T23:38:54.7Z,1,REGULAR,steal,,[],202083,,,1610612749,6,2,2022-05-09T23:38:57Z,330000,,,0,,W. Matthews STEAL (1 STL),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2022-05-09T23:39:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,93.64323258869908,53.431372549019606,1610612749,6,2,2022-05-09T23:39:15Z,340000,17.0,7.0,1,right,MISS J. Holiday cutting Layup,[201950],1610612749.0,MIL,cutting,,,Holiday,J. Holiday,,,,,1.87,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M14.00S,2022-05-09T23:39:08.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2022-05-09T23:39:15Z,350000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT09M04.00S,2022-05-09T23:39:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,32.40801576872536,34.55882352941176,1610612738,6,2,2022-05-09T23:39:25Z,360000,77.0,252.0,1,left,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M00.00S,2022-05-09T23:39:23.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,2,2022-05-09T23:39:25Z,370000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
