actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,stealPlayerName,stealPersonId
81,PT05M09.00S,2022-05-09T23:48:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,8.623521681997373,45.588235294117645,1610612738,16,11,2022-05-09T23:48:30Z,810000,22.0,29.0,1,left,MISS M. Smart running Layup - blocked,"[203935, 202083]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.61,Missed,,,,,,Matthews,202083.0,,,,,,,,,,,,
82,PT05M09.00S,2022-05-09T23:48:19.5Z,1,REGULAR,block,,[],202083,,,1610612738,16,11,2022-05-09T23:48:25Z,820000,,,0,,W. Matthews BLOCK (1 BLK),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2022-05-09T23:48:19.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,16,11,2022-05-09T23:48:30Z,830000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2022-05-09T23:48:29.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,16,11,2022-05-09T23:48:29Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M09.00S,2022-05-09T23:48:31.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,16,11,2022-05-09T23:48:57Z,850000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M09.00S,2022-05-09T23:48:31.9Z,1,REGULAR,substitution,out,[],201143,,,1610612738,16,11,2022-05-09T23:48:57Z,860000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M09.00S,2022-05-09T23:48:31.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,16,11,2022-05-09T23:48:57Z,870000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M09.00S,2022-05-09T23:48:31.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,16,11,2022-05-09T23:48:57Z,880000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M59.00S,2022-05-09T23:48:58.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,29.25427069645204,27.205882352941174,1610612738,16,11,2022-05-10T00:15:09Z,890000,114.0,222.0,1,left,MISS G. Williams 25' step back 3PT - blocked,"[1629684, 1626192]",1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,25.0,Missed,,,,,,Connaughton,1626192.0,,,,,,,,,,,,
90,PT04M59.00S,2022-05-09T23:48:58.5Z,1,REGULAR,block,,[],1626192,,,1610612738,16,11,2022-05-09T23:49:04Z,900000,,,0,,P. Connaughton BLOCK (1 BLK),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M57.00S,2022-05-09T23:49:00.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,11,2022-05-10T00:15:09Z,910000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,89.0,5.0,4.0,1.0,,,,,,,,,,,,,,
92,PT04M34.00S,2022-05-09T23:49:17.2Z,1,REGULAR,3pt,Jump Shot,[],202083,92.59198423127464,96.81372549019608,1610612749,19,11,2022-05-09T23:49:22Z,920000,234.0,17.0,1,right,W. Matthews 3PT  (3 PTS) (B. Portis 1 AST),"[202083, 1626171]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,23.47,Made,3.0,,,,,,,,,,,,,B. Portis,1626171.0,1.0,,,
94,PT04M17.00S,2022-05-09T23:49:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,12.828515111695138,61.51960784313726,1610612738,19,11,2022-05-09T23:49:40Z,940000,-58.0,68.0,1,left,MISS D. Theis 8' turnaround Shot,[1628464],1610612738.0,BOS,turnaround,,,Theis,D. Theis,,,,,8.92,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M15.00S,2022-05-09T23:49:36.6Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,19,11,2022-05-09T23:49:40Z,950000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT04M06.00S,2022-05-09T23:49:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,89.70105124835742,44.36274509803921,1610612749,19,11,2022-05-09T23:52:54Z,960000,-28.0,44.0,1,right,MISS B. Portis driving floating bank Shot,[1626171],1610612749.0,MIL,driving floating bank,,,Portis,B. Portis,,,,,5.25,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M04.00S,2022-05-09T23:49:50.0Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,19,11,2022-05-09T23:52:54Z,970000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,96.0,2.0,1.0,1.0,,,,,,,,,,,,,,
98,PT04M04.00S,2022-05-09T23:49:55.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626171,94.40999984741211,50.0,1610612749,19,11,2022-05-09T23:53:31Z,980000,0.0,0.0,1,right,MISS B. Portis tip Layup,[1626171],1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
99,PT04M03.00S,2022-05-09T23:49:56.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,19,11,2022-05-09T23:53:31Z,990000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,98.0,1.0,1.0,0.0,,,,,,,,,,,,,,
100,PT03M57.00S,2022-05-09T23:49:59.2Z,1,REGULAR,foul,personal,[],202083,,,1610612738,19,11,2022-05-09T23:50:17Z,1000000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 1627759]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,1148.0,,1.0,0.0,Brown,1627759.0,,,,,,
102,PT03M57.00S,2022-05-09T23:50:08.8Z,1,REGULAR,substitution,out,[],202083,,,1610612738,19,11,2022-05-09T23:50:16Z,1020000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M57.00S,2022-05-09T23:50:08.8Z,1,REGULAR,substitution,out,[],203507,,,1610612738,19,11,2022-05-09T23:50:16Z,1030000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M57.00S,2022-05-09T23:50:08.8Z,1,REGULAR,substitution,in,[],201572,,,1610612738,19,11,2022-05-09T23:50:16Z,1040000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M57.00S,2022-05-09T23:50:08.8Z,1,REGULAR,substitution,in,[],1628960,,,1610612738,19,11,2022-05-09T23:50:16Z,1050000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M49.00S,2022-05-09T23:50:31.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,28.86005256241787,81.12745098039215,1610612738,19,11,2022-05-09T23:50:35Z,1060000,-156.0,219.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,,
107,PT03M46.00S,2022-05-09T23:50:34.2Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,19,11,2022-05-09T23:50:35Z,1070000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,,,,
108,PT03M33.00S,2022-05-09T23:50:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,89.70105124835742,55.88235294117647,1610612749,19,11,2022-05-09T23:51:28Z,1080000,29.0,44.0,1,right,MISS J. Holiday driving floating Shot,[201950],1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,5.32,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M29.00S,2022-05-09T23:50:50.6Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,19,11,2022-05-09T23:50:56Z,1090000,,,0,,J. Holiday REBOUND (Off:2 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,108.0,3.0,1.0,2.0,,,,,,,,,,,,,,
110,PT03M29.00S,2022-05-09T23:50:50.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201950,94.40999984741211,50.0,1610612749,19,11,2022-05-09T23:50:50Z,1100000,0.0,0.0,1,right,MISS J. Holiday tip Layup,[201950],1610612749.0,MIL,tip,,,Holiday,J. Holiday,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
111,PT03M28.00S,2022-05-09T23:50:51.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,11,2022-05-09T23:50:51Z,1110000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,110.0,2.0,2.0,0.0,,,,,,,,,,,,,,
112,PT03M23.00S,2022-05-09T23:50:57.0Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,19,11,2022-05-09T23:51:04Z,1120000,,,0,,G. Williams bad pass TURNOVER (2 TO),"[1629684, 201950]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,2.0,,,,,,,,,Holiday,201950.0
113,PT03M23.00S,2022-05-09T23:50:57.0Z,1,REGULAR,steal,,[],201950,,,1610612749,19,11,2022-05-09T23:50:59Z,1130000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M19.00S,2022-05-09T23:51:02.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,92.46057818659659,51.470588235294116,1610612749,21,11,2022-05-09T23:51:09Z,1140000,7.0,18.0,1,right,G. Allen running Layup (4 PTS) (J. Holiday 3 AST),"[1628960, 201950]",1610612749.0,MIL,running,,,Allen,G. Allen,,,,,1.98,Made,4.0,,,,,,,,,,,,,J. Holiday,201950.0,3.0,,,
116,PT03M19.00S,2022-05-09T23:51:09.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,11,2022-05-09T23:51:09Z,1160000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M19.00S,2022-05-09T23:53:35.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,11,2022-05-09T23:54:31Z,1170000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M19.00S,2022-05-09T23:53:35.3Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,21,11,2022-05-09T23:54:31Z,1180000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M19.00S,2022-05-09T23:53:35.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,11,2022-05-09T23:54:31Z,1190000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M19.00S,2022-05-09T23:53:35.3Z,1,REGULAR,substitution,in,[],201143,,,1610612738,21,11,2022-05-09T23:54:31Z,1200000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M02.00S,2022-05-09T23:55:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,20.18725361366623,49.01960784313725,1610612738,21,13,2022-05-09T23:55:07Z,1210000,5.0,137.0,1,left,J. Tatum 13' pullup Jump Shot (4 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,13.74,Made,4.0,,,,,,,,,,,,,,,,,,
126,PT02M46.00S,2022-05-09T23:55:18.2Z,1,REGULAR,2pt,Jump Shot,[],201950,79.31997371879106,38.970588235294116,1610612749,21,13,2022-05-09T23:55:23Z,1230000,-55.0,142.0,1,right,MISS J. Holiday 15' pullup Shot,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,15.22,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M44.00S,2022-05-09T23:55:20.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,13,2022-05-09T23:55:23Z,1240000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,126.0,3.0,3.0,0.0,,,,,,,,,,,,,,
128,PT02M39.00S,2022-05-09T23:55:25.5Z,1,REGULAR,3pt,Jump Shot,[],1628464,31.488173455978973,61.51960784313726,1610612738,21,13,2022-05-09T23:55:33Z,1250000,-58.0,243.0,1,left,MISS D. Theis 25' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
129,PT02M35.00S,2022-05-09T23:55:29.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,21,13,2022-05-09T23:55:33Z,1260000,,,0,,B. Portis REBOUND (Off:1 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,128.0,3.0,2.0,1.0,,,,,,,,,,,,,,
130,PT02M14.00S,2022-05-09T23:55:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,84.57621550591328,44.36274509803921,1610612749,21,13,2022-05-09T23:56:24Z,1270000,-28.0,92.0,1,right,MISS G. Allen 9' floating Shot,[1628960],1610612749.0,MIL,floating,,,Allen,G. Allen,,,,,9.67,Missed,,,,,,,,,,,,,,,,,,,
131,PT02M13.00S,2022-05-09T23:55:50.5Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,21,13,2022-05-09T23:56:24Z,1280000,,,0,,B. Portis REBOUND (Off:2 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,130.0,4.0,2.0,2.0,,,,,,,,,,,,,,
132,PT02M09.00S,2022-05-09T23:55:55.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,69.20170827858082,76.22549019607843,1610612749,21,13,2022-05-09T23:56:00Z,1290000,131.0,237.0,1,right,MISS J. Holiday 27' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,27.08,Missed,,,,,,,,,,,,,,,,,,,
133,PT02M06.00S,2022-05-09T23:55:58.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,21,13,2022-05-09T23:56:00Z,1300000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,,,,
134,PT01M57.00S,2022-05-09T23:56:07.0Z,1,REGULAR,3pt,Jump Shot,[],201143,18.2161629434954,3.1862745098039214,1610612738,21,16,2022-05-09T23:56:12Z,1310000,234.0,119.0,1,left,A. Horford 26' 3PT  (7 PTS) (M. Smart 3 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.25,Made,7.0,,,,,,,,,,,,,M. Smart,203935.0,3.0,,,
136,PT01M38.00S,2022-05-09T23:56:26.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,90.3580814717477,41.17647058823529,1610612749,21,16,2022-05-09T23:56:31Z,1330000,-44.0,38.0,1,right,MISS B. Portis Hook,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,5.83,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M36.00S,2022-05-09T23:56:28.0Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,21,16,2022-05-09T23:56:28Z,1340000,,,0,,B. Lopez REBOUND (Off:1 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,136.0,3.0,2.0,1.0,,,,,,,,,,,,,,
138,PT01M33.00S,2022-05-09T23:56:36.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201572,93.77463863337714,96.81372549019608,1610612749,21,16,2022-05-09T23:59:48Z,1350000,234.0,6.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,,
139,PT01M32.00S,2022-05-09T23:56:37.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,21,16,2022-05-09T23:59:48Z,1360000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,
140,PT01M32.00S,2022-05-09T23:56:41.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,21,16,2022-05-09T23:56:47Z,1370000,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,,,,,
141,PT01M32.00S,2022-05-09T23:56:43.7Z,1,REGULAR,substitution,out,[],1626171,,,1610612738,21,16,2022-05-09T23:56:53Z,1380000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M32.00S,2022-05-09T23:56:43.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,21,16,2022-05-09T23:56:53Z,1390000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M32.00S,2022-05-09T23:56:43.7Z,1,REGULAR,substitution,in,[],203507,,,1610612738,21,16,2022-05-09T23:56:53Z,1400000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M32.00S,2022-05-09T23:56:43.7Z,1,REGULAR,substitution,in,[],201588,,,1610612738,21,16,2022-05-09T23:56:53Z,1410000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M32.00S,2022-05-09T23:56:57.6Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,21,16,2022-05-09T23:57:03Z,1420000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M32.00S,2022-05-09T23:56:57.6Z,1,REGULAR,substitution,in,[],202083,,,1610612738,21,16,2022-05-09T23:57:03Z,1430000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M16.00S,2022-05-09T23:57:25.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628464,8.754927726675426,58.333333333333336,1610612738,21,16,2022-05-09T23:57:35Z,1440000,-42.0,30.0,1,left,MISS D. Theis cutting DUNK - blocked,"[1628464, 201572]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,5.13,Missed,,,,,,Lopez,201572.0,,,,,,,,,,,,
148,PT01M16.00S,2022-05-09T23:57:25.3Z,1,REGULAR,block,,[],201572,,,1610612738,21,16,2022-05-09T23:57:28Z,1450000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M15.00S,2022-05-09T23:57:26.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,21,16,2022-05-09T23:57:35Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,
150,PT01M15.00S,2022-05-09T23:57:32.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,21,16,2022-05-09T23:57:32Z,1470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M08.00S,2022-05-09T23:57:54.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628464,33.85348226018397,46.32352941176471,1610612738,21,16,2022-05-09T23:57:58Z,1480000,18.0,266.0,1,left,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,,
152,PT01M05.00S,2022-05-09T23:57:57.5Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,21,16,2022-05-09T23:57:58Z,1490000,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,151.0,2.0,2.0,0.0,,,,,,,,,,,,,,
153,PT00M58.20S,2022-05-09T23:58:05.2Z,1,REGULAR,2pt,Jump Shot,[],203507,79.84559789750328,23.52941176470588,1610612749,23,16,2022-05-09T23:58:09Z,1500000,-132.0,137.0,1,right,G. Antetokounmpo 19' pullup Jump Shot (4 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,19.05,Made,4.0,,,,,,,,,,,,,,,,,,
154,PT00M46.60S,2022-05-09T23:58:23.4Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,23,16,2022-05-09T23:58:32Z,1510000,,,0,,J. Tatum offensive FOUL (2 PF),"[1628369, 201588]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,1627962.0,,2.0,0.0,Hill,201588.0,,,,,,
156,PT00M46.60S,2022-05-09T23:58:23.4Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,23,16,2022-05-09T23:58:23Z,1530000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,1627962.0,1.0,,,,,,,,,,
157,PT00M46.60S,2022-05-09T23:58:32.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612749,23,16,2022-05-09T23:58:37Z,1540000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M46.60S,2022-05-09T23:58:32.6Z,1,REGULAR,substitution,in,[],1627759,,,1610612749,23,16,2022-05-09T23:58:37Z,1550000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M34.40S,2022-05-09T23:58:57.0Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,23,16,2022-05-10T00:02:02Z,1560000,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 203935]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,1148.0,,1.0,0.0,Smart,203935.0,,,,,,
161,PT00M34.40S,2022-05-09T23:58:57.0Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,23,16,2022-05-09T23:58:57Z,1580000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,1148.0,1.0,,,,,,,,,,
162,PT00M26.70S,2022-05-09T23:59:24.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,16.245072273324574,39.21568627450981,1610612738,23,18,2022-05-09T23:59:31Z,1590000,54.0,100.0,1,left,J. Brown 11' pullup Jump Shot (5 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,11.38,Made,5.0,,,,,,,,,,,,,,,,,,
163,PT00M07.50S,2022-05-09T23:59:48.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,92.19776609724047,53.92156862745098,1610612749,25,18,2022-05-09T23:59:54Z,1600000,20.0,21.0,1,right,G. Antetokounmpo driving DUNK (6 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,2.86,Made,6.0,,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2022-05-10T00:00:01.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.632720105124836,64.70588235294117,1610612738,25,18,2022-05-10T00:00:13Z,1610000,-74.0,151.0,1,left,MISS J. Brown 16' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,16.78,Missed,,,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2022-05-10T00:00:01.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,18,2022-05-10T00:00:13Z,1620000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,,
166,PT00M00.00S,2022-05-10T00:00:18.1Z,1,REGULAR,period,end,[],0,,,1610612738,25,18,2022-05-10T00:00:18Z,1630000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-05-10T00:02:56.5Z,2,REGULAR,substitution,out,['startperiod'],1626192,,,1610612738,25,18,2022-05-10T00:03:47Z,1640000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2022-05-10T00:02:56.5Z,2,REGULAR,substitution,out,['startperiod'],1628464,,,1610612738,25,18,2022-05-10T00:03:47Z,1650000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2022-05-10T00:02:56.5Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,25,18,2022-05-10T00:03:47Z,1660000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
