actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
20,PT09M57.00S,2022-05-11T23:09:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.61957950065703,65.44117647058823,1610612738,5,9,2022-05-11T23:09:25Z,200000,-77.0,245.0,1,left,J. Tatum 25' 3PT pullup (3 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.66,Made,3.0,,,,,,,,,,,,,,,,,,
21,PT09M45.00S,2022-05-11T23:09:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,66.17936925098554,49.50980392156863,1610612749,5,9,2022-05-11T23:09:37Z,210000,-2.0,265.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M43.00S,2022-05-11T23:09:34.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,9,2022-05-11T23:09:37Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT09M27.00S,2022-05-11T23:09:50.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,24.129434954007884,86.27450980392157,1610612738,5,9,2022-05-11T23:09:56Z,230000,-181.0,174.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M26.00S,2022-05-11T23:09:51.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,9,2022-05-11T23:09:56Z,240000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,,
25,PT09M11.00S,2022-05-11T23:10:10.4Z,1,REGULAR,turnover,traveling,[],1628960,,,1610612749,5,9,2022-05-11T23:10:21Z,250000,,,0,,G. Allen traveling TURNOVER (1 TO),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
26,PT09M00.00S,2022-05-11T23:10:30.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,20.76215505913272,92.1798406862745,1610612738,8,9,2022-05-11T23:10:44Z,260000,-211.0,143.0,1,left,J. Brown 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.46,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
28,PT08M42.00S,2022-05-11T23:10:47.9Z,1,REGULAR,2pt,Jump Shot,[],203507,78.0059132720105,40.44117647058824,1610612749,8,11,2022-05-11T23:10:52Z,280000,-48.0,154.0,1,right,G. Antetokounmpo 16' fadeaway Jump Shot (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,16.14,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,,
30,PT08M18.00S,2022-05-11T23:11:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.065045992115635,40.931372549019606,1610612738,8,11,2022-05-11T23:11:18Z,300000,45.0,258.0,1,left,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M14.00S,2022-05-11T23:11:16.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,11,2022-05-11T23:11:18Z,310000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,30.0,4.0,4.0,0.0,,,,,,,,,,,
