actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
84,PT04M42.00S,2022-05-11T23:24:38.0Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,14,15,2022-05-11T23:24:46Z,840000,,,0,,B. Portis REBOUND (Off:1 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,83.0,3.0,2.0,1.0,,,,,,,,,,,
85,PT04M42.00S,2022-05-11T23:24:40.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626171,94.40999984741211,50.0,1610612749,14,17,2022-05-11T23:24:50Z,850000,0.0,0.0,1,right,B. Portis tip Layup (2 PTS),[1626171],1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
86,PT04M22.00S,2022-05-11T23:24:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,12.746386333771353,3.699448529411765,1610612738,14,17,2022-05-11T23:25:03Z,860000,232.0,67.0,1,left,MISS G. Williams 24' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M19.00S,2022-05-11T23:25:00.9Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,14,17,2022-05-11T23:25:03Z,870000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,
88,PT04M08.00S,2022-05-11T23:25:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,87.33574244415243,44.11764705882353,1610612749,14,19,2022-05-11T23:25:56Z,880000,-29.0,67.0,1,right,J. Holiday 7' turnaround Jump Shot (7 PTS),[201950],1610612749.0,MIL,turnaround,,,Holiday,J. Holiday,,,,,7.27,Made,7.0,,,,,,,,,,,,,,,,,,
89,PT03M49.00S,2022-05-11T23:25:39.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,14,19,2022-05-11T23:25:39Z,890000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M44.00S,2022-05-11T23:27:21.6Z,1,REGULAR,2pt,Jump Shot,[],203935,28.33442838370565,62.99019607843137,1610612738,16,19,2022-05-11T23:27:53Z,900000,-65.0,214.0,1,left,M. Smart 22' pullup Jump Shot (2 PTS) (D. White 1 AST),"[203935, 1628401]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,22.35,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,,
91,PT03M31.00S,2022-05-11T23:27:33.5Z,1,REGULAR,2pt,Jump Shot,[],201950,73.40670170827858,50.73529411764706,1610612749,16,19,2022-05-11T23:27:38Z,910000,4.0,197.0,1,right,MISS J. Holiday 19' step back Shot,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,19.75,Missed,,,,,,,,,,,,,,,,,,,
92,PT03M31.00S,2022-05-11T23:27:33.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,16,19,2022-05-11T23:27:38Z,920000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,,,,,,
93,PT03M24.00S,2022-05-11T23:27:44.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,16,19,2022-05-11T23:27:44Z,930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M24.00S,2022-05-11T23:27:45.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,16,19,2022-05-11T23:27:55Z,940000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M24.00S,2022-05-11T23:27:45.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,16,19,2022-05-11T23:27:55Z,950000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M17.00S,2022-05-11T23:28:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,11.908672798948752,49.754901960784316,1610612738,18,19,2022-05-11T23:30:44Z,960000,1.0,59.0,1,left,D. Theis floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,5.94,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
98,PT03M02.00S,2022-05-11T23:28:28.3Z,1,REGULAR,2pt,Jump Shot,[],1626171,90.75229960578186,83.82352941176471,1610612749,18,19,2022-05-11T23:28:34Z,980000,169.0,34.0,1,right,MISS B. Portis 17' Jump Shot,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,17.26,Missed,,,,,,,,,,,,,,,,,,,
99,PT02M59.00S,2022-05-11T23:28:31.1Z,1,REGULAR,rebound,offensive,[],1626192,,,1610612749,18,19,2022-05-11T23:28:31Z,990000,,,0,,P. Connaughton REBOUND (Off:1 Def:0),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,98.0,1.0,0.0,1.0,,,,,,,,,,,
100,PT02M57.00S,2022-05-11T23:28:32.5Z,1,REGULAR,turnover,lost ball,[],1626192,,,1610612749,18,19,2022-05-11T23:28:37Z,1000000,,,0,,P. Connaughton lost ball TURNOVER (1 TO),"[1626192, 1628369]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,
101,PT02M57.00S,2022-05-11T23:28:32.5Z,1,REGULAR,steal,,[],1628369,,,1610612738,18,19,2022-05-11T23:28:33Z,1010000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M52.00S,2022-05-11T23:28:37.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203935,7.835085413929041,49.01960784313725,1610612738,20,19,2022-05-11T23:28:43Z,1020000,5.0,21.0,1,left,M. Smart running Layup (4 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,2.17,Made,4.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
104,PT02M37.00S,2022-05-11T23:28:52.6Z,1,REGULAR,3pt,Jump Shot,[],1626192,92.32917214191852,96.07843137254902,1610612749,20,22,2022-05-11T23:28:56Z,1040000,230.0,20.0,1,right,P. Connaughton 3PT  (3 PTS) (J. Holiday 1 AST),"[1626192, 201950]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,23.12,Made,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,,
106,PT02M21.00S,2022-05-11T23:29:08.8Z,1,REGULAR,3pt,Jump Shot,[],203935,31.09395532194481,30.392156862745097,1610612738,20,22,2022-05-11T23:29:15Z,1060000,98.0,240.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
107,PT02M18.00S,2022-05-11T23:29:11.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,20,22,2022-05-11T23:29:15Z,1070000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,
108,PT02M10.00S,2022-05-11T23:29:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,91.80354796320631,42.8921568627451,1610612749,20,24,2022-05-11T23:29:24Z,1080000,-36.0,25.0,1,right,B. Portis Layup (4 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,4.31,Made,4.0,,,,,,,,,,,,,,,,,,
110,PT01M54.00S,2022-05-11T23:29:35.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628464,7.966491458607096,44.6078431372549,1610612738,22,24,2022-05-11T23:29:39Z,1090000,27.0,22.0,1,left,D. Theis Hook (4 PTS) (J. Tatum 3 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,3.51,Made,4.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
113,PT01M41.00S,2022-05-11T23:29:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612749,22,24,2022-05-11T23:30:06Z,1110000,,,0,,D. Theis shooting personal FOUL (1 PF) (Holiday 2 FT),"[1628464, 201950]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1830.0,,,,1.0,0.0,Holiday,201950.0,,,
115,PT01M41.00S,2022-05-11T23:30:21.1Z,1,REGULAR,freethrow,1 of 2,[],201950,,,1610612749,22,25,2022-05-11T23:30:21Z,1130000,,,0,,J. Holiday Free Throw 1 of 2 (8 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
116,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,out,[],1629684,,,1610612749,22,25,2022-05-11T23:30:34Z,1140000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,out,[],201588,,,1610612749,22,25,2022-05-11T23:30:34Z,1150000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,22,25,2022-05-11T23:30:34Z,1160000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,in,[],201143,,,1610612749,22,25,2022-05-11T23:30:34Z,1170000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,in,[],1628960,,,1610612749,22,25,2022-05-11T23:30:34Z,1180000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M41.00S,2022-05-11T23:30:21.9Z,1,REGULAR,substitution,in,[],203507,,,1610612749,22,25,2022-05-11T23:30:34Z,1190000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M41.00S,2022-05-11T23:30:43.9Z,1,REGULAR,freethrow,2 of 2,[],201950,,,1610612749,22,26,2022-05-11T23:30:43Z,1200000,,,0,,J. Holiday Free Throw 2 of 2 (9 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
124,PT01M27.00S,2022-05-11T23:31:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628401,7.703679369250986,57.59803921568627,1610612738,24,26,2022-05-11T23:31:25Z,1220000,-38.0,20.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,4.29,Made,2.0,,,,,,,,,,,,,,,,,,
125,PT01M27.00S,2022-05-11T23:31:09.7Z,1,REGULAR,violation,defensive goaltending,[],201572,,,1610612738,24,26,2022-05-11T23:31:25Z,1230000,,,0,,B. Lopez defensive goaltending VIOLATION,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,1830.0,,,,,,,,,,
126,PT01M20.00S,2022-05-11T23:31:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,93.38042049934296,53.67647058823529,1610612749,24,28,2022-05-11T23:36:11Z,1240000,18.0,10.0,1,right,G. Allen reverse Layup (5 PTS) (J. Holiday 2 AST),"[1628960, 201950]",1610612749.0,MIL,reverse,,,Allen,G. Allen,,,,,2.08,Made,5.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,,
128,PT01M04.00S,2022-05-11T23:31:39.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,7.5722733245729295,48.28431372549019,1610612738,26,28,2022-05-11T23:31:44Z,1260000,9.0,19.0,1,left,D. Theis alley-oop DUNK (6 PTS) (D. White 2 AST),"[1628464, 1628401]",1610612738.0,BOS,alley-oop,,,Theis,D. Theis,,,,,2.06,Made,6.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,,
130,PT00M43.60S,2022-05-11T23:32:00.3Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,26,28,2022-05-11T23:32:04Z,1280000,,,0,,G. Antetokounmpo bad pass TURNOVER (2 TO),"[203507, 203935]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,2.0,Smart,203935.0,,,,,,,
131,PT00M43.60S,2022-05-11T23:32:00.3Z,1,REGULAR,steal,,[],203935,,,1610612738,26,28,2022-05-11T23:32:02Z,1290000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M30.00S,2022-05-11T23:32:20.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,26,28,2022-05-11T23:32:20Z,1300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT00M30.00S,2022-05-11T23:32:20.8Z,1,REGULAR,substitution,out,[],201950,,,1610612738,26,28,2022-05-11T23:32:24Z,1310000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M30.00S,2022-05-11T23:32:20.8Z,1,REGULAR,substitution,in,[],201588,,,1610612738,26,28,2022-05-11T23:32:24Z,1320000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M23.80S,2022-05-11T23:32:45.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,22.552562417871222,67.64705882352942,1610612738,26,28,2022-05-11T23:32:51Z,1330000,-88.0,159.0,1,left,MISS J. Tatum 18' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,18.23,Missed,,,,,,,,,,,,,,,,,,,
136,PT00M20.50S,2022-05-11T23:32:48.8Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,26,28,2022-05-11T23:32:51Z,1340000,,,0,,G. Hill REBOUND (Off:0 Def:2),[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,135.0,2.0,2.0,0.0,,,,,,,,,,,
137,PT00M00.60S,2022-05-11T23:33:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626192,81.2910643889619,43.13725490196079,1610612749,26,28,2022-05-11T23:33:13Z,1350000,-34.0,123.0,1,right,MISS P. Connaughton 12' driving floating Shot,[1626192],1610612749.0,MIL,driving floating,,,Connaughton,P. Connaughton,,,,,12.81,Missed,,,,,,,,,,,,,,,,,,,
138,PT00M00.60S,2022-05-11T23:33:08.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,26,28,2022-05-11T23:33:13Z,1360000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,
139,PT00M00.00S,2022-05-11T23:34:20.8Z,1,REGULAR,period,end,[],0,,,1610612749,26,28,2022-05-11T23:34:20Z,1370000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-05-11T23:36:25.0Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612749,26,28,2022-05-11T23:36:45Z,1380000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-05-11T23:36:25.0Z,2,REGULAR,substitution,out,['startperiod'],201572,,,1610612749,26,28,2022-05-11T23:36:45Z,1390000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-05-11T23:36:25.0Z,2,REGULAR,substitution,in,['startperiod'],1630202,,,1610612749,26,28,2022-05-11T23:36:45Z,1400000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-05-11T23:36:25.0Z,2,REGULAR,substitution,in,['startperiod'],1626171,,,1610612749,26,28,2022-05-11T23:36:45Z,1410000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-05-11T23:36:51.8Z,2,REGULAR,period,start,[],0,,,1610612738,26,28,2022-05-11T23:36:51Z,1420000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT11M42.00S,2022-05-11T23:37:09.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,11.514454664914586,42.8921568627451,1610612738,26,28,2022-05-11T23:37:15Z,1430000,36.0,56.0,1,left,MISS J. Tatum 6' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.61,Missed,,,,,,,,,,,,,,,,,,,
146,PT11M37.00S,2022-05-11T23:37:14.6Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612749,26,28,2022-05-11T23:37:15Z,1440000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,145.0,1.0,1.0,0.0,,,,,,,,,,,
147,PT11M25.00S,2022-05-11T23:37:25.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.46057818659659,49.01960784313725,1610612749,26,30,2022-05-11T23:37:32Z,1450000,-5.0,18.0,1,right,G. Antetokounmpo driving finger roll Layup (6 PTS) (B. Portis 1 AST),"[203507, 1626171]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.9,Made,6.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,,,
149,PT11M11.00S,2022-05-11T23:37:42.4Z,2,REGULAR,foul,personal,['2freethrow'],201588,,,1610612738,26,30,2022-05-11T23:37:49Z,1470000,,,0,,G. Hill shooting personal FOUL (1 PF) (Tatum 2 FT),"[201588, 1628369]",1610612749.0,MIL,shooting,,,Hill,G. Hill,,,,,,,,,,,,,,,1830.0,,,,1.0,0.0,Tatum,1628369.0,,,
151,PT11M11.00S,2022-05-11T23:38:14.6Z,2,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,27,30,2022-05-11T23:38:14Z,1490000,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
152,PT11M11.00S,2022-05-11T23:38:29.8Z,2,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,28,30,2022-05-11T23:38:29Z,1500000,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
153,PT10M55.00S,2022-05-11T23:38:47.0Z,2,REGULAR,turnover,bad pass,[],1628960,,,1610612749,28,30,2022-05-11T23:39:51Z,1510000,,,0,,G. Allen bad pass TURNOVER (2 TO),"[1628960, 201143]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,2.0,Horford,201143.0,,,,,,,
154,PT10M55.00S,2022-05-11T23:38:47.0Z,2,REGULAR,steal,,[],201143,,,1610612738,28,30,2022-05-11T23:38:48Z,1520000,,,0,,A. Horford STEAL (2 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT10M51.00S,2022-05-11T23:38:50.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,7.440867279894875,48.529411764705884,1610612738,30,30,2022-05-11T23:39:10Z,1530000,7.0,17.0,1,left,J. Tatum running Layup (9 PTS) (A. Horford 2 AST),"[1628369, 201143]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.89,Made,9.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,,
157,PT10M35.00S,2022-05-11T23:39:06.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.59198423127464,51.470588235294116,1610612749,30,32,2022-05-11T23:41:10Z,1550000,7.0,17.0,1,right,G. Antetokounmpo driving finger roll Layup (8 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,1.86,Made,8.0,,,,,,,,,,,,,,,,,,
158,PT10M24.00S,2022-05-11T23:39:17.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,28.86005256241787,25.49019607843137,1610612738,33,32,2022-05-11T23:42:11Z,1560000,123.0,219.0,1,left,J. Tatum 25' 3PT pullup (12 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.08,Made,12.0,,,,,,,,,,,,,,,,,,
159,PT10M14.00S,2022-05-11T23:39:27.4Z,2,REGULAR,3pt,Jump Shot,[],1626171,64.47109067017082,55.14705882352941,1610612749,33,32,2022-05-11T23:39:31Z,1570000,26.0,281.0,1,right,MISS B. Portis 28' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,28.27,Missed,,,,,,,,,,,,,,,,,,,
160,PT10M12.00S,2022-05-11T23:39:29.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,33,32,2022-05-11T23:39:31Z,1580000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,159.0,3.0,3.0,0.0,,,,,,,,,,,
161,PT10M03.00S,2022-05-11T23:39:38.2Z,2,REGULAR,2pt,Jump Shot,[],1628369,27.414586070959263,51.470588235294116,1610612738,33,32,2022-05-11T23:39:42Z,1590000,-7.0,205.0,1,left,MISS J. Tatum 20' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,20.53,Missed,,,,,,,,,,,,,,,,,,,
162,PT10M01.00S,2022-05-11T23:39:40.2Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,33,32,2022-05-11T23:39:42Z,1600000,,,0,,B. Portis REBOUND (Off:1 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,161.0,4.0,3.0,1.0,,,,,,,,,,,
163,PT09M45.00S,2022-05-11T23:39:56.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,88.25558475689881,42.64705882352941,1610612749,33,32,2022-05-11T23:40:02Z,1610000,-37.0,58.0,1,right,MISS G. Allen 6' driving Layup,[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,6.86,Missed,,,,,,,,,,,,,,,,,,,
164,PT09M41.00S,2022-05-11T23:40:00.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,33,32,2022-05-11T23:40:02Z,1620000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,163.0,4.0,4.0,0.0,,,,,,,,,,,
165,PT09M33.00S,2022-05-11T23:40:08.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,29.77989487516426,69.36274509803921,1610612738,33,32,2022-05-11T23:40:12Z,1630000,-97.0,227.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.71,Missed,,,,,,,,,,,,,,,,,,,
166,PT09M30.00S,2022-05-11T23:40:11.6Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,33,32,2022-05-11T23:40:12Z,1640000,,,0,,B. Portis REBOUND (Off:1 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,165.0,5.0,4.0,1.0,,,,,,,,,,,
167,PT09M21.00S,2022-05-11T23:40:20.1Z,2,REGULAR,3pt,Jump Shot,[],1626192,91.67214191852825,95.09803921568627,1610612749,33,32,2022-05-11T23:40:30Z,1650000,225.0,26.0,1,right,MISS P. Connaughton 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,22.7,Missed,,,,,,,,,,,,,,,,,,,
168,PT09M20.00S,2022-05-11T23:40:21.1Z,2,REGULAR,rebound,offensive,[],1626171,,,1610612749,33,32,2022-05-11T23:40:30Z,1660000,,,0,,B. Portis REBOUND (Off:2 Def:4),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,167.0,6.0,4.0,2.0,,,,,,,,,,,
169,PT09M19.00S,2022-05-11T23:40:23.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,91.67214191852825,48.77450980392157,1610612749,33,32,2022-05-11T23:40:34Z,1670000,-6.0,26.0,1,right,MISS B. Portis putback Layup - blocked,"[1626171, 1628464]",1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,2.65,Missed,,,,,,,,,,,,,,,,,Theis,1628464.0,
170,PT09M19.00S,2022-05-11T23:40:23.3Z,2,REGULAR,block,,[],1628464,,,1610612749,33,32,2022-05-11T23:40:27Z,1680000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M19.00S,2022-05-11T23:40:23.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,33,32,2022-05-11T23:40:34Z,1690000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,
172,PT09M19.00S,2022-05-11T23:40:28.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,33,32,2022-05-11T23:40:28Z,1700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT09M19.00S,2022-05-11T23:40:29.4Z,2,REGULAR,substitution,out,[],1628464,,,1610612749,33,32,2022-05-11T23:40:48Z,1710000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
