actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
72,PT06M24.00S,2022-05-14T00:00:20.0Z,1,REGULAR,substitution,out,[],201572,,,1610612738,14,15,2022-05-14T00:01:47Z,720000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2022-05-14T00:00:20.0Z,1,REGULAR,substitution,in,[],1626171,,,1610612738,14,15,2022-05-14T00:01:47Z,730000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M06.00S,2022-05-14T00:02:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,14.668199737187912,44.6078431372549,1610612738,14,17,2022-05-14T00:02:22Z,740000,27.0,85.0,1,left,D. White 8' driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,8.96,Made,2.0,,,,,,,,,,,,,,,,,,
76,PT05M57.00S,2022-05-14T00:02:27.1Z,1,REGULAR,3pt,Jump Shot,[],203507,66.44218134034165,41.42156862745098,1610612749,17,17,2022-05-14T00:02:31Z,760000,-43.0,263.0,1,right,G. Antetokounmpo 26' 3PT pullup (13 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,26.64,Made,13.0,,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2022-05-14T00:02:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,18.74178712220762,52.20588235294118,1610612738,17,17,2022-05-14T00:02:46Z,770000,-11.0,124.0,1,left,MISS J. Tatum 12' driving floating Shot - blocked,"[1628369, 201950]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,12.42,Missed,,,,,,,,,,,,,,,,,Holiday,201950.0,
94,PT05M47.00S,2022-05-14T00:02:37.3Z,1,REGULAR,block,,[],201950,,,1610612738,17,17,2022-05-14T00:04:39Z,780000,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2022-05-14T00:02:37.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,17,17,2022-05-14T00:04:39Z,790000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT05M42.00S,2022-05-14T00:02:58.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,67.36202365308804,39.705882352941174,1610612749,20,17,2022-05-14T00:08:10Z,810000,-51.0,254.0,1,right,J. Holiday 25' 3PT running pullup (3 PTS),[201950],1610612749.0,MIL,running pullup,,,Holiday,J. Holiday,,,,,25.95,Made,3.0,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-05-14T00:03:06.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,21.76412614980289,20.588235294117645,1610612738,20,17,2022-05-14T00:03:11Z,820000,147.0,152.0,1,left,MISS J. Tatum 21' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,21.16,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M21.00S,2022-05-14T00:03:09.7Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,20,17,2022-05-14T00:03:09Z,830000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
84,PT05M12.00S,2022-05-14T00:03:19.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203507,85.67674113009198,40.142463235294116,1610612749,22,17,2022-05-14T00:06:36Z,840000,-49.0,82.0,1,right,G. Antetokounmpo 9' Hook (15 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,9.58,Made,15.0,,,,,,,,,,,,,,,,,,
85,PT04M53.00S,2022-05-14T00:03:37.6Z,1,REGULAR,3pt,Jump Shot,[],203935,29.911300919842315,24.754901960784316,1610612738,22,20,2022-05-14T00:09:03Z,850000,126.0,229.0,1,left,M. Smart 26' 3PT pullup (9 PTS) (A. Horford 1 AST),"[203935, 201143]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.12,Made,9.0,,,,,,,,,,A. Horford,201143.0,1.0,,,,,,
87,PT04M39.00S,2022-05-14T00:03:52.1Z,1,REGULAR,2pt,Jump Shot,[],203507,87.72996057818659,20.588235294117645,1610612749,22,20,2022-05-14T00:04:01Z,870000,-147.0,63.0,1,right,MISS G. Antetokounmpo 15' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,15.99,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2022-05-14T00:03:54.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,22,20,2022-05-14T00:03:54Z,880000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,
89,PT04M31.00S,2022-05-14T00:03:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,12.959921156373195,45.588235294117645,1610612738,22,20,2022-05-14T00:04:05Z,890000,22.0,69.0,1,left,MISS J. Brown 7' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,7.27,Missed,,,,,,,,,,,,,,,,,,,
90,PT04M28.00S,2022-05-14T00:04:02.8Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,22,20,2022-05-14T00:04:05Z,900000,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,
91,PT04M15.00S,2022-05-14T00:04:16.6Z,1,REGULAR,3pt,Jump Shot,[],1626171,70.12155059132719,21.323529411764707,1610612749,22,20,2022-05-14T00:04:43Z,910000,-143.0,228.0,1,right,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.97,Missed,,,,,,,,,,,,,,,,,,,
92,PT04M15.00S,2022-05-14T00:04:16.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,22,20,2022-05-14T00:04:43Z,920000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,
93,PT04M15.00S,2022-05-14T00:04:26.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,22,20,2022-05-14T00:04:26Z,930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,out,[],202083,,,1610612738,22,20,2022-05-14T00:04:42Z,940000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,out,[],203507,,,1610612738,22,20,2022-05-14T00:04:42Z,950000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,22,20,2022-05-14T00:04:42Z,960000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,in,[],201588,,,1610612738,22,20,2022-05-14T00:04:42Z,970000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,in,[],201572,,,1610612738,22,20,2022-05-14T00:04:42Z,980000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M15.00S,2022-05-14T00:04:30.1Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,22,20,2022-05-14T00:04:42Z,990000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M01.00S,2022-05-14T00:04:52.8Z,1,REGULAR,3pt,Jump Shot,[],203935,33.196452036793694,51.9607843137255,1610612738,22,20,2022-05-14T00:05:00Z,1000000,-10.0,260.0,1,left,MISS M. Smart 25' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M58.00S,2022-05-14T00:04:55.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,22,20,2022-05-14T00:05:00Z,1010000,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,,,,,
103,PT03M42.00S,2022-05-14T00:05:12.0Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612749,22,20,2022-05-14T00:05:21Z,1020000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1628401]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,1.0,White,1628401.0,,,
104,PT03M42.00S,2022-05-14T00:05:12.0Z,1,REGULAR,steal,,[],1628401,,,1610612738,22,20,2022-05-14T00:05:14Z,1030000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M36.00S,2022-05-14T00:05:21.3Z,1,REGULAR,foul,personal,[],201588,,,1610612738,22,20,2022-05-14T00:05:46Z,1040000,,,0,,G. Hill personal FOUL (1 PF),"[201588, 1627759]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,202027.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
107,PT03M36.00S,2022-05-14T00:05:30.9Z,1,REGULAR,substitution,out,[],201143,,,1610612738,22,20,2022-05-14T00:05:35Z,1060000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M36.00S,2022-05-14T00:05:30.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,22,20,2022-05-14T00:05:35Z,1070000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M25.00S,2022-05-14T00:05:56.3Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,22,20,2022-05-14T00:06:00Z,1080000,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 201950]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,2.0,Holiday,201950.0,,,
110,PT03M25.00S,2022-05-14T00:05:56.3Z,1,REGULAR,steal,,[],201950,,,1610612749,22,20,2022-05-14T00:05:58Z,1090000,,,0,,J. Holiday STEAL (2 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M08.00S,2022-05-14T00:06:12.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201572,87.33574244415243,56.127450980392155,1610612749,24,20,2022-05-14T00:06:18Z,1100000,31.0,67.0,1,right,B. Lopez 7' driving floating Jump Shot (4 PTS),[201572],1610612749.0,MIL,driving floating,,,Lopez,B. Lopez,,,,,7.32,Made,4.0,,,,,,,,,,,,,,,,,,
112,PT02M45.00S,2022-05-14T00:06:41.1Z,1,REGULAR,foul,personal,[],201950,,,1610612738,24,20,2022-05-14T00:06:49Z,1110000,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 203935]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,2715.0,1.0,0.0,Smart,203935.0,,,,,,,,,
114,PT02M45.00S,2022-05-14T00:06:57.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,24,20,2022-05-14T00:06:57Z,1130000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,out,[],201572,,,1610612738,24,20,2022-05-14T00:10:25Z,1140000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,out,[],201950,,,1610612738,24,20,2022-05-14T00:10:25Z,1150000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,24,20,2022-05-14T00:10:25Z,1160000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,24,20,2022-05-14T00:10:25Z,1170000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,in,[],1628960,,,1610612738,24,20,2022-05-14T00:10:25Z,1180000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,in,[],203507,,,1610612738,24,20,2022-05-14T00:10:25Z,1190000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,24,20,2022-05-14T00:10:25Z,1200000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M45.00S,2022-05-14T00:10:08.0Z,1,REGULAR,substitution,in,[],201143,,,1610612738,24,20,2022-05-14T00:10:25Z,1210000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M31.00S,2022-05-14T00:10:45.0Z,1,REGULAR,3pt,Jump Shot,[],203935,6.783837056504599,96.32352941176471,1610612738,24,23,2022-05-14T00:10:49Z,1220000,-232.0,11.0,1,left,M. Smart 3PT  (12 PTS) (A. Horford 2 AST),"[203935, 201143]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.19,Made,12.0,,,,,,,,,,A. Horford,201143.0,2.0,,,,,,
125,PT02M10.00S,2022-05-14T00:11:07.3Z,1,REGULAR,2pt,Jump Shot,[],203507,94.56307490144546,29.901960784313726,1610612749,24,23,2022-05-14T00:11:14Z,1240000,-100.0,-1.0,1,right,MISS G. Antetokounmpo 10' turnaround fadeaway Shot,[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,10.05,Missed,,,,,,,,,,,,,,,,,,,
126,PT02M06.00S,2022-05-14T00:11:11.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,23,2022-05-14T00:11:14Z,1250000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,
127,PT02M03.00S,2022-05-14T00:11:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,7.966491458607096,48.28431372549019,1610612738,24,25,2022-05-14T00:11:20Z,1260000,9.0,22.0,1,left,M. Smart running reverse Layup (14 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,running reverse,,,Smart,M. Smart,,,,,2.4,Made,14.0,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,,
129,PT01M45.00S,2022-05-14T00:11:32.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,92.19776609724047,44.85294117647059,1610612749,24,25,2022-05-14T00:11:38Z,1280000,-26.0,21.0,1,right,MISS B. Portis Hook,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,3.31,Missed,,,,,,,,,,,,,,,,,,,
130,PT01M42.00S,2022-05-14T00:11:35.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,25,2022-05-14T00:11:38Z,1290000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,129.0,3.0,3.0,0.0,,,,,,,,,,,,,,
131,PT01M34.00S,2022-05-14T00:11:46.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,24,25,2022-05-14T00:11:46Z,1300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M26.00S,2022-05-14T00:12:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,23.209592641261498,6.127450980392156,1610612738,24,25,2022-05-14T00:12:14Z,1310000,219.0,166.0,1,left,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,27.49,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M23.00S,2022-05-14T00:12:12.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,24,25,2022-05-14T00:12:14Z,1320000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,132.0,2.0,2.0,0.0,,,,,,,,,,,,,,
134,PT01M09.00S,2022-05-14T00:12:30.0Z,1,REGULAR,foul,personal,[],1628401,,,1610612749,24,25,2022-05-14T00:12:37Z,1330000,,,0,,D. White personal FOUL (1 PF),"[1628401, 201588]",1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,202027.0,1.0,0.0,Hill,201588.0,,,,,,,,,
136,PT00M59.40S,2022-05-14T00:12:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,86.81011826544021,40.19607843137255,1610612749,24,25,2022-05-14T00:13:07Z,1350000,-49.0,71.0,1,right,MISS G. Antetokounmpo 8' floating Shot,[203507],1610612749.0,MIL,floating,,,Antetokounmpo,G. Antetokounmpo,,,,,8.67,Missed,,,,,,,,,,,,,,,,,,,
137,PT00M58.20S,2022-05-14T00:12:58.8Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,24,25,2022-05-14T00:13:07Z,1360000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,136.0,3.0,2.0,1.0,,,,,,,,,,,,,,
138,PT00M58.20S,2022-05-14T00:13:03.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203507,94.40999984741211,50.0,1610612749,26,25,2022-05-14T00:13:03Z,1370000,0.0,0.0,1,right,G. Antetokounmpo putback DUNK (17 PTS),[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,0.0,Made,17.0,,,,,,,,,,,,,,,,,,
139,PT00M45.50S,2022-05-14T00:13:15.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.750985545335087,33.57843137254902,1610612738,26,28,2022-05-14T00:13:21Z,1380000,82.0,246.0,1,left,J. Tatum 25' 3PT pullup (9 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.93,Made,9.0,,,,,,,,,,,,,,,,,,
140,PT00M33.20S,2022-05-14T00:13:30.1Z,1,REGULAR,3pt,Jump Shot,[],1626171,66.70499342969777,30.88235294117647,1610612749,26,28,2022-05-14T00:13:34Z,1390000,-96.0,260.0,1,right,MISS B. Portis 27' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,27.75,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M30.40S,2022-05-14T00:13:32.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,26,28,2022-05-14T00:13:32Z,1400000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,140.0,2.0,1.0,1.0,,,,,,,,,,,,,,
142,PT00M10.20S,2022-05-14T00:13:53.0Z,1,REGULAR,3pt,Jump Shot,[],203935,25.969119579500656,88.97058823529412,1610612738,26,28,2022-05-14T00:13:58Z,1410000,-195.0,192.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.33,Missed,,,,,,,,,,,,,,,,,,,
143,PT00M07.20S,2022-05-14T00:13:56.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,26,28,2022-05-14T00:13:58Z,1420000,,,0,,P. Connaughton REBOUND (Off:0 Def:3),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,142.0,3.0,3.0,0.0,,,,,,,,,,,,,,
144,PT00M00.80S,2022-05-14T00:14:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201588,89.70105124835742,47.05882352941176,1610612749,26,28,2022-05-14T00:14:10Z,1430000,-15.0,44.0,1,right,MISS G. Hill driving Layup - blocked,"[201588, 1630202]",1610612749.0,MIL,driving,,,Hill,G. Hill,,,,,4.67,Missed,,,,,,,,,,,,,,,,,Pritchard,1630202.0,
145,PT00M00.80S,2022-05-14T00:14:02.4Z,1,REGULAR,block,,[],1630202,,,1610612749,26,28,2022-05-14T00:14:44Z,1440000,,,0,,P. Pritchard BLOCK (1 BLK),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M00.80S,2022-05-14T00:14:02.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,26,28,2022-05-14T00:15:33Z,1450000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,144.0,3.0,3.0,0.0,,,,,,,,,,,,,,
147,PT00M00.00S,2022-05-14T00:14:12.1Z,1,REGULAR,period,end,[],0,,,1610612738,26,28,2022-05-14T00:14:12Z,1460000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,out,['startperiod'],201588,,,1610612738,26,28,2022-05-14T00:17:58Z,1470000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,out,['startperiod'],1626171,,,1610612738,26,28,2022-05-14T00:17:58Z,1480000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,out,['startperiod'],1630202,,,1610612738,26,28,2022-05-14T00:17:58Z,1490000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,26,28,2022-05-14T00:17:58Z,1500000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,26,28,2022-05-14T00:17:58Z,1510000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,in,['startperiod'],201572,,,1610612738,26,28,2022-05-14T00:17:58Z,1520000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,in,['startperiod'],201950,,,1610612738,26,28,2022-05-14T00:17:58Z,1530000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,26,28,2022-05-14T00:17:58Z,1540000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,in,['startperiod'],1629684,,,1610612738,26,28,2022-05-14T00:17:58Z,1550000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-05-14T00:16:41.9Z,2,REGULAR,substitution,in,['startperiod'],1628464,,,1610612738,26,28,2022-05-14T00:17:58Z,1560000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-05-14T00:18:04.0Z,2,REGULAR,period,start,[],0,,,1610612749,26,28,2022-05-14T00:18:04Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M38.00S,2022-05-14T00:18:24.2Z,2,REGULAR,3pt,Jump Shot,[],1626192,83.26215505913272,96.81372549019608,1610612749,26,28,2022-05-14T00:18:56Z,1580000,234.0,105.0,1,right,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
160,PT11M38.00S,2022-05-14T00:18:24.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,26,28,2022-05-14T00:18:56Z,1590000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,159.0,,,,,,,,,,,,,,,,,
