actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
22,PT10M25.00S,2022-05-13T23:50:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612749,2,6,2022-05-13T23:50:28Z,220000,,,0,,G. Williams shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629684, 203507]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,202049.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
24,PT10M25.00S,2022-05-13T23:50:54.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203507,,,1610612749,3,6,2022-05-13T23:50:54Z,240000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2022-05-13T23:51:25.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203507,,,1610612749,4,6,2022-05-13T23:51:25Z,250000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
26,PT10M07.00S,2022-05-13T23:51:44.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,22.552562417871222,92.40196078431373,1610612738,4,6,2022-05-13T23:51:56Z,260000,-212.0,159.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M02.00S,2022-05-13T23:51:49.9Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,4,6,2022-05-13T23:51:56Z,270000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M57.00S,2022-05-13T23:51:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,91.5407358738502,55.88235294117647,1610612749,4,6,2022-05-13T23:52:05Z,280000,29.0,27.0,1,right,MISS G. Allen driving reverse Layup - blocked,"[1628960, 201143]",1610612749.0,MIL,driving reverse,,,Allen,G. Allen,,,,,3.99,Missed,,,,,,,,,,,,,,,,,Horford,201143.0,
29,PT09M57.00S,2022-05-13T23:51:55.1Z,1,REGULAR,block,,[],201143,,,1610612749,4,6,2022-05-13T23:51:58Z,290000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M57.00S,2022-05-13T23:51:55.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,4,6,2022-05-13T23:52:05Z,300000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
31,PT09M57.00S,2022-05-13T23:52:02.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,4,6,2022-05-13T23:52:02Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M53.00S,2022-05-13T23:52:32.7Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,4,6,2022-05-13T23:52:46Z,330000,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 1629684]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,202027.0,1.0,0.0,Williams,1629684.0,,,,,,,,,
