actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-24T00:41:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-24T00:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-05-24T00:41:03.0Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-05-24T00:41:03Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Williams III: Tip to K. Lowry,"[200768, 1628389, 1629057]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-05-24T00:41:21.7Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,0,0,2022-05-24T00:42:22Z,70000,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1628401]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,1.0,White,1628401.0,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-05-24T00:41:21.7Z,1,REGULAR,steal,,[],1628401,,,1610612738,0,0,2022-05-24T00:46:15Z,80000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-05-24T00:41:28.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,90.3580814717477,52.69607843137255,1610612738,2,0,2022-05-24T00:43:32Z,90000,13.0,38.0,1,right,D. White running Jump Shot (2 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,,,,4.04,Made,2.0,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-05-24T00:41:48.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,2,0,2022-05-24T00:41:53Z,100000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1628389]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1162.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,
12,PT11M16.00S,2022-05-24T00:42:06.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,21.50131406044678,30.88235294117647,1610612748,2,0,2022-05-24T00:42:10Z,120000,96.0,150.0,1,left,MISS B. Adebayo 17' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,17.75,Missed,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-05-24T00:42:10.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,0,2022-05-24T00:42:10Z,130000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M57.00S,2022-05-24T00:42:24.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,68.54467805519053,76.47058823529412,1610612738,5,0,2022-05-24T00:42:29Z,140000,132.0,243.0,1,right,D. White 27' 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,,,,27.69,Made,5.0,,,,,,,,,,J. Brown,1627759.0,1.0,,,
16,PT10M33.00S,2022-05-24T00:42:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,13.485545335085414,61.51960784313726,1610612748,5,0,2022-05-24T00:42:53Z,160000,-58.0,74.0,1,left,MISS J. Butler 9' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,,,,9.4,Missed,,,,,,,,,,,,,,,,
