actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
17,PT10M30.00S,2022-05-24T00:42:51.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,5,0,2022-05-24T00:42:53Z,170000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M21.00S,2022-05-24T00:43:03.1Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,5,0,2022-05-24T00:43:08Z,180000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,1.0,,,,,,1162.0,,,,,,,,,,,,,,
19,PT10M11.00S,2022-05-24T00:43:15.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200782,15.325229960578188,44.11764705882353,1610612748,5,0,2022-05-24T00:45:15Z,190000,29.0,92.0,1,left,MISS P. Tucker 9' floating Shot,[200782],1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,,,,9.62,Missed,,,,,,,,,,,,,,,,
20,PT10M08.00S,2022-05-24T00:43:18.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,0,2022-05-24T00:43:21Z,200000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT10M01.00S,2022-05-24T00:43:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.32917214191852,50.49019607843137,1610612738,7,0,2022-05-24T00:43:30Z,210000,2.0,20.0,1,right,D. White driving Layup (7 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,,,,1.98,Made,7.0,,,,,,,,,,,,,,,
22,PT09M45.00S,2022-05-24T00:43:41.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,25.706307490144546,85.29411764705883,1610612748,7,0,2022-05-24T00:47:06Z,220000,-176.0,189.0,1,left,MISS M. Strus 25' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,,,,25.87,Missed,,,,,,,,,,,,,,,,
23,PT09M43.00S,2022-05-24T00:43:43.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,7,0,2022-05-24T00:43:51Z,230000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
24,PT09M43.00S,2022-05-24T00:43:52.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,7,0,2022-05-24T00:43:52Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M23.00S,2022-05-24T00:44:14.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,85.89027595269383,29.411764705882355,1610612738,7,0,2022-05-24T00:48:26Z,250000,-103.0,80.0,1,right,MISS J. Brown 13' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,13.04,Missed,,,,,,,,,,,,,,,,
26,PT09M21.00S,2022-05-24T00:44:16.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,7,0,2022-05-24T00:44:18Z,260000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,
27,PT09M19.00S,2022-05-24T00:44:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,92.59198423127464,55.14705882352941,1610612738,7,0,2022-05-24T00:44:28Z,270000,26.0,17.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 200768]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,3.09,Missed,,,,,,,,,,,,,,Lowry,200768.0,
28,PT09M19.00S,2022-05-24T00:44:21.2Z,1,REGULAR,block,,[],200768,,,1610612738,7,0,2022-05-24T00:44:23Z,280000,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M18.00S,2022-05-24T00:44:22.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,7,0,2022-05-24T00:44:28Z,290000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,
30,PT09M18.00S,2022-05-24T00:44:25.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,7,0,2022-05-24T00:44:25Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M07.00S,2022-05-24T00:44:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,10.463206307490145,39.46078431372549,1610612748,7,0,2022-05-24T00:44:42Z,310000,53.0,46.0,1,left,MISS J. Butler 6' driving Layup - blocked,"[202710, 201143]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,6.99,Missed,,,,,,,,,,,,,,Horford,201143.0,
32,PT09M07.00S,2022-05-24T00:44:36.1Z,1,REGULAR,block,,[],201143,,,1610612748,7,0,2022-05-24T00:44:38Z,320000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M05.00S,2022-05-24T00:44:38.1Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,7,0,2022-05-24T00:44:42Z,330000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,
34,PT09M00.00S,2022-05-24T00:44:42.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,7,0,2022-05-24T00:44:46Z,340000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1628401]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,1.0,White,1628401.0,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2022-05-24T00:44:42.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,7,0,2022-05-24T00:44:44Z,350000,,,0,,D. White STEAL (2 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M54.00S,2022-05-24T00:44:48.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,75.64060446780552,88.48039215686273,1610612738,7,0,2022-05-24T00:44:55Z,360000,192.0,176.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,26.11,Missed,,,,,,,,,,,,,,,,
37,PT08M52.00S,2022-05-24T00:44:50.7Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,7,0,2022-05-24T00:44:55Z,370000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,
38,PT08M47.00S,2022-05-24T00:44:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,90.09526938239159,46.568627450980394,1610612738,7,0,2022-05-24T00:45:01Z,380000,-17.0,41.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,4.41,Missed,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-05-24T00:44:57.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,0,2022-05-24T00:45:01Z,390000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT08M41.00S,2022-05-24T00:45:01.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202710,5.469776609724048,36.76470588235294,1610612748,7,0,2022-05-24T00:50:06Z,400000,66.0,-1.0,1,left,MISS J. Butler 6' driving floating bank Shot,[202710],1610612748.0,MIA,driving floating bank,,,Butler,J. Butler,,,,,,,,6.62,Missed,,,,,,,,,,,,,,,,
41,PT08M39.00S,2022-05-24T00:45:03.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,7,0,2022-05-24T00:45:05Z,410000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,
43,PT08M32.00S,2022-05-24T00:45:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,7,0,2022-05-24T00:45:29Z,430000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628389, 1628369]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,201640.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
45,PT08M32.00S,2022-05-24T00:45:45.0Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,7,0,2022-05-24T00:45:45Z,450000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,,
46,PT08M32.00S,2022-05-24T00:45:45.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,7,0,2022-05-24T00:45:45Z,460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,
47,PT08M32.00S,2022-05-24T00:46:00.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,8,0,2022-05-24T00:46:00Z,470000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
48,PT08M21.00S,2022-05-24T00:46:15.0Z,1,REGULAR,2pt,Jump Shot,[],200768,25.837713534822605,63.48039215686274,1610612748,8,0,2022-05-24T00:46:19Z,480000,-67.0,190.0,1,left,MISS K. Lowry 20' pullup Shot,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,20.2,Missed,,,,,,,,,,,,,,,,
49,PT08M19.00S,2022-05-24T00:46:17.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,0,2022-05-24T00:46:19Z,490000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,
50,PT08M07.00S,2022-05-24T00:46:29.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.23061760840999,47.05882352941176,1610612738,8,0,2022-05-24T00:50:47Z,500000,-15.0,256.0,1,right,MISS J. Brown 25' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,25.59,Missed,,,,,,,,,,,,,,,,
51,PT08M05.00S,2022-05-24T00:46:31.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,8,0,2022-05-24T00:46:35Z,510000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,
52,PT07M56.00S,2022-05-24T00:46:42.2Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612748,8,0,2022-05-24T00:46:53Z,520000,,,0,,A. Horford shooting personal FOUL (1 PF) (Adebayo 2 FT),"[201143, 1628389]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,1162.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,
54,PT07M56.00S,2022-05-24T00:47:11.7Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,8,0,2022-05-24T00:47:11Z,540000,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Missed,,,,,,,,,,,,,,,,
55,PT07M56.00S,2022-05-24T00:47:11.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,8,0,2022-05-24T00:47:11Z,550000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,
56,PT07M56.00S,2022-05-24T00:47:34.0Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,8,1,2022-05-24T00:47:34Z,560000,,,0,,B. Adebayo Free Throw 2 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
57,PT07M37.00S,2022-05-24T00:47:54.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.14651773981603,48.28431372549019,1610612738,10,1,2022-05-24T00:47:58Z,570000,-9.0,31.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (A. Horford 1 AST),"[1629057, 201143]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,3.19,Made,2.0,,,,,,,,,,A. Horford,201143.0,1.0,,,
59,PT07M16.00S,2022-05-24T00:48:17.7Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,10,1,2022-05-24T00:48:23Z,590000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1162.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,
61,PT07M08.00S,2022-05-24T00:48:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629622,16.63929040735874,37.5,1610612748,10,1,2022-05-24T00:48:49Z,610000,62.0,104.0,1,left,MISS M. Strus 12' driving floating Shot,[1629622],1610612748.0,MIA,driving floating,,,Strus,M. Strus,,,,,,,,12.12,Missed,,,,,,,,,,,,,,,,
62,PT07M06.00S,2022-05-24T00:48:45.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,1,2022-05-24T00:48:49Z,620000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,
63,PT07M03.00S,2022-05-24T00:48:49.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,92.72339027595268,50.245098039215684,1610612738,12,1,2022-05-24T00:48:56Z,630000,1.0,16.0,1,right,J. Tatum running Layup (3 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,1.59,Made,3.0,,,,,,,,,,,,,,,
64,PT07M03.00S,2022-05-24T00:48:53.3Z,1,REGULAR,foul,personal,['1freethrow'],200768,,,1610612738,12,1,2022-05-24T00:49:07Z,640000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Tatum 1 FT),"[200768, 1628369]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
66,PT07M03.00S,2022-05-24T00:49:20.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628369,,,1610612738,12,1,2022-05-24T00:49:25Z,660000,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Missed,,,,,,,,,,,,,,,,
67,PT07M02.00S,2022-05-24T00:49:21.5Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,12,1,2022-05-24T00:49:25Z,670000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,
68,PT06M55.00S,2022-05-24T00:49:27.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,91.67214191852825,3.431372549019608,1610612738,12,1,2022-05-24T00:49:32Z,680000,-233.0,26.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,23.42,Missed,,,,,,,,,,,,,,,,
69,PT06M53.00S,2022-05-24T00:49:29.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,12,1,2022-05-24T00:49:32Z,690000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,
70,PT06M44.00S,2022-05-24T00:49:40.4Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,12,1,2022-05-24T00:49:46Z,700000,,,0,,J. Brown personal FOUL (2 PF),"[1627759, 1629622]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,2003.0,2.0,0.0,Strus,1629622.0,,,,,,,,,,
72,PT06M44.00S,2022-05-24T00:49:49.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,12,1,2022-05-24T00:49:49Z,720000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M44.00S,2022-05-24T00:52:07.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612748,12,1,2022-05-24T00:53:26Z,730000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M44.00S,2022-05-24T00:52:07.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612748,12,1,2022-05-24T00:53:26Z,740000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M44.00S,2022-05-24T00:52:07.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612748,12,1,2022-05-24T00:53:26Z,750000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M44.00S,2022-05-24T00:52:07.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,12,1,2022-05-24T00:53:26Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M29.00S,2022-05-24T00:53:48.1Z,1,REGULAR,2pt,Jump Shot,[],200768,25.837713534822605,26.47058823529412,1610612748,12,1,2022-05-24T00:53:52Z,770000,118.0,190.0,1,left,MISS K. Lowry 22' pullup Shot,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,22.38,Missed,,,,,,,,,,,,,,,,
78,PT06M27.00S,2022-05-24T00:53:50.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,12,1,2022-05-24T00:53:57Z,780000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,77.0,3.0,2.0,1.0,,,,,,
79,PT06M17.00S,2022-05-24T00:54:00.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,91.67214191852825,75.49019607843137,1610612738,14,1,2022-05-24T00:54:05Z,790000,127.0,26.0,1,right,J. Tatum 13' pullup Jump Shot (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,13.01,Made,5.0,,,,,,,,,,,,,,,
99,PT05M53.00S,2022-05-24T00:54:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,10.5946123521682,42.64705882352941,1610612748,14,1,2022-05-24T00:56:21Z,800000,37.0,47.0,1,left,MISS M. Strus driving Layup,[1629622],1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,,,,5.98,Missed,,,,,,,,,,,,,,,,
101,PT05M52.00S,2022-05-24T00:54:14.0Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,14,1,2022-05-24T00:56:21Z,807500,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,,,,,
83,PT05M47.00S,2022-05-24T00:54:29.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628369,91.14651773981603,50.245098039215684,1610612738,16,1,2022-05-24T00:56:25Z,830000,1.0,31.0,1,right,J. Tatum running alley-oop DUNK (7 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,running alley-oop,,,Tatum,J. Tatum,,,,,,,,3.07,Made,7.0,,,,,,,,,,D. White,1628401.0,1.0,,,
85,PT05M35.00S,2022-05-24T00:54:42.2Z,1,REGULAR,2pt,Jump Shot,[],202710,22.158344283837057,30.392156862745097,1610612748,16,1,2022-05-24T00:54:49Z,850000,98.0,156.0,1,left,MISS J. Butler 18' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,18.41,Missed,,,,,,,,,,,,,,,,
86,PT05M33.00S,2022-05-24T00:54:44.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,1,2022-05-24T00:54:49Z,860000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,85.0,3.0,2.0,1.0,,,,,,
87,PT05M14.00S,2022-05-24T00:55:05.3Z,1,REGULAR,foul,personal,['2freethrow'],202710,,,1610612738,16,1,2022-05-24T00:55:14Z,870000,,,0,,J. Butler shooting personal FOUL (1 PF) (Tatum 2 FT),"[202710, 1628369]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
89,PT05M14.00S,2022-05-24T00:55:31.0Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,17,1,2022-05-24T00:55:31Z,890000,,,0,,J. Tatum Free Throw 1 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
90,PT05M14.00S,2022-05-24T00:55:31.7Z,1,REGULAR,substitution,out,[],200768,,,1610612738,17,1,2022-05-24T00:55:44Z,900000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
