actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M34.00S,2022-05-22T00:42:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,9.806176084099869,60.049019607843135,1610612748,0,5,2022-05-22T00:42:48Z,160000,-50.0,40.0,1,left,B. Adebayo 6' driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,6.4,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M08.00S,2022-05-22T00:43:07.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.82325886990802,50.245098039215684,1610612738,2,5,2022-05-22T00:43:11Z,170000,1.0,165.0,1,right,J. Brown 16' fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,16.54,Made,,,,,2.0,,,,,,,,,,,,,,
18,PT09M41.00S,2022-05-22T00:43:34.3Z,1,REGULAR,3pt,Jump Shot,[],200782,12.959921156373195,95.34313725490196,1610612748,2,8,2022-05-22T00:43:40Z,180000,-227.0,69.0,1,left,P. Tucker 3PT  (3 PTS) (J. Butler 1 AST),"[200782, 202710]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.71,Made,,,,,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,
20,PT09M22.00S,2022-05-22T00:43:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.72339027595268,51.9607843137255,1610612738,4,8,2022-05-22T00:43:57Z,200000,10.0,16.0,1,right,A. Horford driving Layup (2 PTS) (D. Theis 1 AST),"[201143, 1628464]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,1.87,Made,,,,,2.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
22,PT09M18.00S,2022-05-22T00:43:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.835085413929041,45.83333333333333,1610612748,4,10,2022-05-22T00:44:19Z,220000,21.0,21.0,1,left,J. Butler cutting Layup (2 PTS) (K. Lowry 2 AST),"[202710, 200768]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,2.96,Made,,,,,2.0,K. Lowry,200768.0,2.0,,,,,,,,,,,
24,PT09M18.00S,2022-05-22T00:44:04.9Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612748,4,10,2022-05-22T00:47:35Z,240000,,,0,,J. Brown shooting personal FOUL (1 PF) (Butler 1 FT),"[1627759, 202710]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Butler,202710.0,,,
26,PT09M18.00S,2022-05-22T00:44:18.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,4,10,2022-05-22T00:48:22Z,260000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M18.00S,2022-05-22T00:48:04.7Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,4,11,2022-05-22T00:48:04Z,270000,,,0,,J. Butler Free Throw 1 of 1 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
28,PT09M04.00S,2022-05-22T00:48:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,84.70762155059133,43.38235294117647,1610612738,4,11,2022-05-22T00:49:18Z,280000,-33.0,91.0,1,right,MISS J. Tatum 9' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,9.7,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M02.00S,2022-05-22T00:48:22.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,4,11,2022-05-22T00:48:25Z,290000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT08M58.00S,2022-05-22T00:48:26.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,31.35676741130092,62.745098039215684,1610612748,4,14,2022-05-22T00:48:31Z,300000,-64.0,242.0,1,left,K. Lowry 25' 3PT running pullup (3 PTS) (P. Tucker 1 AST),"[200768, 200782]",1610612748.0,MIA,running pullup,,,Lowry,K. Lowry,,,,,25.05,Made,,,,,3.0,P. Tucker,200782.0,1.0,,,,,,,,,,,
31,PT08M44.00S,2022-05-22T00:48:40.9Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,4,14,2022-05-22T00:48:44Z,310000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1.0,Butler,202710.0,,,,,,,,
32,PT08M44.00S,2022-05-22T00:48:40.9Z,1,REGULAR,steal,,[],202710,,,1610612748,4,14,2022-05-22T00:48:42Z,320000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M31.00S,2022-05-22T00:48:53.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,16.245072273324574,34.068627450980394,1610612748,4,16,2022-05-22T00:49:00Z,330000,80.0,100.0,1,left,B. Adebayo 12' turnaround Jump Shot (4 PTS),[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,12.8,Made,,,,,4.0,,,,,,,,,,,,,,
34,PT08M14.00S,2022-05-22T00:49:13.4Z,1,REGULAR,foul,personal,[],1629622,,,1610612738,4,16,2022-05-22T00:49:34Z,340000,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 203935]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Smart,203935.0,,,
37,PT08M05.00S,2022-05-22T00:49:39.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.72733245729303,25.98039215686275,1610612738,4,16,2022-05-22T00:49:51Z,360000,-120.0,232.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M02.00S,2022-05-22T00:49:42.1Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,4,16,2022-05-22T00:49:51Z,370000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
39,PT08M00.00S,2022-05-22T00:49:44.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201143,91.80354796320631,57.59803921568627,1610612738,4,16,2022-05-22T00:49:55Z,380000,38.0,25.0,1,right,MISS A. Horford turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,4.52,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M58.00S,2022-05-22T00:49:46.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,16,2022-05-22T00:49:55Z,390000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
41,PT07M50.00S,2022-05-22T00:49:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.915243101182654,58.82352941176471,1610612748,4,16,2022-05-22T00:49:59Z,400000,-44.0,13.0,1,left,MISS J. Butler driving reverse Layup,[202710],1610612748.0,MIA,driving reverse,,,Butler,J. Butler,,,,,4.58,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M49.00S,2022-05-22T00:49:55.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,16,2022-05-22T00:49:59Z,410000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
43,PT07M47.00S,2022-05-22T00:50:01.5Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612738,4,16,2022-05-22T00:50:20Z,420000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Brown 2 FT),"[200768, 1627759]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Brown,1627759.0,,,
45,PT07M47.00S,2022-05-22T00:50:25.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,5,16,2022-05-22T00:50:25Z,440000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
46,PT07M47.00S,2022-05-22T00:50:42.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,6,16,2022-05-22T00:50:42Z,450000,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
47,PT07M31.00S,2022-05-22T00:51:00.5Z,1,REGULAR,2pt,Jump Shot,[],1628389,22.683968462549277,49.50980392156863,1610612748,6,16,2022-05-22T00:52:04Z,460000,2.0,161.0,1,left,MISS B. Adebayo 16' pullup Shot - blocked,"[1628389, 201143]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,16.07,Missed,,,,,,,,,,,,,,,,,Horford,201143.0,
48,PT07M31.00S,2022-05-22T00:51:00.5Z,1,REGULAR,block,,[],201143,,,1610612748,6,16,2022-05-22T00:51:03Z,470000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2022-05-22T00:51:02.5Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,6,16,2022-05-22T00:51:10Z,480000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
50,PT07M28.00S,2022-05-22T00:51:04.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,20.05584756898817,57.59803921568627,1610612748,6,18,2022-05-22T00:51:13Z,490000,-38.0,136.0,1,left,B. Adebayo 14' Jump Shot (6 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,14.12,Made,,,,,6.0,,,,,,,,,,,,,,
51,PT07M18.00S,2022-05-22T00:51:13.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,89.56964520367937,2.941176470588235,1610612738,6,18,2022-05-22T00:51:19Z,500000,-235.0,46.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.97,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M16.00S,2022-05-22T00:51:15.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,18,2022-05-22T00:51:19Z,510000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
53,PT07M07.00S,2022-05-22T00:51:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.5722733245729295,47.794117647058826,1610612748,6,20,2022-05-22T00:51:29Z,520000,11.0,19.0,1,left,B. Adebayo driving reverse Layup (8 PTS),[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,2.17,Made,,,,,8.0,,,,,,,,,,,,,,
54,PT06M50.00S,2022-05-22T00:51:43.1Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,6,20,2022-05-22T00:52:26Z,530000,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Smart 2 FT),"[1628389, 203935]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Smart,203935.0,,,
56,PT06M50.00S,2022-05-22T00:52:27.7Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,6,20,2022-05-22T00:52:43Z,550000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,Common Foul Upheld
57,PT06M50.00S,2022-05-22T00:53:26.0Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,6,20,2022-05-22T00:53:26Z,560000,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2022-05-22T00:53:26.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,6,20,2022-05-22T00:53:26Z,570000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2022-05-22T00:53:27.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,6,20,2022-05-22T00:53:33Z,580000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2022-05-22T00:53:27.1Z,1,REGULAR,substitution,out,[],200768,,,1610612738,6,20,2022-05-22T00:53:33Z,590000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2022-05-22T00:53:27.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,20,2022-05-22T00:53:33Z,600000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2022-05-22T00:53:27.1Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,6,20,2022-05-22T00:53:33Z,610000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M50.00S,2022-05-22T00:53:44.9Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,7,20,2022-05-22T00:53:44Z,620000,,,0,,M. Smart Free Throw 2 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
64,PT06M43.00S,2022-05-22T00:53:57.8Z,1,REGULAR,foul,personal,[],201143,,,1610612748,7,20,2022-05-22T00:54:29Z,630000,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Adebayo,1628389.0,,,
66,PT06M28.00S,2022-05-22T00:54:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.2161629434954,36.029411764705884,1610612748,7,22,2022-05-22T00:54:33Z,650000,70.0,119.0,1,left,B. Adebayo 13' Jump Shot (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,13.78,Made,,,,,10.0,,,,,,,,,,,,,,
67,PT06M09.00S,2022-05-22T00:54:46.0Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,7,22,2022-05-22T00:54:49Z,660000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 202710]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,1.0,Butler,202710.0,,,,,,,,
68,PT06M09.00S,2022-05-22T00:54:46.0Z,1,REGULAR,steal,,[],202710,,,1610612748,7,22,2022-05-22T00:54:47Z,670000,,,0,,J. Butler STEAL (2 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2022-05-22T00:54:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629622,10.33180026281209,38.970588235294116,1610612748,7,24,2022-05-22T00:55:03Z,680000,55.0,45.0,1,left,M. Strus 7' cutting Layup (5 PTS) (B. Adebayo 1 AST),"[1629622, 1628389]",1610612748.0,MIA,cutting,,,Strus,M. Strus,,,,,7.09,Made,,,,,5.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,
71,PT05M37.00S,2022-05-22T00:55:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,92.85479632063075,56.86274509803921,1610612738,7,24,2022-05-22T00:56:27Z,700000,34.0,15.0,1,right,MISS G. Williams cutting Layup,[1629684],1610612738.0,BOS,cutting,,,Williams,G. Williams,,,,,3.73,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2022-05-22T00:55:21.8Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,7,24,2022-05-22T00:55:24Z,720000,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
74,PT05M28.00S,2022-05-22T00:55:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,7,24,2022-05-22T00:55:32Z,730000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2022-05-22T00:58:41.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,7,24,2022-05-22T00:59:08Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M28.00S,2022-05-22T00:58:41.9Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,7,24,2022-05-22T00:59:08Z,750000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M28.00S,2022-05-22T00:58:41.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612748,7,24,2022-05-22T00:59:08Z,760000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2022-05-22T00:58:41.9Z,1,REGULAR,substitution,in,[],203473,,,1610612748,7,24,2022-05-22T00:59:08Z,770000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2022-05-22T00:59:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,13.354139290407357,60.5392156862745,1610612748,7,24,2022-05-22T00:59:31Z,780000,-53.0,73.0,1,left,MISS M. Strus 9' driving Layup - blocked,"[1629622, 1628401]",1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,9.0,Missed,,,,,,,,,,,,,,,,,White,1628401.0,
92,PT05M19.00S,2022-05-22T00:59:22.3Z,1,REGULAR,block,,[],1628401,,,1610612748,7,24,2022-05-22T01:00:10Z,790000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M17.00S,2022-05-22T00:59:24.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,7,24,2022-05-22T00:59:31Z,800000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT05M01.00S,2022-05-22T00:59:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,90.88370565045992,55.392156862745104,1610612738,7,24,2022-05-22T00:59:48Z,810000,27.0,33.0,1,right,MISS M. Smart driving Layup - blocked,"[203935, 1629216]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,4.28,Missed,,,,,,,,,,,,,,,,,Vincent,1629216.0,
83,PT05M01.00S,2022-05-22T00:59:40.5Z,1,REGULAR,block,,[],1629216,,,1610612738,7,24,2022-05-22T00:59:42Z,820000,,,0,,G. Vincent BLOCK (1 BLK),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M59.00S,2022-05-22T00:59:42.5Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,7,24,2022-05-22T00:59:48Z,830000,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,82.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
85,PT04M58.00S,2022-05-22T00:59:44.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201143,90.27595269382391,57.62101715686274,1610612738,7,24,2022-05-22T00:59:59Z,840000,38.0,39.0,1,right,MISS A. Horford turnaround Hook,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,5.45,Missed,,,,,,,,,,,,,,,,,,,
86,PT04M57.00S,2022-05-22T00:59:45.9Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,7,24,2022-05-22T00:59:59Z,850000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
87,PT04M47.00S,2022-05-22T00:59:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,9.937582128777924,40.44117647058824,1610612748,7,24,2022-05-22T01:00:55Z,860000,48.0,41.0,1,left,MISS J. Butler 6' driving Layup - blocked,"[202710, 201143]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,6.29,Missed,,,,,,,,,,,,,,,,,Horford,201143.0,
88,PT04M47.00S,2022-05-22T00:59:54.3Z,1,REGULAR,block,,[],201143,,,1610612748,7,24,2022-05-22T00:59:56Z,870000,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M44.00S,2022-05-22T00:59:57.3Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,7,24,2022-05-22T01:00:03Z,880000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,87.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
