actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-22T00:41:06.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-22T00:41:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-22T00:41:08.4Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612738,0,0,2022-05-22T00:41:08Z,40000,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to D. Theis,"[1628464, 201143, 1628389]",1610612738.0,BOS,startperiod,D. Theis,1628464.0,Theis,D. Theis,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-05-22T00:41:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,89.7503285151117,60.071997549019606,1610612738,0,0,2022-05-22T00:42:25Z,70000,50.0,44.0,1,right,MISS J. Tatum 6' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,6.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-05-22T00:41:33.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2022-05-22T00:41:36Z,80000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-05-22T00:41:36.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629622,28.86005256241787,23.03921568627451,1610612748,0,3,2022-05-22T00:42:39Z,90000,135.0,219.0,1,left,M. Strus 25' 3PT running (3 PTS) (K. Lowry 1 AST),"[1629622, 200768]",1610612748.0,MIA,running,,,Strus,M. Strus,,,,,25.7,Made,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,,
11,PT11M12.00S,2022-05-22T00:41:54.2Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,0,3,2022-05-22T00:42:08Z,110000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 200768]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,,,
12,PT11M12.00S,2022-05-22T00:41:54.2Z,1,REGULAR,steal,,[],200768,,,1610612748,0,3,2022-05-22T00:42:17Z,120000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-05-22T00:42:07.0Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,0,3,2022-05-22T00:42:13Z,130000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,,,,,,,,,,,1.0,,,1148.0,,,,,,,
14,PT10M43.00S,2022-05-22T00:42:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,63.02562417871223,50.49019607843137,1610612738,0,3,2022-05-22T00:42:38Z,140000,2.0,295.0,1,right,MISS J. Brown 29' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,29.51,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2022-05-22T00:42:34.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,0,3,2022-05-22T00:42:38Z,150000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
