actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-06-03T01:09:14.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-03T01:09:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-06-03T01:09:16.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-06-03T01:09:16Z,40000,,,0,,Jump Ball R. Williams III vs. K. Looney: Tip to M. Smart,"[203935, 1629057, 1626172]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-06-03T01:09:31.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,76.03482260183968,25.98039215686275,1610612738,0,0,2022-06-03T01:09:34Z,70000,-120.0,173.0,1,right,MISS J. Tatum 21' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,21.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-06-03T01:09:33.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2022-06-03T01:10:12Z,80000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-06-03T01:09:48.0Z,1,REGULAR,3pt,Jump Shot,[],203952,33.98488830486202,52.20588235294118,1610612744,0,0,2022-06-03T01:09:50Z,90000,-11.0,267.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.72,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-06-03T01:09:50.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-06-03T01:10:07Z,100000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-06-03T01:09:57.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.88764783180025,67.8921568627451,1610612738,0,0,2022-06-03T01:09:59Z,110000,89.0,249.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-06-03T01:10:01.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2022-06-03T01:10:01Z,120000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-06-03T01:10:02.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2022-06-03T01:10:02Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-06-03T01:10:13.9Z,1,REGULAR,3pt,Jump Shot,[],201939,33.065045992115635,41.911764705882355,1610612744,0,0,2022-06-03T01:10:16Z,140000,40.0,258.0,1,left,MISS S. Curry 26' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
