actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-06-09T01:08:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-09T01:08:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-06-09T01:08:17.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-06-09T01:08:17Z,40000,,,0,,Jump Ball K. Looney vs. R. Williams III: Tip to D. Green,"[203110, 1626172, 1629057]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-06-09T01:08:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,8.754927726675426,47.794117647058826,1610612744,0,2,2022-06-09T01:08:36Z,70000,11.0,30.0,1,left,K. Looney Layup (2 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,3.18,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-06-09T01:08:45.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.33311432325887,24.754901960784316,1610612738,3,2,2022-06-09T01:08:51Z,80000,-126.0,236.0,1,right,J. Brown 26' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.74,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
10,PT11M08.00S,2022-06-09T01:09:05.2Z,1,REGULAR,3pt,Jump Shot,[],202691,29.6484888304862,22.30392156862745,1610612744,3,2,2022-06-09T01:09:12Z,100000,138.0,226.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-06-09T01:09:07.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,2,2022-06-09T01:09:12Z,110000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M03.00S,2022-06-09T01:09:13.6Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612738,3,2,2022-06-09T01:09:23Z,120000,,,0,,K. Looney shooting personal FOUL (1 PF) (Tatum 2 FT),"[1626172, 1628369]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,
14,PT11M03.00S,2022-06-09T01:10:09.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,3,2,2022-06-09T01:10:09Z,140000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2022-06-09T01:10:09.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,3,2,2022-06-09T01:10:09Z,150000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT11M03.00S,2022-06-09T01:10:27.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,4,2,2022-06-09T01:10:27Z,160000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
