actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-05-18T00:46:19.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-18T00:46:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-18T00:46:22.4Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-05-18T00:46:22Z,40000,,,0,,Jump Ball R. Williams III vs. B. Adebayo: Tip to G. Williams,"[1629684, 1629057, 1628389]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Williams III,1629057.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-05-18T00:46:40.0Z,1,REGULAR,3pt,Jump Shot,[],1629684,20.581471747700395,9.068627450980392,1610612738,0,3,2022-05-18T00:46:58Z,70000,205.0,141.0,1,left,G. Williams 24' 3PT step back (3 PTS) (J. Tatum 1 AST),"[1629684, 1628369]",1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,24.86,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-05-18T00:47:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,83.52496714848883,53.92156862745098,1610612748,0,3,2022-05-18T00:47:06Z,90000,20.0,102.0,1,right,MISS P. Tucker 10' floating Shot,[200782],1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,10.43,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2022-05-18T00:47:03.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,3,2022-05-18T00:59:04Z,100000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M02.00S,2022-05-18T00:47:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,9.543363994743759,49.754901960784316,1610612738,0,5,2022-05-18T00:47:21Z,110000,1.0,37.0,1,left,J. Tatum driving floating Jump Shot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,3.72,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
13,PT10M46.00S,2022-05-18T00:47:32.5Z,1,REGULAR,2pt,Jump Shot,[],202710,89.04402102496715,83.82352941176471,1610612748,0,5,2022-05-18T00:47:36Z,130000,169.0,50.0,1,right,MISS J. Butler 17' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,17.65,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-05-18T00:47:35.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,5,2022-05-18T00:47:36Z,140000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M42.00S,2022-05-18T00:47:39.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,7.30946123521682,48.529411764705884,1610612738,0,5,2022-05-18T00:48:00Z,150000,7.0,16.0,1,left,MISS J. Brown driving reverse Layup,[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,1.78,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-05-18T00:47:40.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,5,2022-05-18T00:48:00Z,160000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
