actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
76,PT04M53.00S,2022-05-20T00:59:39.3Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,18,15,2022-05-20T00:59:55Z,760000,,,0,,J. Butler step out-of-bounds TURNOVER (1 TO),[202710],1610612748.0,MIA,step,,,Butler,J. Butler,,,,,,,,,,,,,,,101284.0,,,,,,,1.0,,
77,PT04M53.00S,2022-05-20T00:59:47.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,18,15,2022-05-20T00:59:55Z,770000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M53.00S,2022-05-20T00:59:47.8Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,18,15,2022-05-20T00:59:55Z,780000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M53.00S,2022-05-20T00:59:47.8Z,1,REGULAR,substitution,in,[],203473,,,1610612738,18,15,2022-05-20T00:59:55Z,790000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M53.00S,2022-05-20T00:59:47.8Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,18,15,2022-05-20T00:59:55Z,800000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M53.00S,2022-05-20T00:59:58.9Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612738,18,15,2022-05-20T00:59:58Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M42.00S,2022-05-20T01:00:15.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,8.492115637319317,98.0392156862745,1610612738,18,15,2022-05-20T01:00:25Z,820000,-240.0,27.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.17,Missed,,,,,,,,,,,,,,,,,,
83,PT04M42.00S,2022-05-20T01:00:15.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,18,15,2022-05-20T01:00:25Z,830000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
84,PT04M25.00S,2022-05-20T01:00:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629216,69.07030223390277,18.38235294117647,1610612748,18,15,2022-05-20T01:01:54Z,840000,-158.0,238.0,1,right,MISS G. Vincent 28' pullup 3PT,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,28.59,Missed,,,,,,,,,,,,,,,,,,
85,PT04M22.00S,2022-05-20T01:00:35.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,15,2022-05-20T01:00:36Z,850000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,
86,PT04M14.00S,2022-05-20T01:00:46.3Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,18,15,2022-05-20T01:01:05Z,860000,,,0,,J. Tatum charge offensive FOUL (2 PF),"[1628369, 202710]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2714.0,2.0,0.0,Butler,202710.0,,,,,
88,PT04M14.00S,2022-05-20T01:00:46.3Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,18,15,2022-05-20T01:00:46Z,880000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2714.0,,,,,,,1.0,,
89,PT04M14.00S,2022-05-20T01:01:06.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,18,15,2022-05-20T01:01:09Z,890000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M14.00S,2022-05-20T01:01:06.8Z,1,REGULAR,substitution,in,[],1630202,,,1610612748,18,15,2022-05-20T01:01:09Z,900000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M00.00S,2022-05-20T01:01:26.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629639,77.7431011826544,31.862745098039213,1610612748,20,15,2022-05-20T01:02:30Z,910000,-91.0,157.0,1,right,T. Herro 18' pullup Jump Shot (2 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,18.11,Made,2.0,,,,,,,,,,,,,,,,,
92,PT04M00.00S,2022-05-20T01:01:29.7Z,1,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612748,20,15,2022-05-20T01:01:44Z,920000,,,0,,J. Brown shooting personal FOUL (1 PF) (Herro 1 FT),"[1627759, 1629639]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,2714.0,1.0,0.0,Herro,1629639.0,,,,,
94,PT04M00.00S,2022-05-20T01:01:52.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629639,,,1610612748,21,15,2022-05-20T01:01:52Z,940000,,,0,,T. Herro Free Throw 1 of 1 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
95,PT03M44.00S,2022-05-20T01:02:09.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,32.276609724047304,71.07843137254902,1610612738,21,18,2022-05-20T01:02:13Z,950000,-105.0,251.0,1,left,J. Brown 27' 3PT  (8 PTS) (M. Smart 4 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.21,Made,8.0,,,,,M. Smart,203935.0,4.0,,,,,,,,,,
97,PT03M26.00S,2022-05-20T01:02:27.5Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,21,18,2022-05-20T01:02:35Z,970000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 203935]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0
98,PT03M26.00S,2022-05-20T01:02:27.5Z,1,REGULAR,steal,,[],203935,,,1610612738,21,18,2022-05-20T01:02:30Z,980000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M24.00S,2022-05-20T01:02:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612738,21,18,2022-05-20T01:02:48Z,990000,,,0,,T. Herro shooting personal FOUL (1 PF) (Smart 2 FT),"[1629639, 203935]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,,,,,,,,,,,1662.0,1.0,0.0,Smart,203935.0,,,,,
101,PT03M24.00S,2022-05-20T01:02:57.2Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612738,21,18,2022-05-20T01:02:57Z,1010000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M24.00S,2022-05-20T01:03:02.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203935,,,1610612738,21,19,2022-05-20T01:03:02Z,1020000,,,0,,M. Smart Free Throw 1 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
103,PT03M24.00S,2022-05-20T01:03:09.5Z,1,REGULAR,substitution,out,[],200782,,,1610612738,21,19,2022-05-20T01:03:12Z,1030000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M24.00S,2022-05-20T01:03:09.5Z,1,REGULAR,substitution,in,[],203506,,,1610612738,21,19,2022-05-20T01:03:12Z,1040000,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M24.00S,2022-05-20T01:03:24.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",203935,,,1610612738,21,20,2022-05-20T01:03:24Z,1050000,,,0,,M. Smart Free Throw 2 of 2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
106,PT03M09.00S,2022-05-20T01:03:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629216,82.47371879106439,42.64705882352941,1610612748,21,20,2022-05-20T01:03:43Z,1060000,-37.0,112.0,1,right,MISS G. Vincent 11' turnaround fadeaway Shot,[1629216],1610612748.0,MIA,turnaround fadeaway,,,Vincent,G. Vincent,,,,,11.81,Missed,,,,,,,,,,,,,,,,,,
107,PT03M07.00S,2022-05-20T01:03:41.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,20,2022-05-20T01:03:41Z,1070000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,106.0,2.0,2.0,0.0,,,,,,,,,,,,,
108,PT02M56.00S,2022-05-20T01:03:53.6Z,1,REGULAR,3pt,Jump Shot,[],1630202,15.062417871222076,97.54901960784314,1610612738,21,23,2022-05-20T01:03:57Z,1080000,-238.0,89.0,1,left,P. Pritchard 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.39,Made,3.0,,,,,J. Brown,1627759.0,1.0,,,,,,,,,,
110,PT02M56.00S,2022-05-20T01:03:58.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,21,23,2022-05-20T01:03:58Z,1100000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M36.00S,2022-05-20T01:08:08.0Z,1,REGULAR,turnover,traveling,[],203506,,,1610612748,21,23,2022-05-20T01:08:48Z,1110000,,,0,,V. Oladipo traveling TURNOVER (1 TO),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,101284.0,,,,,,,1.0,,
112,PT02M14.00S,2022-05-20T01:08:37.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,25.04927726675427,13.725490196078432,1610612738,21,26,2022-05-20T01:08:43Z,1120000,181.0,183.0,1,left,M. Smart 25' 3PT  (5 PTS) (A. Horford 1 AST),"[203935, 201143]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.77,Made,5.0,,,,,A. Horford,201143.0,1.0,,,,,,,,,,
114,PT01M49.00S,2022-05-20T01:09:01.5Z,1,REGULAR,3pt,Jump Shot,[],203506,67.62483574244416,45.09803921568628,1610612748,21,26,2022-05-20T01:09:53Z,1140000,-25.0,252.0,1,right,MISS V. Oladipo 25' pullup 3PT,[203506],1610612748.0,MIA,pullup,,,Oladipo,V. Oladipo,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
115,PT01M45.00S,2022-05-20T01:09:05.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,26,2022-05-20T01:09:09Z,1150000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,114.0,3.0,3.0,0.0,,,,,,,,,,,,,
116,PT01M41.00S,2022-05-20T01:09:16.2Z,1,REGULAR,foul,offensive,[],201143,,,1610612738,21,26,2022-05-20T01:12:07Z,1160000,,,0,,A. Horford offensive FOUL (1 PF),"[201143, 203506]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,2714.0,1.0,0.0,Oladipo,203506.0,,,,,
118,PT01M41.00S,2022-05-20T01:09:16.2Z,1,REGULAR,turnover,offensive foul,[],201143,,,1610612738,21,26,2022-05-20T01:09:16Z,1180000,,,0,,A. Horford offensive foul TURNOVER (2 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,2714.0,,,,,,,2.0,,
127,PT01M41.00S,2022-05-20T01:09:31.8Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,21,26,2022-05-20T01:10:30Z,1185000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
128,PT01M41.00S,2022-05-20T01:09:31.8Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,21,26,2022-05-20T01:10:30Z,1187500,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M24.00S,2022-05-20T01:09:47.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,79.45137976346912,67.40196078431373,1610612748,21,26,2022-05-20T01:12:03Z,1190000,87.0,141.0,1,right,MISS J. Butler 16' turnaround fadeaway Shot,[202710],1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,16.54,Missed,,,,,,,,,,,,,,,,,,
120,PT01M22.00S,2022-05-20T01:09:49.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,21,26,2022-05-20T01:09:49Z,1200000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,119.0,4.0,4.0,0.0,,,,,,,,,,,,,
121,PT01M14.00S,2022-05-20T01:09:57.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,27.151773981603156,14.215686274509803,1610612738,21,29,2022-05-20T01:10:39Z,1210000,179.0,203.0,1,left,G. Williams 27' 3PT  (5 PTS) (J. Brown 2 AST),"[1629684, 1627759]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,27.04,Made,5.0,,,,,J. Brown,1627759.0,2.0,,,,,,,,,,
123,PT00M57.90S,2022-05-20T01:10:15.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,66.70499342969777,37.5,1610612748,21,29,2022-05-20T01:12:50Z,1230000,-62.0,260.0,1,right,MISS T. Herro 26' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,
124,PT00M57.90S,2022-05-20T01:10:15.3Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,21,29,2022-05-20T01:10:42Z,1240000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,
125,PT00M48.20S,2022-05-20T01:10:24.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,6.389618922470433,97.54901960784314,1610612738,21,32,2022-05-20T01:10:45Z,1250000,-238.0,8.0,1,left,G. Williams 3PT  (8 PTS) (A. Horford 2 AST),"[1629684, 201143]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.78,Made,8.0,,,,,A. Horford,201143.0,2.0,,,,,,,,,,
129,PT00M37.50S,2022-05-20T01:10:39.3Z,1,REGULAR,3pt,Jump Shot,[],202710,66.70499342969777,46.568627450980394,1610612748,24,32,2022-05-20T01:13:45Z,1270000,-17.0,260.0,1,right,J. Butler 26' 3PT pullup (7 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,26.11,Made,7.0,,,,,,,,,,,,,,,,,
130,PT00M29.60S,2022-05-20T01:10:54.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.305519053876477,79.65686274509804,1610612738,24,35,2022-05-20T01:11:01Z,1280000,-148.0,232.0,1,left,J. Brown 27' 3PT pullup (11 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.57,Made,11.0,,,,,,,,,,,,,,,,,
131,PT00M12.10S,2022-05-20T01:11:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,93.64323258869908,65.68627450980392,1610612748,24,35,2022-05-20T01:14:33Z,1290000,78.0,7.0,1,right,MISS J. Butler 7' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,7.87,Missed,,,,,,,,,,,,,,,,,,
132,PT00M09.70S,2022-05-20T01:11:16.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,24,35,2022-05-20T01:11:16Z,1300000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,131.0,3.0,3.0,0.0,,,,,,,,,,,,,
133,PT00M00.00S,2022-05-20T01:11:26.3Z,1,REGULAR,2pt,Jump Shot,[],1629684,11.383048620236531,23.774509803921568,1610612738,24,35,2022-05-20T01:11:47Z,1310000,131.0,55.0,1,left,MISS G. Williams 14' pullup Shot,[1629684],1610612738.0,BOS,pullup,,,Williams,G. Williams,,,,,14.2,Missed,,,,,,,,,,,,,,,,,,
134,PT00M00.00S,2022-05-20T01:11:26.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,24,35,2022-05-20T01:11:47Z,1320000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,
135,PT00M00.00S,2022-05-20T01:11:37.0Z,1,REGULAR,period,end,[],0,,,1610612738,24,35,2022-05-20T01:11:37Z,1330000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,out,['startperiod'],203473,,,1610612738,24,35,2022-05-20T01:15:23Z,1340000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,24,35,2022-05-20T01:15:23Z,1350000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,24,35,2022-05-20T01:15:23Z,1360000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612738,24,35,2022-05-20T01:15:23Z,1370000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612738,24,35,2022-05-20T01:15:23Z,1380000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,in,['startperiod'],1629622,,,1610612738,24,35,2022-05-20T01:15:23Z,1390000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,24,35,2022-05-20T01:15:23Z,1400000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-05-20T01:11:43.0Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612738,24,35,2022-05-20T01:15:23Z,1410000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2022-05-20T01:15:21.4Z,2,REGULAR,period,start,[],0,,,1610612738,24,35,2022-05-20T01:15:23Z,1420000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT11M37.00S,2022-05-20T01:15:43.6Z,2,REGULAR,3pt,Jump Shot,[],1628369,30.85988830486202,31.395526960784316,1610612738,24,38,2022-05-20T01:15:54Z,1430000,93.0,238.0,1,left,J. Tatum 25' 3PT  (6 PTS) (J. Brown 3 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.52,Made,6.0,,,,,J. Brown,1627759.0,3.0,,,,,,,,,,
147,PT11M23.00S,2022-05-20T01:16:03.4Z,2,REGULAR,foul,personal,[],1629684,,,1610612748,24,38,2022-05-20T01:16:12Z,1450000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1629639]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1662.0,1.0,0.0,Herro,1629639.0,,,,,
149,PT11M15.00S,2022-05-20T01:16:26.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,93.64323258869908,48.03921568627451,1610612748,26,38,2022-05-20T01:16:31Z,1470000,-10.0,7.0,1,right,T. Herro driving reverse Layup (5 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,driving reverse,,,Herro,T. Herro,,,,,1.22,Made,5.0,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,,,
151,PT10M54.00S,2022-05-20T01:16:47.2Z,2,REGULAR,3pt,Jump Shot,[],1627759,30.831143232588698,74.75490196078431,1610612738,26,38,2022-05-20T01:16:52Z,1490000,-124.0,237.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,
152,PT10M51.00S,2022-05-20T01:16:50.2Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,26,38,2022-05-20T01:16:52Z,1500000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,151.0,2.0,1.0,1.0,,,,,,,,,,,,,
153,PT10M44.00S,2022-05-20T01:16:59.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,93.11760840998686,53.92156862745098,1610612748,26,38,2022-05-20T01:17:04Z,1510000,20.0,12.0,1,right,MISS C. Martin driving Layup - blocked,"[1628997, 1629057]",1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,2.31,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,
154,PT10M44.00S,2022-05-20T01:16:59.4Z,2,REGULAR,block,,[],1629057,,,1610612748,26,38,2022-05-20T01:17:02Z,1520000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
155,PT10M44.00S,2022-05-20T01:16:59.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,26,38,2022-05-20T01:17:04Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,
156,PT10M44.00S,2022-05-20T01:17:05.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,26,38,2022-05-20T01:17:05Z,1540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT10M35.00S,2022-05-20T01:17:28.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,78.9257555847569,68.38235294117648,1610612748,28,38,2022-05-20T01:17:53Z,1550000,92.0,146.0,1,right,T. Herro 17' pullup Jump Shot (7 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,17.22,Made,7.0,,,,,,,,,,,,,,,,,
158,PT10M14.00S,2022-05-20T01:17:49.6Z,2,REGULAR,3pt,Jump Shot,[],1630202,8.754927726675426,2.2058823529411766,1610612738,28,38,2022-05-20T01:17:56Z,1560000,239.0,30.0,1,left,MISS P. Pritchard 24' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,24.09,Missed,,,,,,,,,,,,,,,,,,
159,PT10M14.00S,2022-05-20T01:17:49.6Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,28,38,2022-05-20T01:17:56Z,1570000,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,158.0,3.0,2.0,1.0,,,,,,,,,,,,,
160,PT10M04.00S,2022-05-20T01:17:59.9Z,2,REGULAR,2pt,Jump Shot,[],1629639,94.82588699080158,12.990196078431374,1610612748,28,38,2022-05-20T01:18:05Z,1580000,-185.0,-4.0,1,right,MISS T. Herro 18' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,18.5,Missed,,,,,,,,,,,,,,,,,,
161,PT10M04.00S,2022-05-20T01:18:04.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,28,38,2022-05-20T01:18:04Z,1590000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,
162,PT10M04.00S,2022-05-20T01:18:05.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,28,38,2022-05-20T01:18:05Z,1600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT10M04.00S,2022-05-20T01:18:06.5Z,2,REGULAR,substitution,out,[],1627759,,,1610612748,28,38,2022-05-20T01:18:20Z,1610000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M04.00S,2022-05-20T01:18:06.5Z,2,REGULAR,substitution,in,[],203935,,,1610612748,28,38,2022-05-20T01:18:20Z,1620000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
165,PT09M55.00S,2022-05-20T01:18:25.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,94.69448094612353,71.32352941176471,1610612748,28,38,2022-05-20T01:18:28Z,1630000,107.0,-3.0,1,right,MISS T. Herro 10' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,10.66,Missed,,,,,,,,,,,,,,,,,,
166,PT09M53.00S,2022-05-20T01:18:27.3Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,28,38,2022-05-20T01:18:28Z,1640000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,165.0,2.0,2.0,0.0,,,,,,,,,,,,,
