actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-06-06T00:08:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-06T00:08:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-06-06T00:08:23.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-06-06T00:08:23Z,40000,,,0,,Jump Ball R. Williams III vs. K. Looney: Tip to M. Smart,"[203935, 1629057, 1626172]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-06-06T00:08:53.3Z,1,REGULAR,jumpball,recovered,[],1629057,,,1610612738,0,0,2022-06-06T00:08:53Z,70000,,,0,,Jump Ball A. Horford vs. D. Green: Tip to R. Williams III,"[1629057, 201143, 203110]",1610612738.0,BOS,heldball,R. Williams III,1629057.0,Williams III,R. Williams III,Horford,201143.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-06-06T00:09:11.4Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2022-06-06T00:09:13Z,100000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,1146.0,1.0,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-06-06T00:09:27.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,30.962549277266753,60.78431372549019,1610612744,3,0,2022-06-06T00:09:31Z,110000,-54.0,239.0,1,left,A. Wiggins 24' 3PT pullup (3 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,24.45,Made,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,
13,PT11M16.00S,2022-06-06T00:09:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,73.14388961892247,12.745098039215685,1610612738,3,3,2022-06-06T00:09:39Z,130000,-186.0,200.0,1,right,J. Brown 27' 3PT  (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,27.33,Made,3.0,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-06-06T00:09:42.2Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,3,3,2022-06-06T00:09:54Z,140000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1628369]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,1.0,,,,,,,Tatum,1628369.0,,,,,,,,,,
15,PT11M11.00S,2022-06-06T00:09:42.2Z,1,REGULAR,steal,,[],1628369,,,1610612738,3,3,2022-06-06T00:09:45Z,150000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2022-06-06T00:09:46.1Z,1,REGULAR,foul,personal,[],1626172,,,1610612738,3,3,2022-06-06T00:19:01Z,160000,,,0,,K. Looney take personal FOUL (1 PF),"[1626172, 1628369]",1610612744.0,GSW,take,,,Looney,K. Looney,,,,,201639.0,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,
18,PT10M57.00S,2022-06-06T00:10:14.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,84.70762155059133,42.64705882352941,1610612738,3,5,2022-06-06T00:19:07Z,180000,-37.0,91.0,1,right,M. Smart 9' driving Layup (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,9.83,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,
