actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
20,PT10M46.00S,2022-06-06T00:10:24.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,33.459264126149804,48.77450980392157,1610612744,3,5,2022-06-06T00:10:30Z,200000,6.0,262.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,26.21,Missed,,,,,,,,,,,,,,,,
21,PT10M44.00S,2022-06-06T00:10:26.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,3,5,2022-06-06T00:10:30Z,210000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M39.00S,2022-06-06T00:10:31.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,75.77201051248358,12.254901960784313,1610612738,3,8,2022-06-06T00:19:13Z,220000,-189.0,175.0,1,right,J. Brown 25' 3PT running pullup (6 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,25.75,Made,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,
24,PT10M25.00S,2022-06-06T00:10:46.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,7.966491458607096,45.588235294117645,1610612744,5,8,2022-06-06T00:10:47Z,240000,22.0,22.0,1,left,K. Looney DUNK (2 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,3.15,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,
26,PT10M09.00S,2022-06-06T00:11:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.93495400788436,54.65686274509803,1610612738,5,10,2022-06-06T00:11:04Z,260000,23.0,23.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,3.3,Made,2.0,,,,,,,,,,,,,,,
27,PT09M51.00S,2022-06-06T00:11:21.7Z,1,REGULAR,turnover,out-of-bounds,[],202691,,,1610612744,5,10,2022-06-06T00:11:23Z,270000,,,0,,K. Thompson bad pass out-of-bounds TURNOVER (1 TO),[202691],1610612744.0,GSW,bad pass,,,Thompson,K. Thompson,,,,,2534.0,1.0,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-06-06T00:11:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,89.17542706964521,58.82352941176471,1610612738,5,12,2022-06-06T00:11:56Z,280000,44.0,49.0,1,right,J. Brown 6' driving Layup (8 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,6.61,Made,8.0,M. Smart,203935.0,1.0,,,,,,,,,,,,
30,PT09M36.00S,2022-06-06T00:11:57.7Z,1,REGULAR,foul,personal,['1freethrow'],203952,,,1610612738,5,12,2022-06-06T00:12:06Z,300000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Brown 1 FT),"[203952, 1627759]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,1146.0,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,
32,PT09M36.00S,2022-06-06T00:12:15.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627759,,,1610612738,5,13,2022-06-06T00:12:15Z,320000,,,0,,J. Brown Free Throw 1 of 1 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
33,PT09M23.00S,2022-06-06T00:12:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,14.14257555847569,47.794117647058826,1610612744,5,13,2022-06-06T00:12:37Z,330000,11.0,80.0,1,left,MISS S. Curry 8' driving finger roll Layup - blocked,"[201939, 1629057]",1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,,,8.11,Missed,,,,,,,,,,,,,,,Williams III,1629057.0
77,PT09M23.00S,2022-06-06T00:12:35.0Z,1,REGULAR,block,,[],1629057,,,1610612744,5,13,2022-06-06T00:18:24Z,335000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M20.00S,2022-06-06T00:12:38.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,5,13,2022-06-06T00:18:24Z,340000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,33.0,2.0,2.0,0.0,,
35,PT09M18.00S,2022-06-06T00:12:40.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,69.85873850197109,71.56862745098039,1610612738,5,13,2022-06-06T00:19:22Z,350000,108.0,231.0,1,right,MISS J. Tatum 25' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,,,25.47,Missed,,,,,,,,,,,,,,,,
36,PT09M17.00S,2022-06-06T00:12:41.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,5,13,2022-06-06T00:12:53Z,360000,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,
38,PT09M05.00S,2022-06-06T00:13:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,6.389618922470433,56.127450980392155,1610612744,5,13,2022-06-06T00:13:05Z,380000,-31.0,8.0,1,left,MISS A. Wiggins driving Layup - blocked,"[203952, 201143]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,3.15,Missed,,,,,,,,,,,,,,,Horford,201143.0
39,PT09M05.00S,2022-06-06T00:13:03.8Z,1,REGULAR,block,,[],201143,,,1610612744,5,13,2022-06-06T00:13:07Z,390000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M02.00S,2022-06-06T00:13:07.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,13,2022-06-06T00:13:07Z,400000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,
41,PT08M59.00S,2022-06-06T00:13:10.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,71.96123521681997,79.41176470588235,1610612738,5,13,2022-06-06T00:13:13Z,410000,147.0,211.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,25.73,Missed,,,,,,,,,,,,,,,,
42,PT08M57.00S,2022-06-06T00:13:12.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,13,2022-06-06T00:29:21Z,420000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,
45,PT08M43.00S,2022-06-06T00:13:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.966491458607096,42.8921568627451,1610612744,7,13,2022-06-06T00:13:29Z,450000,36.0,22.0,1,left,K. Looney reverse Layup (4 PTS) (D. Green 1 AST),"[1626172, 203110]",1610612744.0,GSW,reverse,,,Looney,K. Looney,,,,,,,4.2,Made,4.0,D. Green,203110.0,1.0,,,,,,,,,,,,
47,PT08M27.00S,2022-06-06T00:13:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,82.34231274638634,63.970588235294116,1610612738,7,13,2022-06-06T00:13:55Z,470000,70.0,113.0,1,right,MISS J. Tatum 13' turnaround Shot - blocked,"[1628369, 203110]",1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,,13.33,Missed,,,,,,,,,,,,,,,Green,203110.0
48,PT08M27.00S,2022-06-06T00:13:41.6Z,1,REGULAR,block,,[],203110,,,1610612738,7,13,2022-06-06T00:13:45Z,480000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M24.00S,2022-06-06T00:13:44.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,7,13,2022-06-06T00:13:55Z,490000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,
50,PT08M23.00S,2022-06-06T00:13:47.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,10.726018396846255,4.901960784313726,1610612744,7,13,2022-06-06T00:19:28Z,500000,225.0,48.0,1,left,MISS K. Thompson running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,,,23.06,Missed,,,,,,,,,,,,,,,,
51,PT08M21.00S,2022-06-06T00:13:49.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,13,2022-06-06T00:18:34Z,510000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,
52,PT08M06.00S,2022-06-06T00:14:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,89.04402102496715,40.931372549019606,1610612738,7,13,2022-06-06T00:14:04Z,520000,-45.0,50.0,1,right,MISS J. Brown 6' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,6.78,Missed,,,,,,,,,,,,,,,,
53,PT08M03.00S,2022-06-06T00:14:05.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,7,13,2022-06-06T00:14:05Z,530000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,
55,PT07M44.00S,2022-06-06T00:14:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,16.770696452036795,39.705882352941174,1610612744,9,13,2022-06-06T00:14:49Z,550000,51.0,105.0,1,left,S. Curry 11' driving floating Jump Shot (2 PTS),[201939],1610612744.0,GSW,driving floating,,,Curry,S. Curry,,,,,,,11.7,Made,2.0,,,,,,,,,,,,,,,
56,PT07M20.00S,2022-06-06T00:15:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.99277266754271,35.049019607843135,1610612738,9,13,2022-06-06T00:21:47Z,560000,-75.0,60.0,1,right,MISS J. Tatum 9' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,9.61,Missed,,,,,,,,,,,,,,,,
57,PT07M18.00S,2022-06-06T00:15:10.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,9,13,2022-06-06T00:21:47Z,570000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,
58,PT07M18.00S,2022-06-06T00:15:15.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,94.40999984741211,50.0,1610612738,9,13,2022-06-06T00:21:51Z,580000,0.0,0.0,1,right,MISS J. Tatum tip Layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
59,PT07M18.00S,2022-06-06T00:15:15.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,13,2022-06-06T00:21:51Z,590000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,
61,PT07M13.00S,2022-06-06T00:15:41.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,75.50919842312747,85.29411764705883,1610612738,9,16,2022-06-06T00:15:44Z,610000,176.0,178.0,1,right,J. Tatum 25' 3PT step back (5 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,25.05,Made,5.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,
63,PT07M02.00S,2022-06-06T00:15:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,7.046649145860711,60.29411764705882,1610612744,11,16,2022-06-06T00:22:40Z,630000,-51.0,14.0,1,left,D. Green driving Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,,,5.33,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,
65,PT07M02.00S,2022-06-06T00:15:58.3Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612744,11,16,2022-06-06T00:16:05Z,650000,,,0,,A. Horford shooting personal FOUL (1 PF) (Green 1 FT),"[201143, 203110]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,1146.0,,,,,,,,,,1.0,0.0,Green,203110.0,,,,,,
67,PT07M02.00S,2022-06-06T00:16:18.3Z,1,REGULAR,freethrow,1 of 1,[],203110,,,1610612744,11,16,2022-06-06T00:16:18Z,670000,,,0,,MISS D. Green Free Throw 1 of 1,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,
68,PT07M01.00S,2022-06-06T00:16:21.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,11,16,2022-06-06T00:16:21Z,680000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,
70,PT07M01.00S,2022-06-06T00:16:55.2Z,1,REGULAR,foul,personal,[],1628369,,,1610612744,11,16,2022-06-06T00:17:25Z,700000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 203110]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1146.0,,,,,,,,,,1.0,0.0,Green,203110.0,,,,,,
72,PT06M47.00S,2022-06-06T00:17:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201939,6.258212877792378,41.42156862745098,1610612744,11,16,2022-06-06T00:17:48Z,720000,43.0,6.0,1,left,MISS S. Curry driving Layup,[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,,,4.34,Missed,,,,,,,,,,,,,,,,
73,PT06M47.00S,2022-06-06T00:17:48.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,11,16,2022-06-06T00:17:48Z,730000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,
74,PT06M47.00S,2022-06-06T00:17:57.5Z,1,REGULAR,foul,personal,[],1627759,,,1610612744,11,16,2022-06-06T00:18:12Z,740000,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 1626172]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,201639.0,,,,,,,,,,1.0,0.0,Looney,1626172.0,,,,,,
76,PT06M47.00S,2022-06-06T00:18:05.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,11,16,2022-06-06T00:18:05Z,760000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M44.00S,2022-06-06T00:21:48.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,23.47240473061761,7.8431372549019605,1610612744,11,16,2022-06-06T00:21:52Z,770000,211.0,168.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,26.96,Missed,,,,,,,,,,,,,,,,
79,PT06M42.00S,2022-06-06T00:21:52.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,11,16,2022-06-06T00:21:52Z,780000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,
81,PT06M25.00S,2022-06-06T00:22:13.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,94.1688567674113,94.6078431372549,1610612738,11,16,2022-06-06T00:22:15Z,800000,223.0,2.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,22.3,Missed,,,,,,,,,,,,,,,,
82,PT06M22.00S,2022-06-06T00:22:16.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,11,16,2022-06-06T00:22:16Z,810000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,81.0,2.0,2.0,0.0,,
83,PT06M12.00S,2022-06-06T00:22:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,9.543363994743759,39.46078431372549,1610612744,11,16,2022-06-06T00:22:28Z,820000,53.0,37.0,1,left,MISS A. Wiggins 6' driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,6.45,Missed,,,,,,,,,,,,,,,,
84,PT06M09.00S,2022-06-06T00:22:28.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,16,2022-06-06T00:22:28Z,830000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,83.0,2.0,2.0,0.0,,
85,PT06M07.00S,2022-06-06T00:22:35.3Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,11,16,2022-06-06T00:22:36Z,840000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (2 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,2534.0,2.0,,,,,,,,,,,,,,,,,,
86,PT06M07.00S,2022-06-06T00:22:38.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612744,11,16,2022-06-06T00:22:47Z,850000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M07.00S,2022-06-06T00:22:38.6Z,1,REGULAR,substitution,out,[],1629057,,,1610612744,11,16,2022-06-06T00:22:47Z,860000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M07.00S,2022-06-06T00:22:38.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612744,11,16,2022-06-06T00:22:47Z,870000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M07.00S,2022-06-06T00:22:38.6Z,1,REGULAR,substitution,in,[],1628401,,,1610612744,11,16,2022-06-06T00:22:47Z,880000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M49.00S,2022-06-06T00:23:17.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202691,13.485545335085414,50.49019607843137,1610612744,13,16,2022-06-06T00:23:20Z,890000,-2.0,74.0,1,left,K. Thompson 7' fadeaway Jump Shot (2 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,,,7.43,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,,,,
93,PT05M30.00S,2022-06-06T00:23:42.6Z,1,REGULAR,substitution,out,[],1626172,,,1610612738,13,16,2022-06-06T00:23:57Z,920000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M30.00S,2022-06-06T00:23:42.6Z,1,REGULAR,substitution,out,[],203952,,,1610612738,13,16,2022-06-06T00:23:57Z,930000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M30.00S,2022-06-06T00:23:42.6Z,1,REGULAR,substitution,in,[],1629673,,,1610612738,13,16,2022-06-06T00:23:57Z,940000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M30.00S,2022-06-06T00:23:42.6Z,1,REGULAR,substitution,in,[],1627780,,,1610612738,13,16,2022-06-06T00:23:57Z,950000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M22.00S,2022-06-06T00:24:09.7Z,1,REGULAR,3pt,Jump Shot,[],203935,70.51576872536137,79.65686274509804,1610612738,13,16,2022-06-06T00:24:12Z,960000,148.0,225.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,26.92,Missed,,,,,,,,,,,,,,,,
98,PT05M19.00S,2022-06-06T00:24:12.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,13,16,2022-06-06T00:24:12Z,970000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,97.0,1.0,1.0,0.0,,
99,PT05M13.00S,2022-06-06T00:24:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,7.966491458607096,46.32352941176471,1610612744,13,16,2022-06-06T00:25:16Z,980000,18.0,22.0,1,left,MISS K. Thompson driving finger roll Layup,[202691],1610612744.0,GSW,driving finger roll,,,Thompson,K. Thompson,,,,,,,2.9,Missed,,,,,,,,,,,,,,,,
100,PT05M11.00S,2022-06-06T00:24:21.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,13,16,2022-06-06T00:24:39Z,990000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,99.0,1.0,1.0,0.0,,
101,PT04M59.00S,2022-06-06T00:24:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,91.5407358738502,42.40196078431372,1610612738,13,18,2022-06-06T00:24:34Z,1000000,-38.0,27.0,1,right,G. Williams Layup (2 PTS) (M. Smart 2 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,4.66,Made,2.0,M. Smart,203935.0,2.0,,,,,,,,,,,,
