actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
88,PT04M28.00S,2022-05-28T01:00:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,73.9323258869908,86.27450980392157,1610612738,12,19,2022-05-28T01:01:03Z,880000,181.0,193.0,1,right,J. Brown 26' 3PT running pullup (3 PTS),[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,,26.45,Made,,,,,,3.0,,,,,,,,,,
89,PT03M58.00S,2022-05-28T01:01:25.7Z,1,REGULAR,turnover,lost ball,[],1628997,,,1610612748,12,19,2022-05-28T01:01:28Z,890000,,,0,,C. Martin lost ball TURNOVER (1 TO),"[1628997, 1628369]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,
90,PT03M58.00S,2022-05-28T01:01:25.7Z,1,REGULAR,steal,,[],1628369,,,1610612738,12,19,2022-05-28T01:01:27Z,900000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M52.00S,2022-05-28T01:01:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612738,12,19,2022-05-28T01:01:45Z,910000,,,0,,M. Strus shooting personal FOUL (1 PF) (Brown 2 FT),"[1629622, 1627759]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,,,,,,,,,,2004.0,,,,,1.0,0.0,Brown,1627759.0,,,
93,PT03M52.00S,2022-05-28T01:02:02.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,13,19,2022-05-28T01:03:28Z,972500,,,0,,J. Brown Free Throw 1 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,Made,,,,,,4.0,,,,,,,,,,
115,PT03M52.00S,2022-05-28T01:02:23.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,19,2022-05-28T01:06:12Z,973125,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M52.00S,2022-05-28T01:02:23.9Z,1,REGULAR,substitution,out,[],200768,,,1610612738,13,19,2022-05-28T01:06:12Z,973437,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M52.00S,2022-05-28T01:02:23.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,13,19,2022-05-28T01:06:12Z,973593,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M52.00S,2022-05-28T01:02:23.9Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,13,19,2022-05-28T01:06:12Z,973671,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M52.00S,2022-05-28T01:02:02.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,14,19,2022-05-28T01:03:28Z,973750,,,0,,J. Brown Free Throw 2 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,Made,,,,,,5.0,,,,,,,,,,
99,PT03M39.00S,2022-05-28T01:02:45.7Z,1,REGULAR,2pt,Jump Shot,[],1628997,20.581471747700395,74.01960784313727,1610612748,14,19,2022-05-28T01:02:53Z,975000,-120.0,141.0,1,left,MISS C. Martin 18' Jump Shot,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,18.52,Missed,,,,,,,,,,,,,,,,
100,PT03M38.00S,2022-05-28T01:02:46.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,14,19,2022-05-28T01:02:53Z,977500,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,
101,PT03M38.00S,2022-05-28T01:02:51.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612748,14,19,2022-05-28T01:03:15Z,1010000,,,0,,G. Williams loose ball personal FOUL (1 PF),"[1629684, 1628389]",1610612738.0,BOS,loose ball,,,Williams,G. Williams,,,,,,,,,,,,,,2715.0,,,,,1.0,0.0,Adebayo,1628389.0,,,
103,PT03M29.00S,2022-05-28T01:03:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,10.33180026281209,43.13725490196079,1610612748,14,19,2022-05-28T01:03:42Z,1030000,34.0,45.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,5.63,Missed,,,,,,,,,,,,,,,,
104,PT03M28.00S,2022-05-28T01:03:18.5Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,14,19,2022-05-28T01:04:26Z,1040000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,103.0,1.0,0.0,1.0,,,,,,,,,,,,
105,PT03M28.00S,2022-05-28T01:03:22.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628997,5.590000152587891,50.0,1610612748,14,19,2022-05-28T01:04:34Z,1050000,0.0,0.0,1,left,MISS C. Martin tip Layup,[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
106,PT03M27.00S,2022-05-28T01:03:23.1Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,14,19,2022-05-28T01:04:34Z,1060000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,105.0,3.0,2.0,1.0,,,,,,,,,,,,
107,PT03M26.00S,2022-05-28T01:03:24.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202710,5.590000152587891,50.0,1610612748,14,19,2022-05-28T01:05:26Z,1070000,0.0,0.0,1,left,MISS J. Butler tip Layup - blocked,"[202710, 1629057]",1610612748.0,MIA,tip,,,Butler,J. Butler,,,,,,,,0.0,Missed,,,,,,,,,,,,,,Williams III,1629057.0,
114,PT03M26.00S,2022-05-28T01:03:24.2Z,1,REGULAR,block,,[],1629057,,,1610612748,14,19,2022-05-28T01:03:53Z,1075000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M25.00S,2022-05-28T01:03:25.2Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,14,19,2022-05-28T01:05:26Z,1080000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,107.0,2.0,1.0,1.0,,,,,,,,,,,,
109,PT03M24.00S,2022-05-28T01:03:26.1Z,1,REGULAR,2pt,Jump Shot,"['2ndchance', 'pointsinthepaint']",1628389,5.590000152587891,50.0,1610612748,14,19,2022-05-28T01:08:38Z,1090000,0.0,0.0,1,left,MISS B. Adebayo turnaround Shot,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
110,PT03M22.00S,2022-05-28T01:03:28.1Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,14,19,2022-05-28T01:05:19Z,1100000,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,109.0,3.0,1.0,2.0,,,,,,,,,,,,
113,PT03M19.00S,2022-05-28T01:03:43.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,19,2022-05-28T01:03:43Z,1130000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M08.00S,2022-05-28T01:07:29.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629622,14.011169513797633,35.53921568627451,1610612748,14,19,2022-05-28T01:07:34Z,1140000,72.0,79.0,1,left,MISS M. Strus 10' driving floating bank Shot,[1629622],1610612748.0,MIA,driving floating bank,,,Strus,M. Strus,,,,,,,,10.72,Missed,,,,,,,,,,,,,,,,
120,PT03M06.00S,2022-05-28T01:07:31.4Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,14,19,2022-05-28T01:07:34Z,1150000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,
121,PT02M53.00S,2022-05-28T01:07:47.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629216,,,1610612738,14,19,2022-05-28T01:07:54Z,1160000,,,0,,G. Vincent shooting personal FOUL (1 PF) (White 2 FT),"[1629216, 1628401]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,,,,2004.0,,,,,1.0,0.0,White,1628401.0,,,
123,PT02M53.00S,2022-05-28T01:08:19.2Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,15,19,2022-05-28T01:08:19Z,1180000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,Made,,,,,,1.0,,,,,,,,,,
124,PT02M53.00S,2022-05-28T01:08:36.9Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,16,19,2022-05-28T01:08:36Z,1190000,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,Made,,,,,,2.0,,,,,,,,,,
125,PT02M44.00S,2022-05-28T01:08:48.0Z,1,REGULAR,3pt,Jump Shot,[],202710,7.30946123521682,94.6078431372549,1610612748,16,22,2022-05-28T01:08:52Z,1200000,-223.0,16.0,1,left,J. Butler 3PT  (10 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,22.36,Made,,,,,,10.0,G. Vincent,1629216.0,1.0,,,,,,,
127,PT02M18.00S,2022-05-28T01:09:13.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,93.29829172141918,75.51317401960785,1610612738,18,22,2022-05-28T01:09:21Z,1220000,128.0,10.0,1,right,J. Brown 12' turnaround fadeaway Jump Shot (7 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,,12.8,Made,,,,,,7.0,,,,,,,,,,
128,PT02M00.00S,2022-05-28T01:09:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628997,21.23850197109067,6.127450980392156,1610612748,18,25,2022-05-28T01:09:36Z,1230000,219.0,147.0,1,left,C. Martin 26' 3PT  (5 PTS) (J. Butler 4 AST),"[1628997, 202710]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,26.41,Made,,,,,,5.0,J. Butler,202710.0,4.0,,,,,,,
130,PT01M40.00S,2022-05-28T01:09:57.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,18,25,2022-05-28T01:09:57Z,1250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M40.00S,2022-05-28T01:09:58.3Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,18,25,2022-05-28T01:10:01Z,1260000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT01M40.00S,2022-05-28T01:09:58.3Z,1,REGULAR,substitution,in,[],1629130,,,1610612738,18,25,2022-05-28T01:10:01Z,1270000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M36.00S,2022-05-28T01:10:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,82.07950065703022,49.01960784313725,1610612738,18,25,2022-05-28T01:10:20Z,1280000,-5.0,116.0,1,right,MISS G. Williams 11' turnaround Shot,[1629684],1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,,,,11.61,Missed,,,,,,,,,,,,,,,,
134,PT01M33.00S,2022-05-28T01:10:19.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,18,25,2022-05-28T01:10:20Z,1290000,,,0,,J. Butler REBOUND (Off:1 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,133.0,4.0,3.0,1.0,,,,,,,,,,,,
135,PT01M25.00S,2022-05-28T01:10:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,10.463206307490145,46.568627450980394,1610612748,18,25,2022-05-28T01:11:45Z,1300000,17.0,46.0,1,left,MISS J. Butler floating Shot,[202710],1610612748.0,MIA,floating,,,Butler,J. Butler,,,,,,,,4.9,Missed,,,,,,,,,,,,,,,,
136,PT01M23.00S,2022-05-28T01:10:28.8Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,18,25,2022-05-28T01:10:40Z,1310000,,,0,,J. Butler REBOUND (Off:2 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,135.0,5.0,3.0,2.0,,,,,,,,,,,,
137,PT01M18.00S,2022-05-28T01:10:33.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202710,14.273981603153747,39.46078431372549,1610612748,18,27,2022-05-28T01:12:11Z,1320000,53.0,82.0,1,left,J. Butler 9' turnaround Jump Shot (12 PTS),[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,,,,9.72,Made,,,,,,12.0,,,,,,,,,,
138,PT01M04.00S,2022-05-28T01:10:51.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202710,,,1610612738,18,27,2022-05-28T01:11:10Z,1330000,,,0,,J. Butler personal FOUL (1 PF) (Smart 2 FT),"[202710, 203935]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,2004.0,,,,,1.0,0.0,Smart,203935.0,,,
140,PT01M04.00S,2022-05-28T01:11:26.9Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,19,27,2022-05-28T01:11:26Z,1350000,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,Made,,,,,,3.0,,,,,,,,,,
141,PT01M04.00S,2022-05-28T01:11:29.1Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,19,27,2022-05-28T01:11:32Z,1360000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M04.00S,2022-05-28T01:11:29.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,19,27,2022-05-28T01:11:32Z,1370000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M04.00S,2022-05-28T01:11:44.6Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,20,27,2022-05-28T01:11:44Z,1380000,,,0,,M. Smart Free Throw 2 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,Made,,,,,,4.0,,,,,,,,,,
144,PT00M54.20S,2022-05-28T01:11:59.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,20,27,2022-05-28T01:11:59Z,1390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M47.10S,2022-05-28T01:12:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.915243101182654,45.83333333333333,1610612748,20,29,2022-05-28T01:12:22Z,1400000,21.0,13.0,1,left,J. Butler cutting Layup (14 PTS) (B. Adebayo 2 AST),"[202710, 1628389]",1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,,,,2.43,Made,,,,,,14.0,B. Adebayo,1628389.0,2.0,,,,,,,
147,PT00M39.70S,2022-05-28T01:12:30.5Z,1,REGULAR,3pt,Jump Shot,[],203935,65.78515111695138,48.03921568627451,1610612738,20,29,2022-05-28T01:12:35Z,1420000,-10.0,269.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,26.93,Missed,,,,,,,,,,,,,,,,
148,PT00M37.00S,2022-05-28T01:12:33.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,20,29,2022-05-28T01:12:35Z,1430000,,,0,,B. Adebayo REBOUND (Off:2 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,147.0,4.0,2.0,2.0,,,,,,,,,,,,
149,PT00M32.00S,2022-05-28T01:12:38.2Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,20,29,2022-05-28T01:12:45Z,1440000,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1628401]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,1.0,White,1628401.0,,,,,,,,,,,,,,,,,,
150,PT00M32.00S,2022-05-28T01:12:38.2Z,1,REGULAR,steal,,[],1628401,,,1610612738,20,29,2022-05-28T01:14:08Z,1450000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M28.40S,2022-05-28T01:12:42.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,91.40932982917214,46.81372549019608,1610612738,22,29,2022-05-28T01:12:50Z,1460000,-16.0,28.0,1,right,J. Tatum running Layup (7 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,3.25,Made,,,,,,7.0,D. White,1628401.0,1.0,,,,,,,
153,PT00M06.80S,2022-05-28T01:13:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,10.85742444152431,34.068627450980394,1610612748,22,29,2022-05-28T01:13:10Z,1480000,80.0,50.0,1,left,MISS J. Butler 9' fadeaway Shot,[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,,,,9.39,Missed,,,,,,,,,,,,,,,,
154,PT00M04.20S,2022-05-28T01:13:08.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,22,29,2022-05-28T01:13:10Z,1490000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,
155,PT00M00.20S,2022-05-28T01:13:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,91.67214191852825,56.127450980392155,1610612738,22,29,2022-05-28T01:13:19Z,1500000,31.0,26.0,1,right,MISS D. White running Layup,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,,,,4.0,Missed,,,,,,,,,,,,,,,,
156,PT00M00.20S,2022-05-28T01:13:12.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,22,29,2022-05-28T01:13:19Z,1510000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,,
157,PT00M00.00S,2022-05-28T01:13:16.0Z,1,REGULAR,period,end,[],0,,,1610612738,22,29,2022-05-28T01:13:16Z,1520000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-05-28T01:16:19.0Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612738,22,29,2022-05-28T01:16:49Z,1530000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-05-28T01:16:19.0Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612738,22,29,2022-05-28T01:16:49Z,1540000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-05-28T01:16:19.0Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,22,29,2022-05-28T01:16:49Z,1550000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-05-28T01:16:19.0Z,2,REGULAR,substitution,in,['startperiod'],203506,,,1610612738,22,29,2022-05-28T01:16:49Z,1560000,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-05-28T01:17:01.7Z,2,REGULAR,period,start,[],0,,,1610612748,22,29,2022-05-28T01:17:01Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M46.00S,2022-05-28T01:17:14.1Z,2,REGULAR,turnover,bad pass,[],1629216,,,1610612748,22,29,2022-05-28T01:17:17Z,1580000,,,0,,G. Vincent bad pass TURNOVER (1 TO),"[1629216, 1627759]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,
164,PT11M46.00S,2022-05-28T01:17:14.1Z,2,REGULAR,steal,,[],1627759,,,1610612738,22,29,2022-05-28T01:17:15Z,1590000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M36.00S,2022-05-28T01:17:24.2Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,88.25558475689881,49.26470588235294,1610612738,22,29,2022-05-28T01:17:32Z,1600000,-4.0,58.0,1,right,MISS D. White driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,,5.8,Missed,,,,,,,,,,,,,,,,
166,PT11M33.00S,2022-05-28T01:17:27.2Z,2,REGULAR,rebound,defensive,[],203506,,,1610612748,22,29,2022-05-28T01:17:32Z,1610000,,,0,,V. Oladipo REBOUND (Off:0 Def:1),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,165.0,1.0,1.0,0.0,,,,,,,,,,,,
167,PT11M23.00S,2022-05-28T01:17:37.1Z,2,REGULAR,3pt,Jump Shot,[],1629130,25.969119579500656,78.92156862745098,1610612748,22,29,2022-05-28T01:17:42Z,1620000,-145.0,192.0,1,left,MISS D. Robinson 24' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,,,,24.0,Missed,,,,,,,,,,,,,,,,
168,PT11M21.00S,2022-05-28T01:17:39.1Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,22,29,2022-05-28T01:17:42Z,1630000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,,,
169,PT11M15.00S,2022-05-28T01:17:46.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.40932982917214,52.20588235294118,1610612738,22,29,2022-05-28T01:18:03Z,1640000,11.0,28.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,3.04,Missed,,,,,,,,,,,,,,,,
170,PT11M14.00S,2022-05-28T01:17:47.1Z,2,REGULAR,rebound,defensive,[],1628997,,,1610612748,22,29,2022-05-28T01:18:29Z,1650000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,169.0,2.0,1.0,1.0,,,,,,,,,,,,
171,PT11M07.00S,2022-05-28T01:17:53.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629216,18.084756898817346,4.166666666666666,1610612748,22,29,2022-05-28T01:19:32Z,1660000,229.0,117.0,1,left,MISS G. Vincent 25' running pullup 3PT,[1629216],1610612748.0,MIA,running pullup,,,Vincent,G. Vincent,,,,,,,,25.76,Missed,,,,,,,,,,,,,,,,
172,PT11M03.00S,2022-05-28T01:17:57.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,22,29,2022-05-28T01:18:09Z,1670000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,171.0,2.0,2.0,0.0,,,,,,,,,,,,
173,PT10M56.00S,2022-05-28T01:18:07.1Z,2,REGULAR,foul,personal,[],1629130,,,1610612738,22,29,2022-05-28T01:18:35Z,1680000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 201143]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,2715.0,,,,,1.0,0.0,Horford,201143.0,,,
175,PT10M43.00S,2022-05-28T01:18:38.8Z,2,REGULAR,3pt,Jump Shot,[],1627759,68.67608409986859,76.9607843137255,1610612738,22,29,2022-05-28T01:18:45Z,1700000,135.0,242.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,27.69,Missed,,,,,,,,,,,,,,,,
176,PT10M42.00S,2022-05-28T01:18:39.8Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,22,29,2022-05-28T01:18:45Z,1710000,,,0,,B. Adebayo REBOUND (Off:2 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,175.0,5.0,3.0,2.0,,,,,,,,,,,,
177,PT10M38.00S,2022-05-28T01:18:43.3Z,2,REGULAR,turnover,lost ball,[],1628389,,,1610612748,22,29,2022-05-28T01:18:47Z,1720000,,,0,,B. Adebayo lost ball TURNOVER (2 TO),"[1628389, 1628401]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,2.0,White,1628401.0,,,,,,,,,,,,,,,,,,
178,PT10M38.00S,2022-05-28T01:18:43.3Z,2,REGULAR,steal,,[],1628401,,,1610612738,22,29,2022-05-28T01:18:45Z,1730000,,,0,,D. White STEAL (2 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M24.00S,2022-05-28T01:19:25.1Z,2,REGULAR,jumpball,recovered,[],203506,,,1610612738,22,29,2022-05-28T01:19:25Z,1740000,,,0,,Jump Ball B. Adebayo vs. J. Brown: Tip to V. Oladipo,"[203506, 1628389, 1627759]",1610612748.0,MIA,heldball,V. Oladipo,203506.0,Oladipo,V. Oladipo,Adebayo,1628389.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,,
