actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
22,PT09M54.00S,2022-04-23T23:46:00.5Z,1,REGULAR,3pt,Jump Shot,[],203552,6.915243101182654,3.6764705882352944,1610612751,2,2,2022-04-23T23:46:35Z,220000,232.0,13.0,1,left,MISS S. Curry 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,23.19,Missed,,,,,,,,,,,,,,
23,PT09M54.00S,2022-04-23T23:46:00.5Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,2,2,2022-04-23T23:46:38Z,230000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,
31,PT09M53.00S,2022-04-23T23:46:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,7.013797634691201,50.245098039215684,1610612751,4,2,2022-04-23T23:48:05Z,235000,-1.0,13.0,1,left,B. Brown tip Layup (4 PTS),[1628971],1610612751.0,BKN,tip,,,Brown,B. Brown,,,,,,,,,,1.35,Made,,,,,,,,,4.0,,,,,
35,PT09M43.00S,2022-04-23T23:46:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,84.1491458607096,46.568627450980394,1610612738,4,2,2022-04-23T23:48:51Z,237500,-17.0,96.0,1,right,MISS J. Tatum 9' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,,,,9.8,Missed,,,,,,,,,,,,,,
36,PT09M42.00S,2022-04-23T23:46:46.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,2,2022-04-24T00:45:45Z,238750,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,
40,PT09M35.00S,2022-04-23T23:46:53.0Z,1,REGULAR,3pt,Jump Shot,[],202681,31.718134034165573,23.774509803921575,1610612751,4,2,2022-04-23T23:54:59Z,239375,131.0,246.0,1,left,MISS K. Irving 27' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,27.85,Missed,,,,,,,,,,,,,,
41,PT09M33.00S,2022-04-23T23:46:55.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,4,2,2022-04-23T23:51:00Z,239687,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
61,PT09M23.00S,2022-04-23T23:46:56.7Z,1,REGULAR,3pt,Jump Shot,[],203935,67.09921156373193,66.42156862745098,1610612738,4,5,2022-04-23T23:55:46Z,239843,82.0,257.0,1,right,M. Smart 26' 3PT pullup (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,26.96,Made,,,,,,,,,3.0,J. Brown,1627759.0,1.0,,
24,PT08M55.00S,2022-04-23T23:47:00.5Z,1,REGULAR,3pt,Jump Shot,[],1628971,6.258212877792378,3.9215686274509802,1610612751,7,5,2022-04-23T23:48:05Z,240000,230.0,6.0,1,left,B. Brown 3PT  (7 PTS) (S. Curry 1 AST),"[1628971, 203552]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,23.05,Made,,,,,,,,,7.0,S. Curry,203552.0,1.0,,
26,PT08M36.00S,2022-04-23T23:47:18.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,95.87713534822602,3.431372549019608,1610612738,7,5,2022-04-23T23:47:21Z,260000,-233.0,-14.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,23.32,Missed,,,,,,,,,,,,,,
