actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
77,PT05M36.00S,2022-05-15T19:54:26.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,11,15,2022-05-15T19:54:29Z,770000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,76.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
78,PT05M20.00S,2022-05-15T19:54:42.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,11,15,2022-05-15T19:54:45Z,780000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 201950]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,,,Holiday,201950.0,
79,PT05M20.00S,2022-05-15T19:54:42.1Z,1,REGULAR,steal,,[],201950,,,1610612749,11,15,2022-05-15T19:54:43Z,790000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2022-05-15T19:54:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201950,92.46057818659659,48.03921568627451,1610612749,11,17,2022-05-15T19:54:50Z,800000,-10.0,18.0,1,right,J. Holiday running Layup (4 PTS) (G. Antetokounmpo 5 AST),"[201950, 203507]",1610612749.0,MIL,running,,,Holiday,J. Holiday,,,,,2.08,Made,,4.0,G. Antetokounmpo,203507.0,5.0,,,,,,,,,,,,,,
82,PT04M57.00S,2022-05-15T19:55:04.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.882391590013142,31.127450980392158,1610612738,14,17,2022-05-15T19:57:05Z,820000,94.0,247.0,1,left,J. Tatum 26' 3PT pullup (6 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.46,Made,,6.0,,,,,,,,,,,,,,,,,
83,PT04M49.00S,2022-05-15T19:55:17.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,17,2022-05-15T19:55:17Z,830000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M49.00S,2022-05-15T19:58:35.8Z,1,REGULAR,substitution,out,[],201572,,,1610612749,14,17,2022-05-15T19:59:01Z,840000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M49.00S,2022-05-15T19:58:35.8Z,1,REGULAR,substitution,out,[],202083,,,1610612749,14,17,2022-05-15T19:59:01Z,850000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2022-05-15T19:58:35.8Z,1,REGULAR,substitution,in,[],1628960,,,1610612749,14,17,2022-05-15T19:59:01Z,860000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M49.00S,2022-05-15T19:58:35.8Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,14,17,2022-05-15T19:59:01Z,870000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M39.00S,2022-05-15T19:59:11.8Z,1,REGULAR,3pt,Jump Shot,[],201950,69.07030223390277,23.284313725490197,1610612749,14,17,2022-05-15T19:59:17Z,880000,-134.0,238.0,1,right,MISS J. Holiday 27' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,,
89,PT04M36.00S,2022-05-15T19:59:14.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,14,17,2022-05-15T19:59:17Z,890000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,88.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
90,PT04M14.00S,2022-05-15T19:59:36.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,10.463206307490145,44.6078431372549,1610612738,14,17,2022-05-15T19:59:42Z,900000,27.0,46.0,1,left,MISS A. Horford driving bank Hook,[201143],1610612738.0,BOS,driving bank,,,Horford,A. Horford,,,,,5.33,Missed,,,,,,,,,,,,,,,,,,,
91,PT04M11.00S,2022-05-15T19:59:39.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,17,2022-05-15T19:59:42Z,910000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,90.0,,,,,5.0,5.0,0.0,,,,,,,,,,,
92,PT04M00.00S,2022-05-15T19:59:51.1Z,1,REGULAR,turnover,lost ball,[],1626171,,,1610612749,14,17,2022-05-15T19:59:54Z,920000,,,0,,B. Portis lost ball TURNOVER (1 TO),"[1626171, 1627759]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,1.0,,,Brown,1627759.0,
93,PT04M00.00S,2022-05-15T19:59:51.1Z,1,REGULAR,steal,,[],1627759,,,1610612738,14,17,2022-05-15T20:03:24Z,930000,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M52.00S,2022-05-15T19:59:59.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,8.229303547963205,24.509803921568626,1610612738,14,17,2022-05-15T20:00:04Z,940000,127.0,25.0,1,left,MISS J. Tatum 12' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,12.99,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M49.00S,2022-05-15T20:00:02.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,14,17,2022-05-15T20:00:04Z,950000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,94.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
96,PT03M39.00S,2022-05-15T20:00:11.9Z,1,REGULAR,3pt,Jump Shot,[],1626171,77.87450722733246,90.44117647058823,1610612749,14,20,2022-05-15T20:00:17Z,960000,202.0,155.0,1,right,B. Portis 25' 3PT  (3 PTS) (G. Antetokounmpo 6 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.51,Made,,3.0,G. Antetokounmpo,203507.0,6.0,,,,,,,,,,,,,,
98,PT03M23.00S,2022-05-15T20:00:28.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,32.14520367936925,33.33333333333333,1610612738,14,20,2022-05-15T20:00:32Z,980000,83.0,250.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M20.00S,2022-05-15T20:00:31.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,20,2022-05-15T20:00:32Z,990000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,98.0,,,,,6.0,6.0,0.0,,,,,,,,,,,
100,PT03M12.00S,2022-05-15T20:00:38.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203507,87.20433639947439,54.166666666666664,1610612749,14,22,2022-05-15T20:00:46Z,1000000,21.0,68.0,1,right,G. Antetokounmpo 7' driving floating Jump Shot (8 PTS),[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,7.09,Made,,8.0,,,,,,,,,,,,,,,,,
101,PT02M56.00S,2022-05-15T20:00:54.2Z,1,REGULAR,3pt,Jump Shot,[],203935,31.488173455978973,74.50980392156863,1610612738,14,22,2022-05-15T20:01:00Z,1010000,-123.0,243.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.26,Missed,,,,,,,,,,,,,,,,,,,
102,PT02M53.00S,2022-05-15T20:00:57.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,14,22,2022-05-15T20:01:00Z,1020000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,101.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
103,PT02M42.00S,2022-05-15T20:01:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,83.52496714848883,41.66666666666667,1610612749,14,22,2022-05-15T20:01:24Z,1030000,-42.0,102.0,1,right,MISS B. Portis 11' driving floating Shot,[1626171],1610612749.0,MIL,driving floating,,,Portis,B. Portis,,,,,11.06,Missed,,,,,,,,,,,,,,,,,,,
104,PT02M40.00S,2022-05-15T20:01:11.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,14,22,2022-05-15T20:01:18Z,1040000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:6),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,103.0,,,,,7.0,6.0,1.0,,,,,,,,,,,
105,PT02M37.00S,2022-05-15T20:01:14.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203507,69.33311432325887,22.058823529411764,1610612749,14,22,2022-05-15T20:04:57Z,1050000,-140.0,236.0,1,right,MISS G. Antetokounmpo 27' step back 3PT,[203507],1610612749.0,MIL,step back,,,Antetokounmpo,G. Antetokounmpo,,,,,27.41,Missed,,,,,,,,,,,,,,,,,,,
106,PT02M35.00S,2022-05-15T20:01:16.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,22,2022-05-15T20:01:21Z,1060000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,105.0,,,,,3.0,2.0,1.0,,,,,,,,,,,
107,PT02M22.00S,2022-05-15T20:01:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,18.610381077529567,65.68627450980392,1610612738,14,22,2022-05-15T20:01:34Z,1070000,-78.0,122.0,1,left,MISS D. White 14' driving Layup - blocked,"[1628401, 1626171]",1610612738.0,BOS,driving,,,White,D. White,,,,,14.54,Missed,,,,,,,,,,,,,,,Portis,1626171.0,,,
108,PT02M22.00S,2022-05-15T20:01:29.6Z,1,REGULAR,block,,[],1626171,,,1610612738,14,22,2022-05-15T20:01:31Z,1080000,,,0,,B. Portis BLOCK (1 BLK),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M19.00S,2022-05-15T20:01:32.6Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,14,22,2022-05-15T20:01:34Z,1090000,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,107.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
110,PT02M19.00S,2022-05-15T20:01:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612749,14,22,2022-05-15T20:01:56Z,1100000,,,0,,J. Brown shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1627759, 203507]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,1148.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
112,PT02M19.00S,2022-05-15T20:02:43.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,14,23,2022-05-15T20:02:43Z,1120000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (9 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,9.0,,,,,,,,,,,,,,,,,
113,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612749,14,23,2022-05-15T20:02:56Z,1130000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,out,[],201143,,,1610612749,14,23,2022-05-15T20:02:56Z,1140000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,out,[],201950,,,1610612749,14,23,2022-05-15T20:02:56Z,1150000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,14,23,2022-05-15T20:02:56Z,1160000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,in,[],1628464,,,1610612749,14,23,2022-05-15T20:02:56Z,1170000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612749,14,23,2022-05-15T20:02:56Z,1180000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,in,[],201572,,,1610612749,14,23,2022-05-15T20:02:56Z,1190000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M19.00S,2022-05-15T20:02:44.5Z,1,REGULAR,substitution,in,[],201588,,,1610612749,14,23,2022-05-15T20:02:56Z,1200000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M19.00S,2022-05-15T20:03:14.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,14,24,2022-05-15T20:03:14Z,1210000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (10 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,10.0,,,,,,,,,,,,,,,,,
122,PT02M10.00S,2022-05-15T20:03:35.0Z,1,REGULAR,foul,technical,['1freethrow'],201572,,,1610612738,14,24,2022-05-15T20:03:43Z,1220000,,,0,,B. Lopez defensive-3-second technical FOUL (1 Tech),[201572],1610612749.0,MIL,defensive-3-second,,,Lopez,B. Lopez,,,,,,,,,,,,,,,201640.0,0.0,1.0,,,,,,,,
123,PT02M10.00S,2022-05-15T20:03:49.7Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,15,24,2022-05-15T20:03:49Z,1230000,,,0,,J. Tatum technical Free Throw 1 of 1 (7 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,Made,,7.0,,,,,,,,,,,,,,,,,
124,PT02M03.00S,2022-05-15T20:04:10.7Z,1,REGULAR,3pt,Jump Shot,[],1628464,31.09395532194481,29.901960784313726,1610612738,15,24,2022-05-15T20:04:17Z,1240000,100.0,240.0,1,left,MISS D. Theis 26' 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M01.00S,2022-05-15T20:04:12.7Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,15,24,2022-05-15T20:04:17Z,1250000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,124.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
126,PT01M41.00S,2022-05-15T20:04:32.4Z,1,REGULAR,2pt,Jump Shot,[],203507,75.1149802890933,65.19607843137256,1610612749,15,24,2022-05-15T20:07:20Z,1260000,76.0,181.0,1,right,MISS G. Antetokounmpo 19' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,19.67,Missed,,,,,,,,,,,,,,,,,,,
127,PT01M38.00S,2022-05-15T20:04:35.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,24,2022-05-15T20:04:36Z,1270000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,126.0,,,,,3.0,3.0,0.0,,,,,,,,,,,
128,PT01M32.00S,2022-05-15T20:04:41.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,26.62614980289093,82.35294117647058,1610612738,15,24,2022-05-15T20:04:45Z,1280000,-162.0,198.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
129,PT01M29.00S,2022-05-15T20:04:44.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,15,24,2022-05-15T20:04:45Z,1290000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:7),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,128.0,,,,,8.0,7.0,1.0,,,,,,,,,,,
130,PT01M19.00S,2022-05-15T20:05:02.1Z,1,REGULAR,foul,personal,[],203935,,,1610612749,15,24,2022-05-15T20:05:07Z,1300000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 201588]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,101284.0,1.0,0.0,Hill,201588.0,,,,,,
132,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612749,15,24,2022-05-15T20:05:23Z,1320000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,out,[],203935,,,1610612749,15,24,2022-05-15T20:05:23Z,1330000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,out,[],203507,,,1610612749,15,24,2022-05-15T20:05:23Z,1340000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,out,[],201588,,,1610612749,15,24,2022-05-15T20:05:23Z,1350000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,in,[],1627759,,,1610612749,15,24,2022-05-15T20:05:23Z,1360000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612749,15,24,2022-05-15T20:05:23Z,1370000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,15,24,2022-05-15T20:05:23Z,1380000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M19.00S,2022-05-15T20:05:07.3Z,1,REGULAR,substitution,in,[],201950,,,1610612749,15,24,2022-05-15T20:05:23Z,1390000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M07.00S,2022-05-15T20:05:45.7Z,1,REGULAR,foul,offensive,[],1626171,,,1610612749,15,24,2022-05-15T20:05:53Z,1400000,,,0,,B. Portis offensive FOUL (1 PF),"[1626171, 1630202]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,1148.0,1.0,0.0,Pritchard,1630202.0,,,,,,
142,PT01M07.00S,2022-05-15T20:05:45.7Z,1,REGULAR,turnover,offensive foul,[],1626171,,,1610612749,15,24,2022-05-15T20:05:45Z,1420000,,,0,,B. Portis offensive foul TURNOVER (2 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,1148.0,,,,,2.0,,,,,
143,PT01M07.00S,2022-05-15T20:06:00.7Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,15,24,2022-05-15T20:06:03Z,1430000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M07.00S,2022-05-15T20:06:00.7Z,1,REGULAR,substitution,in,[],201588,,,1610612738,15,24,2022-05-15T20:06:03Z,1440000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M47.40S,2022-05-15T20:06:25.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628401,12.302890932982917,40.19607843137255,1610612738,15,24,2022-05-15T20:08:45Z,1450000,49.0,63.0,1,left,MISS D. White 7' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,7.99,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M45.00S,2022-05-15T20:06:27.6Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,15,24,2022-05-15T20:06:32Z,1460000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,145.0,,,,,1.0,0.0,1.0,,,,,,,,,,,
147,PT00M39.00S,2022-05-15T20:06:34.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630202,24.917871222076215,83.82352941176471,1610612738,18,24,2022-05-15T20:06:39Z,1470000,-169.0,182.0,1,left,P. Pritchard 24' 3PT pullup (3 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,24.82,Made,,3.0,,,,,,,,,,,,,,,,,
148,PT00M30.70S,2022-05-15T20:06:46.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,86.67871222076215,43.38235294117647,1610612749,18,24,2022-05-15T20:06:53Z,1480000,-33.0,73.0,1,right,MISS J. Holiday 7' driving floating Shot,[201950],1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,7.99,Missed,,,,,,,,,,,,,,,,,,,
149,PT00M28.60S,2022-05-15T20:06:48.2Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,18,24,2022-05-15T20:06:48Z,1490000,,,0,,B. Lopez REBOUND (Off:1 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,148.0,,,,,3.0,2.0,1.0,,,,,,,,,,,
150,PT00M27.80S,2022-05-15T20:06:49.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201572,89.56964520367937,49.50980392156863,1610612749,18,26,2022-05-15T20:06:56Z,1500000,-2.0,46.0,1,right,B. Lopez turnaround Hook (7 PTS),[201572],1610612749.0,MIL,turnaround,,,Lopez,B. Lopez,,,,,4.56,Made,,7.0,,,,,,,,,,,,,,,,,
151,PT00M09.70S,2022-05-15T20:07:12.3Z,1,REGULAR,foul,personal,[],201950,,,1610612738,18,26,2022-05-15T20:07:18Z,1510000,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1627759]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,201640.0,1.0,0.0,Brown,1627759.0,,,,,,
153,PT00M09.70S,2022-05-15T20:07:24.2Z,1,REGULAR,substitution,out,[],201950,,,1610612738,18,26,2022-05-15T20:07:27Z,1530000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M09.70S,2022-05-15T20:07:24.2Z,1,REGULAR,substitution,in,[],202083,,,1610612738,18,26,2022-05-15T20:07:27Z,1540000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M09.70S,2022-05-15T20:07:34.6Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,18,26,2022-05-15T20:07:38Z,1550000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M09.70S,2022-05-15T20:07:34.6Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,18,26,2022-05-15T20:07:38Z,1560000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M02.60S,2022-05-15T20:08:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,15.588042049934298,40.44117647058824,1610612738,20,26,2022-05-15T20:08:06Z,1570000,48.0,94.0,1,left,J. Brown 10' driving floating Jump Shot (7 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,10.55,Made,,7.0,,,,,,,,,,,,,,,,,
158,PT00M00.00S,2022-05-15T20:08:10.7Z,1,REGULAR,3pt,Jump Shot,[],202083,55.1412614980289,17.15686274509804,1610612749,20,26,2022-05-15T20:11:47Z,1580000,-164.0,369.0,1,right,MISS W. Matthews 40' running pullup 3PT,[202083],1610612749.0,MIL,running pullup,,,Matthews,W. Matthews,,,,,40.41,Missed,,,,,,,,,,,,,,,,,,,
159,PT00M00.00S,2022-05-15T20:08:10.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,20,26,2022-05-15T20:11:47Z,1590000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2022-05-15T20:08:13.2Z,1,REGULAR,period,end,[],0,,,1610612749,20,26,2022-05-15T20:08:13Z,1600000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
