actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
24,PT10M23.00S,2022-05-15T19:44:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,92.19776609724047,46.32352941176471,1610612749,3,4,2022-05-15T19:44:25Z,240000,-18.0,21.0,1,right,J. Holiday Layup (2 PTS) (G. Antetokounmpo 2 AST),"[201950, 203507]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,2.78,Made,,2.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,,
26,PT10M08.00S,2022-05-15T19:44:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,6.652431011826544,95.58823529411765,1610612738,3,4,2022-05-15T19:44:40Z,260000,-228.0,10.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.81,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2022-05-15T19:44:38.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,4,2022-05-15T19:44:40Z,270000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,26.0,,,,,2.0,2.0,0.0,,,,,,,,,,,
28,PT09M56.00S,2022-05-15T19:44:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,87.46714848883047,49.50980392156863,1610612749,3,6,2022-05-15T19:44:54Z,280000,-2.0,65.0,1,right,G. Antetokounmpo 6' driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,6.53,Made,,2.0,,,,,,,,,,,,,,,,,
29,PT09M34.00S,2022-05-15T19:45:10.9Z,1,REGULAR,3pt,Jump Shot,[],203935,32.53942181340342,66.91176470588235,1610612738,3,6,2022-05-15T19:46:25Z,290000,-85.0,253.0,1,left,MISS M. Smart 26' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M31.00S,2022-05-15T19:45:13.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,3,6,2022-05-15T19:45:15Z,300000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,29.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
31,PT09M25.00S,2022-05-15T19:45:20.3Z,1,REGULAR,3pt,Jump Shot,[],201572,90.88370565045992,95.09803921568627,1610612749,3,6,2022-05-15T19:45:27Z,310000,225.0,33.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2022-05-15T19:45:23.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,6,2022-05-15T19:45:27Z,320000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,31.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M15.00S,2022-05-15T19:45:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,10.5946123521682,49.754901960784316,1610612738,3,6,2022-05-15T19:45:54Z,330000,1.0,47.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.71,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M14.00S,2022-05-15T19:45:30.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,6,2022-05-15T19:45:54Z,340000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,33.0,,,,,3.0,3.0,0.0,,,,,,,,,,,
