actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
23,PT10M02.00S,2022-04-25T23:06:14.9Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612738,2,4,2022-04-25T23:06:25Z,230000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Tatum 2 FT),"[203083, 1628369]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,,,,,,,101283.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
25,PT10M02.00S,2022-04-25T23:06:38.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,2,5,2022-04-25T23:06:38Z,250000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
26,PT10M02.00S,2022-04-25T23:06:58.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,6,2022-04-25T23:06:58Z,260000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
27,PT09M44.00S,2022-04-25T23:07:17.5Z,1,REGULAR,2pt,Jump Shot,[],201142,5.338370565045992,73.77450980392157,1610612751,2,6,2022-04-25T23:07:22Z,270000,-119.0,-2.0,1,left,MISS K. Durant 11' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,11.89,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2022-04-25T23:07:20.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,6,2022-04-25T23:07:22Z,280000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
29,PT09M36.00S,2022-04-25T23:07:25.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.33311432325887,27.205882352941174,1610612738,2,6,2022-04-25T23:07:32Z,290000,-114.0,236.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2022-04-25T23:07:29.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,2,6,2022-04-25T23:07:32Z,300000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT09M25.00S,2022-04-25T23:07:36.8Z,1,REGULAR,2pt,Jump Shot,[],201142,23.603810775295663,29.411764705882355,1610612751,2,6,2022-04-25T23:07:48Z,310000,103.0,169.0,1,left,MISS K. Durant 19' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,19.82,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2022-04-25T23:07:39.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,6,2022-04-25T23:07:48Z,320000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
33,PT09M14.00S,2022-04-25T23:07:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,93.11760840998686,60.29411764705882,1610612738,2,8,2022-04-25T23:08:00Z,330000,51.0,12.0,1,right,A. Horford turnaround bank Jump Shot (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,turnaround bank,,,Horford,A. Horford,,,,,5.29,Made,,,,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,
35,PT09M02.00S,2022-04-25T23:08:02.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,2,8,2022-04-25T23:08:02Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M58.00S,2022-04-25T23:08:19.8Z,1,REGULAR,turnover,out-of-bounds,[],203083,,,1610612751,2,8,2022-04-25T23:08:29Z,360000,,,0,,A. Drummond bad pass out-of-bounds TURNOVER (1 TO),[203083],1610612751.0,BKN,bad pass,,,Drummond,A. Drummond,,,,,,,,,,,2882.0,,,,,,,,,1.0,,,,,
37,PT08M43.00S,2022-04-25T23:08:36.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628464,80.1084099868594,34.31372549019608,1610612738,2,8,2022-04-25T23:08:40Z,370000,-78.0,134.0,1,right,MISS D. Theis 15' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,15.57,Missed,,,,,,,,,,,,,,,,,,,
