actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-01T17:11:07.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-01T17:11:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-05-01T17:11:09.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-05-01T17:11:09Z,40000,,,0,,Jump Ball B. Lopez vs. R. Williams III: Tip to G. Antetokounmpo,"[203507, 201572, 1629057]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-05-01T17:11:30.9Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2022-05-01T17:11:57Z,70000,,,0,,G. Antetokounmpo step out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,step,,,Antetokounmpo,G. Antetokounmpo,,,,,200832.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-05-01T17:11:44.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2022-05-01T17:11:44Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-05-01T17:12:04.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,24.129434954007884,82.1078431372549,1610612738,3,0,2022-05-01T17:12:10Z,90000,-161.0,174.0,1,left,A. Horford 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,23.69,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,
11,PT11M12.00S,2022-05-01T17:12:16.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,90.75229960578186,47.549019607843135,1610612749,3,2,2022-05-01T17:12:21Z,110000,-12.0,34.0,1,right,G. Antetokounmpo cutting DUNK (2 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,3.65,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,
13,PT10M57.00S,2022-05-01T17:12:30.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.443495400788436,83.82352941176471,1610612738,3,2,2022-05-01T17:12:35Z,130000,-169.0,187.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,25.19,Missed,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-05-01T17:12:32.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,3,2,2022-05-01T17:12:35Z,140000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M46.00S,2022-05-01T17:12:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,87.20433639947439,48.529411764705884,1610612749,3,2,2022-05-01T17:13:32Z,150000,-7.0,68.0,1,right,MISS B. Lopez 6' floating Shot,[201572],1610612749.0,MIL,floating,,,Lopez,B. Lopez,,,,,,,6.82,Missed,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-05-01T17:12:45.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,2,2022-05-01T17:13:15Z,160000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M36.00S,2022-05-01T17:12:50.8Z,1,REGULAR,3pt,Jump Shot,[],203935,17.16491458607096,93.62745098039215,1610612738,6,2,2022-05-01T17:13:01Z,170000,-218.0,109.0,1,left,M. Smart 24' 3PT  (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,24.38,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,
19,PT10M24.00S,2022-05-01T17:13:06.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,6,2,2022-05-01T17:13:06Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2022-05-01T17:13:24.4Z,1,REGULAR,3pt,Jump Shot,[],202083,67.23061760840999,67.40196078431373,1610612749,6,2,2022-05-01T17:13:31Z,200000,87.0,256.0,1,right,MISS W. Matthews 26' 3PT,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,26.99,Missed,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-05-01T17:13:27.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,2,2022-05-01T17:13:31Z,210000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M07.00S,2022-05-01T17:13:35.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,6,2,2022-05-01T17:13:39Z,220000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 201950]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,1.0,,,,,,,,,,,Holiday,201950.0,,,,,,,
23,PT10M07.00S,2022-05-01T17:13:35.1Z,1,REGULAR,steal,,[],201950,,,1610612749,6,2,2022-05-01T17:17:11Z,230000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2022-05-01T17:13:38.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201950,66.44218134034165,57.59803921568627,1610612749,6,5,2022-05-01T17:13:43Z,240000,38.0,263.0,1,right,J. Holiday 26' 3PT running pullup (3 PTS),[201950],1610612749.0,MIL,running pullup,,,Holiday,J. Holiday,,,,,,,26.56,Made,3.0,,,,,,,,,,,,,,,,
25,PT09M51.00S,2022-05-01T17:13:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,5.863994743758213,44.85294117647059,1610612738,6,5,2022-05-01T17:14:46Z,250000,26.0,3.0,1,left,MISS A. Horford driving Layup,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,2.58,Missed,,,,,,,,,,,,,,,,,
26,PT09M50.00S,2022-05-01T17:13:53.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,6,5,2022-05-01T17:14:46Z,260000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,
