actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
27,PT09M50.00S,2022-05-01T17:13:58.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,8,5,2022-05-01T17:14:51Z,270000,0.0,0.0,1,left,R. Williams III tip DUNK (2 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,
28,PT09M39.00S,2022-05-01T17:14:02.2Z,1,REGULAR,3pt,Jump Shot,[],201950,76.95466491458606,88.23529411764706,1610612749,8,8,2022-05-01T17:14:12Z,280000,191.0,164.0,1,right,J. Holiday 25' 3PT pullup (6 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,,,25.2,Made,6.0,,,,,,,,,,,,,,,,
29,PT09M24.00S,2022-05-01T17:14:21.7Z,1,REGULAR,foul,personal,[],201950,,,1610612738,8,8,2022-05-01T17:14:32Z,290000,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1628369]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,1162.0,,,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,
31,PT09M16.00S,2022-05-01T17:14:53.5Z,1,REGULAR,3pt,Jump Shot,[],201143,4.681340341655716,97.79411764705883,1610612738,8,8,2022-05-01T17:14:59Z,310000,-239.0,-8.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,23.92,Missed,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2022-05-01T17:14:57.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,8,2022-05-01T17:14:59Z,320000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M05.00S,2022-05-01T17:15:05.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,8,8,2022-05-01T17:15:05Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2022-05-01T17:15:28.2Z,1,REGULAR,foul,personal,[],1628369,,,1610612749,8,8,2022-05-01T17:15:40Z,340000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1626171]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1162.0,,,,,,,,,,,,,,1.0,0.0,Portis,1626171.0,,,
36,PT08M51.00S,2022-05-01T17:15:58.0Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,8,8,2022-05-01T17:16:07Z,360000,,,0,,G. Antetokounmpo bad pass TURNOVER (2 TO),"[203507, 1628369]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,2.0,,,,,,,,,,,Tatum,1628369.0,,,,,,,
37,PT08M51.00S,2022-05-01T17:15:58.0Z,1,REGULAR,steal,,[],1628369,,,1610612738,8,8,2022-05-01T17:16:00Z,370000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M46.00S,2022-05-01T17:16:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,5.601182654402102,46.32352941176471,1610612738,8,8,2022-05-01T17:16:13Z,380000,18.0,0.0,1,left,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,1.84,Missed,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2022-05-01T17:16:05.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,8,8,2022-05-01T17:16:05Z,390000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT08M40.00S,2022-05-01T17:16:10.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201572,74.58935611038108,13.480392156862745,1610612749,8,8,2022-05-01T17:16:20Z,400000,-183.0,186.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,26.09,Missed,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2022-05-01T17:16:12.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,8,2022-05-01T17:16:20Z,410000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,
42,PT08M28.00S,2022-05-01T17:16:20.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,15.719448094612352,3.1862745098039214,1610612738,8,8,2022-05-01T17:16:29Z,420000,234.0,95.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,25.28,Missed,,,,,,,,,,,,,,,,,
43,PT08M25.00S,2022-05-01T17:16:23.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,8,2022-05-01T17:16:29Z,430000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,
44,PT08M16.00S,2022-05-01T17:16:33.0Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,8,8,2022-05-01T17:16:38Z,440000,,,0,,G. Antetokounmpo lost ball TURNOVER (3 TO),"[203507, 1627759]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,3.0,,,,,,,,,,,Brown,1627759.0,,,,,,,
45,PT08M16.00S,2022-05-01T17:16:33.0Z,1,REGULAR,steal,,[],1627759,,,1610612738,8,8,2022-05-01T17:16:34Z,450000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M04.00S,2022-05-01T17:16:47.5Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612738,8,8,2022-05-01T17:16:59Z,460000,,,0,,B. Portis shooting personal FOUL (1 PF) (Smart 2 FT),"[1626171, 203935]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,2530.0,,,,,,,,,,,,,,1.0,0.0,Smart,203935.0,,,
48,PT08M04.00S,2022-05-01T17:17:14.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,9,8,2022-05-01T17:17:14Z,480000,,,0,,M. Smart Free Throw 1 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
49,PT08M04.00S,2022-05-01T17:17:31.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,10,8,2022-05-01T17:17:31Z,490000,,,0,,M. Smart Free Throw 2 of 2 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,
50,PT07M52.00S,2022-05-01T17:17:45.0Z,1,REGULAR,2pt,Jump Shot,[],203507,76.74113009198423,46.48820465686275,1610612749,10,10,2022-05-01T17:20:30Z,500000,-18.0,166.0,1,right,G. Antetokounmpo 16' pullup Jump Shot (4 PTS) (J. Holiday 2 AST),"[203507, 201950]",1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,16.7,Made,4.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,
52,PT07M39.00S,2022-05-01T17:17:58.2Z,1,REGULAR,3pt,Jump Shot,[],203935,27.808804204993432,14.460784313725492,1610612738,10,10,2022-05-01T17:18:05Z,520000,178.0,209.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,27.43,Missed,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2022-05-01T17:18:01.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,10,10,2022-05-01T17:18:05Z,530000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,
54,PT07M29.00S,2022-05-01T17:18:11.2Z,1,REGULAR,turnover,out-of-bounds,[],202083,,,1610612749,10,10,2022-05-01T17:18:16Z,540000,,,0,,W. Matthews step out-of-bounds TURNOVER (1 TO),[202083],1610612749.0,MIL,step,,,Matthews,W. Matthews,,,,,200832.0,1.0,,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2022-05-01T17:18:15.7Z,1,REGULAR,substitution,out,[],201950,,,1610612738,10,10,2022-05-01T17:18:24Z,550000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M29.00S,2022-05-01T17:18:15.7Z,1,REGULAR,substitution,in,[],1628960,,,1610612738,10,10,2022-05-01T17:18:24Z,560000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M12.00S,2022-05-01T17:18:46.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201143,13.354139290407357,46.81372549019608,1610612738,10,10,2022-05-01T17:18:58Z,570000,16.0,73.0,1,left,MISS A. Horford 7' fadeaway Shot,[201143],1610612738.0,BOS,fadeaway,,,Horford,A. Horford,,,,,,,7.47,Missed,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2022-05-01T17:18:49.4Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,10,2022-05-01T17:18:58Z,580000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,
59,PT07M04.00S,2022-05-01T17:18:55.6Z,1,REGULAR,2pt,Jump Shot,[],203507,87.46714848883047,81.37254901960785,1610612749,10,10,2022-05-01T17:19:03Z,590000,157.0,65.0,1,right,MISS G. Antetokounmpo 16' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,16.99,Missed,,,,,,,,,,,,,,,,,
60,PT07M02.00S,2022-05-01T17:18:57.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,10,10,2022-05-01T17:19:03Z,600000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,59.0,3.0,2.0,1.0,,,,,,,,,
63,PT06M56.00S,2022-05-01T17:19:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612738,10,10,2022-05-01T17:20:28Z,630000,,,0,,G. Allen shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628960, 1628369]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,200832.0,,,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,
65,PT06M56.00S,2022-05-01T17:19:32.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,10,2022-05-01T17:19:32Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M56.00S,2022-05-01T17:22:19.7Z,1,REGULAR,substitution,out,[],1626171,,,1610612738,10,10,2022-05-01T17:22:51Z,660000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M56.00S,2022-05-01T17:22:19.7Z,1,REGULAR,substitution,in,[],201950,,,1610612738,10,10,2022-05-01T17:22:51Z,670000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M56.00S,2022-05-01T17:23:05.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,10,10,2022-05-01T17:23:05Z,680000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,
69,PT06M56.00S,2022-05-01T17:23:05.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,10,10,2022-05-01T17:23:05Z,690000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,
70,PT06M56.00S,2022-05-01T17:23:05.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,11,10,2022-05-01T17:23:40Z,700000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
71,PT06M43.00S,2022-05-01T17:23:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,88.78120893561103,53.431372549019606,1610612749,11,10,2022-05-01T17:23:53Z,710000,17.0,53.0,1,right,MISS J. Holiday driving Layup - blocked,"[201950, 1629057]",1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,,,5.57,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,
72,PT06M43.00S,2022-05-01T17:23:43.2Z,1,REGULAR,block,,[],1629057,,,1610612749,11,10,2022-05-01T17:23:45Z,720000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2022-05-01T17:23:44.2Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,11,10,2022-05-01T17:24:20Z,730000,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,,,
74,PT06M40.00S,2022-05-01T17:23:48.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",201572,92.9862023653088,49.754901960784316,1610612749,11,12,2022-05-01T17:24:34Z,740000,-1.0,13.0,1,right,B. Lopez putback DUNK (2 PTS),[201572],1610612749.0,MIL,putback,,,Lopez,B. Lopez,,,,,,,1.35,Made,2.0,,,,,,,,,,,,,,,,
75,PT06M23.00S,2022-05-01T17:24:01.7Z,1,REGULAR,3pt,Jump Shot,[],201143,12.565703022339028,3.1862745098039214,1610612738,14,12,2022-05-01T17:24:11Z,750000,234.0,66.0,1,left,A. Horford 24' 3PT  (6 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,24.31,Made,6.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,
77,PT06M11.00S,2022-05-01T17:24:13.8Z,1,REGULAR,3pt,Jump Shot,[],202083,66.83639947437582,49.754901960784316,1610612749,14,12,2022-05-01T17:24:23Z,770000,-1.0,259.0,1,right,MISS W. Matthews 25' 3PT,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,25.92,Missed,,,,,,,,,,,,,,,,,
78,PT06M08.00S,2022-05-01T17:24:16.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,12,2022-05-01T17:24:23Z,780000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,
79,PT05M51.00S,2022-05-01T17:24:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,9.674770039421814,50.245098039215684,1610612738,14,12,2022-05-01T17:25:10Z,790000,-1.0,38.0,1,left,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,,,3.84,Missed,,,,,,,,,,,,,,,,,
80,PT05M50.00S,2022-05-01T17:24:36.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,14,12,2022-05-01T17:25:10Z,800000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,79.0,4.0,2.0,2.0,,,,,,,,,
81,PT05M50.00S,2022-05-01T17:24:39.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,14,12,2022-05-01T17:25:38Z,810000,0.0,0.0,1,left,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
82,PT05M49.00S,2022-05-01T17:24:40.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,14,12,2022-05-01T17:25:38Z,820000,,,0,,R. Williams III REBOUND (Off:3 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,81.0,5.0,2.0,3.0,,,,,,,,,
83,PT05M49.00S,2022-05-01T17:24:41.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,16,12,2022-05-01T17:25:43Z,830000,0.0,0.0,1,left,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,
84,PT05M28.00S,2022-05-01T17:24:57.4Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612749,16,12,2022-05-01T17:25:03Z,840000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 1628369]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,1.0,,,,,,,,,,,Tatum,1628369.0,,,,,,,
85,PT05M28.00S,2022-05-01T17:24:57.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,16,12,2022-05-01T17:24:58Z,850000,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M20.00S,2022-05-01T17:25:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,32.276609724047304,43.38235294117647,1610612738,16,12,2022-05-01T17:25:18Z,860000,33.0,251.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,,
87,PT05M18.00S,2022-05-01T17:25:09.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,16,12,2022-05-01T17:25:18Z,870000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,86.0,4.0,4.0,0.0,,,,,,,,,
88,PT05M11.00S,2022-05-01T17:25:16.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203507,90.62089356110381,52.69607843137255,1610612749,16,12,2022-05-01T17:25:26Z,880000,13.0,36.0,1,right,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,,,3.82,Missed,,,,,,,,,,,,,,,,,
