actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-05-03T23:02:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-03T23:02:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-03T23:02:55.6Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-05-03T23:02:55Z,40000,,,0,,Jump Ball R. Williams III vs. B. Lopez: Tip to J. Brown,"[1627759, 1629057, 201572]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-05-03T23:03:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,5.601182654402102,43.872549019607845,1610612738,0,0,2022-05-03T23:03:22Z,70000,31.0,0.0,1,left,MISS D. White driving Layup - blocked,"[1628401, 201572]",1610612738.0,BOS,driving,,,White,D. White,,,,,3.06,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-05-03T23:03:13.4Z,1,REGULAR,block,,[],201572,,,1610612738,0,0,2022-05-03T23:03:17Z,80000,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-05-03T23:03:16.4Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2022-05-03T23:03:22Z,90000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M32.00S,2022-05-03T23:03:23.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,0,0,2022-05-03T23:03:23Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-05-03T23:03:37.6Z,1,REGULAR,3pt,Jump Shot,[],203507,77.61169513797634,7.107843137254902,1610612749,0,0,2022-05-03T23:03:44Z,110000,-214.0,158.0,1,right,MISS G. Antetokounmpo 26' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2022-05-03T23:03:41.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-05-03T23:03:44Z,120000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M16.00S,2022-05-03T23:03:50.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,27.283180026281208,50.98039215686274,1610612738,2,0,2022-05-03T23:03:57Z,130000,-5.0,204.0,1,left,J. Brown 20' pullup Jump Shot (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.41,Made,,,,,,,2.0,A. Horford,201143.0,1.0,,,,,,,,,
15,PT10M57.00S,2022-05-03T23:04:09.7Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,2,0,2022-05-03T23:04:14Z,150000,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1627759]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,,,
16,PT10M57.00S,2022-05-03T23:04:09.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,2,0,2022-05-03T23:04:11Z,160000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
