actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
23,PT09M41.00S,2022-04-20T23:14:59.1Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,7,2022-04-20T23:15:03Z,230000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1628971]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1.0,,,,,,,,,,,Brown,1628971.0,
24,PT09M41.00S,2022-04-20T23:14:59.1Z,1,REGULAR,steal,,[],1628971,,,1610612751,0,7,2022-04-20T23:15:00Z,240000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M35.00S,2022-04-20T23:15:05.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,14.668199737187912,41.42156862745098,1610612751,0,7,2022-04-20T23:15:10Z,250000,43.0,85.0,1,left,MISS K. Durant 9' turnaround Shot,[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,9.56,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2022-04-20T23:15:07.1Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,0,7,2022-04-20T23:15:07Z,260000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,
27,PT09M27.00S,2022-04-20T23:15:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628971,8.09789750328515,45.588235294117645,1610612751,0,9,2022-04-20T23:15:36Z,270000,22.0,24.0,1,left,B. Brown cutting Layup (9 PTS) (K. Durant 2 AST),"[1628971, 201142]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,3.23,Made,9.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,,,
29,PT09M27.00S,2022-04-20T23:15:28.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,0,9,2022-04-20T23:15:28Z,290000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2022-04-20T23:19:08.3Z,1,REGULAR,foul,personal,[],203083,,,1610612738,0,9,2022-04-20T23:19:15Z,300000,,,0,,A. Drummond personal FOUL (1 PF),"[203083, 203935]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Smart,203935.0,,,,,
32,PT09M10.00S,2022-04-20T23:19:31.3Z,1,REGULAR,2pt,Jump Shot,[],1628464,83.13074901445466,27.450980392156865,1610612738,2,9,2022-04-20T23:19:35Z,320000,-113.0,106.0,1,right,D. Theis 15' fadeaway Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,fadeaway,,,Theis,D. Theis,,,,,15.48,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
34,PT08M50.00S,2022-04-20T23:19:50.9Z,1,REGULAR,2pt,Jump Shot,[],202681,21.76412614980289,33.82352941176471,1610612751,2,9,2022-04-20T23:20:03Z,340000,81.0,152.0,1,left,MISS K. Irving 17' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,17.23,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2022-04-20T23:19:51.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,2,9,2022-04-20T23:20:03Z,350000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
36,PT08M49.00S,2022-04-20T23:19:58.8Z,1,REGULAR,foul,personal,[],1628464,,,1610612751,2,9,2022-04-20T23:20:10Z,360000,,,0,,D. Theis loose ball personal FOUL (1 PF),"[1628464, 203083]",1610612738.0,BOS,loose ball,,,Theis,D. Theis,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Drummond,203083.0,,,,,
38,PT08M40.00S,2022-04-20T23:20:22.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,27.808804204993432,33.57843137254902,1610612751,2,11,2022-04-20T23:20:26Z,380000,82.0,209.0,1,left,K. Durant 22' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,22.45,Made,2.0,,,,,,,,,,,,,,,,,,
39,PT08M29.00S,2022-04-20T23:20:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.43823915900131,64.2156862745098,1610612738,2,11,2022-04-20T23:20:43Z,390000,71.0,47.0,1,right,MISS J. Tatum 8' driving Layup - blocked,"[1628369, 1628971]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,8.51,Missed,,,,,,,,,,,,,,,Brown,1628971.0,,,
