actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
87,PT05M54.00S,2022-04-20T23:28:23.7Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,8,17,2022-04-20T23:28:27Z,870000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M54.00S,2022-04-20T23:28:23.7Z,1,REGULAR,substitution,in,[],1630556,,,1610612751,8,17,2022-04-20T23:28:27Z,880000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M54.00S,2022-04-20T23:28:38.4Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,8,18,2022-04-20T23:28:38Z,890000,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
90,PT05M48.00S,2022-04-20T23:28:49.2Z,1,REGULAR,foul,personal,[],1630556,,,1610612738,8,18,2022-04-20T23:28:53Z,900000,,,0,,K. Edwards personal FOUL (1 PF),"[1630556, 1627759]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Brown,1627759.0,,,,,
92,PT05M34.00S,2022-04-20T23:29:17.2Z,1,REGULAR,2pt,Jump Shot,[],201143,91.67214191852825,20.833333333333336,1610612738,10,18,2022-04-20T23:29:21Z,920000,-146.0,26.0,1,right,A. Horford 14' pullup Jump Shot (4 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,pullup,,,Horford,A. Horford,,,,,14.81,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
94,PT05M16.00S,2022-04-20T23:29:35.0Z,1,REGULAR,3pt,Jump Shot,[],203552,32.40801576872536,53.18627450980392,1610612751,10,21,2022-04-20T23:29:39Z,940000,-16.0,252.0,1,left,S. Curry 25' 3PT step back (3 PTS) (K. Durant 3 AST),"[203552, 201142]",1610612751.0,BKN,step back,,,Curry,S. Curry,,,,,25.26,Made,3.0,K. Durant,201142.0,3.0,,,,,,,,,,,,,,,
96,PT05M01.00S,2022-04-20T23:29:50.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,91.40932982917214,96.56862745098039,1610612738,10,21,2022-04-20T23:29:54Z,960000,233.0,28.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
97,PT04M59.00S,2022-04-20T23:29:52.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,10,21,2022-04-20T23:29:54Z,970000,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,96.0,3.0,3.0,0.0,,,,,,,,,
98,PT04M54.00S,2022-04-20T23:30:02.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612751,10,21,2022-04-20T23:30:08Z,980000,,,0,,M. Smart personal FOUL (1 PF) (Durant 2 FT),"[203935, 201142]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1627962.0,,,,,,1.0,0.0,Durant,201142.0,,,,,
100,PT04M54.00S,2022-04-20T23:30:28.2Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,10,22,2022-04-20T23:30:28Z,1000000,,,0,,K. Durant Free Throw 1 of 2 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
101,PT04M54.00S,2022-04-20T23:30:29.1Z,1,REGULAR,substitution,out,[],203083,,,1610612751,10,22,2022-04-20T23:30:33Z,1010000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M54.00S,2022-04-20T23:30:29.1Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,10,22,2022-04-20T23:30:33Z,1020000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M54.00S,2022-04-20T23:30:46.4Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,10,23,2022-04-20T23:30:46Z,1030000,,,0,,K. Durant Free Throw 2 of 2 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
104,PT04M37.00S,2022-04-20T23:31:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,50.49019607843137,1610612738,12,23,2022-04-20T23:31:12Z,1040000,2.0,27.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.71,Made,2.0,,,,,,,,,,,,,,,,,,
105,PT04M18.00S,2022-04-20T23:31:28.0Z,1,REGULAR,turnover,backcourt,[],1630556,,,1610612751,12,23,2022-04-20T23:31:34Z,1050000,,,0,,K. Edwards backcourt TURNOVER (1 TO),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,1627962.0,1.0,,,,,,,,,,,,,
106,PT04M12.00S,2022-04-20T23:31:47.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630556,,,1610612738,12,23,2022-04-20T23:32:14Z,1060000,,,0,,K. Edwards personal FOUL (2 PF) (Brown 2 FT),"[1630556, 1627759]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,2715.0,,,,,,2.0,0.0,Brown,1627759.0,,,,,
108,PT04M12.00S,2022-04-20T23:32:15.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,12,23,2022-04-20T23:32:15Z,1080000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
109,PT04M12.00S,2022-04-20T23:32:15.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,12,23,2022-04-20T23:32:15Z,1090000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,
110,PT04M12.00S,2022-04-20T23:32:16.2Z,1,REGULAR,substitution,out,[],203552,,,1610612738,12,23,2022-04-20T23:32:27Z,1100000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M12.00S,2022-04-20T23:32:16.2Z,1,REGULAR,substitution,in,[],201988,,,1610612738,12,23,2022-04-20T23:32:27Z,1110000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M12.00S,2022-04-20T23:32:35.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,13,23,2022-04-20T23:32:35Z,1120000,,,0,,J. Brown Free Throw 2 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
113,PT03M55.00S,2022-04-20T23:32:53.8Z,1,REGULAR,2pt,Jump Shot,[],202681,24.78646517739816,51.9607843137255,1610612751,13,23,2022-04-20T23:32:56Z,1130000,-10.0,180.0,1,left,MISS K. Irving 18' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,18.08,Missed,,,,,,,,,,,,,,,,,,,
114,PT03M53.00S,2022-04-20T23:32:55.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,23,2022-04-20T23:32:56Z,1140000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,
115,PT03M45.00S,2022-04-20T23:33:05.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201988,,,1610612738,13,23,2022-04-20T23:33:17Z,1150000,,,0,,P. Mills shooting personal FOUL (1 PF) (White 2 FT),"[201988, 1628401]",1610612751.0,BKN,shooting,,,Mills,P. Mills,,,,,,,,,,,204059.0,,,,,,1.0,0.0,White,1628401.0,,,,,
117,PT03M45.00S,2022-04-20T23:33:32.8Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,14,23,2022-04-20T23:33:58Z,1170000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
118,PT03M45.00S,2022-04-20T23:33:32.8Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,14,23,2022-04-20T23:33:58Z,1180000,,,0,,MISS D. White Free Throw 2 of 2,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Missed,,,,,,,,,,,,,,,,,,,
119,PT03M45.00S,2022-04-20T23:33:32.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,14,23,2022-04-20T23:33:58Z,1190000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,
120,PT03M23.00S,2022-04-20T23:34:15.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612751,14,23,2022-04-20T23:34:41Z,1200000,,,0,,D. White personal FOUL (1 PF) (Durant 2 FT),"[1628401, 201142]",1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Durant,201142.0,,,,,
122,PT03M23.00S,2022-04-20T23:34:49.8Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,14,24,2022-04-20T23:34:49Z,1220000,,,0,,K. Durant Free Throw 1 of 2 (7 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
123,PT03M23.00S,2022-04-20T23:34:51.3Z,1,REGULAR,substitution,out,[],202681,,,1610612751,14,24,2022-04-20T23:34:55Z,1230000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M23.00S,2022-04-20T23:34:51.3Z,1,REGULAR,substitution,in,[],1628971,,,1610612751,14,24,2022-04-20T23:34:55Z,1240000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M23.00S,2022-04-20T23:34:57.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612751,14,24,2022-04-20T23:35:07Z,1250000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M23.00S,2022-04-20T23:34:57.5Z,1,REGULAR,substitution,out,[],203935,,,1610612751,14,24,2022-04-20T23:35:07Z,1260000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M23.00S,2022-04-20T23:34:57.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612751,14,24,2022-04-20T23:35:07Z,1270000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M23.00S,2022-04-20T23:34:57.5Z,1,REGULAR,substitution,in,[],1628369,,,1610612751,14,24,2022-04-20T23:35:07Z,1280000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M23.00S,2022-04-20T23:35:30.0Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,14,25,2022-04-20T23:35:30Z,1290000,,,0,,K. Durant Free Throw 2 of 2 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
130,PT03M09.00S,2022-04-20T23:35:49.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629651,,,1610612738,14,25,2022-04-20T23:39:08Z,1300000,,,0,,N. Claxton shooting personal FOUL (1 PF) (White 2 FT),"[1629651, 1628401]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,,,,,,,2715.0,,,,,,1.0,0.0,White,1628401.0,,,,,
132,PT03M09.00S,2022-04-20T23:35:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,25,2022-04-20T23:35:59Z,1320000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M09.00S,2022-04-20T23:39:09.9Z,1,REGULAR,substitution,out,[],1630556,,,1610612738,14,25,2022-04-20T23:39:21Z,1330000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M09.00S,2022-04-20T23:39:09.9Z,1,REGULAR,substitution,in,[],201609,,,1610612738,14,25,2022-04-20T23:39:21Z,1340000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M09.00S,2022-04-20T23:39:47.7Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,15,25,2022-04-20T23:39:47Z,1350000,,,0,,D. White Free Throw 1 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
136,PT03M09.00S,2022-04-20T23:40:02.2Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,16,25,2022-04-20T23:40:02Z,1360000,,,0,,D. White Free Throw 2 of 2 (3 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
137,PT02M46.00S,2022-04-20T23:40:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,13.61695137976347,58.08823529411765,1610612751,16,25,2022-04-20T23:40:47Z,1370000,-40.0,75.0,1,left,MISS B. Brown 8' driving floating Shot,[1628971],1610612751.0,BKN,driving floating,,,Brown,B. Brown,,,,,8.56,Missed,,,,,,,,,,,,,,,,,,,
138,PT02M42.00S,2022-04-20T23:40:30.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,16,25,2022-04-20T23:40:36Z,1380000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,
139,PT02M42.00S,2022-04-20T23:40:33.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,16,25,2022-04-20T23:40:33Z,1390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M30.00S,2022-04-20T23:40:50.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,77.7431011826544,47.30392156862745,1610612738,16,25,2022-04-20T23:40:55Z,1400000,-13.0,157.0,1,right,MISS J. Tatum 15' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,15.73,Missed,,,,,,,,,,,,,,,,,,,
141,PT02M27.00S,2022-04-20T23:40:53.5Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,16,25,2022-04-20T23:40:55Z,1410000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,140.0,2.0,1.0,1.0,,,,,,,,,
142,PT02M19.00S,2022-04-20T23:41:01.8Z,1,REGULAR,2pt,Jump Shot,[],201142,13.354139290407357,71.81372549019608,1610612751,16,27,2022-04-20T23:41:05Z,1420000,-109.0,73.0,1,left,K. Durant 13' fadeaway Jump Shot (10 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,13.13,Made,10.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,
144,PT02M10.00S,2022-04-20T23:41:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.43823915900131,55.88235294117647,1610612738,16,27,2022-04-20T23:41:23Z,1440000,29.0,47.0,1,right,MISS J. Tatum driving Layup - blocked,"[1628369, 1629651]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,5.53,Missed,,,,,,,,,,,,,,,Claxton,1629651.0,,,
145,PT02M10.00S,2022-04-20T23:41:12.7Z,1,REGULAR,block,,[],1629651,,,1610612738,16,27,2022-04-20T23:41:14Z,1450000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M09.00S,2022-04-20T23:41:13.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,16,27,2022-04-20T23:41:23Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,
147,PT02M09.00S,2022-04-20T23:41:18.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,16,27,2022-04-20T23:41:18Z,1470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT02M08.00S,2022-04-20T23:41:34.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201142,,,1610612738,16,27,2022-04-20T23:41:45Z,1480000,,,0,,K. Durant shooting personal FOUL (1 PF) (Williams 2 FT),"[201142, 1629684]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Williams,1629684.0,,,,,
150,PT02M08.00S,2022-04-20T23:42:01.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629684,,,1610612738,17,27,2022-04-20T23:42:01Z,1500000,,,0,,G. Williams Free Throw 1 of 2 (1 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
151,PT02M08.00S,2022-04-20T23:42:17.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629684,,,1610612738,18,27,2022-04-20T23:42:17Z,1510000,,,0,,G. Williams Free Throw 2 of 2 (2 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
152,PT01M45.00S,2022-04-20T23:42:41.7Z,1,REGULAR,2pt,Jump Shot,[],201988,21.50131406044678,65.44117647058823,1610612751,18,29,2022-04-20T23:42:47Z,1520000,-77.0,150.0,1,left,P. Mills 16' pullup Jump Shot (2 PTS),[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,16.83,Made,2.0,,,,,,,,,,,,,,,,,,
154,PT01M26.00S,2022-04-20T23:43:00.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,91.01511169513797,65.44117647058823,1610612738,18,29,2022-04-20T23:43:05Z,1540000,77.0,32.0,1,right,MISS A. Horford 8' driving Hook - blocked,"[201143, 1629651]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,8.36,Missed,,,,,,,,,,,,,,,Claxton,1629651.0,,,
155,PT01M26.00S,2022-04-20T23:43:00.8Z,1,REGULAR,block,,[],1629651,,,1610612738,18,29,2022-04-20T23:43:02Z,1550000,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT01M24.00S,2022-04-20T23:43:02.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,18,29,2022-04-20T23:43:05Z,1560000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,154.0,2.0,2.0,0.0,,,,,,,,,
157,PT01M21.00S,2022-04-20T23:43:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201609,10.726018396846255,60.29411764705882,1610612751,18,31,2022-04-20T23:43:17Z,1570000,-51.0,48.0,1,left,G. Dragic 7' running Layup (2 PTS),[201609],1610612751.0,BKN,running,,,Dragic,G. Dragic,,,,,7.06,Made,2.0,,,,,,,,,,,,,,,,,,
158,PT01M21.00S,2022-04-20T23:43:10.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628401,,,1610612751,18,31,2022-04-20T23:43:17Z,1580000,,,0,,D. White shooting personal FOUL (2 PF) (Dragic 1 FT),"[1628401, 201609]",1610612738.0,BOS,shooting,,,White,D. White,,,,,,,,,,,1627962.0,,,,,,2.0,0.0,Dragic,201609.0,,,,,
160,PT01M21.00S,2022-04-20T23:43:34.0Z,1,REGULAR,freethrow,1 of 1,[],201609,,,1610612751,18,32,2022-04-20T23:43:34Z,1600000,,,0,,G. Dragic Free Throw 1 of 1 (3 PTS),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
161,PT01M11.00S,2022-04-20T23:43:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,69.99014454664915,23.284313725490197,1610612738,18,32,2022-04-20T23:43:52Z,1610000,-134.0,230.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,,
162,PT01M08.00S,2022-04-20T23:43:50.7Z,1,REGULAR,rebound,defensive,[],201609,,,1610612751,18,32,2022-04-20T23:43:52Z,1620000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,
163,PT00M51.50S,2022-04-20T23:44:08.4Z,1,REGULAR,3pt,Jump Shot,[],201988,27.414586070959263,76.9607843137255,1610612751,18,32,2022-04-20T23:44:15Z,1630000,-135.0,205.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,,
164,PT00M48.70S,2022-04-20T23:44:11.2Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,18,32,2022-04-20T23:44:15Z,1640000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,
165,PT00M39.40S,2022-04-20T23:44:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,88.25558475689881,4.6568627450980395,1610612738,21,32,2022-04-20T23:44:25Z,1650000,-227.0,58.0,1,right,G. Williams 3PT  (5 PTS) (A. Horford 1 AST),"[1629684, 201143]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.4,Made,5.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
167,PT00M31.90S,2022-04-20T23:44:33.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628401,,,1610612751,21,32,2022-04-20T23:44:42Z,1670000,,,0,,D. White shooting personal FOUL (3 PF) (Claxton 2 FT),"[1628401, 1629651]",1610612738.0,BOS,shooting,,,White,D. White,,,,,,,,,,,2715.0,,,,,,3.0,0.0,Claxton,1629651.0,,,,,
169,PT00M31.90S,2022-04-20T23:45:04.0Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,21,33,2022-04-20T23:45:04Z,1690000,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
170,PT00M31.90S,2022-04-20T23:45:04.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612751,21,33,2022-04-20T23:45:10Z,1700000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M31.90S,2022-04-20T23:45:04.7Z,1,REGULAR,substitution,in,[],203935,,,1610612751,21,33,2022-04-20T23:45:10Z,1710000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT00M31.90S,2022-04-20T23:45:04.0Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,21,33,2022-04-20T23:45:31Z,1720000,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
173,PT00M31.90S,2022-04-20T23:45:04.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,33,2022-04-20T23:45:31Z,1730000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,
174,PT00M20.90S,2022-04-20T23:45:37.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,67.23061760840999,63.48039215686274,1610612738,24,33,2022-04-20T23:45:42Z,1740000,67.0,256.0,1,right,G. Williams 26' 3PT  (8 PTS) (J. Tatum 3 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.42,Made,8.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
176,PT00M01.50S,2022-04-20T23:46:02.1Z,1,REGULAR,2pt,Jump Shot,[],1628971,22.946780551905388,49.50980392156863,1610612751,24,33,2022-04-20T23:46:41Z,1760000,2.0,163.0,1,left,MISS B. Brown 16' driving floating Shot - blocked,"[1628971, 1629684]",1610612751.0,BKN,driving floating,,,Brown,B. Brown,,,,,16.32,Missed,,,,,,,,,,,,,,,Williams,1629684.0,,,
177,PT00M01.50S,2022-04-20T23:46:02.1Z,1,REGULAR,block,,[],1629684,,,1610612751,24,33,2022-04-20T23:46:04Z,1770000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M00.20S,2022-04-20T23:46:03.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,24,33,2022-04-20T23:46:41Z,1780000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,176.0,2.0,2.0,0.0,,,,,,,,,
179,PT00M00.00S,2022-04-20T23:46:33.4Z,1,REGULAR,period,end,[],0,,,1610612738,24,33,2022-04-20T23:46:33Z,1790000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
