actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M09.00S,2022-06-14T01:10:24.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,4,2,2022-06-14T01:12:04Z,180000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,
32,PT10M08.00S,2022-06-14T01:10:27.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,92.9862023653088,43.13725490196079,1610612738,4,2,2022-06-14T01:12:43Z,185000,-34.0,13.0,1,right,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,3.68,Missed,,,,,,,,,,,,,,,,,,
33,PT10M07.00S,2022-06-14T01:10:28.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,2,2022-06-14T01:12:43Z,187500,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
19,PT10M01.00S,2022-06-14T01:10:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201939,8.492115637319317,58.08823529411765,1610612744,6,2,2022-06-14T01:11:53Z,190000,-40.0,27.0,1,left,S. Curry running finger roll Layup (2 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,running finger roll,,,Curry,S. Curry,,,,,4.88,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,
21,PT09M44.00S,2022-06-14T01:10:47.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,90.3580814717477,49.26470588235294,1610612738,6,4,2022-06-14T01:10:49Z,210000,-4.0,38.0,1,right,R. Williams III alley-oop Layup (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.83,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
23,PT09M31.00S,2022-06-14T01:11:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,7.046649145860711,58.82352941176471,1610612744,8,4,2022-06-14T01:11:03Z,230000,-44.0,14.0,1,left,D. Green cutting Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,4.62,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
25,PT09M22.00S,2022-06-14T01:11:08.9Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,8,4,2022-06-14T01:11:10Z,250000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 203952]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,,,,,,,,,Wiggins,203952.0,,
26,PT09M22.00S,2022-06-14T01:11:08.9Z,1,REGULAR,steal,,[],203952,,,1610612744,8,4,2022-06-14T01:29:41Z,260000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M22.00S,2022-06-14T01:11:12.4Z,1,REGULAR,foul,personal,[],1628369,,,1610612744,8,4,2022-06-14T01:13:18Z,270000,,,0,,J. Tatum take personal FOUL (1 PF),"[1628369, 203952]",1610612738.0,BOS,take,,,Tatum,J. Tatum,,,,,,,,,,,1830.0,,,,,,1.0,0.0,Wiggins,203952.0,,,,
29,PT09M09.00S,2022-06-14T01:11:53.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203952,16.68856767411301,29.055606617647058,1610612744,10,4,2022-06-14T01:19:17Z,290000,105.0,104.0,1,left,A. Wiggins 14' step back Jump Shot (4 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,14.79,Made,4.0,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2022-06-14T01:12:44.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,75.77201051248358,9.313725490196079,1610612738,10,4,2022-06-14T01:12:46Z,320000,-203.0,175.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
35,PT08M43.00S,2022-06-14T01:12:47.1Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,10,4,2022-06-14T01:12:47Z,330000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT08M22.00S,2022-06-14T01:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],203952,22.026938239159,6.862745098039216,1610612744,10,4,2022-06-14T01:13:09Z,340000,216.0,155.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.54,Missed,,,,,,,,,,,,,,,,,,
37,PT08M19.00S,2022-06-14T01:13:10.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,4,2022-06-14T01:13:10Z,350000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
38,PT08M13.00S,2022-06-14T01:13:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,89.83245729303549,37.99019607843137,1610612738,10,4,2022-06-14T01:13:19Z,360000,-60.0,43.0,1,right,MISS J. Brown 7' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.39,Missed,,,,,,,,,,,,,,,,,,
39,PT08M11.00S,2022-06-14T01:13:18.4Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,10,4,2022-06-14T01:14:17Z,370000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT07M59.00S,2022-06-14T01:13:29.9Z,1,REGULAR,3pt,Jump Shot,[],202691,23.866622864651774,86.02941176470588,1610612744,10,4,2022-06-14T01:13:32Z,380000,-180.0,172.0,1,left,MISS K. Thompson 24' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
41,PT07M56.00S,2022-06-14T01:13:32.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,4,2022-06-14T01:13:32Z,390000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,
42,PT07M41.00S,2022-06-14T01:13:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.34231274638634,47.549019607843135,1610612738,10,4,2022-06-14T01:13:51Z,400000,-12.0,113.0,1,right,MISS J. Brown 11' turnaround Shot - blocked,"[1627759, 203952]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,11.42,Missed,,,,,,,,,,,,,,,,,Wiggins,203952.0
43,PT07M41.00S,2022-06-14T01:13:48.6Z,1,REGULAR,block,,[],203952,,,1610612738,10,4,2022-06-14T01:13:52Z,410000,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M39.00S,2022-06-14T01:13:50.6Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,10,4,2022-06-14T01:14:12Z,420000,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
45,PT07M28.00S,2022-06-14T01:14:01.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203110,6.521024967148489,48.03921568627451,1610612744,12,4,2022-06-14T01:14:04Z,430000,10.0,9.0,1,left,D. Green driving DUNK (4 PTS),[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,1.32,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M28.00S,2022-06-14T01:14:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,4,2022-06-14T01:14:07Z,440000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M28.00S,2022-06-14T01:17:25.9Z,1,REGULAR,substitution,out,[],203490,,,1610612738,12,4,2022-06-14T01:17:39Z,450000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M28.00S,2022-06-14T01:17:25.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,12,4,2022-06-14T01:17:39Z,460000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M28.00S,2022-06-14T01:17:25.9Z,1,REGULAR,substitution,in,[],1626172,,,1610612738,12,4,2022-06-14T01:17:39Z,470000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2022-06-14T01:17:25.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,12,4,2022-06-14T01:17:39Z,480000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M04.00S,2022-06-14T01:18:17.1Z,1,REGULAR,2pt,Jump Shot,[],201143,87.86136662286465,67.64705882352942,1610612738,12,4,2022-06-14T01:18:20Z,490000,88.0,62.0,1,right,MISS A. Horford 10' driving floating bank Shot,[201143],1610612738.0,BOS,driving floating bank,,,Horford,A. Horford,,,,,10.76,Missed,,,,,,,,,,,,,,,,,,
53,PT07M02.00S,2022-06-14T01:18:19.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,12,4,2022-06-14T01:19:33Z,500000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,
54,PT06M44.00S,2022-06-14T01:18:37.1Z,1,REGULAR,2pt,Jump Shot,[],202691,20.71287779237845,24.019607843137255,1610612744,14,4,2022-06-14T01:18:39Z,510000,130.0,142.0,1,left,K. Thompson 19' pullup Jump Shot (2 PTS),[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,19.26,Made,2.0,,,,,,,,,,,,,,,,,
55,PT06M27.00S,2022-06-14T01:18:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,91.40932982917214,58.333333333333336,1610612738,14,4,2022-06-14T01:18:56Z,520000,42.0,28.0,1,right,MISS A. Horford driving Layup,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,5.04,Missed,,,,,,,,,,,,,,,,,,
56,PT06M25.00S,2022-06-14T01:18:56.1Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,14,4,2022-06-14T01:19:28Z,530000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,
57,PT06M23.00S,2022-06-14T01:18:57.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201143,94.40999984741211,50.0,1610612738,14,6,2022-06-14T01:20:43Z,540000,0.0,0.0,1,right,A. Horford putback Layup (2 PTS),[201143],1610612738.0,BOS,putback,,,Horford,A. Horford,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
58,PT06M06.00S,2022-06-14T01:19:18.1Z,1,REGULAR,foul,offensive,[],1626172,,,1610612744,14,6,2022-06-14T01:19:22Z,550000,,,0,,K. Looney offensive FOUL (1 PF),"[1626172, 1628369]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,201639.0,,,,,,1.0,0.0,Tatum,1628369.0,,,,
60,PT06M06.00S,2022-06-14T01:19:18.1Z,1,REGULAR,turnover,offensive foul,[],1626172,,,1610612744,14,6,2022-06-14T01:19:18Z,570000,,,0,,K. Looney offensive foul TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,201639.0,1.0,,,,,,,,,,,,
61,PT05M52.00S,2022-06-14T01:19:44.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,88.64980289093299,5.88235294117647,1610612738,14,6,2022-06-14T01:19:48Z,580000,-221.0,54.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.72,Missed,,,,,,,,,,,,,,,,,,
62,PT05M49.00S,2022-06-14T01:19:48.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,14,6,2022-06-14T01:19:48Z,590000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,
63,PT05M41.00S,2022-06-14T01:19:56.2Z,1,REGULAR,3pt,Jump Shot,[],203952,29.122864651773984,74.01960784313727,1610612744,14,6,2022-06-14T01:21:33Z,600000,-120.0,221.0,1,left,MISS A. Wiggins 25' step back 3PT,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,
64,PT05M39.00S,2022-06-14T01:19:58.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,6,2022-06-14T01:20:56Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,
65,PT05M26.00S,2022-06-14T01:20:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,86.15308804204993,51.225490196078425,1610612738,14,6,2022-06-14T01:20:14Z,620000,6.0,78.0,1,right,MISS J. Brown 7' cutting Layup,[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,7.79,Missed,,,,,,,,,,,,,,,,,,
66,PT05M24.00S,2022-06-14T01:20:13.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,14,6,2022-06-14T01:21:06Z,630000,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,
67,PT05M14.00S,2022-06-14T01:20:23.4Z,1,REGULAR,3pt,Jump Shot,[],202691,26.888961892247043,13.725490196078432,1610612744,17,6,2022-06-14T01:20:26Z,640000,181.0,200.0,1,left,K. Thompson 27' 3PT pullup (5 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,27.02,Made,5.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
69,PT04M54.00S,2022-06-14T01:20:45.3Z,1,REGULAR,foul,personal,[],1626172,,,1610612738,17,6,2022-06-14T01:20:48Z,660000,,,0,,K. Looney personal FOUL (2 PF),"[1626172, 1628369]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,1146.0,,,,,,2.0,0.0,Tatum,1628369.0,,,,
71,PT04M54.00S,2022-06-14T01:20:57.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,17,6,2022-06-14T01:21:00Z,680000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M54.00S,2022-06-14T01:20:57.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,17,6,2022-06-14T01:21:00Z,690000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M54.00S,2022-06-14T01:21:12.9Z,1,REGULAR,substitution,out,[],203952,,,1610612738,17,6,2022-06-14T01:21:18Z,700000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M54.00S,2022-06-14T01:21:12.9Z,1,REGULAR,substitution,in,[],1627780,,,1610612738,17,6,2022-06-14T01:21:18Z,710000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M48.00S,2022-06-14T01:21:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,88.51839684625493,56.127450980392155,1610612738,17,8,2022-06-14T01:22:57Z,720000,31.0,55.0,1,right,J. Brown 6' driving Layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,6.33,Made,4.0,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2022-06-14T01:21:51.2Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612738,17,8,2022-06-14T01:21:57Z,730000,,,0,,K. Looney shooting personal FOUL (3 PF) (Brown 1 FT),"[1626172, 1627759]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,1830.0,,,,,,3.0,0.0,Brown,1627759.0,,,,
78,PT04M48.00S,2022-06-14T01:22:11.3Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,17,8,2022-06-14T01:22:51Z,750000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT04M47.00S,2022-06-14T01:22:12.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,17,8,2022-06-14T01:22:51Z,760000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,
80,PT04M38.00S,2022-06-14T01:22:20.9Z,1,REGULAR,3pt,Jump Shot,[],202691,26.231931668856767,11.029411764705882,1610612744,17,8,2022-06-14T01:22:24Z,770000,195.0,194.0,1,left,MISS K. Thompson 27' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,27.51,Missed,,,,,,,,,,,,,,,,,,
81,PT04M35.00S,2022-06-14T01:22:24.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,17,8,2022-06-14T01:22:24Z,780000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,80.0,3.0,2.0,1.0,,,,,,,,
82,PT04M27.00S,2022-06-14T01:22:32.1Z,1,REGULAR,3pt,Jump Shot,[],203935,70.38436268068331,12.5,1610612738,17,8,2022-06-14T01:22:34Z,790000,-188.0,226.0,1,right,MISS M. Smart 29' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,29.36,Missed,,,,,,,,,,,,,,,,,,
83,PT04M24.00S,2022-06-14T01:22:34.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,17,8,2022-06-14T01:22:34Z,800000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,
84,PT04M17.00S,2022-06-14T01:22:41.5Z,1,REGULAR,2pt,Jump Shot,[],201939,23.866622864651774,61.274509803921575,1610612744,17,8,2022-06-14T01:22:45Z,810000,-56.0,172.0,1,left,MISS S. Curry 18' step back Shot,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,18.08,Missed,,,,,,,,,,,,,,,,,,
85,PT04M15.00S,2022-06-14T01:22:43.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,17,8,2022-06-14T01:23:18Z,820000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,
86,PT04M03.00S,2022-06-14T01:22:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,88.78120893561103,61.274509803921575,1610612738,17,8,2022-06-14T01:25:46Z,830000,56.0,53.0,1,right,MISS M. Smart 7' driving floating bank Shot,[203935],1610612738.0,BOS,driving floating bank,,,Smart,M. Smart,,,,,7.74,Missed,,,,,,,,,,,,,,,,,,
87,PT04M01.00S,2022-06-14T01:22:58.5Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,17,8,2022-06-14T01:23:21Z,840000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT03M50.00S,2022-06-14T01:23:12.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,17,8,2022-06-14T01:23:12Z,850000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M50.00S,2022-06-14T01:26:25.9Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,17,8,2022-06-14T01:26:41Z,860000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M50.00S,2022-06-14T01:26:25.9Z,1,REGULAR,substitution,in,[],203490,,,1610612744,17,8,2022-06-14T01:26:41Z,870000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M39.00S,2022-06-14T01:27:09.4Z,1,REGULAR,3pt,Jump Shot,[],1627780,7.440867279894875,96.32352941176471,1610612744,20,8,2022-06-14T01:27:11Z,880000,-232.0,17.0,1,left,G. Payton II 3PT  (3 PTS) (K. Thompson 2 AST),"[1627780, 202691]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,23.23,Made,3.0,K. Thompson,202691.0,2.0,,,,,,,,,,,,,,
