actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-06-14T01:08:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-14T01:08:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-06-14T01:08:10.3Z,1,REGULAR,jumpball,recovered,[],203490,,,1610612744,0,0,2022-06-14T01:08:10Z,40000,,,0,,Jump Ball D. Green vs. R. Williams III: Tip to O. Porter Jr.,"[203490, 203110, 1629057]",1610612744.0,GSW,startperiod,O. Porter Jr.,203490.0,Porter Jr.,O. Porter Jr.,Green,203110.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-06-14T01:08:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203490,8.229303547963205,41.66666666666667,1610612744,2,0,2022-06-14T01:08:27Z,70000,42.0,25.0,1,left,O. Porter Jr. cutting Layup (2 PTS) (D. Green 1 AST),"[203490, 203110]",1610612744.0,GSW,cutting,,,Porter Jr.,O. Porter Jr.,,,,,4.86,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-06-14T01:08:41.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,2,0,2022-06-14T01:08:43Z,90000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,1830.0,1.0,,,,,,,,,,,,
10,PT11M10.00S,2022-06-14T01:09:02.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,5.601182654402102,97.05882352941177,1610612744,2,0,2022-06-14T01:09:05Z,100000,-235.0,0.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,23.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-06-14T01:09:05.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2022-06-14T01:09:09Z,110000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M49.00S,2022-06-14T01:09:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.42247043363994,49.50980392156863,1610612738,2,2,2022-06-14T01:09:27Z,120000,-2.0,122.0,1,right,J. Brown 12' fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,12.21,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M33.00S,2022-06-14T01:09:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,6.176084099868594,37.25107230392157,1610612744,4,2,2022-06-14T01:10:48Z,130000,64.0,6.0,1,left,A. Wiggins 6' bank Jump Shot (2 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,bank,,,Wiggins,A. Wiggins,,,,,6.39,Made,2.0,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,
15,PT10M19.00S,2022-06-14T01:09:56.3Z,1,REGULAR,foul,personal,[],203110,,,1610612738,4,2,2022-06-14T01:09:59Z,150000,,,0,,D. Green personal FOUL (1 PF),"[203110, 1627759]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,1146.0,,,,,,1.0,0.0,Brown,1627759.0,,,,
17,PT10M10.00S,2022-06-14T01:10:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,90.62089356110381,56.372549019607845,1610612738,4,2,2022-06-14T01:12:04Z,170000,32.0,36.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,
