actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-06-17T01:07:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-06-17T01:07:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-06-17T01:07:49.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-06-17T01:07:49Z,40000,,,0,,Jump Ball R. Williams III vs. D. Green: Tip to M. Smart,"[203935, 1629057, 203110]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-06-17T01:08:01.4Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612738,0,0,2022-06-17T01:08:08Z,70000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Horford 2 FT),"[202691, 201143]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,2534.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2022-06-17T01:08:31.8Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,1,0,2022-06-17T01:08:31Z,90000,,,0,,A. Horford Free Throw 1 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2022-06-17T01:08:49.2Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,2,0,2022-06-17T01:08:49Z,100000,,,0,,A. Horford Free Throw 2 of 2 (2 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M33.00S,2022-06-17T01:09:04.8Z,1,REGULAR,2pt,Jump Shot,[],203110,10.068988173455978,31.127450980392158,1610612744,2,2,2022-06-17T01:10:05Z,110000,94.0,42.0,1,left,D. Green 10' floating Jump Shot (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,floating,,,Green,D. Green,,,,,,,,,,Made,2.0,10.34,S. Curry,201939.0,1.0,,,,,,,,,
13,PT11M11.00S,2022-06-17T01:09:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,80.3712220762155,38.23529411764706,1610612738,2,2,2022-06-17T01:09:30Z,130000,-59.0,132.0,1,right,MISS M. Smart 14' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,,,,,,Missed,,14.45,,,,,,,,,,,,
14,PT11M09.00S,2022-06-17T01:09:28.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,2,2022-06-17T01:09:30Z,140000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M00.00S,2022-06-17T01:09:37.1Z,1,REGULAR,3pt,Jump Shot,[],203490,28.33442838370565,21.813725490196077,1610612744,2,2,2022-06-17T01:09:41Z,150000,141.0,214.0,1,left,MISS O. Porter Jr. 25' 3PT,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,Missed,,25.61,,,,,,,,,,,,
16,PT10M57.00S,2022-06-17T01:09:40.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,2,2022-06-17T01:09:41Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M52.00S,2022-06-17T01:09:45.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,78.66294349540078,27.205882352941174,1610612738,4,2,2022-06-17T01:09:53Z,170000,-114.0,148.0,1,right,J. Brown 18' pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,Made,2.0,18.69,,,,,,,,,,,,
18,PT10M37.00S,2022-06-17T01:10:00.2Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612744,4,2,2022-06-17T01:10:03Z,180000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1628369]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,
19,PT10M37.00S,2022-06-17T01:10:00.2Z,1,REGULAR,steal,,[],1628369,,,1610612738,4,2,2022-06-17T01:10:01Z,190000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2022-06-17T01:10:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.19776609724047,40.931372549019606,1610612738,4,2,2022-06-17T01:10:13Z,200000,-45.0,21.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,,,,,,Missed,,4.98,,,,,,,,,,,,
21,PT10M32.00S,2022-06-17T01:10:07.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,4,2,2022-06-17T01:10:07Z,210000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
23,PT10M24.00S,2022-06-17T01:10:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203935,83.919185282523,46.07843137254902,1610612738,6,2,2022-06-17T01:10:33Z,230000,-20.0,99.0,1,right,M. Smart 10' driving floating Jump Shot (2 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,,,,,,Made,2.0,10.06,J. Brown,1627759.0,1.0,,,,,,,,,
