actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-17T19:41:14.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-17T19:41:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-17T19:41:16.5Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-04-17T19:41:16Z,40000,,,0,,Jump Ball A. Drummond vs. A. Horford: Tip to K. Irving,"[202681, 203083, 201143]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Drummond,203083.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-04-17T19:41:28.8Z,1,REGULAR,2pt,Jump Shot,[],201142,23.47240473061761,53.18627450980392,1610612751,0,0,2022-04-17T19:42:45Z,70000,-16.0,168.0,1,left,MISS K. Durant 16' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,16.89,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-04-17T19:41:30.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-04-17T19:41:34Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-04-17T19:41:50.4Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612738,0,0,2022-04-17T19:41:58Z,90000,,,0,,B. Brown shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628971, 1628369]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,202058.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
11,PT11M24.00S,2022-04-17T19:42:16.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,0,0,2022-04-17T19:42:16Z,110000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-04-17T19:42:16.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,0,0,2022-04-17T19:42:16Z,120000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2022-04-17T19:42:29.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,1,0,2022-04-17T19:42:29Z,130000,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
14,PT11M08.00S,2022-04-17T19:42:46.8Z,1,REGULAR,2pt,Jump Shot,[],203552,22.421156373193167,25.98039215686275,1610612751,1,2,2022-04-17T19:42:53Z,140000,120.0,158.0,1,left,S. Curry 19' pullup Jump Shot (2 PTS) (B. Brown 1 AST),"[203552, 1628971]",1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,19.87,Made,,,,,,,,,,2.0,B. Brown,1628971.0,1.0,,,,,,
16,PT11M00.00S,2022-04-17T19:42:54.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,92.72339027595268,50.0,1610612738,3,2,2022-04-17T19:43:00Z,160000,0.0,16.0,1,right,J. Brown cutting DUNK (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.59,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,
18,PT10M41.00S,2022-04-17T19:43:13.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203083,6.258212877792378,49.01960784313725,1610612751,3,4,2022-04-17T19:43:20Z,180000,5.0,6.0,1,left,A. Drummond DUNK (2 PTS) (S. Curry 1 AST),"[203083, 203552]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,0.8,Made,,,,,,,,,,2.0,S. Curry,203552.0,1.0,,,,,,
20,PT10M27.00S,2022-04-17T19:43:27.2Z,1,REGULAR,3pt,Jump Shot,[],201143,67.7562417871222,67.40196078431373,1610612738,6,4,2022-04-17T19:43:40Z,200000,87.0,251.0,1,right,A. Horford 26' 3PT  (3 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.53,Made,,,,,,,,,,3.0,,,,,,,,,
21,PT10M14.00S,2022-04-17T19:43:41.0Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612751,6,4,2022-04-17T19:43:49Z,210000,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 201143]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0,,,
22,PT10M14.00S,2022-04-17T19:43:41.0Z,1,REGULAR,steal,,[],201143,,,1610612738,6,4,2022-04-17T19:43:42Z,220000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2022-04-17T19:43:45.0Z,1,REGULAR,foul,personal,[],203552,,,1610612738,6,4,2022-04-17T19:46:57Z,230000,,,0,,S. Curry take personal FOUL (1 PF),"[203552, 1627759]",1610612751.0,BKN,take,,,Curry,S. Curry,,,,,,,,,,,1179.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
25,PT10M02.00S,2022-04-17T19:44:14.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,88.51839684625493,13.23529411764706,1610612738,6,4,2022-04-17T19:44:22Z,250000,-184.0,55.0,1,right,MISS J. Brown 19' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,19.2,Missed,,,,,,,,,,,,,,,,,,,
