actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-05-07T19:41:12.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-07T19:41:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-05-07T19:41:16.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-05-07T19:41:16Z,40000,,,0,,Jump Ball B. Lopez vs. R. Williams III: Tip to G. Antetokounmpo,"[203507, 201572, 1629057]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-05-07T19:41:26.6Z,1,REGULAR,2pt,Jump Shot,[],201950,82.9993429697766,76.9607843137255,1610612749,0,0,2022-05-07T19:42:00Z,70000,135.0,107.0,1,right,MISS J. Holiday 17' pullup Shot,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,17.23,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-05-07T19:41:29.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-05-07T19:41:29Z,80000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-05-07T19:41:39.2Z,1,REGULAR,2pt,Jump Shot,[],201143,25.969119579500656,29.901960784313726,1610612738,0,0,2022-05-07T19:41:43Z,90000,100.0,192.0,1,left,MISS A. Horford 21' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,21.64,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2022-05-07T19:41:41.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,0,2022-05-07T19:41:43Z,100000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M22.00S,2022-05-07T19:41:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,88.91261498028909,45.34313725490196,1610612749,0,0,2022-05-07T19:41:56Z,110000,-23.0,52.0,1,right,MISS G. Antetokounmpo cutting Layup - blocked,"[203507, 1629057]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,5.67,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,,
12,PT11M22.00S,2022-05-07T19:41:49.5Z,1,REGULAR,block,,[],1629057,,,1610612749,0,0,2022-05-07T19:41:52Z,120000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2022-05-07T19:41:52.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2022-05-07T19:41:56Z,130000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-05-07T19:42:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,14.011169513797633,46.32352941176471,1610612738,0,2,2022-05-07T19:42:05Z,140000,18.0,79.0,1,left,J. Tatum 8' driving floating Jump Shot (2 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,8.13,Made,,,,,,,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,
