actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
19,PT10M20.00S,2022-05-30T00:48:22.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,4,2022-05-30T00:48:22Z,190000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M19.00S,2022-05-30T00:48:31.7Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612738,0,4,2022-05-30T00:48:41Z,200000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Brown 2 FT),"[200768, 1627759]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,
22,PT10M19.00S,2022-05-30T00:48:50.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627759,,,1610612738,0,5,2022-05-30T00:48:50Z,220000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
23,PT10M19.00S,2022-05-30T00:49:06.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627759,,,1610612738,0,6,2022-05-30T00:49:06Z,230000,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
24,PT09M59.00S,2022-05-30T00:49:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612748,0,6,2022-05-30T00:49:41Z,240000,,,0,,J. Brown shooting personal FOUL (1 PF) (Lowry 2 FT),"[1627759, 200768]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Lowry,200768.0,,,
26,PT09M59.00S,2022-05-30T00:49:57.0Z,1,REGULAR,freethrow,1 of 2,[],200768,,,1610612748,1,6,2022-05-30T00:50:16Z,260000,,,0,,K. Lowry Free Throw 1 of 2 (1 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
27,PT09M59.00S,2022-05-30T00:49:57.0Z,1,REGULAR,freethrow,2 of 2,[],200768,,,1610612748,1,6,2022-05-30T00:50:16Z,270000,,,0,,MISS K. Lowry Free Throw 2 of 2,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M57.00S,2022-05-30T00:49:59.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,1,6,2022-05-30T00:50:16Z,280000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT09M57.00S,2022-05-30T00:50:15.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,1,6,2022-05-30T00:50:15Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2022-05-30T00:50:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.360709592641262,48.03921568627451,1610612738,1,6,2022-05-30T00:51:54Z,300000,10.0,26.0,1,left,MISS J. Tatum Layup - blocked,"[1628369, 200782]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.79,Missed,,,,,,,,,,,,,,,,,Tucker,200782.0,
