actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
21,PT10M18.00S,2022-06-11T01:11:01.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,4,2022-06-11T01:11:05Z,210000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,20.0,,1.0,1.0,0.0,,,,
22,PT10M01.00S,2022-06-11T01:11:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.17279894875165,22.794117647058822,1610612738,6,4,2022-06-11T01:11:22Z,220000,-136.0,218.0,1,right,J. Tatum 25' 3PT  (4 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.74,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
24,PT09M52.00S,2022-06-11T01:11:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,11.251642575558476,37.99019607843137,1610612744,6,4,2022-06-11T01:11:42Z,240000,60.0,53.0,1,left,MISS S. Curry 8' driving Layup - blocked,"[201939, 1629057]",1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,8.03,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
25,PT09M52.00S,2022-06-11T01:11:28.8Z,1,REGULAR,block,,[],1629057,,,1610612744,6,4,2022-06-11T01:11:31Z,250000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2022-06-11T01:11:29.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,6,4,2022-06-11T01:11:42Z,260000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
28,PT09M45.00S,2022-06-11T01:11:51.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202691,26.10052562417871,73.0392156862745,1610612744,6,4,2022-06-11T01:11:58Z,280000,-115.0,193.0,1,left,MISS K. Thompson 22' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,22.46,Missed,,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2022-06-11T01:11:53.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,4,2022-06-11T01:11:58Z,290000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,28.0,,2.0,2.0,0.0,,,,
30,PT09M33.00S,2022-06-11T01:12:03.0Z,1,REGULAR,3pt,Jump Shot,[],201143,88.38699080157687,5.147058823529411,1610612738,6,4,2022-06-11T01:12:11Z,300000,-224.0,57.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2022-06-11T01:12:04.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,6,4,2022-06-11T01:12:11Z,310000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,30.0,,1.0,0.0,1.0,,,,
32,PT09M31.00S,2022-06-11T01:12:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,93.38042049934296,43.38235294117647,1610612738,8,4,2022-06-11T01:12:16Z,320000,-33.0,10.0,1,right,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,3.45,Made,2.0,,,,,,,,,,,,,,,,,
