actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
39,PT09M37.00S,2021-05-13T00:14:35.4Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612738,6,2,2021-05-13T00:14:35Z,390000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1.0,,,,,,,,,,,,,2148.0,,,,,,,
40,PT09M21.00S,2021-05-13T00:15:08.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,6,2,2021-05-13T00:15:08Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M20.00S,2021-05-13T00:15:27.1Z,1,REGULAR,turnover,traveling,[],201567,,,1610612739,6,2,2021-05-13T00:15:32Z,410000,,,0,,K. Love traveling TURNOVER (1 TO),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,1.0,,,,,,,,,,,,,1626301.0,,,,,,,
42,PT09M05.00S,2021-05-13T00:15:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203095,93.77463863337714,50.55912990196079,1610612738,6,4,2021-05-13T00:15:53Z,420000,3.0,6.0,1,right,E. Fournier driving Layup (2 PTS) (A. Nesmith 1 AST),"[203095, 1630174]",1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,0.66,Made,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,
44,PT08M43.00S,2021-05-13T00:16:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,10.068988173455978,56.196384803921575,1610612739,8,4,2021-05-13T00:16:14Z,440000,-31.0,42.0,1,left,C. Sexton finger roll Layup (2 PTS),[1629012],1610612739.0,CLE,finger roll,,,Sexton,C. Sexton,,,,,,,,5.23,Made,,,,,2.0,,,,,,,,,,,
45,PT08M28.00S,2021-05-13T00:16:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.64323258869908,49.333639705882355,1610612738,8,6,2021-05-13T00:16:29Z,450000,-3.0,7.0,1,right,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,0.8,Made,,,,,2.0,,,,,,,,,,,
46,PT08M17.00S,2021-05-13T00:16:37.6Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612739,8,6,2021-05-13T00:16:44Z,460000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Sexton 2 FT),"[1628369, 1629012]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Sexton,1629012.0,,,
48,PT08M17.00S,2021-05-13T00:16:59.8Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612739,9,6,2021-05-13T00:17:17Z,480000,,,0,,C. Sexton Free Throw 1 of 2 (3 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
49,PT08M17.00S,2021-05-13T00:16:59.8Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612739,9,6,2021-05-13T00:17:17Z,490000,,,0,,MISS C. Sexton Free Throw 2 of 2,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Missed,,,,,,,,,,,,,,,,
50,PT08M11.00S,2021-05-13T00:17:05.8Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,9,6,2021-05-13T00:17:17Z,500000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT08M10.00S,2021-05-13T00:17:17.8Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612738,9,6,2021-05-13T00:17:22Z,510000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1629731]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,1.0,Wade,1629731.0,,,,,,,,,,,,,,,,,,
52,PT08M10.00S,2021-05-13T00:17:17.8Z,1,REGULAR,steal,,[],1629731,,,1610612739,9,6,2021-05-13T00:17:20Z,520000,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M07.00S,2021-05-13T00:17:21.4Z,1,REGULAR,turnover,bad pass,[],1629731,,,1610612739,9,6,2021-05-13T00:17:25Z,530000,,,0,,D. Wade bad pass TURNOVER (1 TO),"[1629731, 1630174]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,1.0,Nesmith,1630174.0,,,,,,,,,,,,,,,,,,
54,PT08M07.00S,2021-05-13T00:17:21.4Z,1,REGULAR,steal,,[],1630174,,,1610612738,9,6,2021-05-13T00:17:23Z,540000,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M54.00S,2021-05-13T00:17:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203095,92.32917214191852,53.50030637254902,1610612738,9,6,2021-05-13T00:17:39Z,550000,18.0,20.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,2.63,Missed,,,,,,,,,,,,,,,,
56,PT07M54.00S,2021-05-13T00:17:37.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,6,2021-05-13T00:17:37Z,560000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,
57,PT07M54.00S,2021-05-13T00:17:39.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,9,6,2021-05-13T00:17:39Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M38.00S,2021-05-13T00:18:05.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630174,87.20433639947439,71.8826593137255,1610612738,9,6,2021-05-13T00:18:09Z,580000,109.0,68.0,1,right,MISS A. Nesmith 12' turnaround fadeaway Shot,[1630174],1610612738.0,BOS,turnaround fadeaway,,,Nesmith,A. Nesmith,,,,,,,,12.87,Missed,,,,,,,,,,,,,,,,
59,PT07M35.00S,2021-05-13T00:18:07.8Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,9,6,2021-05-13T00:18:07Z,590000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,
60,PT07M26.00S,2021-05-13T00:18:16.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201567,11.251642575558476,49.08854166666667,1610612739,9,6,2021-05-13T00:18:20Z,600000,5.0,53.0,1,left,MISS K. Love turnaround Hook,[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,,,,5.35,Missed,,,,,,,,,,,,,,,,
61,PT07M25.00S,2021-05-13T00:18:17.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,9,6,2021-05-13T00:18:20Z,610000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,
62,PT07M11.00S,2021-05-13T00:18:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629682,94.03745072273325,3.5003063725490198,1610612738,9,6,2021-05-13T00:18:36Z,620000,-232.0,4.0,1,right,MISS T. Waters 3PT,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,23.25,Missed,,,,,,,,,,,,,,,,
63,PT07M08.00S,2021-05-13T00:18:35.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,9,6,2021-05-13T00:18:36Z,630000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,
64,PT07M03.00S,2021-05-13T00:18:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.703679369250986,53.74540441176471,1610612739,9,6,2021-05-13T00:18:49Z,640000,-19.0,20.0,1,left,MISS I. Okoro driving Layup - blocked,"[1630171, 203095]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,2.73,Missed,,,,,,,,,,,,,,Fournier,203095.0,
65,PT07M03.00S,2021-05-13T00:18:42.6Z,1,REGULAR,block,,[],203095,,,1610612739,9,6,2021-05-13T00:18:45Z,650000,,,0,,E. Fournier BLOCK (1 BLK),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2021-05-13T00:18:42.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,9,6,2021-05-13T00:18:49Z,660000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,
67,PT07M03.00S,2021-05-13T00:18:51.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,9,6,2021-05-13T00:18:51Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M03.00S,2021-05-13T00:18:52.7Z,1,REGULAR,substitution,out,[],201567,,,1610612739,9,6,2021-05-13T00:18:57Z,680000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2021-05-13T00:18:52.7Z,1,REGULAR,substitution,in,[],1630271,,,1610612739,9,6,2021-05-13T00:18:57Z,690000,,,0,,SUB in: B. Thomas,[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2021-05-13T00:19:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629012,6.915243101182654,51.049325980392155,1610612739,11,6,2021-05-13T00:19:08Z,700000,-5.0,13.0,1,left,C. Sexton driving Layup (5 PTS) (I. Okoro 2 AST),"[1629012, 1630171]",1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,,,,1.35,Made,,,,,5.0,I. Okoro,1630171.0,2.0,,,,,,,,
72,PT06M59.00S,2021-05-13T00:19:10.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,6,2021-05-13T00:19:10Z,720000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M44.00S,2021-05-13T00:22:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,92.85479632063075,56.68658088235294,1610612738,11,6,2021-05-13T00:22:15Z,730000,33.0,15.0,1,right,MISS J. Tatum driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,,,,3.65,Missed,,,,,,,,,,,,,,,,
74,PT06M42.00S,2021-05-13T00:22:12.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,11,6,2021-05-13T00:22:15Z,740000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,,
75,PT06M41.00S,2021-05-13T00:22:14.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,92.72339027595268,47.372855392156865,1610612738,11,8,2021-05-13T00:22:21Z,750000,-13.0,16.0,1,right,T. Thompson turnaround Hook (2 PTS),[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,,,,2.06,Made,,,,,2.0,,,,,,,,,,,
76,PT06M41.00S,2021-05-13T00:22:19.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612739,11,8,2021-05-13T00:22:26Z,760000,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,1626301.0,,,,,,,
77,PT06M25.00S,2021-05-13T00:22:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,13.61695137976347,43.451286764705884,1610612739,11,8,2021-05-13T00:22:43Z,770000,33.0,75.0,1,left,MISS C. Sexton 8' pullup Shot,[1629012],1610612739.0,CLE,pullup,,,Sexton,C. Sexton,,,,,,,,8.23,Missed,,,,,,,,,,,,,,,,
78,PT06M22.00S,2021-05-13T00:22:41.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,11,8,2021-05-13T00:22:43Z,780000,,,0,,J. Allen REBOUND (Off:1 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,77.0,4.0,3.0,1.0,,,,,,,,,,,,
79,PT06M12.00S,2021-05-13T00:22:49.7Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,11,8,2021-05-13T00:22:53Z,790000,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 1628369]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,
80,PT06M12.00S,2021-05-13T00:22:49.7Z,1,REGULAR,steal,,[],1628369,,,1610612738,11,8,2021-05-13T00:22:51Z,800000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2021-05-13T00:22:57.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,81.94809461235218,4.4806985294117645,1610612738,11,11,2021-05-13T00:23:02Z,810000,-228.0,117.0,1,right,J. Tatum 25' 3PT  (5 PTS) (T. Waters 1 AST),"[1628369, 1629682]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,25.6,Made,,,,,5.0,T. Waters,1629682.0,1.0,,,,,,,,
83,PT05M44.00S,2021-05-13T00:23:19.0Z,1,REGULAR,turnover,lost ball,[],1628386,,,1610612739,11,11,2021-05-13T00:23:23Z,830000,,,0,,J. Allen lost ball TURNOVER (2 TO),"[1628386, 203095]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,2.0,Fournier,203095.0,,,,,,,,,,,,,,,,,,
84,PT05M44.00S,2021-05-13T00:23:19.0Z,1,REGULAR,steal,,[],203095,,,1610612738,11,11,2021-05-13T00:23:22Z,840000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M36.00S,2021-05-13T00:23:29.9Z,1,REGULAR,turnover,traveling,[],202684,,,1610612738,11,11,2021-05-13T00:23:34Z,850000,,,0,,T. Thompson traveling TURNOVER (2 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.0,,,,,,,,,,,,,1626301.0,,,,,,,
86,PT05M36.00S,2021-05-13T00:23:35.9Z,1,REGULAR,substitution,out,[],203095,,,1610612739,11,11,2021-05-13T00:23:42Z,860000,,,0,,SUB out: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M36.00S,2021-05-13T00:23:35.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612739,11,11,2021-05-13T00:23:42Z,870000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
