actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
88,PT05M21.00S,2021-05-13T00:24:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630171,6.258212877792378,51.53952205882353,1610612739,13,11,2021-05-13T00:24:06Z,880000,-8.0,6.0,1,left,I. Okoro driving Layup (2 PTS) (C. Sexton 2 AST),"[1630171, 1629012]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,,,,0.99,Made,,,,,2.0,C. Sexton,1629012.0,2.0,,,,,,,,
90,PT05M03.00S,2021-05-13T00:24:20.7Z,1,REGULAR,turnover,bad pass,[],1629682,,,1610612738,13,11,2021-05-13T00:28:37Z,900000,,,0,,T. Waters bad pass TURNOVER (2 TO),"[1629682, 1629731]",1610612738.0,BOS,,,,Waters,T. Waters,,,,,2.0,Wade,1629731.0,,,,,,,,,,,,,,,,,,
91,PT05M03.00S,2021-05-13T00:24:20.7Z,1,REGULAR,steal,,[],1629731,,,1610612739,13,11,2021-05-13T00:24:24Z,910000,,,0,,D. Wade STEAL (2 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M57.00S,2021-05-13T00:24:25.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630171,6.915243101182654,49.57873774509804,1610612739,15,11,2021-05-13T00:24:40Z,920000,2.0,13.0,1,left,I. Okoro running alley-oop DUNK (4 PTS) (C. Sexton 3 AST),"[1630171, 1629012]",1610612739.0,CLE,running alley-oop,,,Okoro,I. Okoro,,,,,,,,1.27,Made,,,,,4.0,C. Sexton,1629012.0,3.0,,,,,,,,
94,PT04M44.00S,2021-05-13T00:24:47.0Z,1,REGULAR,foul,personal,[],1629731,,,1610612738,15,11,2021-05-13T00:24:53Z,940000,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 202684]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Thompson,202684.0,,,
96,PT04M44.00S,2021-05-13T00:24:54.0Z,1,REGULAR,substitution,out,[],1629682,,,1610612738,15,11,2021-05-13T00:24:58Z,960000,,,0,,SUB out: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M44.00S,2021-05-13T00:24:54.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,15,11,2021-05-13T00:24:58Z,970000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M44.00S,2021-05-13T00:24:54.0Z,1,REGULAR,substitution,out,[],1629012,,,1610612738,15,11,2021-05-13T00:26:07Z,975000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M44.00S,2021-05-13T00:24:54.0Z,1,REGULAR,substitution,in,[],1628422,,,1610612738,15,11,2021-05-13T00:26:07Z,977500,,,0,,SUB in: D. Dotson,[1628422],1610612739.0,CLE,,,,Dotson,D. Dotson,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M41.00S,2021-05-13T00:25:12.0Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,15,11,2021-05-13T00:26:39Z,980000,,,0,,J. Tatum offensive FOUL (2 PF),"[1628369, 1629731]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Wade,1629731.0,,,
100,PT04M41.00S,2021-05-13T00:25:12.0Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,15,11,2021-05-13T00:25:12Z,1000000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.0,,,,,,,,,,,,,1626301.0,,,,,,,
101,PT04M17.00S,2021-05-13T00:25:45.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,25.837713534822605,11.588541666666668,1610612739,15,11,2021-05-13T00:25:50Z,1010000,192.0,190.0,1,left,MISS I. Okoro 27' step back 3PT,[1630171],1610612739.0,CLE,step back,,,Okoro,I. Okoro,,,,,,,,27.05,Missed,,,,,,,,,,,,,,,,
102,PT04M14.00S,2021-05-13T00:25:48.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,11,2021-05-13T00:25:50Z,1020000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,
103,PT04M08.00S,2021-05-13T00:25:53.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.80749014454665,27.519914215686274,1610612738,15,11,2021-05-13T00:25:59Z,1030000,-112.0,241.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,26.57,Missed,,,,,,,,,,,,,,,,
104,PT04M05.00S,2021-05-13T00:25:56.6Z,1,REGULAR,rebound,defensive,[],1630271,,,1610612739,15,11,2021-05-13T00:25:59Z,1040000,,,0,,B. Thomas REBOUND (Off:0 Def:1),[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,
107,PT03M55.00S,2021-05-13T00:26:06.9Z,1,REGULAR,3pt,Jump Shot,[],1628422,24.655059132720105,10.363051470588236,1610612739,15,11,2021-05-13T00:26:12Z,1050000,198.0,179.0,1,left,MISS D. Dotson 26' 3PT,[1628422],1610612739.0,CLE,,,,Dotson,D. Dotson,,,,,,,,26.73,Missed,,,,,,,,,,,,,,,,
108,PT03M51.00S,2021-05-13T00:26:11.2Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,15,11,2021-05-13T00:26:11Z,1060000,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,107.0,2.0,1.0,1.0,,,,,,,,,,,,
109,PT03M43.00S,2021-05-13T00:26:18.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629731,9.149145860709593,51.049325980392155,1610612739,15,11,2021-05-13T00:26:23Z,1070000,-5.0,34.0,1,left,MISS D. Wade driving floating Shot,[1629731],1610612739.0,CLE,driving floating,,,Wade,D. Wade,,,,,,,,3.39,Missed,,,,,,,,,,,,,,,,
110,PT03M40.00S,2021-05-13T00:26:21.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612738,15,11,2021-05-13T00:26:23Z,1080000,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,109.0,2.0,2.0,0.0,,,,,,,,,,,,
111,PT03M32.00S,2021-05-13T00:26:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,70.12155059132719,10.363051470588236,1610612738,15,11,2021-05-13T00:26:34Z,1090000,-198.0,228.0,1,right,MISS A. Nesmith 30' 3PT,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,30.24,Missed,,,,,,,,,,,,,,,,
112,PT03M28.00S,2021-05-13T00:26:33.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,15,11,2021-05-13T00:26:34Z,1100000,,,0,,I. Okoro REBOUND (Off:1 Def:2),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,111.0,3.0,2.0,1.0,,,,,,,,,,,,
113,PT03M12.00S,2021-05-13T00:26:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.046649145860711,50.314031862745104,1610612739,17,11,2021-05-13T00:26:57Z,1110000,-2.0,14.0,1,left,I. Okoro cutting Layup (6 PTS) (B. Thomas 1 AST),"[1630171, 1630271]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,,,,1.38,Made,,,,,6.0,B. Thomas,1630271.0,1.0,,,,,,,,
115,PT03M12.00S,2021-05-13T00:26:55.6Z,1,REGULAR,foul,personal,['1freethrow'],1630174,,,1610612739,17,11,2021-05-13T00:27:22Z,1130000,,,0,,A. Nesmith shooting personal FOUL (2 PF) (Okoro 1 FT),"[1630174, 1630171]",1610612738.0,BOS,shooting,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,1626301.0,2.0,0.0,Okoro,1630171.0,,,
117,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,17,11,2021-05-13T00:27:16Z,1150000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,out,[],202684,,,1610612739,17,11,2021-05-13T00:27:16Z,1160000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,out,[],1630174,,,1610612739,17,11,2021-05-13T00:27:16Z,1170000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,in,[],2760,,,1610612739,17,11,2021-05-13T00:27:16Z,1180000,,,0,,SUB in: A. Varejao,[2760],1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,in,[],1628436,,,1610612739,17,11,2021-05-13T00:27:16Z,1190000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M12.00S,2021-05-13T00:27:02.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612739,17,11,2021-05-13T00:27:16Z,1200000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M12.00S,2021-05-13T00:27:24.4Z,1,REGULAR,freethrow,1 of 1,[],1630171,,,1610612739,18,11,2021-05-13T00:27:24Z,1210000,,,0,,I. Okoro Free Throw 1 of 1 (7 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,Made,,,,,7.0,,,,,,,,,,,
124,PT02M59.00S,2021-05-13T00:27:43.6Z,1,REGULAR,foul,personal,[],1629731,,,1610612738,18,11,2021-05-13T00:27:50Z,1220000,,,0,,D. Wade personal FOUL (2 PF),"[1629731, 1628369]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,2148.0,2.0,0.0,Tatum,1628369.0,,,
126,PT02M59.00S,2021-05-13T00:27:53.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,11,2021-05-13T00:27:53Z,1240000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M59.00S,2021-05-13T00:29:41.4Z,1,REGULAR,substitution,out,[],1629731,,,1610612738,18,11,2021-05-13T00:30:23Z,1250000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M59.00S,2021-05-13T00:29:41.4Z,1,REGULAR,substitution,in,[],1629662,,,1610612738,18,11,2021-05-13T00:30:23Z,1260000,,,0,,SUB in: M. Kabengele,[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M54.00S,2021-05-13T00:30:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.30026281208936,52.76501225490197,1610612738,18,11,2021-05-13T00:30:55Z,1270000,14.0,1.0,1,right,MISS J. Tatum driving Layup - blocked,"[1628369, 1629662]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,1.38,Missed,,,,,,,,,,,,,,Kabengele,1629662.0,
130,PT02M54.00S,2021-05-13T00:30:51.2Z,1,REGULAR,block,,[],1629662,,,1610612738,18,11,2021-05-13T00:30:53Z,1280000,,,0,,M. Kabengele BLOCK (1 BLK),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M50.00S,2021-05-13T00:30:55.2Z,1,REGULAR,rebound,defensive,[],1630271,,,1610612739,18,11,2021-05-13T00:30:55Z,1290000,,,0,,B. Thomas REBOUND (Off:0 Def:2),[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,,,129.0,2.0,2.0,0.0,,,,,,,,,,,,
132,PT02M38.00S,2021-05-13T00:31:06.4Z,1,REGULAR,2pt,Jump Shot,[],2760,24.78646517739816,33.892463235294116,1610612739,20,11,2021-05-13T00:31:10Z,1300000,81.0,180.0,1,left,A. Varejao 19' Jump Shot (2 PTS) (B. Thomas 2 AST),"[2760, 1630271]",1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,19.76,Made,,,,,2.0,B. Thomas,1630271.0,2.0,,,,,,,,
134,PT02M23.00S,2021-05-13T00:31:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628436,92.06636005256242,52.76501225490197,1610612738,20,11,2021-05-13T00:31:25Z,1320000,14.0,22.0,1,right,MISS L. Kornet driving Layup - blocked,"[1628436, 1629662]",1610612738.0,BOS,driving,,,Kornet,L. Kornet,,,,,,,,2.61,Missed,,,,,,,,,,,,,,Kabengele,1629662.0,
135,PT02M23.00S,2021-05-13T00:31:21.1Z,1,REGULAR,block,,[],1629662,,,1610612738,20,11,2021-05-13T00:31:23Z,1330000,,,0,,M. Kabengele BLOCK (2 BLK),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M20.00S,2021-05-13T00:31:24.1Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,20,11,2021-05-13T00:31:25Z,1340000,,,0,,I. Okoro REBOUND (Off:1 Def:3),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,134.0,4.0,3.0,1.0,,,,,,,,,,,,
137,PT02M18.00S,2021-05-13T00:31:26.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630271,5.995400788436268,95.90226715686273,1610612739,20,11,2021-05-13T00:31:34Z,1350000,-230.0,4.0,1,left,MISS B. Thomas 3PT,[1630271],1610612739.0,CLE,,,,Thomas,B. Thomas,,,,,,,,22.95,Missed,,,,,,,,,,,,,,,,
138,PT02M15.00S,2021-05-13T00:31:29.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,11,2021-05-13T00:31:34Z,1360000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,137.0,2.0,2.0,0.0,,,,,,,,,,,,
139,PT02M00.00S,2021-05-13T00:31:44.6Z,1,REGULAR,2pt,Jump Shot,[],1629684,88.51839684625493,33.40226715686275,1610612738,20,11,2021-05-13T00:31:55Z,1370000,-83.0,55.0,1,right,MISS G. Williams 9' turnaround fadeaway bank Shot,[1629684],1610612738.0,BOS,turnaround fadeaway bank,,,Williams,G. Williams,,,,,,,,9.98,Missed,,,,,,,,,,,,,,,,
140,PT01M57.00S,2021-05-13T00:31:47.6Z,1,REGULAR,rebound,defensive,[],2760,,,1610612739,20,11,2021-05-13T00:31:55Z,1380000,,,0,,A. Varejao REBOUND (Off:0 Def:1),[2760],1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,
141,PT01M38.00S,2021-05-13T00:32:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2760,5.469776609724048,49.57873774509804,1610612739,22,11,2021-05-13T00:32:13Z,1390000,2.0,-1.0,1,left,A. Varejao finger roll Layup (4 PTS),[2760],1610612739.0,CLE,finger roll,,,Varejao,A. Varejao,,,,,,,,0.24,Made,,,,,4.0,,,,,,,,,,,
142,PT01M27.00S,2021-05-13T00:32:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,91.93495400788436,61.588541666666664,1610612738,22,13,2021-05-13T00:32:21Z,1400000,58.0,23.0,1,right,J. Tatum 6' driving floating bank Jump Shot (7 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,,,,6.24,Made,,,,,7.0,,,,,,,,,,,
143,PT01M09.00S,2021-05-13T00:32:35.5Z,1,REGULAR,3pt,Jump Shot,[],1629662,32.933639947437584,34.872855392156865,1610612739,22,13,2021-05-13T00:32:39Z,1410000,76.0,257.0,1,left,MISS M. Kabengele 26' 3PT,[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,26.8,Missed,,,,,,,,,,,,,,,,
144,PT01M07.00S,2021-05-13T00:32:37.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,22,13,2021-05-13T00:32:39Z,1420000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,
145,PT01M02.00S,2021-05-13T00:32:47.4Z,1,REGULAR,foul,personal,['2freethrow'],1630271,,,1610612738,22,13,2021-05-13T00:32:56Z,1430000,,,0,,B. Thomas shooting personal FOUL (1 PF) (Pritchard 2 FT),"[1630271, 1630202]",1610612739.0,CLE,shooting,,,Thomas,B. Thomas,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Pritchard,1630202.0,,,
147,PT01M02.00S,2021-05-13T00:33:05.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630202,,,1610612738,22,13,2021-05-13T00:33:05Z,1450000,,,0,,MISS P. Pritchard Free Throw 1 of 2,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,Missed,,,,,,,,,,,,,,,,
148,PT01M02.00S,2021-05-13T00:33:05.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,22,13,2021-05-13T00:33:05Z,1460000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,
149,PT01M02.00S,2021-05-13T00:33:07.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,22,13,2021-05-13T00:33:12Z,1470000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT01M02.00S,2021-05-13T00:33:07.8Z,1,REGULAR,substitution,in,[],203095,,,1610612738,22,13,2021-05-13T00:33:12Z,1480000,,,0,,SUB in: E. Fournier,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT01M02.00S,2021-05-13T00:33:20.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630202,,,1610612738,22,14,2021-05-13T00:33:20Z,1490000,,,0,,P. Pritchard Free Throw 2 of 2 (1 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
152,PT00M45.80S,2021-05-13T00:33:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,12.697109067017081,51.53952205882353,1610612739,22,14,2021-05-13T00:33:43Z,1500000,-8.0,67.0,1,left,MISS I. Okoro 6' driving floating Shot,[1630171],1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,,,,6.73,Missed,,,,,,,,,,,,,,,,
153,PT00M43.60S,2021-05-13T00:33:41.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,22,14,2021-05-13T00:33:41Z,1510000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,
154,PT00M35.90S,2021-05-13T00:33:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,59.08344283837057,31.686580882352942,1610612738,22,17,2021-05-13T00:35:27Z,1520000,-92.0,332.0,1,right,P. Pritchard 34' 3PT pullup (4 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,,,,34.45,Made,,,,,4.0,,,,,,,,,,,
155,PT00M25.80S,2021-05-13T00:34:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2760,16.245072273324574,46.392463235294116,1610612739,22,17,2021-05-13T00:34:08Z,1530000,18.0,100.0,1,left,MISS A. Varejao 10' driving floating Shot,[2760],1610612739.0,CLE,driving floating,,,Varejao,A. Varejao,,,,,,,,10.18,Missed,,,,,,,,,,,,,,,,
156,PT00M23.50S,2021-05-13T00:34:06.6Z,1,REGULAR,rebound,offensive,[],2760,,,1610612739,22,17,2021-05-13T00:34:06Z,1540000,,,0,,A. Varejao REBOUND (Off:1 Def:1),[2760],1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,,,155.0,2.0,1.0,1.0,,,,,,,,,,,,
157,PT00M22.40S,2021-05-13T00:34:07.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",2760,11.645860709592641,41.73560049019608,1610612739,22,17,2021-05-13T00:34:12Z,1550000,41.0,57.0,1,left,MISS A. Varejao 7' Jump Shot - blocked,"[2760, 1628436]",1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,7.04,Missed,,,,,,,,,,,,,,Kornet,1628436.0,
158,PT00M22.40S,2021-05-13T00:34:07.7Z,1,REGULAR,block,,[],1628436,,,1610612739,22,17,2021-05-13T00:34:10Z,1560000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M18.90S,2021-05-13T00:34:11.2Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,22,17,2021-05-13T00:34:11Z,1570000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,,,,,,,
160,PT00M00.00S,2021-05-13T00:34:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,87.20433639947439,56.196384803921575,1610612738,22,17,2021-05-13T00:34:35Z,1580000,31.0,68.0,1,right,MISS P. Pritchard 7' floating Shot - blocked,"[1630202, 1630171]",1610612738.0,BOS,floating,,,Pritchard,P. Pritchard,,,,,,,,7.46,Missed,,,,,,,,,,,,,,Okoro,1630171.0,
161,PT00M00.00S,2021-05-13T00:34:30.1Z,1,REGULAR,block,,[],1630171,,,1610612738,22,17,2021-05-13T00:34:52Z,1590000,,,0,,I. Okoro BLOCK (1 BLK),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M00.00S,2021-05-13T00:34:30.1Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,22,17,2021-05-13T00:34:35Z,1600000,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,160.0,2.0,1.0,1.0,,,,,,,,,,,,
163,PT00M00.00S,2021-05-13T00:34:43.9Z,1,REGULAR,period,end,[],0,,,1610612738,22,17,2021-05-13T00:34:43Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-05-13T00:36:01.5Z,2,REGULAR,substitution,out,['startperiod'],2760,,,1610612738,22,17,2021-05-13T00:37:08Z,1620000,,,0,,SUB out: A. Varejao,[2760],1610612739.0,CLE,,,,Varejao,A. Varejao,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-05-13T00:36:01.5Z,2,REGULAR,substitution,out,['startperiod'],1630171,,,1610612738,22,17,2021-05-13T00:37:08Z,1630000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-05-13T00:36:01.5Z,2,REGULAR,substitution,in,['startperiod'],201567,,,1610612738,22,17,2021-05-13T00:37:08Z,1640000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-05-13T00:36:01.5Z,2,REGULAR,substitution,in,['startperiod'],1629012,,,1610612738,22,17,2021-05-13T00:37:08Z,1650000,,,0,,SUB in: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-05-13T00:37:13.3Z,2,REGULAR,period,start,[],0,,,1610612738,22,17,2021-05-13T00:37:13Z,1660000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M50.00S,2021-05-13T00:37:22.6Z,2,REGULAR,3pt,Jump Shot,[],203095,71.96123521681997,81.68658088235294,1610612738,22,17,2021-05-13T00:37:27Z,1670000,158.0,211.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,26.39,Missed,,,,,,,,,,,,,,,,
170,PT11M47.00S,2021-05-13T00:37:25.6Z,2,REGULAR,rebound,defensive,[],1629662,,,1610612739,22,17,2021-05-13T00:37:27Z,1680000,,,0,,M. Kabengele REBOUND (Off:0 Def:1),[1629662],1610612739.0,CLE,,,,Kabengele,M. Kabengele,,,,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,
231,PT11M33.00S,2021-05-13T00:37:44.7Z,2,REGULAR,turnover,lost ball,[],1629012,,,1610612739,22,17,2021-05-13T00:46:41Z,1715000,,,0,,C. Sexton lost ball TURNOVER (2 TO),"[1629012, 1628436]",1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,2.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,
232,PT11M33.00S,2021-05-13T00:37:44.7Z,2,REGULAR,steal,,[],1628436,,,1610612738,22,17,2021-05-13T00:46:41Z,1717500,,,0,,L. Kornet STEAL (1 STL),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
