actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-05-23T00:21:25.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-23T00:21:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-05-23T00:21:29.8Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612751,0,0,2021-05-23T00:21:29Z,40000,,,0,,Jump Ball K. Durant vs. T. Thompson: Tip to J. Harden,"[201935, 201142, 202684]",1610612751.0,BKN,startperiod,J. Harden,201935.0,Harden,J. Harden,Durant,201142.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-05-23T00:21:46.7Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,0,0,2021-05-23T00:21:51Z,70000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 203095]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,1.0,Fournier,203095.0,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-05-23T00:21:46.7Z,1,REGULAR,steal,,[],203095,,,1610612738,0,0,2021-05-23T00:21:48Z,80000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-05-23T00:21:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202689,92.19776609724047,45.166973039215684,1610612738,0,0,2021-05-23T00:21:57Z,90000,-24.0,21.0,1,right,MISS K. Walker running Layup,[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,,,,3.19,Missed,,,,,,,,,,,,,,,,
10,PT11M32.00S,2021-05-23T00:21:53.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,0,0,2021-05-23T00:21:57Z,100000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M27.00S,2021-05-23T00:21:58.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,30.831143232588698,64.28462009803921,1610612751,0,0,2021-05-23T00:22:04Z,110000,-71.0,237.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,24.78,Missed,,,,,,,,,,,,,,,,
12,PT11M23.00S,2021-05-23T00:22:02.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-05-23T00:22:04Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M11.00S,2021-05-23T00:22:14.3Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2021-05-23T00:22:23Z,130000,,,0,,M. Smart step out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,step,,,Smart,M. Smart,,,,,1.0,,,,,,,,,1198.0,,,,,,,,,,,
14,PT10M49.00S,2021-05-23T00:22:48.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,26.62614980289093,66.73560049019608,1610612751,2,0,2021-05-23T00:22:53Z,140000,-84.0,198.0,1,left,K. Irving 21' pullup Jump Shot (2 PTS) (B. Griffin 1 AST),"[202681, 201933]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,21.48,Made,,,,,,2.0,B. Griffin,201933.0,1.0,,,,,,,
16,PT10M29.00S,2021-05-23T00:23:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,82.21090670170827,40.26501225490196,1610612738,2,2,2021-05-23T00:23:13Z,160000,-49.0,115.0,1,right,J. Tatum 12' turnaround fadeaway Jump Shot (2 PTS),[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,,,,12.46,Made,,,,,,2.0,,,,,,,,,,
17,PT10M16.00S,2021-05-23T00:23:21.0Z,1,REGULAR,3pt,Jump Shot,[],202681,28.991458607095925,25.06893382352941,1610612751,2,2,2021-05-23T00:23:25Z,170000,125.0,220.0,1,left,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,25.29,Missed,,,,,,,,,,,,,,,,
18,PT10M14.00S,2021-05-23T00:23:23.0Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,2,2,2021-05-23T00:23:25Z,180000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT09M58.00S,2021-05-23T00:23:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.30026281208936,50.06893382352941,1610612738,2,4,2021-05-23T00:23:42Z,190000,0.0,1.0,1,right,J. Tatum driving Layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,0.11,Made,,,,,,4.0,,,,,,,,,,
20,PT09M33.00S,2021-05-23T00:24:04.1Z,1,REGULAR,3pt,Jump Shot,[],201142,27.54599211563732,22.37285539215686,1610612751,2,4,2021-05-23T00:24:07Z,200000,138.0,206.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,24.83,Missed,,,,,,,,,,,,,,,,
21,PT09M31.00S,2021-05-23T00:24:06.1Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,2,4,2021-05-23T00:24:07Z,210000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,
22,PT09M21.00S,2021-05-23T00:24:17.2Z,1,REGULAR,3pt,Jump Shot,[],203095,68.01905387647832,57.666973039215684,1610612738,2,4,2021-05-23T00:24:54Z,220000,38.0,248.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,,,,25.1,Missed,,,,,,,,,,,,,,,,
23,PT09M18.00S,2021-05-23T00:24:20.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,4,2021-05-23T00:24:25Z,230000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
24,PT09M18.00S,2021-05-23T00:24:25.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,4,2021-05-23T00:24:25Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M07.00S,2021-05-23T00:24:52.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203095,89.43823915900131,53.01011029411765,1610612738,2,4,2021-05-23T00:24:57Z,250000,15.0,47.0,1,right,MISS E. Fournier driving Hook,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,4.92,Missed,,,,,,,,,,,,,,,,
26,PT09M04.00S,2021-05-23T00:24:55.0Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,2,4,2021-05-23T00:24:57Z,260000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT08M57.00S,2021-05-23T00:25:03.0Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,2,4,2021-05-23T00:25:07Z,270000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 202684]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,1.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,
28,PT08M57.00S,2021-05-23T00:25:03.0Z,1,REGULAR,steal,,[],202684,,,1610612738,2,4,2021-05-23T00:26:06Z,280000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M53.00S,2021-05-23T00:25:06.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203935,75.64060446780552,12.814031862745098,1610612738,2,7,2021-05-23T00:25:17Z,290000,-186.0,176.0,1,right,M. Smart 25' 3PT running (3 PTS) (K. Walker 1 AST),"[203935, 202689]",1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,,25.63,Made,,,,,,3.0,K. Walker,202689.0,1.0,,,,,,,
31,PT08M34.00S,2021-05-23T00:25:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.521024967148489,49.57873774509804,1610612751,4,7,2021-05-23T00:25:29Z,310000,2.0,9.0,1,left,J. Harden driving finger roll Layup (2 PTS),[201935],1610612751.0,BKN,driving finger roll,,,Harden,J. Harden,,,,,,,,0.9,Made,,,,,,2.0,,,,,,,,,,
32,PT08M17.00S,2021-05-23T00:25:41.8Z,1,REGULAR,3pt,Jump Shot,[],202689,63.40752299605782,52.43949142156863,1610612738,4,10,2021-05-23T00:25:49Z,320000,12.0,291.0,1,right,K. Walker 29' 3PT pullup (3 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,29.18,Made,,,,,,3.0,,,,,,,,,,
33,PT08M04.00S,2021-05-23T00:25:54.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,10.5946123521682,60.60814950980392,1610612751,4,10,2021-05-23T00:25:59Z,330000,-53.0,47.0,1,left,MISS K. Irving 7' turnaround bank Shot,[202681],1610612751.0,BKN,turnaround bank,,,Irving,K. Irving,,,,,,,,7.09,Missed,,,,,,,,,,,,,,,,
34,PT08M02.00S,2021-05-23T00:25:56.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,10,2021-05-23T00:25:59Z,340000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT07M52.00S,2021-05-23T00:26:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.07030223390277,27.519914215686274,1610612738,4,13,2021-05-23T00:26:29Z,350000,-112.0,238.0,1,right,J. Tatum 26' 3PT step back (7 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,26.34,Made,,,,,,7.0,,,,,,,,,,
36,PT07M31.00S,2021-05-23T00:26:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,5.469776609724048,47.61795343137255,1610612751,6,13,2021-05-23T00:26:32Z,360000,12.0,-1.0,1,left,J. Harris driving Layup (2 PTS) (J. Harden 1 AST),"[203925, 201935]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,,,,1.2,Made,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,
