actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
62,PT06M26.00S,2021-03-05T00:18:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,5.732588699080158,54.23560049019608,1610612761,18,16,2021-03-05T00:20:25Z,590000,-21.0,1.0,1,left,D. Bembry cutting Layup (4 PTS) (K. Lowry 3 AST),"[1627761, 200768]",1610612761.0,TOR,cutting,,,Bembry,D. Bembry,,,,,2.12,Made,4.0,K. Lowry,200768.0,3.0,,,,,,,,,,,,,,
64,PT06M26.00S,2021-03-05T00:18:35.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,16,2021-03-05T00:18:35Z,610000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M22.00S,2021-03-05T00:21:35.5Z,1,REGULAR,foul,personal,[],1627761,,,1610612738,18,16,2021-03-05T00:21:43Z,620000,,,0,,D. Bembry personal FOUL (2 PF),"[1627761, 202689]",1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,202049.0,2.0,0.0,Walker,202689.0,,,,,
67,PT06M22.00S,2021-03-05T00:21:48.1Z,1,REGULAR,substitution,out,[],1627761,,,1610612738,18,16,2021-03-05T00:22:03Z,640000,,,0,,SUB out: D. Bembry,[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2021-03-05T00:21:48.1Z,1,REGULAR,substitution,in,[],1629056,,,1610612738,18,16,2021-03-05T00:22:03Z,650000,,,0,,SUB in: T. Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2021-03-05T00:22:25.7Z,1,REGULAR,turnover,bad pass,[],1628400,,,1610612738,18,16,2021-03-05T00:22:30Z,660000,,,0,,S. Ojeleye bad pass TURNOVER (1 TO),"[1628400, 1626181]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,1.0,,,Powell,1626181.0
70,PT06M01.00S,2021-03-05T00:22:25.7Z,1,REGULAR,steal,,[],1626181,,,1610612761,18,16,2021-03-05T00:22:27Z,670000,,,0,,N. Powell STEAL (1 STL),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M57.00S,2021-03-05T00:22:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626169,7.30946123521682,46.392463235294116,1610612761,18,18,2021-03-05T00:22:37Z,680000,18.0,16.0,1,left,S. Johnson running Layup (2 PTS) (N. Powell 1 AST),"[1626169, 1626181]",1610612761.0,TOR,running,,,Johnson,S. Johnson,,,,,2.42,Made,2.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,
73,PT05M36.00S,2021-03-05T00:22:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.46057818659659,54.23560049019608,1610612738,20,18,2021-03-05T00:22:58Z,700000,21.0,18.0,1,right,T. Thompson Layup (6 PTS) (J. Brown 2 AST),"[202684, 1627759]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.81,Made,6.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,
75,PT05M36.00S,2021-03-05T00:22:55.2Z,1,REGULAR,foul,personal,['1freethrow'],203382,,,1610612738,20,18,2021-03-05T00:23:23Z,720000,,,0,,A. Baynes shooting personal FOUL (1 PF) (Thompson 1 FT),"[203382, 202684]",1610612761.0,TOR,shooting,,,Baynes,A. Baynes,,,,,,,,,,,,,,,1162.0,1.0,0.0,Thompson,202684.0,,,,,
77,PT05M36.00S,2021-03-05T00:23:11.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,20,18,2021-03-05T00:23:22Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M36.00S,2021-03-05T00:23:11.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,20,18,2021-03-05T00:23:22Z,750000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M36.00S,2021-03-05T00:23:26.7Z,1,REGULAR,freethrow,1 of 1,[],202684,,,1610612738,20,18,2021-03-05T00:23:35Z,760000,,,0,,MISS T. Thompson Free Throw 1 of 1,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2021-03-05T00:23:26.7Z,1,REGULAR,rebound,defensive,[],203382,,,1610612761,20,18,2021-03-05T00:23:35Z,770000,,,0,,A. Baynes REBOUND (Off:3 Def:1),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,79.0,4.0,1.0,3.0,,,,,,,,,,
81,PT05M20.00S,2021-03-05T00:23:41.8Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612761,20,18,2021-03-05T00:23:46Z,780000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1630202]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,1.0,,,Pritchard,1630202.0
82,PT05M20.00S,2021-03-05T00:23:41.8Z,1,REGULAR,steal,,[],1630202,,,1610612738,20,18,2021-03-05T00:23:43Z,790000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M12.00S,2021-03-05T00:23:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,92.9862023653088,54.72579656862745,1610612738,20,18,2021-03-05T00:23:59Z,800000,24.0,13.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.71,Missed,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2021-03-05T00:23:52.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,20,18,2021-03-05T00:25:00Z,810000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,
87,PT05M05.00S,2021-03-05T00:23:56.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,8.229303547963205,3.010110294117647,1610612761,20,21,2021-03-05T00:24:10Z,840000,235.0,25.0,1,left,N. Powell 3PT  (8 PTS) (T. Davis 1 AST),"[1626181, 1629056]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,23.62,Made,8.0,T. Davis,1629056.0,1.0,,,,,,,,,,,,,,
89,PT04M50.00S,2021-03-05T00:24:15.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629056,,,1610612738,20,21,2021-03-05T00:24:22Z,860000,,,0,,T. Davis personal FOUL (1 PF) (Walker 2 FT),"[1629056, 202689]",1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,1162.0,1.0,0.0,Walker,202689.0,,,,,
91,PT04M50.00S,2021-03-05T00:24:40.1Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,21,21,2021-03-05T00:24:40Z,880000,,,0,,K. Walker Free Throw 1 of 2 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
92,PT04M50.00S,2021-03-05T00:24:40.6Z,1,REGULAR,substitution,out,[],202684,,,1610612738,21,21,2021-03-05T00:24:48Z,890000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M50.00S,2021-03-05T00:24:40.6Z,1,REGULAR,substitution,out,[],203382,,,1610612738,21,21,2021-03-05T00:24:48Z,900000,,,0,,SUB out: A. Baynes,[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M50.00S,2021-03-05T00:24:40.6Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,21,21,2021-03-05T00:24:48Z,910000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
