actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-03-05T00:10:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-05T00:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-05T00:10:50.0Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-03-05T00:10:50Z,40000,,,0,,Jump Ball D. Theis vs. A. Baynes: Tip to K. Walker,"[202689, 1628464, 203382]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Baynes,203382.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-03-05T00:11:03.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,86.2023653088042,47.192861519607845,1610612738,2,0,2021-03-05T00:11:10Z,70000,-14.0,77.0,1,right,T. Thompson 7' driving Hook (2 PTS) (J. Brown 1 AST),"[202684, 1627759]",1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,7.85,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
8,PT11M24.00S,2021-03-05T00:11:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,9.85545335085414,40.39905024509804,1610612761,2,2,2021-03-05T00:11:30Z,80000,48.0,40.0,1,left,N. Powell 6' driving finger roll Layup (2 PTS) (D. Bembry 1 AST),"[1626181, 1627761]",1610612761.0,TOR,driving finger roll,,,Powell,N. Powell,,,,,6.25,Made,2.0,D. Bembry,1627761.0,1.0,,,,,,,,,,,,,,
11,PT11M10.00S,2021-03-05T00:11:35.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,80.23981603153744,82.66697303921569,1610612738,2,2,2021-03-05T00:11:41Z,100000,163.0,133.0,1,right,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,21.07,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-03-05T00:11:37.6Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612761,2,2,2021-03-05T00:11:41Z,110000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M02.00S,2021-03-05T00:11:44.5Z,1,REGULAR,3pt,Jump Shot,[],1626181,26.363337713534822,16.245404411764707,1610612761,2,2,2021-03-05T00:11:52Z,120000,169.0,195.0,1,left,MISS N. Powell 25' 3PT,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-03-05T00:11:46.5Z,1,REGULAR,rebound,offensive,[],203382,,,1610612761,2,2,2021-03-05T00:11:52Z,130000,,,0,,A. Baynes REBOUND (Off:1 Def:0),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M54.00S,2021-03-05T00:11:52.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,24.26084099868594,85.11795343137256,1610612761,2,2,2021-03-05T00:11:59Z,140000,-176.0,176.0,1,left,MISS K. Lowry 24' pullup 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2021-03-05T00:11:54.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,2,2021-03-05T00:11:59Z,150000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M47.00S,2021-03-05T00:11:59.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628369,81.8659658344284,19.42784926470588,1610612738,4,2,2021-03-05T00:12:09Z,160000,-153.0,118.0,1,right,J. Tatum 19' running pullup Jump Shot (2 PTS),[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,19.31,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2021-03-05T00:12:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,7.095926412614981,56.954656862745104,1610612761,4,4,2021-03-05T00:12:17Z,170000,-35.0,14.0,1,left,D. Bembry Layup (2 PTS) (K. Lowry 1 AST),"[1627761, 200768]",1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,3.76,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,
19,PT10M14.00S,2021-03-05T00:12:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.07030223390277,22.37285539215686,1610612738,7,4,2021-03-05T00:12:37Z,180000,-138.0,238.0,1,right,J. Tatum 27' 3PT  (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.53,Made,5.0,,,,,,,,,,,,,,,,,
20,PT10M04.00S,2021-03-05T00:12:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.5722733245729295,43.20618872549019,1610612761,7,6,2021-03-05T00:12:56Z,190000,34.0,19.0,1,left,K. Lowry Layup (2 PTS),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,3.88,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M44.00S,2021-03-05T00:13:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,83.18002628120894,42.61642156862745,1610612738,9,6,2021-03-05T00:13:19Z,200000,-37.0,106.0,1,right,D. Theis 11' fadeaway Jump Shot (2 PTS),[1628464],1610612738.0,BOS,fadeaway,,,Theis,D. Theis,,,,,11.19,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M44.00S,2021-03-05T00:13:09.2Z,1,REGULAR,foul,personal,['1freethrow'],1626169,,,1610612738,9,6,2021-03-05T00:13:17Z,210000,,,0,,S. Johnson shooting personal FOUL (1 PF) (Theis 1 FT),"[1626169, 1628464]",1610612761.0,TOR,shooting,,,Johnson,S. Johnson,,,,,,,,,,,,,,,201638.0,1.0,0.0,Theis,1628464.0,,,,,
24,PT09M44.00S,2021-03-05T00:13:33.4Z,1,REGULAR,freethrow,1 of 1,[],1628464,,,1610612738,10,6,2021-03-05T00:13:33Z,230000,,,0,,D. Theis Free Throw 1 of 1 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
25,PT09M31.00S,2021-03-05T00:13:46.3Z,1,REGULAR,3pt,Jump Shot,[],203382,32.37927069645204,48.5562193627451,1610612761,10,9,2021-03-05T00:13:52Z,240000,7.0,252.0,1,left,A. Baynes 25' 3PT  (3 PTS) (K. Lowry 2 AST),"[203382, 200768]",1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,25.2,Made,3.0,K. Lowry,200768.0,2.0,,,,,,,,,,,,,,
27,PT09M24.00S,2021-03-05T00:13:58.0Z,1,REGULAR,turnover,traveling,[],202689,,,1610612738,10,9,2021-03-05T00:14:04Z,260000,,,0,,K. Walker traveling TURNOVER (1 TO),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,202049.0,,,,,1.0,,,,
28,PT09M20.00S,2021-03-05T00:14:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626181,6.521024967148489,44.43167892156863,1610612761,10,9,2021-03-05T00:14:18Z,270000,28.0,9.0,1,left,MISS N. Powell driving Layup - blocked,"[1626181, 1627759]",1610612761.0,TOR,driving,,,Powell,N. Powell,,,,,2.92,Missed,,,,,,,,,,,,,,,Brown,1627759.0,,
29,PT09M20.00S,2021-03-05T00:14:07.1Z,1,REGULAR,block,,[],1627759,,,1610612761,10,9,2021-03-05T00:14:09Z,280000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2021-03-05T00:14:08.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,10,9,2021-03-05T00:14:18Z,290000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
31,PT09M19.00S,2021-03-05T00:14:13.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,10,9,2021-03-05T00:14:13Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2021-03-05T00:14:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628464,91.67214191852825,95.41207107843137,1610612738,10,9,2021-03-05T00:14:33Z,310000,227.0,26.0,1,right,MISS D. Theis 3PT,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-03-05T00:14:29.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612761,10,9,2021-03-05T00:14:33Z,320000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M00.00S,2021-03-05T00:14:33.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,26.888961892247043,21.39246323529412,1610612761,10,9,2021-03-05T00:14:43Z,330000,143.0,200.0,1,left,MISS K. Lowry 24' running pullup 3PT,[200768],1610612761.0,TOR,running pullup,,,Lowry,K. Lowry,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
35,PT08M58.00S,2021-03-05T00:14:35.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,10,9,2021-03-05T00:14:43Z,340000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M36.00S,2021-03-05T00:14:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,93.29829172141918,54.13602941176471,1610612738,12,9,2021-03-05T00:15:04Z,350000,21.0,10.0,1,right,K. Walker driving Layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.32,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M24.00S,2021-03-05T00:15:11.3Z,1,REGULAR,foul,personal,[],1627759,,,1610612761,12,9,2021-03-05T00:15:32Z,360000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1626169]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,201638.0,1.0,0.0,Johnson,1626169.0,,,,,
39,PT08M17.00S,2021-03-05T00:15:50.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,12.959921156373195,94.921875,1610612761,12,12,2021-03-05T00:15:56Z,380000,-225.0,69.0,1,left,N. Powell 3PT pullup (5 PTS) (A. Baynes 1 AST),"[1626181, 203382]",1610612761.0,TOR,pullup,,,Powell,N. Powell,,,,,23.5,Made,5.0,A. Baynes,203382.0,1.0,,,,,,,,,,,,,,
41,PT08M04.00S,2021-03-05T00:16:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,90.62089356110381,49.57873774509804,1610612738,14,12,2021-03-05T00:16:07Z,400000,-2.0,36.0,1,right,K. Walker driving finger roll Layup (4 PTS),[202689],1610612738.0,BOS,driving finger roll,,,Walker,K. Walker,,,,,3.58,Made,4.0,,,,,,,,,,,,,,,,,
42,PT07M53.00S,2021-03-05T00:16:14.4Z,1,REGULAR,3pt,Jump Shot,[],1627761,29.25427069645204,25.314031862745097,1610612761,14,12,2021-03-05T00:16:21Z,410000,123.0,222.0,1,left,MISS D. Bembry 25' 3PT,[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
43,PT07M52.00S,2021-03-05T00:16:15.4Z,1,REGULAR,rebound,offensive,[],203382,,,1610612761,14,12,2021-03-05T00:19:06Z,420000,,,0,,A. Baynes REBOUND (Off:2 Def:0),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,42.0,2.0,0.0,2.0,,,,,,,,,,
54,PT07M51.00S,2021-03-05T00:16:18.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203382,5.863994743758213,49.57873774509804,1610612761,14,12,2021-03-05T00:19:19Z,425000,2.0,3.0,1,left,MISS A. Baynes tip Layup,[203382],1610612761.0,TOR,tip,,,Baynes,A. Baynes,,,,,0.33,Missed,,,,,,,,,,,,,,,,,,
55,PT07M49.00S,2021-03-05T00:16:20.5Z,1,REGULAR,rebound,offensive,[],203382,,,1610612761,14,12,2021-03-05T00:19:19Z,427500,,,0,,A. Baynes REBOUND (Off:3 Def:0),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,54.0,3.0,0.0,3.0,,,,,,,,,,
44,PT07M44.00S,2021-03-05T00:16:22.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,28.33442838370565,73.59834558823529,1610612761,14,12,2021-03-05T00:17:51Z,430000,-118.0,214.0,1,left,MISS K. Lowry 24' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,24.42,Missed,,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2021-03-05T00:16:24.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,12,2021-03-05T00:16:30Z,440000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,
46,PT07M32.00S,2021-03-05T00:16:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1627761,,,1610612738,14,12,2021-03-05T00:16:49Z,450000,,,0,,D. Bembry shooting personal FOUL (1 PF) (Tatum 2 FT),"[1627761, 1628369]",1610612761.0,TOR,shooting,,,Bembry,D. Bembry,,,,,,,,,,,,,,,202049.0,1.0,0.0,Tatum,1628369.0,,,,,
48,PT07M32.00S,2021-03-05T00:17:03.0Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,15,12,2021-03-05T00:17:03Z,470000,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
49,PT07M32.00S,2021-03-05T00:17:03.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,15,12,2021-03-05T00:17:09Z,480000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M32.00S,2021-03-05T00:17:03.6Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,15,12,2021-03-05T00:17:09Z,490000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M32.00S,2021-03-05T00:17:21.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,16,12,2021-03-05T00:17:21Z,500000,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
52,PT07M10.00S,2021-03-05T00:17:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203382,5.995400788436268,50.314031862745104,1610612761,16,14,2021-03-05T00:17:58Z,510000,-2.0,4.0,1,left,A. Baynes Layup (5 PTS) (D. Bembry 2 AST),"[203382, 1627761]",1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,0.42,Made,5.0,D. Bembry,1627761.0,2.0,,,,,,,,,,,,,,
56,PT06M53.00S,2021-03-05T00:18:00.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,90.09526938239159,39.5297181372549,1610612738,18,14,2021-03-05T00:18:08Z,530000,-52.0,41.0,1,right,T. Thompson 6' Hook (4 PTS) (J. Tatum 1 AST),"[202684, 1628369]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,6.63,Made,4.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
58,PT06M43.00S,2021-03-05T00:18:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,9.017739816031538,47.127757352941174,1610612761,18,14,2021-03-05T00:18:19Z,550000,14.0,32.0,1,left,MISS N. Powell driving floating Shot,[1626181],1610612761.0,TOR,driving floating,,,Powell,N. Powell,,,,,3.54,Missed,,,,,,,,,,,,,,,,,,
59,PT06M41.00S,2021-03-05T00:18:13.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,18,14,2021-03-05T00:18:13Z,560000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,
60,PT06M37.00S,2021-03-05T00:18:17.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628400,87.86136662286465,5.215992647058823,1610612738,18,14,2021-03-05T00:18:26Z,570000,-224.0,62.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2021-03-05T00:18:19.5Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612761,18,14,2021-03-05T00:18:26Z,580000,,,0,,D. Bembry REBOUND (Off:0 Def:2),[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,
