actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M02.00S,2021-02-10T03:17:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,63.55124835742444,55.70618872549019,1610612738,0,3,2021-02-10T03:17:16Z,150000,29.0,290.0,1,right,J. Brown 29' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,29.15,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
17,PT10M41.00S,2021-02-10T03:17:27.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,34.510512483574246,31.196384803921568,1610612762,0,3,2021-02-10T03:17:35Z,170000,94.0,272.0,1,left,MISS D. Mitchell 28' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,28.77,Missed,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2021-02-10T03:17:29.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,3,2021-02-10T03:17:35Z,180000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2021-02-10T03:17:33.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,3,2021-02-10T03:17:33Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2021-02-10T03:17:54.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626220,7.703679369250986,50.314031862745104,1610612762,0,3,2021-02-10T03:18:00Z,200000,-2.0,20.0,1,left,MISS R. O'Neale driving DUNK,[1626220],1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,2.0,Missed,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2021-02-10T03:17:56.1Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,0,3,2021-02-10T03:17:56Z,210000,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,,,,
22,PT10M29.00S,2021-02-10T03:17:57.9Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612762,0,3,2021-02-10T03:18:07Z,220000,,,0,,R. Gobert bad pass out-of-bounds TURNOVER (1 TO),[203497],1610612762.0,UTA,bad pass,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2148.0,1.0,,,,,,,,
23,PT10M12.00S,2021-02-10T03:18:23.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,69.99014454664915,28.500306372549016,1610612738,0,6,2021-02-10T03:18:29Z,230000,-107.0,230.0,1,right,J. Brown 25' 3PT step back (6 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,25.35,Made,,,,,6.0,,,,,,,,,,,,,
24,PT09M58.00S,2021-02-10T03:18:41.4Z,1,REGULAR,violation,kicked ball,[],1627759,,,1610612762,0,6,2021-02-10T03:18:56Z,240000,,,0,,J. Brown kicked ball VIOLATION,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1188.0,,,,,,,,,
25,PT09M45.00S,2021-02-10T03:19:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,7.30946123521682,43.69638480392157,1610612762,2,6,2021-02-10T03:19:09Z,250000,32.0,16.0,1,left,D. Mitchell driving Layup (2 PTS) (J. Ingles 1 AST),"[1628378, 204060]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,3.54,Made,,,,,2.0,J. Ingles,204060.0,1.0,,,,,,,,,,
26,PT09M34.00S,2021-02-10T03:19:15.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.62483574244416,49.57873774509804,1610612738,2,9,2021-02-10T03:19:20Z,260000,-2.0,252.0,1,right,J. Brown 25' 3PT  (9 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.18,Made,,,,,9.0,K. Walker,202689.0,1.0,,,,,,,,,,
28,PT09M24.00S,2021-02-10T03:19:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.258212877792378,44.18658088235294,1610612762,4,9,2021-02-10T03:19:30Z,280000,29.0,6.0,1,left,D. Mitchell driving Layup (4 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,2.98,Made,,,,,4.0,,,,,,,,,,,,,
30,PT09M09.00S,2021-02-10T03:19:40.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.17936925098554,66.73560049019608,1610612738,4,9,2021-02-10T03:19:45Z,290000,84.0,265.0,1,right,MISS J. Brown 27' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,27.83,Missed,,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2021-02-10T03:19:43.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,4,9,2021-02-10T03:19:45Z,300000,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,30.0,3.0,1.0,2.0,,,,,,,,,,,,,,
32,PT08M58.00S,2021-02-10T03:19:51.5Z,1,REGULAR,3pt,Jump Shot,[],204060,4.5499342969776615,96.14736519607843,1610612762,7,9,2021-02-10T03:19:56Z,310000,-231.0,-10.0,1,left,J. Ingles 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[204060, 202711]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,23.09,Made,,,,,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,
34,PT08M36.00S,2021-02-10T03:20:12.9Z,1,REGULAR,3pt,Jump Shot,[],202689,69.85873850197109,70.41207107843137,1610612738,7,12,2021-02-10T03:20:18Z,330000,102.0,231.0,1,right,K. Walker 25' 3PT  (3 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.24,Made,,,,,3.0,T. Thompson,202684.0,1.0,,,,,,,,,,
36,PT08M18.00S,2021-02-10T03:20:30.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,27.151773981603156,85.85324754901961,1610612762,10,12,2021-02-10T03:20:36Z,350000,-179.0,203.0,1,left,D. Mitchell 27' 3PT  (7 PTS) (B. Bogdanovic 2 AST),"[1628378, 202711]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,27.06,Made,,,,,7.0,B. Bogdanovic,202711.0,2.0,,,,,,,,,,
38,PT07M59.00S,2021-02-10T03:20:52.7Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,10,12,2021-02-10T03:21:01Z,370000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2148.0,1.0,,,,,,,,
39,PT07M51.00S,2021-02-10T03:21:16.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,29.77989487516426,81.19638480392157,1610612762,10,12,2021-02-10T03:21:21Z,380000,-156.0,227.0,1,left,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,27.58,Missed,,,,,,,,,,,,,,,,,,
40,PT07M48.00S,2021-02-10T03:21:19.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,12,2021-02-10T03:21:21Z,390000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT07M41.00S,2021-02-10T03:21:28.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,10,12,2021-02-10T03:21:28Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M31.00S,2021-02-10T03:21:52.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,95.48291721419186,31.196384803921568,1610612738,10,12,2021-02-10T03:21:58Z,410000,-94.0,-10.0,1,right,MISS J. Tatum 9' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,9.45,Missed,,,,,,,,,,,,,,,,,,
43,PT07M29.00S,2021-02-10T03:21:54.9Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,10,12,2021-02-10T03:21:58Z,420000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M15.00S,2021-02-10T03:22:09.0Z,1,REGULAR,3pt,Jump Shot,[],204060,26.49474375821288,83.40226715686273,1610612762,13,12,2021-02-10T03:22:15Z,430000,-167.0,197.0,1,left,J. Ingles 25' 3PT  (6 PTS) (B. Bogdanovic 3 AST),"[204060, 202711]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,25.8,Made,,,,,6.0,B. Bogdanovic,202711.0,3.0,,,,,,,,,,
46,PT06M59.00S,2021-02-10T03:22:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,81.02825229960578,36.09834558823529,1610612738,13,12,2021-02-10T03:22:29Z,450000,-70.0,126.0,1,right,MISS K. Walker 14' step back Shot - blocked,"[202689, 203497]",1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,14.37,Missed,,,,,,,,,,,Gobert,203497.0,,,,,,
47,PT06M59.00S,2021-02-10T03:22:24.9Z,1,REGULAR,block,,[],203497,,,1610612738,13,12,2021-02-10T03:22:26Z,460000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M56.00S,2021-02-10T03:22:27.9Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,13,12,2021-02-10T03:22:29Z,470000,,,0,,K. Walker REBOUND (Off:1 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT06M54.00S,2021-02-10T03:22:30.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628464,67.88764783180025,41.98069852941176,1610612738,13,15,2021-02-10T03:22:35Z,480000,-40.0,249.0,1,right,D. Theis 25' 3PT  (3 PTS) (K. Walker 2 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.26,Made,,,,,3.0,K. Walker,202689.0,2.0,,,,,,,,,,
51,PT06M42.00S,2021-02-10T03:22:44.7Z,1,REGULAR,turnover,traveling,[],203497,,,1610612762,13,15,2021-02-10T03:22:53Z,500000,,,0,,R. Gobert traveling TURNOVER (2 TO),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2529.0,2.0,,,,,,,,
52,PT06M42.00S,2021-02-10T03:22:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,15,2021-02-10T03:22:50Z,510000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,out,[],203497,,,1610612738,13,15,2021-02-10T03:26:21Z,520000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,out,[],204060,,,1610612738,13,15,2021-02-10T03:26:21Z,530000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,in,[],203903,,,1610612738,13,15,2021-02-10T03:26:21Z,540000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,in,[],202324,,,1610612738,13,15,2021-02-10T03:26:21Z,550000,,,0,,SUB in: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,15,2021-02-10T03:26:27Z,560000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M42.00S,2021-02-10T03:26:02.2Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,13,15,2021-02-10T03:26:27Z,570000,,,0,,SUB in: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M23.00S,2021-02-10T03:26:43.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202684,87.07293035479631,40.510110294117645,1610612738,13,17,2021-02-10T03:26:50Z,580000,-47.0,69.0,1,right,T. Thompson 8' turnaround Hook (2 PTS),[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,8.37,Made,,,,,2.0,,,,,,,,,,,,,
60,PT06M00.00S,2021-02-10T03:27:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,10.5946123521682,57.176776960784316,1610612762,13,17,2021-02-10T03:27:11Z,590000,-36.0,47.0,1,left,MISS D. Mitchell driving bank Shot,[1628378],1610612762.0,UTA,driving bank,,,Mitchell,D. Mitchell,,,,,5.92,Missed,,,,,,,,,,,,,,,,,,
61,PT05M57.00S,2021-02-10T03:27:09.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,13,17,2021-02-10T03:27:11Z,600000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT05M52.00S,2021-02-10T03:27:14.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628400,75.90341655716163,12.568933823529413,1610612738,13,20,2021-02-10T03:27:22Z,610000,-187.0,174.0,1,right,S. Ojeleye 25' 3PT  (3 PTS) (K. Walker 3 AST),"[1628400, 202689]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,25.56,Made,,,,,3.0,K. Walker,202689.0,3.0,,,,,,,,,,
65,PT05M37.00S,2021-02-10T03:27:28.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202711,7.30946123521682,50.80422794117647,1610612762,15,20,2021-02-10T03:27:34Z,630000,-4.0,16.0,1,left,B. Bogdanovic driving DUNK (2 PTS),[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,1.67,Made,,,,,2.0,,,,,,,,,,,,,
66,PT05M17.00S,2021-02-10T03:27:49.8Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,15,20,2021-02-10T03:27:54Z,640000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 202711]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,1.0,,,Bogdanovic,202711.0,,,,
67,PT05M17.00S,2021-02-10T03:27:49.8Z,1,REGULAR,steal,,[],202711,,,1610612762,15,20,2021-02-10T03:27:51Z,650000,,,0,,B. Bogdanovic STEAL (1 STL),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M11.00S,2021-02-10T03:27:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202711,7.703679369250986,56.93167892156863,1610612762,15,20,2021-02-10T03:28:01Z,660000,-35.0,20.0,1,left,MISS B. Bogdanovic driving reverse Layup,[202711],1610612762.0,UTA,driving reverse,,,Bogdanovic,B. Bogdanovic,,,,,4.0,Missed,,,,,,,,,,,,,,,,,,
69,PT05M08.00S,2021-02-10T03:27:59.3Z,1,REGULAR,rebound,offensive,[],202324,,,1610612762,15,20,2021-02-10T03:28:41Z,670000,,,0,,D. Favors REBOUND (Off:1 Def:0),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,,,,,
70,PT05M06.00S,2021-02-10T03:28:01.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202711,14.273981603153747,2.029718137254902,1610612762,15,20,2021-02-10T03:28:09Z,680000,240.0,82.0,1,left,MISS B. Bogdanovic 25' step back 3PT,[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
71,PT05M01.00S,2021-02-10T03:28:06.2Z,1,REGULAR,rebound,offensive,[],202324,,,1610612762,15,20,2021-02-10T03:28:09Z,690000,,,0,,D. Favors REBOUND (Off:2 Def:0),[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,70.0,2.0,0.0,2.0,,,,,,,,,,,,,,
72,PT04M57.00S,2021-02-10T03:28:10.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628378,26.10052562417871,58.647365196078425,1610612762,17,20,2021-02-10T03:31:00Z,700000,-43.0,193.0,1,left,D. Mitchell 19' step back Jump Shot (9 PTS),[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,19.76,Made,,,,,9.0,,,,,,,,,,,,,
73,PT04M38.00S,2021-02-10T03:28:28.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,89.70105124835742,44.921875,1610612738,17,22,2021-02-10T03:31:44Z,710000,-25.0,44.0,1,right,T. Thompson Hook (4 PTS) (S. Ojeleye 1 AST),"[202684, 1628400]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,5.11,Made,,,,,4.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,
76,PT04M21.00S,2021-02-10T03:28:45.1Z,1,REGULAR,3pt,Jump Shot,[],203903,28.465834428383708,74.33363970588235,1610612762,17,22,2021-02-10T03:28:51Z,730000,-122.0,215.0,1,left,MISS J. Clarkson 24' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,24.71,Missed,,,,,,,,,,,,,,,,,,
77,PT04M20.00S,2021-02-10T03:28:46.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,17,22,2021-02-10T03:28:51Z,740000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT04M20.00S,2021-02-10T03:28:50.3Z,1,REGULAR,foul,personal,[],1628400,,,1610612762,17,22,2021-02-10T03:29:15Z,750000,,,0,,S. Ojeleye loose ball personal FOUL (1 PF),"[1628400, 202324]",1610612738.0,BOS,loose ball,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Favors,202324.0
80,PT04M20.00S,2021-02-10T03:29:14.5Z,1,REGULAR,substitution,out,[],202689,,,1610612762,17,22,2021-02-10T03:29:17Z,770000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M20.00S,2021-02-10T03:29:14.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612762,17,22,2021-02-10T03:29:17Z,780000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M14.00S,2021-02-10T03:29:21.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203903,29.122864651773984,73.59834558823529,1610612762,17,22,2021-02-10T03:32:35Z,790000,-118.0,221.0,1,left,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
83,PT04M11.00S,2021-02-10T03:29:24.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,17,22,2021-02-10T03:29:26Z,800000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,,
84,PT04M09.00S,2021-02-10T03:29:27.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,79.71419185282524,49.08854166666667,1610612738,17,22,2021-02-10T03:33:11Z,810000,-5.0,138.0,1,right,MISS J. Brown 13' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,13.83,Missed,,,,,,,,,,,,,,,,,,
85,PT04M03.00S,2021-02-10T03:29:33.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,17,22,2021-02-10T03:29:34Z,820000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT04M00.00S,2021-02-10T03:29:37.3Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612762,17,22,2021-02-10T03:29:45Z,830000,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612762.0,UTA,bad pass,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,1188.0,1.0,,,,,,,,
87,PT03M36.00S,2021-02-10T03:30:14.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,89.43823915900131,51.294424019607845,1610612738,17,22,2021-02-10T03:30:18Z,840000,6.0,47.0,1,right,MISS J. Brown floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,4.72,Missed,,,,,,,,,,,,,,,,,,
88,PT03M34.00S,2021-02-10T03:30:16.0Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,17,22,2021-02-10T03:30:16Z,850000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,
89,PT03M34.00S,2021-02-10T03:30:17.7Z,1,REGULAR,foul,personal,['2freethrow'],202324,,,1610612738,17,22,2021-02-10T03:30:26Z,860000,,,0,,D. Favors shooting personal FOUL (1 PF) (Brown 2 FT),"[202324, 1627759]",1610612762.0,UTA,shooting,,,Favors,D. Favors,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Brown,1627759.0
