actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-02-10T03:16:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-10T03:16:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-02-10T03:16:12.1Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-02-10T03:16:12Z,40000,,,0,,Jump Ball R. Gobert vs. D. Theis: Tip to R. O'Neale,"[1626220, 203497, 1628464]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-02-10T03:16:34.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,6.389618922470433,94.67677696078431,1610612762,0,0,2021-02-10T03:16:39Z,70000,-223.0,8.0,1,left,MISS D. Mitchell step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,22.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-02-10T03:16:35.0Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,0,0,2021-02-10T03:16:39Z,80000,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2021-02-10T03:16:37.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202711,14.273981603153747,2.5199142156862746,1610612762,0,0,2021-02-10T03:16:43Z,90000,237.0,82.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2021-02-10T03:16:37.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,0,2021-02-10T03:16:43Z,100000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2021-02-10T03:16:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,81.553876478318,46.63756127450981,1610612738,0,0,2021-02-10T03:16:55Z,110000,-17.0,121.0,1,right,MISS K. Walker 12' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,12.21,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2021-02-10T03:16:53.7Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,0,0,2021-02-10T03:16:55Z,120000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M09.00S,2021-02-10T03:17:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204060,10.33180026281209,56.68658088235294,1610612762,0,0,2021-02-10T03:17:04Z,130000,-33.0,45.0,1,left,MISS J. Ingles driving Layup,[204060],1610612762.0,UTA,driving,,,Ingles,J. Ingles,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-02-10T03:17:02.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2021-02-10T03:17:04Z,140000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
