actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-03-01T00:10:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-01T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-01T00:10:32.8Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612764,0,0,2021-03-01T00:10:32Z,40000,,,0,,Jump Ball M. Wagner vs. D. Theis: Tip to B. Beal,"[203078, 1629021, 1628464]",1610612764.0,WAS,startperiod,B. Beal,203078.0,Beal,B. Beal,Wagner,1629021.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-03-01T00:10:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.492115637319317,44.676776960784316,1610612764,0,0,2021-03-01T00:10:56Z,70000,27.0,27.0,1,left,MISS B. Beal driving finger roll Layup,[203078],1610612764.0,WAS,driving finger roll,,,Beal,B. Beal,,,,,3.81,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-03-01T00:10:46.3Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,0,0,2021-03-01T00:10:56Z,80000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-03-01T00:10:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,91.59001314060447,47.173713235294116,1610612738,2,0,2021-03-01T00:11:04Z,90000,-14.0,27.0,1,right,T. Thompson cutting Layup (2 PTS) (J. Green 1 AST),"[202684, 1629750]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,3.01,Made,,,,,2.0,J. Green,1629750.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2021-03-01T00:11:09.1Z,1,REGULAR,2pt,Jump Shot,[],201566,17.871222076215506,25.819546568627448,1610612764,2,0,2021-03-01T00:11:17Z,110000,121.0,115.0,1,left,MISS R. Westbrook 16' pullup Shot,[201566],1610612764.0,WAS,pullup,,,Westbrook,R. Westbrook,,,,,16.72,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-03-01T00:11:11.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,2,0,2021-03-01T00:11:17Z,120000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M05.00S,2021-03-01T00:11:25.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,85.10183968462549,56.93167892156863,1610612738,2,0,2021-03-01T00:11:35Z,130000,35.0,88.0,1,right,MISS T. Thompson 9' turnaround Hook,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,9.41,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-03-01T00:11:27.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,2,0,2021-03-01T00:11:35Z,140000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-03-01T00:11:36.9Z,1,REGULAR,foul,offensive,[],1629021,,,1610612764,2,0,2021-03-01T00:11:52Z,150000,,,0,,M. Wagner offensive FOUL (1 PF),"[1629021, 202689]",1610612764.0,WAS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,2715.0,1.0,0.0,Walker,202689.0,,,,,,
