actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
21,PT10M37.00S,2021-05-30T23:05:40.0Z,1,REGULAR,freethrow,3 of 3,[],202681,,,1610612751,6,3,2021-05-30T23:05:40Z,210000,,,0,,K. Irving Free Throw 3 of 3 (3 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2021-05-30T23:05:52.1Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,6,3,2021-05-30T23:06:05Z,220000,,,0,,J. Harris shooting personal FOUL (1 PF) (Tatum 2 FT),"[203925, 1628369]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Tatum,1628369.0,,,
24,PT10M30.00S,2021-05-30T23:06:23.1Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,7,3,2021-05-30T23:06:23Z,240000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
25,PT10M30.00S,2021-05-30T23:06:39.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,8,3,2021-05-30T23:06:39Z,250000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2021-05-30T23:06:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201933,7.440867279894875,46.88265931372549,1610612751,8,3,2021-05-30T23:07:09Z,260000,16.0,17.0,1,left,MISS B. Griffin driving reverse Layup,[201933],1610612751.0,BKN,driving reverse,,,Griffin,B. Griffin,,,,,2.34,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M11.00S,2021-05-30T23:06:59.9Z,1,REGULAR,rebound,offensive,[],202681,,,1610612751,8,3,2021-05-30T23:06:59Z,270000,,,0,,K. Irving REBOUND (Off:1 Def:0),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,
28,PT10M08.00S,2021-05-30T23:07:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203925,8.229303547963205,44.18658088235294,1610612751,8,5,2021-05-30T23:07:12Z,280000,29.0,25.0,1,left,J. Harris cutting Layup (2 PTS) (K. Durant 1 AST),"[203925, 201142]",1610612751.0,BKN,cutting,,,Harris,J. Harris,,,,,3.83,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
30,PT09M53.00S,2021-05-30T23:07:17.2Z,1,REGULAR,3pt,Jump Shot,[],203935,71.56701708278581,17.47089460784314,1610612738,11,5,2021-05-30T23:07:22Z,300000,-163.0,215.0,1,right,M. Smart 26' 3PT  (6 PTS) (E. Fournier 1 AST),"[203935, 203095]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.94,Made,6.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,,,,
32,PT09M43.00S,2021-05-30T23:07:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.652431011826544,45.90226715686275,1610612751,11,7,2021-05-30T23:07:41Z,320000,20.0,10.0,1,left,K. Irving driving finger roll Layup (5 PTS),[202681],1610612751.0,BKN,driving finger roll,,,Irving,K. Irving,,,,,2.28,Made,5.0,,,,,,,,,,,,,,,,,,
33,PT09M32.00S,2021-05-30T23:07:40.4Z,1,REGULAR,foul,personal,['2freethrow'],201933,,,1610612738,11,7,2021-05-30T23:07:48Z,330000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Tatum 2 FT),"[201933, 1628369]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Tatum,1628369.0,,,
