actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-03-15T00:11:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-15T00:11:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2021-03-15T00:11:18.7Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-03-15T00:11:18Z,40000,,,0,,Jump Ball J. Patton vs. D. Theis: Tip to K. Porter Jr.,"[1629645, 1628383, 1628464]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Patton,1628383.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-03-15T00:11:26.4Z,1,REGULAR,3pt,Jump Shot,[],1628425,27.151773981603156,18.45128676470588,1610612745,3,0,2021-03-15T00:22:32Z,70000,158.0,203.0,1,left,S. Brown 25' 3PT  (3 PTS) (V. Oladipo 1 AST),"[1628425, 203506]",1610612745.0,HOU,,,,Brown,S. Brown,,,,,25.68,Made,3.0,V. Oladipo,203506.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-03-15T00:11:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612738,3,0,2021-03-15T00:11:56Z,90000,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629645, 1628369]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1199.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,
11,PT11M28.00S,2021-03-15T00:12:07.8Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,3,1,2021-03-15T00:12:07Z,110000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2021-03-15T00:12:22.0Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,3,2,2021-03-15T00:12:22Z,120000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2021-03-15T00:12:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628383,15.719448094612352,42.470894607843135,1610612745,5,2,2021-03-15T00:14:07Z,130000,38.0,95.0,1,left,J. Patton 10' floating Jump Shot (2 PTS) (K. Porter Jr. 1 AST),"[1628383, 1629645]",1610612745.0,HOU,floating,,,Patton,J. Patton,,,,,10.24,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
15,PT11M02.00S,2021-03-15T00:12:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.51576872536137,24.57873774509804,1610612738,5,2,2021-03-15T00:14:31Z,150000,-127.0,225.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2021-03-15T00:12:48.9Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,5,2,2021-03-15T00:14:10Z,160000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M53.00S,2021-03-15T00:12:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,27.54599211563732,20.657169117647058,1610612745,5,2,2021-03-15T00:15:08Z,170000,147.0,206.0,1,left,MISS K. Porter Jr. 25' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2021-03-15T00:13:02.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,5,2,2021-03-15T00:13:02Z,180000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M42.00S,2021-03-15T00:13:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,86.02168199737189,62.32383578431373,1610612738,5,2,2021-03-15T00:15:46Z,190000,62.0,79.0,1,right,MISS K. Walker 10' fadeaway Shot,[202689],1610612738.0,BOS,fadeaway,,,Walker,K. Walker,,,,,10.01,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2021-03-15T00:13:14.0Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,5,2,2021-03-15T00:13:14Z,200000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,
21,PT10M39.00S,2021-03-15T00:13:18.7Z,1,REGULAR,foul,personal,[],1628383,,,1610612738,5,2,2021-03-15T00:13:33Z,210000,,,0,,J. Patton personal FOUL (1 PF),"[1628383, 1627759]",1610612745.0,HOU,,,,Patton,J. Patton,,,,,,,,,,,203593.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
23,PT10M29.00S,2021-03-15T00:13:40.0Z,1,REGULAR,turnover,bad pass,[],202684,,,1610612738,5,2,2021-03-15T00:14:41Z,230000,,,0,,T. Thompson bad pass TURNOVER (1 TO),"[202684, 1630256]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,1.0,Tate,1630256.0,,,
24,PT10M29.00S,2021-03-15T00:13:40.0Z,1,REGULAR,steal,,[],1630256,,,1610612745,5,2,2021-03-15T00:13:41Z,240000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M20.00S,2021-03-15T00:13:49.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628383,10.463206307490145,3.5003063725490198,1610612745,5,2,2021-03-15T00:14:58Z,250000,232.0,46.0,1,left,MISS J. Patton 3PT,[1628383],1610612745.0,HOU,,,,Patton,J. Patton,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M17.00S,2021-03-15T00:13:52.2Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,5,2,2021-03-15T00:13:52Z,260000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT10M09.00S,2021-03-15T00:14:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.30026281208936,53.01011029411765,1610612738,5,4,2021-03-15T00:16:39Z,270000,15.0,1.0,1,right,J. Tatum driving finger roll Layup (4 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,1.51,Made,4.0,,,,,,,,,,,,,,,,,,
28,PT09M59.00S,2021-03-15T00:14:10.5Z,1,REGULAR,2pt,Jump Shot,[],1629645,7.966491458607096,69.18658088235294,1610612745,7,4,2021-03-15T00:17:19Z,280000,-96.0,22.0,1,left,K. Porter Jr. 9' driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,9.85,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2021-03-15T00:14:18.0Z,1,REGULAR,foul,personal,['2freethrow'],1628383,,,1610612738,7,4,2021-03-15T00:14:31Z,290000,,,0,,J. Patton shooting personal FOUL (2 PF) (Walker 2 FT),"[1628383, 202689]",1610612745.0,HOU,shooting,,,Patton,J. Patton,,,,,,,,,,,1199.0,2.0,0.0,Walker,202689.0,,,,,,,,,,
31,PT09M54.00S,2021-03-15T00:14:42.4Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,7,5,2021-03-15T00:14:42Z,310000,,,0,,K. Walker Free Throw 1 of 2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
32,PT09M54.00S,2021-03-15T00:15:03.7Z,1,REGULAR,freethrow,2 of 2,[],202689,,,1610612738,7,6,2021-03-15T00:15:03Z,320000,,,0,,K. Walker Free Throw 2 of 2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
33,PT09M38.00S,2021-03-15T00:15:20.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,10.33180026281209,52.27481617647059,1610612745,9,6,2021-03-15T00:15:29Z,330000,-11.0,45.0,1,left,J. Tate turnaround Hook (2 PTS) (V. Oladipo 2 AST),"[1630256, 203506]",1610612745.0,HOU,turnaround,,,Tate,J. Tate,,,,,4.6,Made,2.0,V. Oladipo,203506.0,2.0,,,,,,,,,,,,,,,
35,PT09M25.00S,2021-03-15T00:15:33.9Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,9,6,2021-03-15T00:15:38Z,350000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1630256]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,Tate,1630256.0,,,
36,PT09M25.00S,2021-03-15T00:15:33.9Z,1,REGULAR,steal,,[],1630256,,,1610612745,9,6,2021-03-15T00:15:35Z,360000,,,0,,J. Tate STEAL (2 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M21.00S,2021-03-15T00:15:39.1Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612745,9,6,2021-03-15T00:15:53Z,370000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1628369, 1629645]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,1199.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,
39,PT09M21.00S,2021-03-15T00:16:04.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629645,,,1610612745,9,6,2021-03-15T00:16:04Z,390000,,,0,,MISS K. Porter Jr. Free Throw 1 of 2,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M21.00S,2021-03-15T00:16:04.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,9,6,2021-03-15T00:16:04Z,400000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,
41,PT09M21.00S,2021-03-15T00:16:18.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629645,,,1610612745,10,6,2021-03-15T00:16:18Z,410000,,,0,,K. Porter Jr. Free Throw 2 of 2 (3 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
42,PT09M12.00S,2021-03-15T00:16:31.3Z,1,REGULAR,foul,personal,[],203506,,,1610612738,10,6,2021-03-15T00:17:02Z,420000,,,0,,V. Oladipo personal FOUL (1 PF),"[203506, 1627759]",1610612745.0,HOU,,,,Oladipo,V. Oladipo,,,,,,,,,,,1199.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
44,PT09M01.00S,2021-03-15T00:16:59.6Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612738,10,6,2021-03-15T00:17:06Z,440000,,,0,,K. Walker bad pass TURNOVER (2 TO),"[202689, 1630256]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,2.0,Tate,1630256.0,,,
45,PT09M01.00S,2021-03-15T00:16:59.6Z,1,REGULAR,steal,,[],1630256,,,1610612745,10,6,2021-03-15T00:17:01Z,450000,,,0,,J. Tate STEAL (3 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M49.00S,2021-03-15T00:17:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203506,33.590670170827856,50.80422794117647,1610612745,13,6,2021-03-15T00:17:19Z,460000,-4.0,263.0,1,left,V. Oladipo 26' 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[203506, 1629645]",1610612745.0,HOU,,,,Oladipo,V. Oladipo,,,,,26.33,Made,3.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,,
48,PT08M30.00S,2021-03-15T00:17:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,76.69185282522996,8.64736519607843,1610612738,13,9,2021-03-15T00:19:36Z,480000,-207.0,167.0,1,right,J. Tatum 26' 3PT pullup (7 PTS) (T. Thompson 1 AST),"[1628369, 202684]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.56,Made,7.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,,
50,PT08M15.00S,2021-03-15T00:17:45.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,21.23850197109067,92.71599264705883,1610612745,13,9,2021-03-15T00:18:05Z,500000,-214.0,147.0,1,left,MISS J. Tate 25' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M12.00S,2021-03-15T00:17:48.3Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,13,9,2021-03-15T00:18:05Z,510000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,50.0,3.0,2.0,1.0,,,,,,
52,PT08M09.00S,2021-03-15T00:17:52.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202684,91.01511169513797,52.029718137254896,1610612738,13,9,2021-03-15T00:20:11Z,520000,10.0,32.0,1,right,MISS T. Thompson driving Layup,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,3.36,Missed,,,,,,,,,,,,,,,,,,,
53,PT08M07.00S,2021-03-15T00:17:54.3Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,13,9,2021-03-15T00:18:10Z,530000,,,0,,J. Tate REBOUND (Off:0 Def:2),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,
54,PT08M02.00S,2021-03-15T00:17:59.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628383,7.5722733245729295,47.61795343137255,1610612745,13,9,2021-03-15T00:21:11Z,540000,12.0,19.0,1,left,MISS J. Patton cutting DUNK,[1628383],1610612745.0,HOU,cutting,,,Patton,J. Patton,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M59.00S,2021-03-15T00:18:02.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,9,2021-03-15T00:18:28Z,550000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,
56,PT07M50.00S,2021-03-15T00:18:10.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,82.21090670170827,28.745404411764707,1610612738,13,9,2021-03-15T00:18:47Z,560000,-106.0,115.0,1,right,MISS J. Tatum 15' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.64,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M49.00S,2021-03-15T00:18:11.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,13,9,2021-03-15T00:19:01Z,570000,,,0,,T. Thompson REBOUND (Off:2 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,56.0,4.0,2.0,2.0,,,,,,
58,PT07M49.00S,2021-03-15T00:18:15.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,94.40999984741211,50.0,1610612738,13,11,2021-03-15T00:19:06Z,580000,0.0,0.0,1,right,T. Thompson tip Layup (2 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
59,PT07M32.00S,2021-03-15T00:18:27.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,31.61957950065703,69.18658088235294,1610612745,16,11,2021-03-15T00:18:57Z,590000,-96.0,245.0,1,left,K. Porter Jr. 26' 3PT  (6 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,26.28,Made,6.0,,,,,,,,,,,,,,,,,,
60,PT07M15.00S,2021-03-15T00:18:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,83.26215505913272,45.65716911764706,1610612738,16,11,2021-03-15T00:22:25Z,600000,-22.0,105.0,1,right,MISS J. Brown 10' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,10.7,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2021-03-15T00:18:45.6Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,16,11,2021-03-15T00:19:32Z,610000,,,0,,J. Tate REBOUND (Off:0 Def:3),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,
62,PT07M10.00S,2021-03-15T00:18:50.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203506,6.915243101182654,52.27481617647059,1610612745,16,11,2021-03-15T00:20:23Z,620000,-11.0,13.0,1,left,MISS V. Oladipo running Layup,[203506],1610612745.0,HOU,running,,,Oladipo,V. Oladipo,,,,,1.69,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2021-03-15T00:18:52.8Z,1,REGULAR,rebound,offensive,[],203506,,,1610612745,16,11,2021-03-15T00:20:23Z,630000,,,0,,V. Oladipo REBOUND (Off:1 Def:0),[203506],1610612745.0,HOU,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,62.0,1.0,0.0,1.0,,,,,,
