actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
64,PT07M07.00S,2021-03-15T00:18:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203506,6.652431011826544,54.23560049019608,1610612745,18,11,2021-03-15T00:23:00Z,640000,-21.0,10.0,1,left,V. Oladipo reverse Layup (5 PTS),[203506],1610612745.0,HOU,reverse,,,Oladipo,V. Oladipo,,,,,2.34,Made,5.0,,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2021-03-15T00:19:10.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,11,2021-03-15T00:19:10Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,out,[],1628383,,,1610612738,18,11,2021-03-15T00:22:01Z,660000,,,0,,SUB out: J. Patton,[1628383],1610612745.0,HOU,,,,Patton,J. Patton,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,out,[],202689,,,1610612738,18,11,2021-03-15T00:22:01Z,670000,,,0,,SUB out: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,out,[],202684,,,1610612738,18,11,2021-03-15T00:22:01Z,680000,,,0,,SUB out: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,in,[],1630231,,,1610612738,18,11,2021-03-15T00:22:01Z,690000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,in,[],203935,,,1610612738,18,11,2021-03-15T00:22:01Z,700000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M07.00S,2021-03-15T00:21:46.0Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,18,11,2021-03-15T00:22:01Z,710000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M54.00S,2021-03-15T00:22:05.3Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,18,11,2021-03-15T00:22:13Z,720000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1630231]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,1.0,Martin Jr.,1630231.0,,,
73,PT06M54.00S,2021-03-15T00:22:05.3Z,1,REGULAR,steal,,[],1630231,,,1610612745,18,11,2021-03-15T00:24:51Z,730000,,,0,,K. Martin Jr. STEAL (1 STL),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M51.00S,2021-03-15T00:22:09.9Z,1,REGULAR,foul,offensive,[],1629645,,,1610612745,18,11,2021-03-15T00:22:27Z,740000,,,0,,K. Porter Jr. charge offensive FOUL (2 PF),"[1629645, 203935]",1610612745.0,HOU,charge,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1199.0,2.0,0.0,Smart,203935.0,,,,,,,,,,
76,PT06M51.00S,2021-03-15T00:22:09.9Z,1,REGULAR,turnover,offensive foul,[],1629645,,,1610612745,18,11,2021-03-15T00:22:09Z,760000,,,0,,K. Porter Jr. offensive foul TURNOVER (1 TO),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1199.0,,,,,,,,,1.0,,,,,
77,PT06M39.00S,2021-03-15T00:22:38.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,75.64060446780552,87.56893382352942,1610612738,18,14,2021-03-15T00:22:47Z,770000,188.0,176.0,1,right,M. Smart 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.77,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
79,PT06M24.00S,2021-03-15T00:22:52.8Z,1,REGULAR,3pt,Jump Shot,[],203506,23.99802890932983,11.833639705882353,1610612745,21,14,2021-03-15T00:22:59Z,790000,191.0,173.0,1,left,V. Oladipo 25' 3PT  (8 PTS) (K. Porter Jr. 3 AST),"[203506, 1629645]",1610612745.0,HOU,,,,Oladipo,V. Oladipo,,,,,25.76,Made,8.0,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,,,,,,
81,PT06M16.00S,2021-03-15T00:23:03.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630231,,,1610612738,21,14,2021-03-15T00:23:15Z,810000,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Brown 2 FT),"[1630231, 1627759]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,1628953.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
83,PT06M16.00S,2021-03-15T00:23:26.1Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,21,15,2021-03-15T00:23:26Z,830000,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
84,PT06M16.00S,2021-03-15T00:23:27.0Z,1,REGULAR,substitution,out,[],1629645,,,1610612738,21,15,2021-03-15T00:23:31Z,840000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M16.00S,2021-03-15T00:23:27.0Z,1,REGULAR,substitution,in,[],1628021,,,1610612738,21,15,2021-03-15T00:23:31Z,850000,,,0,,SUB in: D. Nwaba,[1628021],1610612745.0,HOU,,,,Nwaba,D. Nwaba,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M16.00S,2021-03-15T00:23:42.5Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,21,16,2021-03-15T00:23:42Z,860000,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
87,PT06M02.00S,2021-03-15T00:23:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,11.514454664914586,55.4610906862745,1610612745,23,16,2021-03-15T00:24:08Z,870000,-27.0,56.0,1,left,J. Tate 6' driving Layup (4 PTS) (V. Oladipo 3 AST),"[1630256, 203506]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,6.2,Made,4.0,V. Oladipo,203506.0,3.0,,,,,,,,,,,,,,,
89,PT05M48.00S,2021-03-15T00:24:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,91.14651773981603,63.549325980392155,1610612738,23,18,2021-03-15T00:24:20Z,890000,68.0,31.0,1,right,J. Brown 7' turnaround fadeaway Jump Shot (4 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,7.43,Made,4.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
91,PT05M31.00S,2021-03-15T00:24:33.7Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612745,23,18,2021-03-15T00:24:43Z,910000,,,0,,M. Smart shooting personal FOUL (1 PF) (Martin Jr. 2 FT),"[203935, 1630231]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,1628953.0,1.0,0.0,Martin Jr.,1630231.0,,,,,,,,,,
