actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
18,PT10M40.00S,2021-04-06T23:48:21.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,65.65374507227332,47.127757352941174,1610612738,0,2,2021-04-06T23:48:29Z,170000,-14.0,270.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,,,,,,Brown,J. Brown,27.08,Missed,,,,,,,,,,,,,,,,
19,PT10M38.00S,2021-04-06T23:48:23.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2021-04-06T23:48:29Z,180000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M23.00S,2021-04-06T23:48:40.8Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612755,0,2,2021-04-06T23:48:50Z,190000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629057, 203954]",1610612738.0,BOS,shooting,,,,,,202049.0,,Williams III,R. Williams III,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,
22,PT10M23.00S,2021-04-06T23:49:04.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,3,2021-04-06T23:49:04Z,210000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,3.0,,,,,,,,,,,,,,,
23,PT10M23.00S,2021-04-06T23:49:20.5Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,4,2021-04-06T23:49:20Z,220000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,,Made,4.0,,,,,,,,,,,,,,,
24,PT10M14.00S,2021-04-06T23:49:33.8Z,1,REGULAR,foul,personal,[],201980,,,1610612738,0,4,2021-04-06T23:49:42Z,230000,,,0,,D. Green personal FOUL (1 PF),"[201980, 203935]",1610612755.0,PHI,,,,,,,1146.0,,Green,D. Green,,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,
26,PT10M02.00S,2021-04-06T23:49:56.9Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,0,4,2021-04-06T23:50:03Z,250000,,,0,,R. Williams III bad pass TURNOVER (2 TO),"[1629057, 1627732]",1610612738.0,BOS,,,,,,,,2.0,Williams III,R. Williams III,,,,,,,,,,,,Simmons,1627732.0,,,,,
27,PT10M02.00S,2021-04-06T23:49:56.9Z,1,REGULAR,steal,,[],1627732,,,1610612755,0,4,2021-04-06T23:49:59Z,260000,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2021-04-06T23:50:02.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",201980,29.517082785808146,13.549325980392158,1610612755,0,7,2021-04-06T23:50:14Z,270000,182.0,225.0,1,left,D. Green 28' 3PT  (3 PTS) (B. Simmons 1 AST),"[201980, 1627732]",1610612755.0,PHI,,,,,,,,,Green,D. Green,28.96,Made,3.0,,,,,,,,,,,B. Simmons,1627732.0,1.0,,
30,PT09M42.00S,2021-04-06T23:50:16.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,89.83245729303549,74.82383578431373,1610612738,0,7,2021-04-07T00:09:36Z,290000,124.0,43.0,1,right,MISS J. Tatum 13' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,,,,,,Tatum,J. Tatum,13.14,Missed,,,,,,,,,,,,,,,,
31,PT09M40.00S,2021-04-06T23:50:18.6Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,0,7,2021-04-06T23:50:24Z,300000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,,,,,,Green,D. Green,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT09M18.00S,2021-04-06T23:50:40.6Z,1,REGULAR,3pt,Jump Shot,[],203552,34.37910643889619,48.10814950980392,1610612755,0,7,2021-04-06T23:50:51Z,310000,9.0,271.0,1,left,MISS S. Curry 27' 3PT,[203552],1610612755.0,PHI,,,,,,,,,Curry,S. Curry,27.09,Missed,,,,,,,,,,,,,,,,
33,PT09M15.00S,2021-04-06T23:50:43.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,7,2021-04-06T23:56:31Z,320000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT09M06.00S,2021-04-06T23:50:53.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,86.5473061760841,96.6375612745098,1610612738,3,7,2021-04-06T23:51:13Z,350000,233.0,74.0,1,right,J. Brown 24' 3PT  (3 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,,,,,,Brown,J. Brown,24.47,Made,3.0,,,,,,,,,,,K. Walker,202689.0,1.0,,
38,PT08M46.00S,2021-04-06T23:51:15.6Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,3,7,2021-04-06T23:51:23Z,370000,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,,,,1146.0,1.0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,
39,PT08M35.00S,2021-04-06T23:51:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,68.41327201051249,75.06893382352942,1610612738,3,7,2021-04-06T23:51:39Z,380000,125.0,244.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,27.46,Missed,,,,,,,,,,,,,,,,
40,PT08M33.00S,2021-04-06T23:51:35.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,3,7,2021-04-06T23:51:39Z,390000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,
41,PT08M28.00S,2021-04-06T23:51:43.9Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203935,76.74113009198423,20.925245098039216,1610612738,5,7,2021-04-07T00:09:51Z,400000,-145.0,166.0,1,right,M. Smart 22' pullup Jump Shot (2 PTS) (R. Williams III 1 AST),"[203935, 1629057]",1610612738.0,BOS,pullup,,,,,,,,Smart,M. Smart,22.07,Made,2.0,,,,,,,,,,,R. Williams III,1629057.0,1.0,,
43,PT08M28.00S,2021-04-06T23:51:48.1Z,1,REGULAR,foul,personal,['1freethrow'],201980,,,1610612738,5,7,2021-04-06T23:52:01Z,420000,,,0,,D. Green shooting personal FOUL (2 PF) (Smart 1 FT),"[201980, 203935]",1610612755.0,PHI,shooting,,,,,,1146.0,,Green,D. Green,,,,,,,,2.0,0.0,Smart,203935.0,,,,,,,
45,PT08M28.00S,2021-04-06T23:52:29.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",203935,,,1610612738,6,7,2021-04-06T23:52:29Z,440000,,,0,,M. Smart Free Throw 1 of 1 (3 PTS),[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,Made,3.0,,,,,,,,,,,,,,,
47,PT08M14.00S,2021-04-06T23:52:44.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,10.5946123521682,45.166973039215684,1610612755,6,9,2021-04-06T23:52:50Z,450000,24.0,47.0,1,left,J. Embiid Hook (6 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,5.3,Made,6.0,,,,,,,,,,,,,,,
48,PT08M06.00S,2021-04-06T23:52:55.2Z,1,REGULAR,3pt,Jump Shot,[],202689,66.5735873850197,33.64736519607843,1610612738,6,9,2021-04-07T00:10:03Z,460000,-82.0,262.0,1,right,MISS K. Walker 27' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,,,,,,Walker,K. Walker,27.42,Missed,,,,,,,,,,,,,,,,
49,PT08M04.00S,2021-04-06T23:52:57.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,9,2021-04-06T23:53:32Z,470000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,
55,PT08M04.00S,2021-04-06T23:53:01.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,9,2021-04-06T23:53:50Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M02.00S,2021-04-06T23:53:07.2Z,1,REGULAR,substitution,out,[],201980,,,1610612738,6,9,2021-04-06T23:53:11Z,490000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
52,PT08M02.00S,2021-04-06T23:53:07.2Z,1,REGULAR,substitution,in,[],1629680,,,1610612738,6,9,2021-04-06T23:53:11Z,500000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
53,PT07M49.00S,2021-04-06T23:53:37.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,68.41327201051249,78.25520833333334,1610612738,9,9,2021-04-06T23:59:38Z,510000,141.0,244.0,1,right,J. Brown 28' 3PT step back (6 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,step back,,,,,,,,Brown,J. Brown,28.23,Made,6.0,,,,,,,,,,,K. Walker,202689.0,2.0,,
56,PT07M34.00S,2021-04-06T23:54:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,14.4053876478318,57.176776960784316,1610612755,9,11,2021-04-06T23:54:09Z,530000,-36.0,83.0,1,left,T. Harris 9' turnaround fadeaway Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround fadeaway,,,,,,,,Harris,T. Harris,9.03,Made,2.0,,,,,,,,,,,,,,,
57,PT07M24.00S,2021-04-06T23:54:11.6Z,1,REGULAR,2pt,Jump Shot,[],202689,92.19776609724047,72.61795343137256,1610612738,9,11,2021-04-07T00:00:11Z,540000,113.0,21.0,1,right,MISS K. Walker 11' pullup Shot,[202689],1610612738.0,BOS,pullup,,,,,,,,Walker,K. Walker,11.5,Missed,,,,,,,,,,,,,,,,
58,PT07M23.00S,2021-04-06T23:54:12.6Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,9,11,2021-04-06T23:54:21Z,550000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,57.0,4.0,2.0,2.0,,,,,,,,,,,
59,PT07M22.00S,2021-04-06T23:54:16.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,11,11,2021-04-06T23:54:27Z,560000,0.0,0.0,1,right,R. Williams III tip Layup (2 PTS),[1629057],1610612738.0,BOS,tip,,,,,,,,Williams III,R. Williams III,0.0,Made,2.0,,,,,,,,,,,,,,,
60,PT07M08.00S,2021-04-06T23:54:34.2Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612755,11,11,2021-04-06T23:54:45Z,570000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Simmons 2 FT),"[1629057, 1627732]",1610612738.0,BOS,shooting,,,,,,1146.0,,Williams III,R. Williams III,,,,,,,,2.0,0.0,Simmons,1627732.0,,,,,,,
62,PT07M08.00S,2021-04-06T23:54:59.6Z,1,REGULAR,freethrow,1 of 2,[],1627732,,,1610612755,11,11,2021-04-06T23:55:27Z,590000,,,0,,MISS B. Simmons Free Throw 1 of 2,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,Missed,,,,,,,,,,,,,,,,
63,PT07M08.00S,2021-04-06T23:54:59.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,11,11,2021-04-06T23:55:27Z,600000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,
64,PT07M08.00S,2021-04-06T23:55:01.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612755,11,11,2021-04-06T23:55:05Z,610000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,
65,PT07M08.00S,2021-04-06T23:55:01.0Z,1,REGULAR,substitution,in,[],1628436,,,1610612755,11,11,2021-04-06T23:55:05Z,620000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
66,PT07M08.00S,2021-04-06T23:54:59.6Z,1,REGULAR,freethrow,2 of 2,[],1627732,,,1610612755,11,11,2021-04-06T23:55:27Z,630000,,,0,,MISS B. Simmons Free Throw 2 of 2,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,Missed,,,,,,,,,,,,,,,,
67,PT07M07.00S,2021-04-06T23:55:00.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,11,11,2021-04-06T23:55:27Z,640000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,
68,PT07M07.00S,2021-04-06T23:55:28.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,11,11,2021-04-06T23:55:28Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M57.00S,2021-04-06T23:55:47.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203954,6.1268068331143235,52.029718137254896,1610612755,11,13,2021-04-06T23:55:52Z,660000,-10.0,5.0,1,left,J. Embiid driving DUNK (8 PTS),[203954],1610612755.0,PHI,driving,,,,,,,,Embiid,J. Embiid,1.13,Made,8.0,,,,,,,,,,,,,,,
70,PT06M45.00S,2021-04-06T23:56:03.2Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,11,13,2021-04-06T23:56:11Z,670000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,,,,202049.0,1.0,Brown,J. Brown,,,,,,,,,,,,,,,,,,
71,PT06M45.00S,2021-04-06T23:56:09.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,13,2021-04-06T23:56:09Z,680000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2021-04-06T23:58:03.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,11,13,2021-04-06T23:59:15Z,690000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
73,PT06M45.00S,2021-04-06T23:58:03.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612755,11,13,2021-04-06T23:59:15Z,700000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2021-04-06T23:59:49.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,12.089356110381077,44.4546568627451,1610612755,11,13,2021-04-06T23:59:58Z,710000,28.0,61.0,1,left,MISS T. Harris 6' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,,,,,,Harris,T. Harris,6.71,Missed,,,,,,,,,,,,,,,,
75,PT06M22.00S,2021-04-06T23:59:51.0Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,11,13,2021-04-06T23:59:58Z,720000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,
76,PT06M08.00S,2021-04-07T00:00:05.1Z,1,REGULAR,3pt,Jump Shot,[],1628436,63.81406044678055,55.21599264705882,1610612738,14,13,2021-04-07T00:00:09Z,730000,26.0,288.0,1,right,L. Kornet 28' 3PT  (3 PTS) (K. Walker 3 AST),"[1628436, 202689]",1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,28.88,Made,3.0,,,,,,,,,,,K. Walker,202689.0,3.0,,
78,PT05M53.00S,2021-04-07T00:00:19.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,10.988830486202366,40.510110294117645,1610612755,14,15,2021-04-07T00:00:24Z,750000,47.0,51.0,1,left,B. Simmons 6' turnaround Hook (2 PTS),[1627732],1610612755.0,PHI,turnaround,,,,,,,,Simmons,B. Simmons,6.95,Made,2.0,,,,,,,,,,,,,,,
79,PT05M30.00S,2021-04-07T00:00:42.7Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,14,15,2021-04-07T00:00:47Z,760000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1629680]",1610612738.0,BOS,,,,,,,,1.0,Smart,M. Smart,,,,,,,,,,,,Thybulle,1629680.0,,,,,
80,PT05M30.00S,2021-04-07T00:00:42.7Z,1,REGULAR,steal,,[],1629680,,,1610612755,14,15,2021-04-07T00:00:44Z,770000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
81,PT05M16.00S,2021-04-07T00:01:00.9Z,1,REGULAR,foul,personal,[],203935,,,1610612755,14,15,2021-04-07T00:01:09Z,780000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 203954]",1610612738.0,BOS,,,,,,,202056.0,,Smart,M. Smart,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,
83,PT05M07.00S,2021-04-07T00:01:26.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,11.777266754270697,41.490502450980394,1610612755,14,15,2021-04-07T00:01:37Z,800000,43.0,58.0,1,left,MISS T. Harris 7' driving floating bank Shot,[202699],1610612755.0,PHI,driving floating bank,,,,,,,,Harris,T. Harris,7.21,Missed,,,,,,,,,,,,,,,,
84,PT05M05.00S,2021-04-07T00:01:28.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,14,15,2021-04-07T00:01:37Z,810000,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,
85,PT04M44.00S,2021-04-07T00:01:51.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,14,15,2021-04-07T00:01:58Z,820000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,lost ball,,,,,,202049.0,2.0,Brown,J. Brown,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2021-04-07T00:02:22.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202699,9.017739816031538,75.06893382352942,1610612755,14,15,2021-04-07T00:02:28Z,830000,-125.0,32.0,1,left,MISS T. Harris 12' turnaround fadeaway Shot,[202699],1610612755.0,PHI,turnaround fadeaway,,,,,,,,Harris,T. Harris,12.94,Missed,,,,,,,,,,,,,,,,
87,PT04M21.00S,2021-04-07T00:02:24.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,14,15,2021-04-07T00:02:28Z,840000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,,,,,,Walker,K. Walker,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,
88,PT04M17.00S,2021-04-07T00:02:33.3Z,1,REGULAR,foul,personal,[],203552,,,1610612738,14,15,2021-04-07T00:02:39Z,850000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 202689]",1610612755.0,PHI,,,,,,,202049.0,,Curry,S. Curry,,,,,,,,1.0,0.0,Walker,202689.0,,,,,,,
90,PT04M17.00S,2021-04-07T00:02:42.9Z,1,REGULAR,substitution,out,[],203935,,,1610612738,14,15,2021-04-07T00:02:54Z,870000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,
91,PT04M17.00S,2021-04-07T00:02:42.9Z,1,REGULAR,substitution,out,[],1627732,,,1610612738,14,15,2021-04-07T00:02:54Z,880000,,,0,,SUB out: B. Simmons,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,
92,PT04M17.00S,2021-04-07T00:02:42.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,14,15,2021-04-07T00:02:54Z,890000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,,,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,
93,PT04M17.00S,2021-04-07T00:02:42.9Z,1,REGULAR,substitution,in,[],1629003,,,1610612738,14,15,2021-04-07T00:02:54Z,900000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,,,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,
94,PT04M03.00S,2021-04-07T00:03:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.89684625492772,60.60814950980392,1610612738,16,15,2021-04-07T00:03:22Z,910000,53.0,127.0,1,right,J. Brown 13' step back Jump Shot (8 PTS),[1627759],1610612738.0,BOS,step back,,,,,,,,Brown,J. Brown,13.77,Made,8.0,,,,,,,,,,,,,,,
95,PT03M44.00S,2021-04-07T00:03:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,7.046649145860711,64.28462009803921,1610612755,16,15,2021-04-07T00:04:30Z,920000,-71.0,14.0,1,left,MISS J. Embiid 7' driving floating Shot - blocked,"[203954, 1628436]",1610612755.0,PHI,driving floating,,,,,,,,Embiid,J. Embiid,7.27,Missed,,,,,,,,,,,,,,,Kornet,1628436.0
96,PT03M44.00S,2021-04-07T00:03:39.2Z,1,REGULAR,block,,[],1628436,,,1610612755,16,15,2021-04-07T00:03:41Z,930000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,
