actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-04-06T23:45:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-06T23:45:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-04-06T23:46:07.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612738,0,0,2021-04-06T23:46:07Z,40000,,,0,,Jump Ball R. Williams III vs. J. Embiid: Tip to Team (BOS),"[1629057, 203954]",1610612738.0,BOS,startperiod,Team (BOS),Williams III,1629057.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M55.00S,2021-04-06T23:46:19.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-04-06T23:46:37Z,65000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-04-06T23:46:32.5Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,0,0,2021-04-06T23:46:45Z,70000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,,,,202056.0,1.0,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-04-06T23:46:59.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,11.169513797634691,73.37622549019608,1610612755,0,2,2021-04-06T23:47:08Z,80000,-117.0,52.0,1,left,J. Embiid 12' Jump Shot (2 PTS),[203954],1610612755.0,PHI,,,,,,,,,Embiid,J. Embiid,12.81,Made,2.0,,,,,,,,,,,,,,,
10,PT10M56.00S,2021-04-06T23:47:15.3Z,1,REGULAR,3pt,Jump Shot,[],203935,69.20170827858082,78.01011029411765,1610612738,0,2,2021-04-06T23:47:20Z,90000,140.0,237.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,27.53,Missed,,,,,,,,,,,,,,,,
11,PT10M54.00S,2021-04-06T23:47:17.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612755,0,2,2021-04-06T23:47:20Z,100000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M51.00S,2021-04-06T23:47:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612755,0,2,2021-04-06T23:47:37Z,110000,,,0,,J. Brown shooting personal FOUL (1 PF) (Simmons 2 FT),"[1627759, 1627732]",1610612738.0,BOS,shooting,,,,,,1146.0,,Brown,J. Brown,,,,,,,,1.0,0.0,Simmons,1627732.0,,,,,,,
14,PT10M51.00S,2021-04-06T23:47:52.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627732,,,1610612755,0,2,2021-04-06T23:48:17Z,130000,,,0,,MISS B. Simmons Free Throw 1 of 2,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,Missed,,,,,,,,,,,,,,,,
15,PT10M51.00S,2021-04-06T23:47:52.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,0,2,2021-04-06T23:48:17Z,140000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,
16,PT10M51.00S,2021-04-06T23:47:52.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627732,,,1610612755,0,2,2021-04-06T23:48:17Z,150000,,,0,,MISS B. Simmons Free Throw 2 of 2,[1627732],1610612755.0,PHI,,,,,,,,,Simmons,B. Simmons,,Missed,,,,,,,,,,,,,,,,
17,PT10M51.00S,2021-04-06T23:47:52.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,2,2021-04-06T23:48:17Z,160000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
