actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-05-29T00:41:05.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-29T00:41:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-05-29T00:41:07.5Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612751,0,0,2021-05-29T00:41:07Z,40000,,,0,,Jump Ball K. Durant vs. T. Thompson: Tip to J. Harden,"[201935, 201142, 202684]",1610612751.0,BKN,startperiod,J. Harden,201935.0,Harden,J. Harden,Durant,201142.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-05-29T00:41:20.9Z,1,REGULAR,3pt,Jump Shot,[],202681,29.517082785808146,67.71599264705883,1610612751,0,0,2021-05-29T00:41:27Z,70000,-89.0,225.0,1,left,MISS K. Irving 24' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,24.18,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-05-29T00:41:24.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2021-05-29T00:41:27Z,80000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-05-29T00:41:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.06636005256242,53.01011029411765,1610612738,2,0,2021-05-29T00:41:39Z,90000,15.0,22.0,1,right,K. Walker driving Layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.68,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M17.00S,2021-05-29T00:41:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,11.908672798948752,51.049325980392155,1610612751,2,2,2021-05-29T00:41:54Z,100000,-5.0,59.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,5.96,Made,,,,,2.0,,,,,,,,,,,,,,
11,PT11M17.00S,2021-05-29T00:41:51.4Z,1,REGULAR,foul,personal,['1freethrow'],202689,,,1610612751,2,2,2021-05-29T00:42:13Z,110000,,,0,,K. Walker shooting personal FOUL (1 PF) (Harden 1 FT),"[202689, 201935]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,2715.0,1.0,0.0,Harden,201935.0,,,,,,,,,
13,PT11M17.00S,2021-05-29T00:42:15.8Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612751,2,3,2021-05-29T00:42:15Z,130000,,,0,,J. Harden Free Throw 1 of 1 (3 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
14,PT11M05.00S,2021-05-29T00:42:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.46057818659659,52.51991421568627,1610612738,2,3,2021-05-29T00:42:35Z,140000,13.0,18.0,1,right,MISS K. Walker driving reverse Layup,[202689],1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,2.23,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2021-05-29T00:42:32.1Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,2,3,2021-05-29T00:42:35Z,150000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
