actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-03-12T00:45:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-12T00:45:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-12T00:45:43.8Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2021-03-12T00:45:43Z,40000,,,0,,Jump Ball D. Jordan vs. D. Theis: Tip to B. Brown,"[1628971, 201599, 1628464]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Jordan,201599.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-03-12T00:45:54.0Z,1,REGULAR,3pt,Jump Shot,[],203925,32.53942181340342,53.50030637254902,1610612751,0,0,2021-03-12T00:46:06Z,70000,-18.0,253.0,1,left,MISS J. Harris 25' pullup 3PT,[203925],1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-03-12T00:45:58.0Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,0,0,2021-03-12T00:46:06Z,80000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-03-12T00:46:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.8166885676741,50.55912990196079,1610612738,0,0,2021-03-12T00:46:18Z,90000,3.0,118.0,1,right,MISS J. Brown 11' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-03-12T00:46:17.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612751,0,0,2021-03-12T00:46:18Z,100000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M18.00S,2021-03-12T00:46:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202681,5.995400788436268,49.82383578431372,1610612751,0,0,2021-03-12T00:46:28Z,110000,1.0,4.0,1,left,MISS K. Irving driving Layup,[202681],1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,0.4,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2021-03-12T00:46:25.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2021-03-12T00:46:28Z,120000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-03-12T00:46:30.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,0,2021-03-12T00:46:30Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2021-03-12T00:46:52.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,93.77463863337714,50.55912990196079,1610612738,0,2,2021-03-12T00:46:56Z,140000,3.0,6.0,1,right,D. Theis cutting DUNK (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,0.66,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
