actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
37,PT09M36.00S,2021-05-05T23:14:33.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203095,30.831143232588698,32.176776960784316,1610612738,2,10,2021-05-05T23:14:46Z,370000,89.0,237.0,1,left,E. Fournier 25' 3PT  (3 PTS) (R. Williams III 1 AST),"[203095, 1629057]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,25.35,Made,,,,,3.0,,,,,,,R. Williams III,1629057.0,1.0,,,,,
39,PT09M35.00S,2021-05-05T23:14:45.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,2,10,2021-05-05T23:14:45Z,390000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M35.00S,2021-05-05T23:15:00.3Z,1,REGULAR,substitution,out,[],1630175,,,1610612753,2,10,2021-05-05T23:17:15Z,400000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M35.00S,2021-05-05T23:15:00.3Z,1,REGULAR,substitution,in,[],1626184,,,1610612753,2,10,2021-05-05T23:17:15Z,410000,,,0,,SUB in: C. Randle,[1626184],1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M15.00S,2021-05-05T23:17:51.2Z,1,REGULAR,turnover,traveling,[],1629021,,,1610612753,2,10,2021-05-05T23:17:59Z,420000,,,0,,M. Wagner traveling TURNOVER (1 TO),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,202007.0,,,,,1.0,,,,,,,,
43,PT09M04.00S,2021-05-05T23:18:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,7.5722733245729295,56.68658088235294,1610612738,2,10,2021-05-05T23:18:15Z,430000,-33.0,19.0,1,left,MISS J. Tatum cutting Layup,[1628369],1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,3.83,Missed,,,,,,,,,,,,,,,,,,,
44,PT09M02.00S,2021-05-05T23:18:11.8Z,1,REGULAR,rebound,defensive,[],1628407,,,1610612753,2,10,2021-05-05T23:18:15Z,440000,,,0,,D. Bacon REBOUND (Off:0 Def:2),[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
45,PT08M58.00S,2021-05-05T23:18:15.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628964,67.36202365308804,32.176776960784316,1610612753,2,10,2021-05-05T23:18:23Z,450000,-89.0,254.0,1,right,MISS M. Bamba 26' running 3PT,[1628964],1610612753.0,ORL,running,,,Bamba,M. Bamba,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M55.00S,2021-05-05T23:18:18.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,10,2021-05-05T23:18:23Z,460000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
47,PT08M50.00S,2021-05-05T23:18:23.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,2.578843626806833,94.67677696078431,1610612738,2,13,2021-05-05T23:18:31Z,470000,-223.0,-28.0,1,left,K. Walker 3PT running (8 PTS) (J. Tatum 2 AST),"[202689, 1628369]",1610612738.0,BOS,running,,,Walker,K. Walker,,,,,22.52,Made,,,,,8.0,,,,,,,J. Tatum,1628369.0,2.0,,,,,
49,PT08M21.00S,2021-05-05T23:18:54.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,2,13,2021-05-05T23:19:03Z,490000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,,,,
50,PT08M12.00S,2021-05-05T23:19:12.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,25.969119579500656,82.17677696078431,1610612738,2,13,2021-05-05T23:19:16Z,500000,-161.0,192.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M10.00S,2021-05-05T23:19:14.2Z,1,REGULAR,rebound,defensive,[],1628407,,,1610612753,2,13,2021-05-05T23:19:16Z,510000,,,0,,D. Bacon REBOUND (Off:0 Def:3),[1628407],1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
52,PT08M01.00S,2021-05-05T23:19:25.2Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612753,2,13,2021-05-05T23:19:35Z,520000,,,0,,K. Walker shooting personal FOUL (1 PF) (Bamba 2 FT),"[202689, 1628964]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,202007.0,1.0,0.0,Bamba,1628964.0,,,,,,,,,
